Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgxrE_LAqi49XHEcJK54AaABAg,@Maxfromohio2155,Would it be possible to invent wormholes to travel the cosmio’s,2025-11-21T16:44:01Z,1,0
UgzpcW6bf1pZSAs04Lx4AaABAg,@jamming-y2k,"I'm sorry dave but I can't do that

-Red robot eye",2025-11-21T05:21:32Z,0,0
Ugy7H7KDYVOYOGwvFjp4AaABAg,@PABOIBICHYABOI,It's because Elon musk is the first dude to go in mars (Joke),2025-11-14T01:19:57Z,0,0
UgyHGXqaQmLNIH2nyKh4AaABAg,@dont-callmeneedy,That aegis_0442a and aegis_0442b refers me to nasa,2025-10-27T16:22:15Z,0,0
UgwCXk23hm3tVoBhd6N4AaABAg,@gayatritripathisaxena7224,TBH We don't even know if we could handle the ping from that. We can't handle 1000 ping but we're expecting to handle 1 billion ping?,2025-10-26T07:20:42Z,0,0
UgxqoDM3y-Wh9Fw1TG94AaABAg,@mittri1990,"A.I is not the enemy. However nobody like bad A.I
I personally welcomd our future A.I overlords.",2025-10-24T23:17:50Z,0,0
Ugxj7Pnl1oNwHxU5N194AaABAg,@trashviewer3521,"I bet this was sponsored by some ""AI"" company.",2025-10-22T18:16:18Z,0,0
Ugzbch692OY3nA6aqSh4AaABAg,@dinofunny5388,"POV the ai probes reach the planet and create a civilization more advanced than us, then go back and destroy us",2025-10-19T20:18:03Z,0,0
UgwH3vr4PybMxeLvUT54AaABAg,@tahoanglinh1863,For now ahh jumpscare 😭😭😭,2025-10-17T12:15:27Z,0,0
Ugw4tQlu38UFH2gBZ254AaABAg,@煌1111,"""Ai will take over the world!""
Nope. Its taking over the galaxies now.",2025-10-16T13:07:05Z,0,0
UgyZT5wMXGxSWXo8Dwt4AaABAg,@trikuozo1510,Why Clankers are supposed to be the ones to conquer space,2025-10-15T21:24:23Z,0,0
Ugxbz0ftfDvlhXJM0Zd4AaABAg,@Entrahyvus,We really need a kurzgesagt video on warhammer 40k. How realistic is warhammer 40k really ??,2025-10-14T00:12:18Z,0,0
UgzzMxHagRsLpwTWRo54AaABAg,@nikadmnroot7948,"""For now""",2025-10-13T15:43:16Z,0,0
UgzuqwtvkXZNbG_j9uR4AaABAg,@moyai-fh4gq,CLANKERRRRR,2025-10-11T13:55:20Z,0,0
Ugw4HYTLGRvIj871ryR4AaABAg,@Novgord98,Breakthrough star shot is dead though,2025-10-05T21:16:31Z,1,1
UgyfbUv8fowZjKgC_OZ4AaABAg,@DarkPhoenix_000-z9k,Surely humanity will kill itself with its nuclear weapons before stepping foot on another solar system.,2025-10-05T01:22:01Z,0,0
