Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugylfhq3Qjhy8FbnP4l4AaABAg,@bjjronin558,"Human cells: no u no kill me lol 
Bacteria: you shall be punished imbecile.",2025-11-22T16:45:56Z,1,0,en
Ugy7tW6GWeWcQFggoKZ4AaABAg,@Bertie_Ahern,They're specialized - for now. Then they turn on their human hosts,2025-11-22T15:41:39Z,0,0,en
UgwkePEvh3_-pTgdNTh4AaABAg,@BeatrizRios-dt6zb,What about the black plague,2025-11-22T12:29:23Z,0,0,en
UgyOiicRe2ppuJgB3_94AaABAg,@Otiimo,I feel like I've seen this movie before.,2025-11-22T10:14:09Z,0,0,Other
UgxvDBcd_9sIdM3nIM54AaABAg,@Solar19620,"“Ok, but can it run doom?”",2025-11-22T08:56:35Z,0,0,Other
UgxsZ2CFDihNvsH-aEl4AaABAg,@Frenchman_1812,Face huger.,2025-11-22T08:34:37Z,0,0,Other
UgyrUJ87DaPw0S5chUJ4AaABAg,@flochkids601,(Me thinking it was in injector for Steven universe in the kindergarten and from when spinel  was killing the earth),2025-11-22T02:06:02Z,0,0,en
Ugw7ib30w80IlkHtVrl4AaABAg,@ReaperOnTheLoose,so is the virus helpful?,2025-11-22T01:37:20Z,0,0,en
Ugx71EZqmoymSL63CfF4AaABAg,@محمدعبدربة-و3س,I love subtitle❤,2025-11-21T18:29:07Z,0,0,Other
UgzgduZZl10Qnr7DJ-h4AaABAg,@ARIHANTKUMAR-i4x,What if it mutates to attack human cell too??,2025-11-21T15:30:35Z,0,0,en
UgyeTe69rCzZB0LJM5t4AaABAg,@ManojitPandit-d1t,"Why this virus only prey for bacteria .
Not human cells ???",2025-11-21T14:08:54Z,0,0,en
Ugzk-Hcd6I4jtKyJK0t4AaABAg,@UmangSukhadia,what if it mutates,2025-11-21T13:14:29Z,0,0,en
Ugzfz4HVpnZM14R3Utt4AaABAg,@Style_forsure,Cancer I guess has taken classes from this virus,2025-11-19T16:17:00Z,1,0,en
UgzjR0w865iJewEg1Dp4AaABAg,@woofw36,"Bursting out in wraaaaath

While you're inside this void you're crying 🔥🔥🔥🔥🗣️🗣️🗣️🗣️",2025-11-19T08:52:10Z,0,0,en
Ugz0qoaTTIhF-oNM4Ox4AaABAg,@Rude_empire,Best ad 😅,2025-11-18T19:01:20Z,0,0,Other
UgxsBPjrsvaVWVSzjWx4AaABAg,@teddystephens3054,Now I want a pokemon rom hack of this. 😂,2025-11-18T16:20:21Z,0,0,en
Ugzdtm8nu1T6J0lGKfF4AaABAg,@Steph-k4y,"Yes, but does it mean I can hurt good bacteria?",2025-11-18T13:52:04Z,0,0,en
Ugz6OhShfYNOv-qz2yx4AaABAg,@NinjaOnANinja,And its man made,2025-11-18T06:18:57Z,0,0,en
UgynXA8gBVU4uWqxhYB4AaABAg,@solidsnake246,The pkmn Battle 😂❤,2025-11-17T22:10:15Z,0,0,en
UgwrW9Brf5b9bLVRrkV4AaABAg,@Boolakasha67,Instead of buying your plush I took a stuffed hamster from my grandmas house that has a hole through its side so you can stick your hand in it,2025-11-17T02:54:51Z,0,0,en
UgxELq3XtPikz6qA77F4AaABAg,@flyinglegend900,Basically “HUGGY WUGGY”,2025-11-15T08:24:56Z,0,0,en
UgwdDOOGxPjrG5nUcWN4AaABAg,@tieradlerch.217,Does Alien Face-hugger inspired from bacteriophage? 🤔,2025-11-14T13:20:19Z,0,0,en
UgyoqTWA8RYClb4iadF4AaABAg,@nbooth,Humans are by far the least dangerous _per encounter._ Obviously.,2025-11-13T17:21:05Z,0,0,en
Ugwwphqd4FlEz4no9Hp4AaABAg,@Noname-k4l5i,"It's actually a LOT more important than it seems. A lot of bacteria these days get immunity from antibiotics, and the most horrific thing is that there might be a day when antibiotics will never work, so this little bacteriophage will help us a ton.",2025-11-13T11:19:06Z,1,0,en
UgwbVQkeukfffzLK74p4AaABAg,@FengWei-z3c,"Deadly❌
Useful✔️",2025-11-13T02:45:10Z,0,0,Other
UgzalFVDy1fp9MmPCLt4AaABAg,@drerpyderpey,Deadliest but cutest virus,2025-11-12T01:14:58Z,0,0,Other
Ugx1kaE-1NK8uKOSO0R4AaABAg,@jamieswithenbank1813,"These were very common in the soviet Union until later on 😂 Stalin didn't believe in antibiotics,  he used to say that they made doctors lazy and would cause problems in the long run... he directed soviet doctors to investigate a ""healing pool"" near his home town in Georgia. They discovered some of the earliest known Bacteriophages. It requires more work to use a Bacteriophage, as described in the video, you need to identify the bacterial family first, but, they are relatively cheap to produce, and once injected they keep going until the target bacteria are all dead... so there is no room for resistance 😂 because of Stalin, there are a large number of known effective Bacteriophages against most known families of infectious bacteria.... meaning antibiotics resistance is not really an issue for those with access to that library of phages.",2025-11-10T12:29:38Z,0,0,en
Ugz_vB6X9QvsE0TmLNN4AaABAg,@WingingTheDingGaster,"So basically after ""taming"" its the best antibiotic",2025-11-10T09:12:59Z,1,0,en
Ugx3Mq4k7iQJiBjPH-54AaABAg,@AdibooAdventure,IM LEGEND intro start😂,2025-11-09T22:20:39Z,0,0,Other
Ugw9TyKPIhLdX1OWneV4AaABAg,@phagestudio,This lil guy inspired my company logo 🎉❤😂,2025-11-09T21:09:18Z,0,0,en
UgxI7-9CTN2aMVEBsNl4AaABAg,@EvanLanzillotto-g1k,"Except a squid.
Except squid hugs are often slimy.",2025-11-09T01:46:26Z,0,0,Other
UgzqmHcU9Z95GKHeYkN4AaABAg,@moemoe6798,I have bro,2025-11-08T19:15:59Z,1,0,Other
Ugzt6UgSdHIJ7LGsx014AaABAg,@BusinessG-u3b,uh it looks a little similar to one of mums toys in fact,2025-11-08T10:57:30Z,0,0,en
UgyVHRludvxvWn3PTPV4AaABAg,@sku1lcrusx,Why is no one talking about what the duck and the phage did at the end,2025-11-07T14:44:33Z,0,0,en
UgydLLsJTRavn-rZLpN4AaABAg,@SystemParanoia,.... This can't possibly go wrong and inadvertently create a mass extinction event! 😱,2025-11-07T07:14:24Z,0,0,en
Ugymlp98wrLuvmN0hdh4AaABAg,@nhatminhtruong7130,cap,2025-11-06T20:20:09Z,0,0,Other
Ugyben8hRt5T-3eXNZF4AaABAg,@radamirmir1732,The safest virus on earth,2025-11-06T16:36:53Z,0,0,en
UgzdEL8sDi6t3J99hX94AaABAg,@Deadlist-torch,this might even cure cancer.,2025-11-06T16:16:07Z,0,0,en
UgyVprp4TtXrFEY_Na54AaABAg,@Wizardsniffard,"Dang, even bacteria have been turned into marketable plushies. None of us are safe",2025-11-06T02:25:07Z,0,0,en
Ugy2Hyf0wPmCV5sBXxB4AaABAg,@Spaceyguy_animates,"i heard that they just CANT infect human cells, and that overuse of them could make them evolve to attack human cells. Is this true???",2025-11-06T01:27:16Z,0,0,en
UgyjETZfbQtkUlYL52d4AaABAg,@Robin-f5f,"New plague: tiem for soem murder >:D
Virus: hello mario
New plague: MAAMAAAA-",2025-11-05T11:17:57Z,0,0,en
Ugy1aqyt2pjsB_yBBI14AaABAg,@zeffiy,Jimmy neutron episode,2025-11-05T10:24:34Z,0,0,Other
UgyYfauVu_-D4dI_cyZ4AaABAg,@DrDuckMD,This is how we get the T-virus.,2025-11-05T08:53:29Z,0,0,en
UgzT5B5HsjjzwzsocJB4AaABAg,@esarinenervil1052,So that means bacteriaphages are friendly to humans including us,2025-11-05T04:40:51Z,1,0,en
UgwwX4dfRSAleZR6S6d4AaABAg,@farhadtowfiq6767,Cute!,2025-11-05T01:27:01Z,0,0,Other
UgxV4-uSO9kxmAQuPfF4AaABAg,@eliteman5,bro we learn this in science,2025-11-05T01:04:45Z,0,0,en
Ugxuxm_CvLDuRsHzccZ4AaABAg,@XBlock001,Where i can buy this virus?,2025-11-03T20:23:21Z,0,0,en
UgxunW-9arpBj2sM5Nx4AaABAg,@Absolute_CYNema_aproved,"""You'll never be alone *again* """,2025-11-03T18:24:53Z,0,0,en
Ugz6lrwnvC6VHhTrhZl4AaABAg,@Punished_Venomous_Snake,Deadliest virus of history vs deadliest bacteria of today,2025-11-03T17:43:43Z,0,0,en
UgzRtSZ9XMx1ik4Gv954AaABAg,@Atack_Ze_Dee_Point,"""You'll never be alone again""
Never Be Alone?",2025-11-02T19:41:18Z,0,0,en
UgxzIO4ZBleCxUIEGSt4AaABAg,@LukesterGD,Instructions unclear: The plush injected me and there are more plushes forming inside my body. *HELP*,2025-11-02T19:05:51Z,5,0,en
UgyCpfbZDwYsXj9xrpd4AaABAg,@MissRobeyn,People are gonna use that plush for something else,2025-11-02T13:07:08Z,0,0,en
Ugzp5oBU18gr9ji997h4AaABAg,@2gunssledge186,"Bro, that's the injector from Steven universe.",2025-11-01T22:22:57Z,0,0,en
Ugy0yK1TFoZWtM12RON4AaABAg,@ThatLutherFanPF,Attack of the D20,2025-11-01T01:42:32Z,0,0,en
UgwTIkDx_qDYKYNynQ54AaABAg,@thederpywarrior1,Thats going in someones ass.,2025-10-31T23:55:03Z,0,0,en
Ugzqcq9J3QDOblGYhQJ4AaABAg,@Rt1962blitXofficial,"Aw what a cute little guy
*It mutates to eat anything*",2025-10-31T17:23:33Z,0,0,en
Ugwwo6aV-HBTn2FolNV4AaABAg,@playerone8047,"“Powerless”

Humans: “Hold my microscope”",2025-10-31T01:21:43Z,0,0,en
Ugyrpi7JF0M2g-xXPD14AaABAg,@DenrixJheyTimuat,GUYS JOIN US FROM BANNING AI GEN,2025-10-30T14:58:28Z,0,0,Other
UgwWdU5yERBxDCpVuCF4AaABAg,@dalgonacookie4500sayshello,Its Actually Helpful Bacteria.,2025-10-30T08:49:15Z,0,0,en
Ugz_lri_5ecLEzMxgw94AaABAg,@RinaLouisback,"Why does it looks so familiar..
Familiar,Why is it so familiar? 
Familiar, Like something I use to know
Familiar, staring up at the ceiling
Familiar, I swear that I know this feeling",2025-10-29T10:26:34Z,0,0,en
UgwQybfycCTI01mYYvF4AaABAg,@yautja89,Can anyone explain why it it doesnt like human cells? Like what about them stops it from annihilating us?,2025-10-29T09:21:46Z,0,0,en
Ugy7AdpBTJSTzX2RJkd4AaABAg,@sigil150,"It'd be like a mutualism symbiotic relationship if we used them for medicine, they eat bad bacteria in/on our bodies, giving them food and us a cure to bacterial infections",2025-10-29T00:29:27Z,0,0,en
UgxJgms-IJ5roDjA7ZZ4AaABAg,@bluecrystal_7843,symbiotic viruses is quite an interesting concept,2025-10-28T20:22:56Z,0,0,en
UgxfAJHlF1CX_ojiMER4AaABAg,@vincentedits-923,Dna is deoxyribonucleic,2025-10-28T19:50:06Z,1,0,Other
UgyqFXnreM_J5TwmEH54AaABAg,@strawhatsam97,And what's stopping our White blood cells from killing it?,2025-10-28T15:11:58Z,0,0,en
Ugxq_5pGHlAXZggrghx4AaABAg,@aperture11,It also has a cute plushie version😊,2025-10-28T00:51:04Z,0,0,en
Ugyb8COYNSGOiTXe0i14AaABAg,@cha-ongkongyou1093,That reminds me of something else,2025-10-27T21:34:11Z,0,0,en
Ugy3mWb6S6kgwW63WFR4AaABAg,@Chubbeteto121,Is this the thing?,2025-10-26T11:32:47Z,0,0,en
Ugy0wLlj8j8bRTBV3HJ4AaABAg,@everettewebber5680,"This is great, invasive species have never had unseen side effects or consequences before",2025-10-26T02:07:30Z,0,0,en
UgxcmHYJEzt2lvzRi7N4AaABAg,@Kitblocksfruit,He means most daedleist thing for backtary,2025-10-25T22:36:29Z,0,0,en
UgwVvNlXysWPyZSR0sp4AaABAg,@ZariyaanGaming,Got the plush!,2025-10-25T15:27:12Z,0,0,en
UgwBvmBYd3VF8jnUbOZ4AaABAg,@Banban465_,Deadliest virus.... For bad bacteria,2025-10-25T11:44:58Z,1,0,en
UgxREzP7aqg9C69xw6Z4AaABAg,@Felixthefolf-fe2dm,I don't want that thing in my home for the simple reason of not wanting to explain what it is every time I have guests over,2025-10-24T17:51:26Z,0,0,en
UgyXFuNQk-bDAtRsSZh4AaABAg,@Spongy_84,"Bacteria: this ""humane cells"" is good, very tasty
*Doom music kicks in*
Bacteria phage: I am here to chew D-20s and kick a$$, and all out if D-20s",2025-10-23T15:38:24Z,0,0,en
UgwWsz5QDnBTlp43Z1p4AaABAg,@mr.knightthedetective7435,"There are TRILLIONS of bacteriophages in our stomach and they are vital for our digestion and survival, without them there would be no bacterial balance and we would fall ill more quickly",2025-10-22T10:23:20Z,1,0,en
UgwyE_jl__5OE1bbqs14AaABAg,@Enfectius,"If bacteriophage can kill non-bacterial organism, we're cooked beyond saving because A) our Body didn't had this CRISPER ability and B)they are ravenous.
  Means one -spore- bacteriophage can kill an entire -species- living organism.",2025-10-22T07:20:44Z,1,0,en
UgwbHJpFxlT_7ha5yOF4AaABAg,@AvangionQ,Would be something if we could weaponize phage treatments in medicine.,2025-10-22T05:01:39Z,0,0,en
UgynRLELQKPiWpmMII14AaABAg,@Mythicalmovies,"Without viruses 

We will die

So I guess it’s true",2025-10-22T01:57:20Z,0,0,en
UgySj0KnG109etyL-d94AaABAg,@sultens.shorts5246,Thx Ive been watching this channel for years now I think I started to watch it since 2021 or maybe 2022 it's a long time and I always love this channel my favourite video is ants 😁❤,2025-10-21T20:05:20Z,1,0,en
UgyMRRvvIED8TVO645p4AaABAg,@Archangel_Toast,"oops, it survives and thrives the human body. after a couple of years, and 100, maybe even 1000 generations, it evolves to attack human cells. game over. most likely not happening, but who knows. :3",2025-10-20T19:56:24Z,0,0,en
UgwcdAHm4aVhmb8A85N4AaABAg,@Archangel_Toast,"oops, it evolved to attack human cells :D",2025-10-20T19:52:10Z,0,0,en
UgysYYQdzx_FJAW7R2l4AaABAg,@KingK7310Z,Okay what happens when that virus mutates naturally or in a lab and is then released from lab and blamed on bats ?,2025-10-20T05:21:14Z,0,0,en
UgxdNlObvXH7TLnmYBx4AaABAg,@jabezpangon2769,I watch this in long form video,2025-10-20T04:25:51Z,0,0,en
UgwTUEib3QbSuApsgY14AaABAg,@foxleafy-28,the most deadly virus and it cant even kill complex lifeforms,2025-10-18T19:03:32Z,0,0,en
UgxtDGkLGTmx98dAufp4AaABAg,@DHeritor,"i love the concept of using phages to trick bacteria/superbugs into giving up their resistance in order to ""adapt"" to their predators.

no matter how broken they may be, they still can't evolve to both be resistant to antibiotics but ALSO be resistant against phages",2025-10-18T03:02:43Z,0,0,en
UgykuATVrxQoH-T023h4AaABAg,@janceifyre,Bro went facehugger mode 😂,2025-10-18T01:17:38Z,0,0,en
UgxAfe0n777B3iM-eTx4AaABAg,@JohnBrother73,"I wanna buy that, it's so cute",2025-10-17T17:48:51Z,0,0,en
UgweBjqiWcuJCzhVvu54AaABAg,@kera-oq6qu,Is that the fucking time ruby from sonic mania,2025-10-17T16:59:19Z,1,0,en
UgzazM-7RpVnS0h2ycF4AaABAg,@RandomThingsOfTheOtherSide,The Urss was researching phages when the west was developing antibiotics,2025-10-17T09:06:32Z,0,0,en
UgxjzpZdy9LcK5P5flh4AaABAg,@Blahajjjjjjj,It looks so silly,2025-10-16T14:03:39Z,0,0,en
UgyTAdYon8FiOnpi2Tx4AaABAg,@煌1111,Looks like a nanobot tho,2025-10-16T13:01:33Z,0,0,Other
UgwASj-Qi8nD7lPvPN54AaABAg,@soniagupta8867,"Isn’t there like a year old Kurzgesagt video on this virus that I’ve watched twice?


Edit: it was to advertise the plushie wasn’t it 😅",2025-10-15T01:16:40Z,0,0,en
UgzaGUaxa5bEohxJ5wJ4AaABAg,@david-makh,But what it mutates and starts to infect our cells?,2025-10-14T19:18:33Z,0,0,en
UgwXa5Ktt-CqdOojCyh4AaABAg,@cyrusmagnus,"Step phage help, I'm stuck in the washing machine!",2025-10-14T11:10:07Z,0,0,en
UgxyvPPN1kNLRA6qaHN4AaABAg,@TiranaTirana-m5v,Don't gotta tell meh.,2025-10-14T05:33:37Z,0,0,Other
UgxrbVY6hzMIv-f1J5R4AaABAg,@LowBudgetBacon,It looks like a normal evolve 3d creature,2025-10-14T04:53:14Z,0,0,en
