Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugz90fKlXHHpPFON6JJ4AaABAg,@epicgamer48yt,"Put the bottle in a bag
*sunshine in a bag*",2025-11-23T05:51:26Z,0,0
UgyoekD9KOg0qmKmZzl4AaABAg,@magecu,What about just pumping a lot of water a lot higher and letting it down lower.,2025-11-22T10:33:36Z,0,0
UgyRZY5GCg35rHu-x8t4AaABAg,@letavagroww,guy from back to the future 😂,2025-11-22T02:43:07Z,0,0
UgxgKtxa7A5WV9RakEd4AaABAg,@banato01,photosyntesis is the original solar power we can just use grains to make energy,2025-11-21T23:25:20Z,0,0
UgzViU2MMUNVc2jZUhx4AaABAg,@Hi10ma-i3q,all the shits and giggles until the sun develops on earth,2025-11-21T06:11:19Z,0,0
UgxuKHuoR6ZK897WW1J4AaABAg,@malloc7108,"I saw this story years ago. thanks for mentioning some of the companies working on it, I'm curious if it ever reaches commercialization",2025-11-20T17:50:38Z,0,0
UgyJwR5ee-CY4dY6NE94AaABAg,@CruelViper88,I'm curious: How do you break ammonia back in to hydrogen and nitrogen?,2025-11-20T09:53:25Z,0,0
UgwyoL-b_Y3Q-H3u-Kx4AaABAg,@CST1992,The sun's energy stored in urine gas. Nice.,2025-11-18T13:57:18Z,0,0
Ugzk9WO3_perPYCpRxp4AaABAg,@NVSir-h9d,Basically since we don't have super battery to do this we can use the ample when it's available to convert into chemical here's another convert it into potential energy by pumping water  into higher levels,2025-11-16T16:50:03Z,0,0
Ugx1SQjunOb4u8Iaczt4AaABAg,@Tiniuc,"Or... maybe we'll just keep sand warm.

Who knows!",2025-11-12T01:29:11Z,0,0
UgyZQGBW3taEHVB-NH14AaABAg,@growtocycle6992,"Without tritium, you aren't storing what you need to generate a Sun -like power supply.",2025-11-11T09:58:50Z,0,0
UgzSdNyE22dME-WGqFZ4AaABAg,@dembones9275,i kinda doubt the part about ammonia due to it being not very efficient to produce,2025-11-10T06:47:38Z,0,0
UgzIdHYpJfkqk-g0d1Z4AaABAg,@andreypopov3400,Why not power up a motor to get a water up into a water storage facility and then open the valve and generate electricity back when we need it? That’s transforming solar energy into gravitational potential energy. The cheapest battery to make,2025-11-09T03:09:33Z,0,0
Ugyv-TjoCx28Unim2a94AaABAg,@Icetea-2000,"So many of these opponents just don’t want to win. The guy could easily just keep larvae to fish for viper, not a huge chance with all the demons, but more than 0, but he doesn’t even think about the fact that all other minions do nothing for him",2025-11-08T16:22:09Z,0,0
Ugzr-mVxc5Y_Cbnbm5d4AaABAg,@charlesmeyers6693,"Seasonal energy storage is overhyped, imo. It's just so much harder to make any energy storage make financial sense if you can only cycle it (i.e. capitalize on the delta between the low price of energy at one point in time and the high price at another point in time) a few times per year. In most situations, you'll be better off building more solar panels to cover the seasonal differences in electricity generation.",2025-11-07T17:41:50Z,0,0
UgzkKScJPQi37OAYGx54AaABAg,@Iduri,Could I also get sunshine in a bag?,2025-11-07T12:28:38Z,0,0
Ugzhn_dDr611Z7SFIhx4AaABAg,@Caram0n,but it stinks so much,2025-11-07T12:15:19Z,0,0
UgxH03TUnXPN1oG56Ex4AaABAg,@JonathonNarfhead,Doesn't it take more energy to break it apart again though,2025-11-06T02:34:04Z,0,0
