Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugx9ymf0mkY8uA2M4w14AaABAg,@LauwSpook,"""No sponsor"" then go to the segwuay to the sponsor",2025-11-12T23:30:42Z,0,0
UgwYFL1nFIYRIjN8TBR4AaABAg,@MikeHunt-lz2hq,why are there 11 breaks in this video are those supposed to be ads? its a 23 min video,2025-11-02T21:04:23Z,0,1
UgyIb4ZCsUCl-2KcD7N4AaABAg,@danielchang3213,No crt :c,2025-10-31T05:42:26Z,0,0
Ugy-dXw3cS31EpAmd9t4AaABAg,@TheOnlyGuitarFather,1:25 “my partner” .. dude definitely has a “white dudes for Kamala” shirt,2025-10-30T04:00:34Z,0,0
Ugx8iv4R7p9bWUKvw2x4AaABAg,@frazzelongwitz8381,David is my new favourite! Star trek pc for the win!,2025-10-28T19:07:19Z,0,0
UgwYihqvibxJPksPvrN4AaABAg,@RepairNReport,"no disrespect whatsoever but.....what he said ""my girlfriend"" i was shocked lol i have totally been profiling this fella for a long time 🤣🤣 if you catch my drift lol",2025-10-24T00:19:56Z,0,0
UgwNN1iVV5gizTndXA94AaABAg,@joshuabutler3200,David's setup is one of the most creative setups of any of the staff of LTT I've seen.,2025-10-22T18:17:31Z,0,0
Ugz3cMmhS9MZyTYkAGN4AaABAg,@DjNoTag69420,i liked this 10 month old video because proton mail is the sponsor,2025-10-20T04:06:06Z,0,0
UgzHqzAOF1vOvVroA6R4AaABAg,@fastford207,"The cloud stuff is sick, im going to do a rgb cloud ceiling in the theater room. Top tier, also the floating pc is sketchy",2025-10-19T16:24:36Z,0,0
UgygVof7z0lsx41AjCF4AaABAg,@Erik-qb1yf,"got my sama case from newegg for 53$, honestly cant tell a discernable difference in quality compared to my 7 year old h440 NZXT",2025-10-16T02:58:46Z,0,0
UgywLyZpFXrVOn0XsYR4AaABAg,@tofudubu0528,11:26 That blue PS4 controller took everything under it with it lmao,2025-10-14T16:00:50Z,0,0
UgwTPQWA7e7xH9ikXtp4AaABAg,@-.Ascendant,should have mounted two arms(upside down so they are behind the pc) to the wood plate and made a sheet metal covering so it looks seamless. its so high up it doesnt even look floating. could have even used the exposed part of the pipes as internal mounting so it slides out for easy access and no bolt holes.,2025-10-08T22:00:02Z,0,0
UgwLyRB7W2pPnoViv-B4AaABAg,@elysian9318,linus is so funny lmao i would be this anxious too seeing all of these risky decisions,2025-10-07T19:34:35Z,0,0
UgzkB2Wf-L8gATzq7aZ4AaABAg,@RaistMajeres,"The only thing I can think of through both videos, is the blasphemy Linus committed stating that FF7 is overrated.

How dare he.",2025-09-28T00:04:19Z,0,0
Ugy9AF38fnTTmH2FrH54AaABAg,@danielhenzphotography,"David, maybe add instead of the galaxy the Paulson Nebula from Best of Both Worlds with the borg PC warping through",2025-09-27T19:31:14Z,0,0
UgzQRV4tdaeFjUq1kHt4AaABAg,@mahmoodnia,his laugh is annoying..,2025-09-27T16:18:40Z,2,0
UgzmP7FHq0ZKgpDmxi54AaABAg,@bbchicken-v4i,What is the name or link of the wireless pc starter David have?,2025-09-24T01:26:27Z,0,0
UgybdO5p8syN58L0tSV4AaABAg,@bryantorozco2544,Who TF is David!? (I stopped watching for a lbit yea),2025-09-18T16:37:55Z,0,0
UgwISHFrUWyGDh0rG4Z4AaABAg,@Cryobolt,7:00 I audibly screamed when I saw that.,2025-09-17T03:06:27Z,0,0
UgwKgaekafogly04Umh4AaABAg,@bitterman1619,"Damn, altough those pc mounts are not gonna hold, I really like the borg cube and the enterprise  - that idea 10/10 - pc mounts 0/10 - there are some invisible mounts, ""L"" shaped mounts that you can secure it from the top - doesn't make any sense to buy a thousand dollars worth in audio, screens and pc - and not buy at any store some better stuff...",2025-09-15T23:10:28Z,0,0
UgxTRSomOXw0eHaSTcl4AaABAg,@Brandon77Battin,whats up with everyone's obsession with huge 3 fan gpus?,2025-09-11T16:06:20Z,0,0
UgzPjPsnHFlDyUPycoB4AaABAg,@joeman625,Jesus Linus atleast use a pair of pliers when drilling something the size of a nub,2025-09-10T01:04:09Z,0,0
UgzqTkOK7hHnpO7tvqt4AaABAg,@amousanon.,What is that material with the green light in the corner?,2025-09-07T11:35:14Z,0,0
UgylBTVQ4x-C8gXM7J94AaABAg,@baldis12,"Needs backlighting on the TV. Image or sound following. Put up som smart lights in the rest of the room and a hue bridge.
The borge cube needs green lights aswell",2025-09-03T21:21:46Z,0,0
