Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwtIUtfwZMKmNSfEMZ4AaABAg,@shawnamchugh272,"My name is Remy. I think it's apparent that I need to rethink my life a little bit. What's my problem? First of all I'm a rat. Which means, life is hard. Second, I have a highly developed sense of taste and smell. Third, I'm being shaken",2025-11-23T02:31:58Z,0,0
UgzumIOCGV35zC9iamp4AaABAg,@GGClips,dude the last time i watched u was like 8 or 9 years ago your face hasnt changed a single inch,2025-11-19T20:38:37Z,0,0
UgyB_EsP2sj2OUlxA8B4AaABAg,@Brick_Salvador,The rat sounds like butt head in a way,2025-11-16T22:01:06Z,0,0
UgxUvl1IcDAj2CGl1cF4AaABAg,@_assassin25,Who up shakin’ they rat,2025-11-10T02:47:59Z,1,0
UgxFUqmngzuwpoWe4wd4AaABAg,@JJavier31rblx,"“Ugh, I need some food and fast! Hopefully there isn’t anything trolling me until I starve!”

The humble Roadrunner: 0:25",2025-10-21T04:45:19Z,0,0
Ugxbx2q20AW0i0F9ugh4AaABAg,@katieantrim4600,This is my 4th time watching this gameplay but I still have no idea what the hell is going on lol,2025-09-12T00:07:34Z,0,0
UgyCc2I6cruHHMUYl_l4AaABAg,@FlyAway7993,"The rat lords are telling him to do it, the whispers the voices",2025-09-04T02:09:32Z,0,0
UgxB4qGczjtu_AHlWG54AaABAg,@nirriii,Why does the rat sound like Markiplier?,2025-08-23T03:15:49Z,0,0
UgziABeuM9RkdMM2XHx4AaABAg,@Jadeddoxy,Still laughing at this,2025-08-20T06:42:14Z,0,0
UgysO5-gK7gZKr8PkJF4AaABAg,@Snoring_snailSnoring_snail,Me and mark have the same mouse cool,2025-08-19T22:29:13Z,0,0
UgwbKRaKtw_euJ31dYh4AaABAg,@Fonnien,9:34 Freaky ass rat 😭,2025-08-12T21:21:24Z,0,0
UgyMq-w-tHwJqtwdROZ4AaABAg,@TanyaW94777,The 😂sound 😂of 😂the😂 rat😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2025-07-11T23:55:11Z,0,0
UgyvSAgVkf7bdAAyYaN4AaABAg,@SpookyRemedy,I COULD HARDLY TELL THE DIFFERNCE BETWEEN THE RAT AND MARK SOMETIMES-,2025-07-11T03:42:35Z,0,0
