Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyKL2DHVyaAoqXjiPx4AaABAg,@jitsauce522,"9:15 ""dont touch me"" is so underrated dawg no one talked about it in the comments but marks delivery on it is really fucking funny to me",2025-11-20T16:53:27Z,0,0
Ugy8Xm-lsIeRvodo2Fd4AaABAg,@jjcook0226,Oh my god I needed this. I havent laughed this hard in a second,2025-11-14T16:32:15Z,0,0
Ugy7llnkFMTtd_mitMl4AaABAg,@minatoson5788,5:56 should not be so funny.,2025-11-04T07:24:01Z,0,0
Ugx-WJypAuRVsCIKJ7B4AaABAg,@iamtheactualdevil,If you push a button you step on a spring.,2025-10-22T23:01:49Z,0,0
UgzqfUQSdEhpFtkY_Cp4AaABAg,@themanglenator1225,"""to be continued?"" and then it never was",2025-10-14T05:56:08Z,1,0
Ugw0jSEM62H_N9Ipz214AaABAg,@Jvenoia,Constance peed,2025-10-14T03:57:19Z,0,0
UgwVoYjEQSdqDItani54AaABAg,@EcoAcid,And they never played this hilarious game again..,2025-10-14T02:57:12Z,1,0
Ugw2vvZehRTop6DV3pF4AaABAg,@phonedge,13:23 idk why but this part with the coloured speech takes me out so bad😂😂😂😂😂,2025-10-12T07:39:13Z,1,0
Ugx0J5OhVSJTSs-QAAF4AaABAg,@noblekat5313,I love this I really do but wade being a child for a key and not getting his way pretty strange tho,2025-10-12T07:21:18Z,0,0
UgyRewICSrlb55YwLgh4AaABAg,@DracoHandsome,Go no stop. The thought process is always go no stop.,2025-09-30T20:58:01Z,0,0
UgxORuOtLL3cBg_A18R4AaABAg,@Bunnyinhiding,"As a simple enjoyer of Mark's content, it is sometimes hard to remember that Mark's a person. As weird as that sounds but like, being a fan, I think, ""Yay! Content! Woo! Mark made another video!"" and I feel like I kinda disregarded that Mark is a person who has things going on in their life, who deals with daily stressers like everyone else. I feel bad for screaming for content as I have in the past. The videos Mark makes that he puts his time, physical and mental energy into, I appreciate them. You can say that it's his work but the truth is he doesn't have to do any of it. Things happen and life is heavy, Thank you, Mark. I'm glad you exist.",2025-09-26T23:37:56Z,4,0
Ugxr6ZAF9Kxl7KuSx7N4AaABAg,@FiredUpFiron,What was the thought process?,2025-09-19T13:03:27Z,1,0
UgzU9xZctFApQsy9USN4AaABAg,@PlayfulDragon77,2:22 needs to be a meme,2025-09-18T07:00:50Z,0,0
UgxYCJbchjW9pCqkxz54AaABAg,@FoxGirlLover94,"Before
Not -boofore-",2025-09-15T16:38:38Z,0,0
UgyxneQQ966OQJ2AiSd4AaABAg,@FoxGirlLover94,"Could have
Not could of
Grade school mistake 😂😂😂",2025-09-15T16:20:50Z,0,0
UgwjlFEKV2EC_O9zxsV4AaABAg,@mourningdewey,the precursor to chained together...,2025-09-13T09:40:55Z,0,0
UgyHB1P_BhFViUqaDOF4AaABAg,@The_King_Of_Leeches,This video is everything I love about these guys in one package. It’s so amazing,2025-09-12T19:48:07Z,0,0
UgwGyLeGUMfUIsVRlUJ4AaABAg,@franzk.himmler1196,The fact that Mark and Bob coordinate so cleanly 70% of the time while Wade typically fucks shit up makes this trio so much fun to watch during these types of games. I love these videos so much HAHAHA!!,2025-09-08T01:38:57Z,1,0
UgyzPpXeKbaPJms1TTZ4AaABAg,@Rendolf45,"I'm back to this video 9 months later and I just want to say how much I love the escalation of details in the ""Clone"" fiasco:
-Mark calls the block Wade's clone and Bob goes along with it but eventually asks for clarification when Mark is so insistent.
-Mark then mentions the hat to prove the similarity, saying that it was the same as Wade's.
-The others are still confused so he further clarifies that it has the same number.
-They still have no idea what he's talking about so he says that Wade is 1, Bob is 2, and he is 3.
-They fully think he's crazy now so he starts madly raving about their numbers.",2025-09-05T09:14:46Z,5,0
UgyKPtH2QB38mS-Fu8l4AaABAg,@Bakaklown,Am I crazy???? Did Mark not play the first game??,2025-08-31T07:18:33Z,0,0
UgxCHF9mnWFOY3Utz-l4AaABAg,@gdawgkornyflake5377,"Go ahead and take that call, Mark. The video is going to ads.",2025-08-30T16:43:58Z,0,0
UgxD3b37Tixoh0fAWVV4AaABAg,@gekkotadpole2478,"I love the *SUBTLE FORESHADOWING* of Wade going ""Bob is purple and Mark is pink, right?"" at the beginning",2025-08-21T22:10:22Z,0,0
UgzAOk5YctNf2Uy3bmJ4AaABAg,@JackDoesDabs-p1b,"“I will kill us!”

-Bob, 2024",2025-08-19T15:58:34Z,0,0
UgyEQzQle3Gzwa_gw814AaABAg,@MrSnow0808,28:00 Mark actively sabotaging Wade by going left instead of right is really funny.,2025-08-02T09:23:46Z,1,0
UgwQejCX-sJZBRxiBmd4AaABAg,@orangejuicenomnomnom,"i beg you, lets NOT say "" suck me"" every time we use the magnets",2025-07-29T02:24:22Z,0,0
UgznaqWkg63v-DrCfnN4AaABAg,@Littleeblue2010,21:51 he should’ve said “YYYYOOOOUUUUUUUUUU SHOULDA MEMBERED!”,2025-07-02T21:06:10Z,0,0
Ugx3w1WrWA5Jef6WjN54AaABAg,@Xomta7,"2:27 the thought process was, what is Mark doing",2025-07-02T16:42:20Z,0,0
UgzYXT1YVSwJU4Nzp0V4AaABAg,@elreturner1227,The thought process bit was especially funny to me because I also didn’t realize that was mark.,2025-07-02T01:44:01Z,1,0
Ugye2U5QefVweRkodPh4AaABAg,@stephencable7228,Bob is the best at getting keys. Truly the master.,2025-06-26T17:20:50Z,0,0
