Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugz8JFM4rRsFk685Yr14AaABAg,@Rykonツ,the letters mason what do they mean!,2025-11-09T21:45:57Z,0,0
UgzbrCnUqTO6LO4nLG54AaABAg,@justsmae6566,45:38 is a heart stopper,2025-11-09T14:05:26Z,0,0
UgzJDAvaE1ox04VtcIJ4AaABAg,@jcadet36,Finish the game Mark!,2025-10-29T02:57:52Z,0,0
Ugw-7G_cYTR8vYzdO6l4AaABAg,@alicefox3955,"7:23 You can hear mannequin saying ""Я Мита"" (I'm Mita) in different voices (or intonations)",2025-10-26T16:12:58Z,0,0
UgxkozdnAooVhtbhENB4AaABAg,@Bobby-t9q7v,20:16 wake up Markiplier. The matrix has you. Will you follow the white rabbit? Y/n,2025-10-09T23:58:56Z,0,0
Ugxh9EgRhBAgLCqZ8nV4AaABAg,@HC_Sports607,These videos very quickly went dark,2025-09-20T18:34:18Z,1,0
Ugxlg_BlUxnBscvxgXp4AaABAg,@k3llyl33l33,I started to watch these when he played them the first time and was like eh this looks stupid 😂 this game is actually soupz cool 😅,2025-09-15T17:20:52Z,1,0
UgwrCaAqQcG7zbx2thZ4AaABAg,@gabrielfarnum4069,I see letters too when I stare at lights too long in fact one time it got soo bad at school I had to go to the hospital and heard bad voices but I learned my lesson,2025-09-15T08:01:03Z,0,0
UgwFJ9mUuXsAoZSkluV4AaABAg,@Bec-y5p,This game makes me super sad,2025-09-08T11:14:01Z,1,0
UgygHeJaiZQWx1xU5jV4AaABAg,@1unartic,"20:05 Mark this is called photobleaching. Floaters aren’t a new phenomenon and it’s basically our eye trying to heal what we just hurt in ourselves with (the light sensitive cells are unable to process as much light as before which makes “blind spots”).

They can take on shapes that might appear like symbols, especially if it was something that had lettering on it—such as a McDonalds sign that might be a little too bright for you to process right (so you might see a giant floating ‘M’ in your vision)—but most people are familiar with blobs.",2025-09-06T22:32:12Z,2,0
UgxKtOUhQ8WiyRn-X0F4AaABAg,@luna_fm,"You know you stopped digging before you hit diamonds.
This game would have been absolutely worth it.",2025-08-24T06:16:54Z,2,0
UgzGQYSJ65jp5pTGXFF4AaABAg,@BurnerAccount-d9b,Sure hope a fridge doesn’t come flyin 😮,2025-08-19T05:52:05Z,1,0
Ugxdiq68lVBBJmI3JpB4AaABAg,@ajollayoldgal,"my cat's name is Mika and the entire episode she kept looking at me like ""why is he talking to me""",2025-08-12T07:53:06Z,0,0
UgxXiWipx9DGXakUG7R4AaABAg,@dan-is9ir,16:40 is that a batman reference?,2025-08-03T10:38:23Z,0,0
Ugw5krWfxiiv-s7m6cZ4AaABAg,@CinnafinnCoughSyrupSodypop,27:45 tw: frîdgë,2025-07-31T02:00:53Z,0,0
UgywzpK4VkyJ2Sndmwl4AaABAg,@kai_2210,20:25 poolrooms???!!!!! The backrooms exist??!!!! Oh fu-,2025-07-24T20:53:33Z,0,0
UgyHV8CV6SBaHigrKPF4AaABAg,@LiamLopez-h6x,Will Mark ever finish this game?,2025-07-24T15:41:08Z,3,0
UgxrAKhnZHOeU9qEyFR4AaABAg,@KingRobotnik,It's numbers for me. I thought I was the only one who had that lol.,2025-07-22T08:28:44Z,0,0
UgwSdmMXkQ9BRXaq3zJ4AaABAg,@Hanz-u7j,24:49 Mark is a confirmed alien,2025-07-20T19:01:06Z,0,0
Ugycq_8MTXA4VZT93AF4AaABAg,@dani_fae,"20:00 Yes, Some people see dust partials, and some believe it’s the matrix (1s and 0s) 🤷🏻‍♀️",2025-07-20T04:43:22Z,0,0
Ugzam4TSi8tR664rmKl4AaABAg,@dragoncatoverload,"12:27 so what you’re saying is, mark accidentally downloaded the crazy one",2025-07-16T01:23:27Z,0,0
UgwOLtJ3Si0Hx7ajokZ4AaABAg,@Кошка-ъ1п,28:58  watching this sped up is makes it more funny,2025-07-04T00:19:47Z,0,0
UgxPi0DR8UNUvflsozp4AaABAg,@DaiwaScarlet8,Praying for you 🕯️ O Great Mita 💝,2025-07-03T04:58:08Z,1,0
UgwmkfXuns9fbpK_KWZ4AaABAg,@Polik94,"This game looks like it's inspired by SO MANY other games! I literally see in her the inspiration from ""P.T."", ""Little Nightmares"", ""The Last Guardian""...",2025-06-26T21:08:02Z,0,0
UgxlrCgHPPBCGfAfEBd4AaABAg,@Brat3-ey6sd,"When Mark does the dots, I was doing the absolutely wrong way, I feel unsmarty",2025-06-26T02:14:42Z,0,0
UgyoXK3YkE97Jnyrptp4AaABAg,@betergrif9504,32:34 why did he sound exactly like the FISH! guy,2025-06-20T06:05:47Z,0,0
UgxV4rrrGBSHXHaY74N4AaABAg,@AllEyezOnDavid07,When I focus at one area for a bit I start seeing tiny faces at the exact center point that change rapidly like a bunch of close heads so no space is in between on a conveyor belt that you cant see just constantly changing the faces that you can see or something its weird and hard to explain i just gotta look in one area for at least two seconds without looking elsewhere,2025-06-01T12:51:10Z,0,0
UgymHDzEZb9Q2TB0eHh4AaABAg,@KiaraKukac,I love markiplier he makes my day and makes me laugh like a good 20 times a day. He is just so funny,2025-05-31T10:01:03Z,0,0
UgyadwCzeTwf9EeItft4AaABAg,@Luka-yd1ie,where is the finish of MiSide?,2025-05-30T11:08:25Z,8,1
Ugw2-8X8JKTgKZyddDZ4AaABAg,@nicholascollins829,32:45 that reaction bro…,2025-05-29T03:38:14Z,0,0
UgzAdHgHgSQelc5IvCJ4AaABAg,@KaylaBranham,WHERE IS THE NEXT VIDEO FOR THIS GAMEEEE ? I legit haven’t watched it anywhere else bc i need to see Mark play it first 😫,2025-05-28T10:44:03Z,9,2
UgxQricGlMxoTe64YH54AaABAg,@Linnstar709,"marks ""shooting yellow bats"" face is the same as his ""wanting to get hit with a falling fridge"" face.",2025-05-27T19:13:35Z,0,0
UgzLN4SfXvnoUGtkzLp4AaABAg,@evelyn._artxx,20:15 OMG i do! But it only happens to me when I close my eyes real hard,2025-05-25T19:46:17Z,0,0
UgzuNta5fHuliYTvuP94AaABAg,@butteredtequilla9046,where's part 4??,2025-05-21T03:25:26Z,4,1
UgxNHslMX7F30ZpYu6R4AaABAg,@NezukoMakesEdits,I SEE THE LETTERS TOO😮,2025-05-18T16:22:05Z,0,0
UgyOW5CswpRTeeZ7kaZ4AaABAg,@4IdiotswithComputers-r3i,The fridge thing is just 🤣 reminds me of when I have an tism,2025-05-16T09:51:37Z,0,0
Ugwrsp4c67-y0mAx_Xd4AaABAg,@bigboiisoviet4888,miside part 4 when ;(,2025-05-11T14:05:45Z,2,0
UgxsnnQs4c_iBeqMwcR4AaABAg,@shiaphia8203,Mark didn't lick up ChibiMita's cartridge again before he left.,2025-05-10T13:49:50Z,0,0
UgzMdsMoQNVzgyoYvY14AaABAg,@Alburto_,Instead of “where’s mark William?” It should be “Where’s Mita Mark?”,2025-05-08T09:04:20Z,0,0
Ugwl-I4JqasgsU2nHgV4AaABAg,@PoiSonSonic,I miss the old outro,2025-05-02T23:14:59Z,0,0
UgyTwdTywIh6urNmztB4AaABAg,@luckyoverlord,20:02 THE RAPID BLUR OF LETTERS IS SO REAL,2025-05-01T07:41:12Z,0,0
Ugy2XM4esUFHIGibsqh4AaABAg,@katangel115,"Small thing, but the player pushed in the drawer with their foot and that is the realest thing Ive seen a video character do",2025-04-28T05:04:23Z,0,0
UgyUOzN5qnF6jFqZeNZ4AaABAg,@hereisapictureofabroom,why is 2D in the thumbnail? 🤔,2025-04-24T07:36:32Z,0,0
Ugx30xbjZR1zbjKQlsF4AaABAg,@bobsahlin7088,32:39 the pure confusion in marks voice and how he expected anything but that is just stabbing me in the ribs and is such a funny bone kicker for me! (anyone else?),2025-04-23T05:36:24Z,2,0
Ugxo7H0i9Ut4cwutdTN4AaABAg,@_D0G_,Where the hell is part 4,2025-04-21T22:19:02Z,16,0
UgxuS6fJPwM6LML3RBB4AaABAg,@hatty4142,20:00 Markiplier outing himself for being a robot,2025-04-20T17:40:10Z,0,0
Ugx9y9_2sc0jVnJkRVV4AaABAg,@Doofpilled,"He missed an arcade game one or two videos back, right before you go to meet cool mita",2025-04-19T18:55:49Z,0,0
Ugy4j4ExUBCMry0vPht4AaABAg,@koekislostrealm5550,"0:49 textureless Mita
5:28 phew, good thing Mita’s base skin here comes with… “inner clothing”
10:31 *Mario shy ghosts
20:15 those are just dust bunnies
20:36 “the pool rooms”?
22:45 *T-1000 dies in acid moment
23:38 Minecraft glyphs
24:09 that, my friend, is “ _Cryostatis_ “
25:02 _The Looker_? “The obelisk of knowledge ”… (Oh wait, it’s a giant co…)
25:11 no, it’s just _the looker_ all over again, and Mita’s gonna ask you to draw a coq and balls with out you knowing.
25:38 *Blow me up, Lixian.
25:45 *A much needed Chika reference.
27:56 ... OR I'LL BREAK EM MYSELF... run, little rabbit, R.U.N.
28:12 *The game devs/supporters, I believe?
28""35 lol, Mita simp cult?

29:09 *there ain't nothing there anyway. (P.S. message to Devs : ""Why not add a Hor*y alert? (if Mita has been viewed in weird angles, that Mita will try to runaway/smack/knockout/kill the player"" (depending on that Mita's personality.))

29:23 Ashley (RE4) : ""Hey ! Leon Kennedy. E X C U S E  M E ? What the he*l do you think you're doing ?""
30:22 well? there's your ""O Great Mita""
30:48 ...""Wandering is a terrible sin."" (Debug mode.)
32:36 *can.
32:44 *Chair snake
33:16 Hello, Chi-ta (Chibi Mita)
34:05 lol, Chita mad
35:02 ...(Heaven Burns Red : Chapter 5 - part 2 reference?)
36:30 let me guess... "" _The Only Thing They Fear Is Mita_ ?"" or... ""SUPER MITA, SUPER MITA, SUPER MITA""
39:25 *Dark Mita?

39:35 epilepsy warning
40:03 *Why Mar- I mean, Player?
40:25 epilepsy end.
41:19 ...coq.
41:34 Ah, the Minecraft _Texture Missing_ ...texture.
43:44 ... MY WRIST, WHY, MARK, WHY????",2025-04-17T10:32:04Z,0,0
UgzKiqLt6nBJMlj860R4AaABAg,@jacewillden27,I love that Weeping Angel has become the name the whole Archtype of monster,2025-04-17T07:36:27Z,0,0
Ugy-9pC0csF-q3-uyOR4AaABAg,@Dragon2OOOO,MITA in Hebrew is Bed xD,2025-04-16T19:56:49Z,0,0
UgwthtECcthIG8WVKTp4AaABAg,@British_Jester,"Mark: Its like that game you know that game
Me: doom?",2025-04-16T08:49:12Z,0,0
Ugx24A5Yx7Ba-IYm9N54AaABAg,@st4rZ.Cr0w,"20:20
I get that but it's more like
Road maps....  Like it's always kinda felt like roads and such - or the pattern on a computer board
The little circles with lines and such",2025-04-14T23:17:34Z,0,0
UgzG86MxU-bx_fRnD214AaABAg,@litavbarer-kahana5509,"When Mark repeated the name ""Mita"" trying to wake her up, I found it really funny when he pronounced her name with an accent on the ""Ta"", because in Hebrew this literally means ""bed"".",2025-04-12T10:57:12Z,8,1
UgwR3qofTGrLARXGAQ54AaABAg,@Lemongrass-g5e,"20:13 no mark, i dont think anyone else experienced that",2025-04-10T12:08:56Z,0,0
