Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgzoS-vnse9BWgelYuB4AaABAg,@Tilaic,"How did I miss mark playing this months ago, I have been waiting and praying that he would eventually have some time to check this out, and he done did went and done it already and i missed it.",2025-11-19T22:53:09Z,0,0,en
Ugyiu4QaCUbaTBZOx2l4AaABAg,@SammaclauseGamgee,"""He shot my friend...with a gun! He shot my friend with a gun!"" ........ *Gets shot with a gun*
😂

19:56",2025-11-19T05:56:38Z,0,0,en
UgwUFRabewG4dOFY0tp4AaABAg,@maobear,"22:00 ""cuz he just saw-"" au contraire, he absolutely did NOT see",2025-11-17T16:41:27Z,0,0,en
UgyTqdgT6WT3rxEUzud4AaABAg,@djstudjstu,13:10 best partt😂😂,2025-11-13T08:38:38Z,0,0,Other
UgyD6vGmWmknWMoS9MN4AaABAg,@madgadgetss,"i think about ""no no, i bet it says 'we love the headmaster'"" right before revealing ""it's the headmaster"" so much it gets funnier every time",2025-11-09T15:34:46Z,0,0,en
Ugzoyxv50VLwBagU3nl4AaABAg,@CUCUMBER_TT,Дай денег,2025-11-09T12:10:14Z,0,0,Other
UgwFVETeLFElvQtZLkl4AaABAg,@CUCUMBER_TT,Дай денег,2025-11-09T12:10:09Z,0,0,Other
Ugz0gyb8zidGeOGZDbJ4AaABAg,@CUCUMBER_TT,Дай денег,2025-11-09T12:10:05Z,0,0,Other
Ugyh9IbiAgEIxAu9vUh4AaABAg,@CUCUMBER_TT,Дай денег,2025-11-09T12:09:55Z,0,0,Other
UgyYjgeq-E40oCaTC054AaABAg,@CUCUMBER_TT,Дай денег,2025-11-09T12:09:45Z,0,0,Other
UgxkVNmQOPL8DfQP2ZJ4AaABAg,@CUCUMBER_TT,Дай денег,2025-11-09T12:09:40Z,0,0,Other
Ugyo37-B7P33o4YKrA94AaABAg,@CUCUMBER_TT,Дай денег,2025-11-09T12:09:35Z,0,0,Other
UgxS8rQ-Xzok8i5UZ1x4AaABAg,@CUCUMBER_TT,Дай денег,2025-11-09T12:09:28Z,0,0,Other
Ugz872sJzML9qbf83cJ4AaABAg,@ViroosLANDON,I hope the Distractible boys play this soon,2025-11-05T14:02:39Z,0,0,en
