Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgzoS-vnse9BWgelYuB4AaABAg,@Tilaic,"How did I miss mark playing this months ago, I have been waiting and praying that he would eventually have some time to check this out, and he done did went and done it already and i missed it.",2025-11-19T22:53:09Z,0,0
Ugyiu4QaCUbaTBZOx2l4AaABAg,@SammaclauseGamgee,"""He shot my friend...with a gun! He shot my friend with a gun!"" ........ *Gets shot with a gun*
😂

19:56",2025-11-19T05:56:38Z,0,0
UgwUFRabewG4dOFY0tp4AaABAg,@maobear,"22:00 ""cuz he just saw-"" au contraire, he absolutely did NOT see",2025-11-17T16:41:27Z,0,0
UgyD6vGmWmknWMoS9MN4AaABAg,@madgadgetss,"i think about ""no no, i bet it says 'we love the headmaster'"" right before revealing ""it's the headmaster"" so much it gets funnier every time",2025-11-09T15:34:46Z,0,0
Ugz872sJzML9qbf83cJ4AaABAg,@ViroosLANDON,I hope the Distractible boys play this soon,2025-11-05T14:02:39Z,0,0
UgzvUcqEEJclVNl1_b54AaABAg,@mossleaf02,I NEED to see them play this again now that there are even more monsters. I wanna see their reaction to the Loom hehe,2025-11-03T22:24:51Z,0,0
Ugz3Y-4vBIDMLrxMr3h4AaABAg,@KevM-fy4mh,Nice Mark!,2025-11-02T02:08:31Z,0,0
Ugz-e6YCW3iQB8C1Hxd4AaABAg,@ProfOtaku39,"Wow, its crazy only 1 episode of Repo by Mr. Edward Fischbach",2025-11-01T12:49:37Z,0,0
UgxaNKQHmKY9jTT-syl4AaABAg,@kylekelso3524,dude you should do a video with Good Mythical Morning,2025-10-30T19:23:17Z,0,0
UgxPH3R_w2h8tu6TK3Z4AaABAg,@PlumBunny88,"Dear Santa,
For Christmas I’d like more Mark Ethan Repo.
Tank you.",2025-10-30T18:51:13Z,0,0
Ugy5J2VajminLOCQEat4AaABAg,@aaliyah452,And mark never plays this game again,2025-10-25T00:26:37Z,1,0
Ugwf2QKYkzpoOrsXR2x4AaABAg,@JacobDavis-l8c,How long has it been when Mark had Ethan in his videos,2025-10-19T01:41:05Z,0,0
UgwYYXwiVAbeijK79l94AaABAg,@genevievesteiner6001,I need to see Mark play this with Bob and Wade xD,2025-10-18T07:24:40Z,0,0
UgxkT8sTBTQ7bFayDNh4AaABAg,@CaveDisasters,"forward, jump and tumble at the same time is doing a tumble launch the upgrade only increases the launch part",2025-09-28T23:38:56Z,0,0
UgzOPu9XTTwtv8_Wlv14AaABAg,@sirorcaplays,"I will definitely stream this, it looks a ton of fun.",2025-09-24T00:13:22Z,0,0
UgzgAZqfIY1SuSnVMv54AaABAg,@aNd_MaN-hs1ke,I would love for them to do more,2025-09-22T21:59:11Z,0,0
UgysWPbXMs-3TzzyX_94AaABAg,@joshuamiller2743,Currently waiting for part 2 ft ethan,2025-09-22T02:51:26Z,0,0
Ugy_UpoEzjX90R-2-Qt4AaABAg,@ReReik,I’d love for them to play this game again someday!!,2025-09-12T18:53:52Z,1,1
UgxeQ_6Nb4pGOmRgR3d4AaABAg,@DimmyDean26936,This is why you don't do the tutorial😆 It's funnier,2025-09-11T15:11:51Z,1,0
UgxjGa3Nb2Lh1zD1Rlh4AaABAg,@LuckyFox171,Listening to these two is making my unreasonably happy for some reason.,2025-09-11T11:08:05Z,0,0
Ugyu0F6scirphPsplcd4AaABAg,@AceVikingVess,Watching these two horror game *veterans* just absolutely lose every ounce of their brain cells when panic sets in is both frustrating and hilarious. XD,2025-09-11T05:19:24Z,0,0
Ugwgb1LWuzM_ugpv9FJ4AaABAg,@otomesavesus6779,i so missed this chaotic energy of these two together haha. i watch both channels to see them but i need more of them playing games together like this hahah,2025-09-10T04:33:11Z,0,0
