Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwkfaDClc4Fg1urQTV4AaABAg,@ashleybanks4115,Nolem land = Melon land ?,2025-11-23T21:07:28Z,0,0,en
UgxXVYFvBU4Ozq8hJR94AaABAg,@d4lcin,Woah the tape was a great idea,2025-11-08T19:13:52Z,0,0,en
UgyPSOqRDRFBTZzcOO54AaABAg,@adamwall8615,Checkpoint 1. 23:13,2025-11-03T05:50:54Z,0,0,en
UgykT672bRULY5Z8Oip4AaABAg,@mushroomy06,I work at a daycare this is lowk accurate,2025-10-23T19:19:57Z,2,0,en
UgzN-OhYF5H_U1xReA14AaABAg,@ChaseAnheier,What in the hell,2025-10-15T22:18:24Z,0,0,en
UgxENF-XNpm_P6ZseGp4AaABAg,@papermist1158,"he has the same face as that one game i used to play as a kid ""monkey go happy"". this is not ""monkey go happy""",2025-10-13T04:19:33Z,0,0,en
UgyqL3d0y2uINXIe26l4AaABAg,@Hopscotch_arts,"""its just about lining up, and then you have to go forward"" that's what he said-",2025-09-26T07:01:35Z,0,0,en
UgxuxbhY7r3DdQF2Mih4AaABAg,@Thescrantondude,37:26 it's mine Toulouse,2025-09-17T18:38:14Z,0,0,en
UgxwQ6s3Ujj7FDnpnAJ4AaABAg,@FranciumBoron,"2:05 ""Ze sound of progress, my friend!""",2025-09-15T05:36:00Z,0,0,en
Ugxq4ag8c9D0375KrHN4AaABAg,@OfficialBiggieSoska0,I hate this game,2025-09-02T13:26:03Z,0,0,en
Ugw_RE3czJuj2BgTC8Z4AaABAg,@LiamParas-w4f,I like the way you eat takis but I’m eating takis rn and I’m eating the tortillas 🤤,2025-08-23T18:30:20Z,1,0,en
UgylzouPp4BckATV7U54AaABAg,@LukeyRocks2,Normally i fall asleep watching marks videos but this one was impossible to sleep to,2025-08-22T06:11:49Z,0,0,en
UgxQQ6iMAgWE8TjNEv94AaABAg,@MrScottyjr,Wondered how 40 minutes went by so fast. Video was on 2x speed and still sounded normal to me,2025-08-21T19:41:12Z,0,0,en
Ugw8zQblwQl2zT1hw_h4AaABAg,@riphopfer5816,"The tape is not cheating; it’s a necessary innovation to help you navigate this world. If the tape is cheating, then so are eyeglasses and wheelchairs.",2025-08-18T11:19:03Z,0,0,en
Ugyq0e64GXFh3NGE2f14AaABAg,@riphopfer5816,The ‘father’ seems to have been very influenced by the character of “Randy” from *DumbLand* by David Lynch (may he forever rest in peace).,2025-08-18T11:13:44Z,0,0,en
UgwMeYY9-xNS4ckhXVV4AaABAg,@mr.yogurto9920,2:20 nailed that guess mark,2025-08-17T06:04:07Z,0,0,en
Ugy14uWcwLUy1BEOBLd4AaABAg,@sadpee7710,"mark has such a genuine appreciation for creative effort and labor, i can't explain where i got that impression from, yet i'm convinced it's true",2025-08-06T12:44:39Z,0,0,en
UgwB0nJNZ_wrb3LMbs14AaABAg,@someone-o9d3k,I HATE this game,2025-08-03T13:24:00Z,0,0,en
UgxbOKXaIbh7UZZU3GF4AaABAg,@norakateheir,You know it’s bad when even Mark can’t stop you from hating a game lol,2025-07-31T21:49:05Z,0,0,en
Ugy0pNIFgW9HXxRbER14AaABAg,@dustinmalpass,"Most rage games have a level of satisfaction upon completion, this game does not feel like it has that. So what the heck is even the point :(
I would like to congratulate the developer on making a game so miserable that most of Mark's audience wouldn't touch it with a ten foot pole.",2025-07-31T11:25:50Z,0,0,en
Ugz0qowDPEHUZhi4KER4AaABAg,@ThaPotatoKing,"9:17 And then there was one... 




Dimension",2025-07-30T07:21:10Z,0,0,en
UgxL3_EvuW_X9INz2Q14AaABAg,@MY0CRME,"Please do impossible mode I am begging you mark I wanna see you crash out please do IMPOSSIBLE! PLEASE! I AM DYING! TO SEE THIS VIDEO, I PROBABLY SHOULDN’T HAVE DONE AN EXCLAMATION MARK AFTER THE IM DYING,BUT STILL PLEASE! YOU DO IMPOSSIBLE WITH MR.WHITE DO IT WITH CHUCK NOMELAND I AM BEGGING YOU DO IMPOSSIBLE MODE CHUCK NOMELAND- anyways nice video.",2025-07-26T02:22:40Z,0,0,en
UgzuMVIfTKzcu0TRC6B4AaABAg,@editoranimatoralexcod,"37:48 Chuck, what are YOU looking at?",2025-07-24T09:17:58Z,0,0,en
UgydwxoANIsCkbh_qC14AaABAg,@nocturn025,the pain on that dads face tho. Devastation.,2025-07-24T05:11:57Z,1,0,en
Ugz9q6WVP5p7XMWljM54AaABAg,@Fiscal1244,Play Mr whit agen it’s the full game now you played the demo,2025-07-20T15:13:42Z,0,0,en
Ugz6-L3aRhNGoWBK0ad4AaABAg,@purga-toy-ry,"At first I thought this was going to be like Baldi's Basics... which would be true if Baldi's Basics was the most irritating thing in the world. BTW Nolem is Melon backwards, I guess because you chuck melons... I don't know. Best not to think about it. All I know is I would've shut the game off after 6 seconds so kudos to Mark for seeing it all the way through to the awful end.",2025-07-16T05:00:57Z,1,0,en
UgzjkjF1sKbiWfO1BJF4AaABAg,@karlaopina,Drinking game: drink everytime he says oh my god,2025-07-14T10:33:58Z,1,0,en
UgxerHBRtV0IU3eAYWN4AaABAg,@twistedsoda9126,Wow this game honestly sucks ass,2025-07-11T09:17:25Z,0,0,en
UgwV28Xax9LT8_37h-94AaABAg,@IamSteve-z8f,90% monkey 10% gameplay,2025-07-09T21:59:25Z,1,0,en
UgzTe65D34idEWWeSWx4AaABAg,@saffy_foxx,Missed it by That Much! ~Get Smart_Agent 86,2025-07-09T04:20:23Z,0,0,en
UgwrrksuUjuP-bqeV1t4AaABAg,@trollerpilotxiv3079,This game makes me sick to my stomach,2025-06-30T17:56:07Z,0,0,en
UgxEmMqfSZoXQNjQct14AaABAg,@ratiorinecanon,"literally went to his channel after searching up the Mr White game, cause I randomly remembered it, and saw this. Threw me tf off",2025-06-29T10:00:23Z,0,0,en
Ugwm2hSGO5q8en1h-Gl4AaABAg,@Lil_Bear515,0:08 H-HA HA HA ICE TEA,2025-06-28T02:35:23Z,0,0,en
UgyUYD3Rp8-k-32eJ3B4AaABAg,@Fries-Reece,This is like night of the consumers,2025-06-27T08:13:18Z,0,0,en
Ugw5BICictSasKNEyDN4AaABAg,@undeadsphinxx,This game makes me so mad lol,2025-06-13T17:07:07Z,0,0,en
UgxirXldXaZrz_gDi0t4AaABAg,@Fudzy_Animates,can you please comment on 'Damian Cross' stream even if one word just because he loves your content and you made him want to do fnaf on youtube and I thank you for that because I love his content,2025-06-13T14:39:42Z,1,0,en
UgwdICMpJ6Yq89Dv-HN4AaABAg,@Hunglo90,This oddly reminds me of Happy Wheels,2025-06-12T23:25:11Z,0,0,en
UgyGbLmPGU1BLZC-lNJ4AaABAg,@coshuloser,I watched this at twice the speed because i would've lost my mind otherwise,2025-06-09T07:18:15Z,0,0,en
UgyJiENLAuDSDZ-43T54AaABAg,@MatthewMonti-i8c,00:07 wtf,2025-06-07T14:38:26Z,0,0,Other
UgyF5A7aFjInndwzBmV4AaABAg,@ShadeMeadows,*What*,2025-06-06T00:26:18Z,1,0,en
UgzbK5DgKzPdObo7d0Z4AaABAg,@roycrownguard,"rage game or not, i don't know who thought having to run along the thin lines would be remotely fun",2025-06-05T10:16:23Z,1,0,en
UgwjKlbBHPZj9v47Wlp4AaABAg,@wogglefroggie,This game is basically how it feels when I’m about to have a meltdown,2025-06-04T01:21:54Z,0,0,en
UgyTWitm50RXyadsxEN4AaABAg,@jennicecote5486,WTF did i just watch,2025-06-04T00:40:19Z,1,0,Other
UgxC_SxeS_jmDnRQdWl4AaABAg,@lutherloser5122,God watching this makes me mad impressive,2025-06-01T02:47:00Z,1,0,en
UgzG5KkoN0T9H9vqI2x4AaABAg,@teally-bop,This would be better as a puzzle/platforming game I think. It was a cool concept until... all the problems everyone pointed out.,2025-05-30T01:47:09Z,1,0,en
UgzcKPR3LO4g3i1l6XZ4AaABAg,@ps2gamer350,oh?,2025-05-26T23:48:28Z,0,0,Other
Ugyy4TER6Vb_-J6YCst4AaABAg,@PunakiviAddikti,"Most gaming monitors have a reticle mode. It's just a dot in the exact center of the monitor.
_Of course his monitor does not. Because it's Mark and literally god forbid he have anything nice._",2025-05-26T15:25:46Z,0,0,en
UgwGiaO843kilBOHP0V4AaABAg,@krizzahpaquingan6334,thats a scooter,2025-05-26T12:51:46Z,0,0,en
Ugypa8lF8DWEzqMNG5x4AaABAg,@TheJehu,Gotta be the least fun looking game I've seen in awhile.,2025-05-19T15:52:23Z,4,0,en
UgzzrwfHA0EpabCLIVl4AaABAg,@zarzar5518,"TRIGGER WARNING for This game: This reminds me so much of an awful child ab*s* advert that aired in the 2000s that was animated. The child looked EXACTLY the same. Even the same Green shirt and big ears and sound effects, it scarred me....",2025-05-16T23:17:13Z,0,0,en
UgxiCBQp9KfCeKHSG1l4AaABAg,@clipppppppppppppp,28:48 jerma reference 😳,2025-05-16T21:53:34Z,1,1,Other
UgyvzyZdrLejkkr0O-F4AaABAg,@caniborrowyourdog3681,I think I hate this game,2025-05-15T23:07:44Z,1,0,en
Ugz1u7W4l_sCVrcbpQ14AaABAg,@michellemccary2309,"Um; interesting/weird game that Mark is playing here (well, good luck with this stuff going on)??!!🧔🏻🎮🙀Oops; better not turn out like video game “Bennet Foddy” for Mark.",2025-05-15T07:50:33Z,0,0,en
UgxjyvDRFCAl0cWHzwp4AaABAg,@RachelSmith-if8mh,"This game  is beyond weird.  I like to see you play odd horror games like the one you played. I got scared a couple of times before I kept a keen eye on the scary image that was being used over and over  again. Definitely demonic and evil. It was kinda strange that the cartoon human look robotic. Why??? I dunno...I feel like the creator of the game got kinda silly and threw it for good measure. The ending gave me a shiver down my spine and terror. I shouldn't have been watching this during nIght, especially when you played  Let's Find Larry.",2025-05-15T03:02:49Z,0,0,en
UgxUQsUnoZtEr--BHF94AaABAg,@ethribin4188,holy motion sickness batman,2025-05-14T16:35:32Z,0,0,en
UgySRWsZElAIlIb6Sll4AaABAg,@noahnyx2506,Didn't understand at first why the game had a mechanic where you could disguise and feed the kid bombs.... that is until he started playing the game. they understood that the horror wouldn't last and it'd just become a rage game,2025-05-14T07:37:04Z,1,0,en
UgyN85fBvCTebYHpo-J4AaABAg,@MelonB0mbAKA,"My username, which I chose over a decade ago, is apt for this game.",2025-05-14T06:21:07Z,3,0,en
UgyK9Q-bOVL4pE5x1Wx4AaABAg,@jmlg,More TF2 references please,2025-05-12T01:08:58Z,0,0,en
UgzbDknvXF-VkLidJ194AaABAg,@michalsniadala1667,3:35 MAXIMUM MELON,2025-05-12T00:10:26Z,0,0,Other
Ugw8m4q1TT35fbxt9GJ4AaABAg,@ProfessorArt1,Who made this? This game sucks,2025-05-11T21:07:40Z,1,0,en
UgwAsXXDH_NMcO-IKo14AaABAg,@WaWor,Shit game.,2025-05-11T04:07:52Z,1,0,Other
Ugxm09l5G1BJOjwYCtR4AaABAg,@Ulti-Man326,Most of those jumpscares you suffered are the funniest ones I've seen since November 2022,2025-05-11T02:22:52Z,0,0,en
UgzvPYGseDiMr-Y93TN4AaABAg,@Oliepolie,2:06 The sound of progress my friend :),2025-05-10T05:15:35Z,0,0,en
Ugx4NWFP1r8cA_gsWfN4AaABAg,@Hannahmeowcat,Oh my god what is this game 😭😭😭😭,2025-05-08T22:33:21Z,2,0,en
