Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugwv-50H_1ms81wkz5t4AaABAg,@placeholdername3753,"I like how, for a split second at/around 7:40, it looks like Wade is just ominously soaring through the night, like if Mothman was a fairy",2025-11-06T04:37:21Z,0,0,en
UgxcCJQhZ4m_NZPp9rF4AaABAg,@larrykincer5882,28:53 thats a laundry wash sink and is 100% movable,2025-11-04T23:29:29Z,0,0,en
UgwevRtB7MEaAkxlJ4B4AaABAg,@scattylea7793,But you are getting better loving ur content,2025-11-03T01:23:42Z,0,0,Other
UgyT5WaBAIvOg5umZip4AaABAg,@scattylea7793,Really enjoying this so much lol even know ur terrible dealers 😂,2025-11-03T01:21:15Z,0,0,en
Ugy4YonKYe1lUqOEQM94AaABAg,@SailingOtter-h7c,At 16:39 he gets 67 cash out of the machine,2025-10-29T19:07:41Z,0,0,en
UgzZHlwN9D6vUo0d0Pl4AaABAg,@Kev-O33,14:03-Harry potter meme😂,2025-10-27T16:17:15Z,0,0,Other
Ugyj_P5q8R4uFOAsszd4AaABAg,@prekrit9453,11:52 he just casually pulled a smooth asf air strafe there dam...,2025-10-25T21:59:25Z,0,0,en
Ugyu97DKEUT1cvniPEd4AaABAg,@noone-gf5op,this trash simulator is tight guys,2025-10-23T02:18:09Z,0,0,en
UgztZa8UIXWKBuzwaHt4AaABAg,,Perfect song for my playlist.,2025-10-15T23:54:13Z,0,0,en
UgxQH6a7xn3mYZCMyvJ4AaABAg,@RealChloeK,Every person that plays this game and consistently says “where is insert location here” i cant roll my eyes any harder. THERE IS A MAP!,2025-10-11T02:22:48Z,0,0,en
UgzUh5_65Dnlt8a6LA54AaABAg,@gumdropbabii,Well-researched and accurate.,2025-10-05T19:27:09Z,0,0,en
Ugx2LqGJ-wvxezTBv8N4AaABAg,@boukaryujhelyi,Music at its finest.,2025-10-05T10:23:13Z,0,0,en
UgwkxRrx2em4CaBjAd14AaABAg,@deadpuppetsociety,I can't believe Kyle XY got randomly mentioned in 2025. I loved that show!,2025-09-29T21:18:36Z,0,0,en
UgzMyjU4GllMS9SFtbd4AaABAg,@chelsee8213,7:40 bro ascended,2025-09-28T22:57:25Z,0,0,Other
Ugxf-_dC0boKSnZaGih4AaABAg,@Teddster-h3w,YouTuber 🤤,2025-09-27T02:15:58Z,1,0,en
