Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgzimvTUwqC2iYfqRqZ4AaABAg,@lucutes2936,"Dev 69 here, people are impersonating our team.",2025-11-19T13:23:03Z,0,0,en
Ugx-leaGNJJVElzqM5V4AaABAg,@lucutes2936,18:58 oh nuu,2025-11-19T13:03:39Z,0,0,Other
UgwKUzTR_SV86zePZAN4AaABAg,@-Zar-,"To everyone continuing to leave comments saying they're ""Dev 5"" after 5 months of the video being released:
Why?
Like I found 3 by sorting by newest first, no one believes you!",2025-11-13T04:56:36Z,0,2,en
Ugy7hMShYGTqzt-mzLx4AaABAg,@neinnein9436,"Dev 5 here, one of the dev's is lying",2025-11-12T04:48:40Z,0,0,en
Ugzr55-M3TSZEPcaWjp4AaABAg,@shealenebresnahan9509,"You got blood on your shoulder, btw.",2025-10-28T16:32:15Z,0,0,en
Ugw3nzmN29_rvnnuguJ4AaABAg,@ProfOtaku39,"All 4 devs commenting Dev here, Dev 2,3, and 4 really made my days. They seems genuinely happy of Mark playing this.",2025-10-27T09:51:10Z,0,0,en
UgyUOq1sR7PFXhLe6Dt4AaABAg,@whyme4512,"Norway actually does have a shit ton of cold war and even WW2 era bunkers. I read something that says they are restoring them due to the tensions of the Russo-Ukraine war and the fact that ""the bear gap"" is a huge choke point for Russian subs.",2025-10-26T20:53:25Z,0,0,en
Ugw2sRlCf2k1w5ScepZ4AaABAg,@Aquwus,this was so terrifying,2025-10-25T23:51:21Z,0,0,en
UgxOUC22vFbrnnDxIAl4AaABAg,@GordonPippa,Good journalism!,2025-10-13T21:23:18Z,0,0,et
UgzgIV5A43anDqPh7op4AaABAg,@C_Corpze,"Some parts of this game seem genuinely terrifying.
There's something unnerving about those type of games where the only way to see something is to take a picture and basically see the creature but several seconds in the past.",2025-10-13T18:09:17Z,0,0,en
UgwAeImC0RYQc8jod7x4AaABAg,@e10_f,"“WIVES, am I right?” (22:08) — hearing this after seeing Mark and Amy got married is wild 💀",2025-10-09T17:08:29Z,1,0,en
UgwMJWVALRYTGRMIY7p4AaABAg,@eastmeetswestpresents6923,Turns out you got 1 of 3 endings here - and having watched someone else go through the endings... all of them are not that great,2025-10-09T10:57:10Z,1,0,en
UgxAvw2DFt7jk86Ckc54AaABAg,@Snoww3604,"There's a certain beeping from the radio that kinda sounds like its a reference to ""SIGNALIS"" Lovely game that is.",2025-10-06T22:26:16Z,0,0,en
Ugx6vUJYgZILQEaarR54AaABAg,@marthehjorgensen,as a norwegian i’m embarrassed to say it took me most of the video to realize that the game is set in norway lmao,2025-10-05T15:07:06Z,0,0,en
UgxXKZ8q_ZBbT6ejh8N4AaABAg,@MXXN1EDITZ,Dev 5 here,2025-09-25T03:04:59Z,0,0,Other
UgxUJtUjpYosP2S_m3x4AaABAg,@audreylove5645,On the arcade machines in blood mall it showed bunker 73,2025-09-21T03:14:54Z,0,0,en
UgwIqymtlH4-hXWOgfB4AaABAg,@phoenixlock8052,The coordinates are literally a place called Hell in Norway lol,2025-09-15T22:44:30Z,0,0,en
Ugw2sw655mE-lEPbA1h4AaABAg,@ethanwendigo9588,"I love that the devs made the coordinates of the bunker just a random place in Norway

that random place is named Hell btw, actually named Hell.",2025-09-14T21:27:50Z,0,0,en
UgwGalMyJNYotw1V7lp4AaABAg,@sianasale,I love how all 4 devs numbered themselves😂,2025-09-14T12:04:47Z,0,0,en
UgwaztYEiuunq6SDfU14AaABAg,@sSpaze,cool to see norwegian,2025-09-13T22:10:02Z,0,0,en
