Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwGWZ_yKKyCrf8jhnN4AaABAg,@bread389,Happy late late birthday markiplier.,2025-10-07T09:05:08Z,0,0,en
Ugy769rx2XIwLepes_N4AaABAg,@GabrielDillon-v7i,good,2025-10-02T14:58:46Z,0,0,Other
Ugwi9TJedNNUag4xDVd4AaABAg,@misspat7555,"Probably COVID.  I’m convinced the “back to school virus” my kids brought home to me this year was COVID.  Thought I’d check up on you and see how you were doing, Mark; apparently getting sick the day after your 36th birthday.  Hope you are feeling all better now! ❤",2025-09-30T03:02:16Z,0,0,en
UgwoEcXzDC_wSKI6P_x4AaABAg,@akronixileo,Last Secret of the mimic episode when,2025-09-28T18:28:01Z,0,0,en
Ugxh-rFvPEBR6TxZMNB4AaABAg,@izzy-i9q,sorry for the happy late birthday hope your feeling better now,2025-09-23T03:34:35Z,0,0,en
UgxW3srttGyfZSBeNQ54AaABAg,@ZiqingTian,Happy birthday 🎁🎂 take care get well soon ❤️‍🩹💗we love you 😊🎉,2025-09-14T02:56:55Z,0,0,en
Ugz48Rz8Tjf_V9XjQI54AaABAg,@Crearesketch,"This is the first time I've seen Mark's white hair. I've been watching him for so long that seeing we both have earned little trophies of time feels oddly heartwarming. Happy belated birthday man, thank you for the years of entertainment and hope you have a fulfilled life.",2025-09-13T16:16:00Z,0,0,en
UgzTjQMwRYpV2s76JZB4AaABAg,@sparkly1707,He's demented sometimes when he plays fnaf it's almost entertaining 😂😂,2025-08-30T18:03:06Z,0,0,en
UgwzyI_je6hqhXClw1B4AaABAg,@RustysD3n,Happy late birthday ik how that feels as I’ve had that many times,2025-08-25T14:01:00Z,1,0,en
UgwQR4XMQ5XoNgM-lQR4AaABAg,@ATT1Q,Man your sound making me fall asleep 🥱🥱,2025-08-11T08:26:55Z,0,0,en
UgxIiIbzUPC5JwDviNl4AaABAg,@muse-icality5554,you sure are,2025-08-02T09:10:20Z,0,0,Other
UgwS-KWupJlnOvY9Q2R4AaABAg,@Josh501st,Happy belated birthday Mark!!!!!,2025-07-29T18:35:42Z,0,0,en
Ugwj5BOhgwc2IjNhXp14AaABAg,@I_Love_Staring,Is the game called “ima sick”?,2025-07-29T05:29:21Z,0,0,en
UgwG_xnHCCK0suCvJIF4AaABAg,@maxkane9969,Oh no Mark is sick that's so sad,2025-07-26T15:44:21Z,2,2,en
UgwZ5wr7DFYRFe0EZEV4AaABAg,@Diana53-g2r,Thankfully he wasn't in the hospital this time,2025-07-26T09:42:43Z,0,0,en
UgzCC2jQ6Cs8eVhXvTt4AaABAg,@CZPickle,PLEASE COLLAB WITH BBNO$ FOR FNAF HES MOT CRYPTO,2025-07-25T03:22:21Z,0,0,en
UgzOwxPf04P6Ill8eGZ4AaABAg,@whiteamerica1515,Owh....anyways....when's the next 3 scary games going to be uploaded,2025-07-24T17:33:07Z,0,0,en
Ugz2Hmy569wNeVxt34h4AaABAg,@ShaneRoberts-d8x,Happy birthday Markiplier! Hope you get better soon mark. Take a rest on the bed and drink a bowl of soup.,2025-07-24T14:23:13Z,1,0,en
Ugzs_FBYljhACEum4Mx4AaABAg,@RafieBabang,what happen to him?,2025-07-24T12:16:07Z,0,0,en
UgxlCbj-WqWnJXPoHr94AaABAg,@melvin_the2nd,What a coincidence. I got food poisoned.,2025-07-22T08:41:41Z,0,0,en
UgytSoJOjrCK5uv3vVR4AaABAg,@christopherhumble,Happy late birthday Markiplier,2025-07-22T03:41:05Z,0,0,en
UgwRTIaFks8K5wO2Fnt4AaABAg,@Whosgenderisthis,This sucks. Happy birthday,2025-07-22T00:04:23Z,0,0,en
UgzuzG_L1uwPIOISlBV4AaABAg,@YogsenForfoth,"Mark, give yourself enough time to convalesce and recover.",2025-07-21T14:05:33Z,0,0,en
