Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwGWZ_yKKyCrf8jhnN4AaABAg,@bread389,Happy late late birthday markiplier.,2025-10-07T09:05:08Z,0,0
Ugwi9TJedNNUag4xDVd4AaABAg,@misspat7555,"Probably COVID.  I’m convinced the “back to school virus” my kids brought home to me this year was COVID.  Thought I’d check up on you and see how you were doing, Mark; apparently getting sick the day after your 36th birthday.  Hope you are feeling all better now! ❤",2025-09-30T03:02:16Z,0,0
UgwoEcXzDC_wSKI6P_x4AaABAg,@akronixileo,Last Secret of the mimic episode when,2025-09-28T18:28:01Z,0,0
Ugxh-rFvPEBR6TxZMNB4AaABAg,@izzy-i9q,sorry for the happy late birthday hope your feeling better now,2025-09-23T03:34:35Z,0,0
UgxW3srttGyfZSBeNQ54AaABAg,@ZiqingTian,Happy birthday 🎁🎂 take care get well soon ❤️‍🩹💗we love you 😊🎉,2025-09-14T02:56:55Z,0,0
Ugz48Rz8Tjf_V9XjQI54AaABAg,@Crearesketch,"This is the first time I've seen Mark's white hair. I've been watching him for so long that seeing we both have earned little trophies of time feels oddly heartwarming. Happy belated birthday man, thank you for the years of entertainment and hope you have a fulfilled life.",2025-09-13T16:16:00Z,0,0
UgzTjQMwRYpV2s76JZB4AaABAg,@sparkly1707,He's demented sometimes when he plays fnaf it's almost entertaining 😂😂,2025-08-30T18:03:06Z,0,0
UgwzyI_je6hqhXClw1B4AaABAg,@RustysD3n,Happy late birthday ik how that feels as I’ve had that many times,2025-08-25T14:01:00Z,1,0
UgwQR4XMQ5XoNgM-lQR4AaABAg,@ATT1Q,Man your sound making me fall asleep 🥱🥱,2025-08-11T08:26:55Z,0,0
UgwS-KWupJlnOvY9Q2R4AaABAg,@Josh501st,Happy belated birthday Mark!!!!!,2025-07-29T18:35:42Z,0,0
Ugwj5BOhgwc2IjNhXp14AaABAg,@I_Love_Staring,Is the game called “ima sick”?,2025-07-29T05:29:21Z,0,0
UgwG_xnHCCK0suCvJIF4AaABAg,@maxkane9969,Oh no Mark is sick that's so sad,2025-07-26T15:44:21Z,2,2
UgwZ5wr7DFYRFe0EZEV4AaABAg,@Diana53-g2r,Thankfully he wasn't in the hospital this time,2025-07-26T09:42:43Z,0,0
UgzCC2jQ6Cs8eVhXvTt4AaABAg,@CZPickle,PLEASE COLLAB WITH BBNO$ FOR FNAF HES MOT CRYPTO,2025-07-25T03:22:21Z,0,0
UgzOwxPf04P6Ill8eGZ4AaABAg,@whiteamerica1515,Owh....anyways....when's the next 3 scary games going to be uploaded,2025-07-24T17:33:07Z,0,0
Ugz2Hmy569wNeVxt34h4AaABAg,@ShaneRoberts-d8x,Happy birthday Markiplier! Hope you get better soon mark. Take a rest on the bed and drink a bowl of soup.,2025-07-24T14:23:13Z,1,0
Ugzs_FBYljhACEum4Mx4AaABAg,@RafieBabang,what happen to him?,2025-07-24T12:16:07Z,0,0
UgxlCbj-WqWnJXPoHr94AaABAg,@melvin_the2nd,What a coincidence. I got food poisoned.,2025-07-22T08:41:41Z,0,0
UgytSoJOjrCK5uv3vVR4AaABAg,@christopherhumble,Happy late birthday Markiplier,2025-07-22T03:41:05Z,0,0
UgwRTIaFks8K5wO2Fnt4AaABAg,@Whosgenderisthis,This sucks. Happy birthday,2025-07-22T00:04:23Z,0,0
UgzuzG_L1uwPIOISlBV4AaABAg,@YogsenForfoth,"Mark, give yourself enough time to convalesce and recover.",2025-07-21T14:05:33Z,0,0
UgzkqHpXD4eo6RBBdxt4AaABAg,@Skitsog,hello markiplier if your seeing this well it aint a coincedence there is 3392 comments rn. and i really think you needa give your life to god bruv i wanna see you in heaven please stop the blasphemy,2025-07-19T06:21:28Z,0,0
Ugyq8SITnGH8O8YyidV4AaABAg,@Charlie-xq8qb,"Hey, Mark, I know this has been two weeks sense you posted this, but I hope you're better, and Happy birthday! 🎉",2025-07-19T01:42:59Z,0,0
UgyTEZxKN_byG9CLQz54AaABAg,@HaydenTDM,Everyone type in the comments how very rude Mark is to Wade,2025-07-17T08:57:45Z,1,0
UgwZRlyRDu9XjFxuZ_N4AaABAg,@jeremybrummel3254,"Garden of Banban, Indigo Park, Still Wakes the Deep, The Quarry, remake of Until Dawn, maybe finish Callisto Protocol and Amnesia Rebirth, and, yeah, you never finished the Dark Picture Anthology.

I am ""not"" handing over my ULTY collection, most of it is on Margin, anyway. Sorry, Mark, that's not a gift I'm willing to provide, I'm actually enjoying retiring before 40 (albeit at the cost of skipping owning a home and starting a family, but give me a year or so and we'll see what God has planned). I'll click the Like button, I know it should be standard practice, but Happy Birthday.

Guess I missed the healing Spirit Bomb ;)",2025-07-17T08:09:10Z,0,0
Ugzp-KA-DIQMfIQdDXl4AaABAg,@LEGENDGAMER2.273,Take care of yourself mark and happy birthday sorry for being late lol,2025-07-17T06:51:59Z,0,0
UgyfIXJ4QX1VyljMvRt4AaABAg,@oxbowmobile,"Hey mark, its been a week and i was wondering if you are stil sick, how are you? Regards from the netherlands Annika😊",2025-07-17T06:40:40Z,0,0
UgxizbtvyjnYk29JM9h4AaABAg,@gianlucadiarcangelo4572,MARK I REQUIRE CONTENT!,2025-07-17T04:19:47Z,1,0
Ugy3RL0UXeR8R0yS3uF4AaABAg,@kanterrobert1205,happy belated bday Mark!,2025-07-16T20:21:59Z,0,0
UgzFUKEmBzX0eSt34Ql4AaABAg,@kristyrice7612,"He says everyone waiting for Garten of BanBan. Here I am waiting for a replay of Little Nightmares 1 (since he has no memory of it), a play through of the second game, and the 3rd one when it releases in October.",2025-07-16T03:08:30Z,4,0
UgyPKxfUPPsnY8UTkbJ4AaABAg,@mariamforoozan6120,Mark I have been watching you since 2012 and have always been a big fan of your horror content. Whenever you feel better PLEASE PLEASE PLEASE PLAY LITTLE NIGHTMARES 2.,2025-07-16T02:43:05Z,0,0
UgywV0kXIRLH7Q7LLmN4AaABAg,@cattmontalbano5398,Hey mark hope you're feeling better hugs sry u got sick on ur 36th 🎂🎂🎈🎈 birthday hugs u be safe hi Amy hugs to u too,2025-07-16T00:03:59Z,34,0
UgwyY5yoJ8std_qBTxl4AaABAg,@Cmace3,"""All I have to do is schedule my videos"" - Quote from man who has posted 1 video in 13 days",2025-07-15T01:47:37Z,60,0
