Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgyA20NKYCwwRZQqK-94AaABAg,@the_Atulya,Finally seeing Markie playing an Indian game - why did YT recommend this to me 3 months later....,2025-11-23T23:33:45Z,0,0,en
UgxpoJ3sHosmY483HMJ4AaABAg,@TotallyNotVylad,free eating ASMR,2025-11-23T20:45:41Z,0,0,en
UgwmpMbyIYx9_Iix7dV4AaABAg,@samusaran13372,not only is my name Connor but I also just broke up with a Kayla Nelson who texted exactly like that. Very trippy.,2025-11-23T12:41:38Z,0,0,en
UgzKcyOCsnBsqLS8Mvx4AaABAg,@1nf3r-n0,"27:37 he is actually knows grep, if u know what grep is, like here",2025-11-23T05:33:31Z,0,0,en
UgxrcNuwwD5J65wGTkl4AaABAg,@kieranbeebe6446,I love Lixian,2025-11-09T21:25:33Z,0,0,Other
Ugzo60DwhapuKD2mZEJ4AaABAg,@Drewkungfoo,Yes JUST PEE OFF THE SIDE OF THE TOWER,2025-11-09T12:38:55Z,0,0,en
Ugzq_sRa6Sx95nb0rjB4AaABAg,@excuberantc1247,You know what i remembered in fire watch? The lost of byrne,2025-11-09T03:56:50Z,1,0,en
UgxnBTCNJCi9ZE_ByYB4AaABAg,@monika-we8tx,"9:02 LMAOO the same vibes as ""i'll have what *she's* having""",2025-11-07T13:03:22Z,0,0,en
UgxmZ2u2uRSdtgOqNzF4AaABAg,@Junksaint,The cat video on the computer is a work of art,2025-11-07T09:12:46Z,0,0,en
UgxlvOnzLKVtvdb7CTt4AaABAg,@AJTHEGREAT12876,….i like sharks,2025-11-06T04:47:41Z,0,0,Other
Ugxve9ZIX8CH8jUVIMh4AaABAg,@giolopy,12:54 mark acquires friend,2025-11-05T05:22:10Z,0,0,Other
UgzjQRsnixHrEj8A0rJ4AaABAg,@alienwhateverr,"you have a ""radio"" voice. lol",2025-11-04T06:13:33Z,0,0,Other
UgwQxoQ_94eDuMkgO4x4AaABAg,@KrishivRana143,10:43 idk but something tells me mark doesn’t like asmr,2025-11-03T01:12:14Z,0,0,Other
Ugz4TrCbOqL9rGIQ4qp4AaABAg,@allcircles_presuppose,video game pissing sounds so loud it triggered my tinnitus,2025-11-02T01:49:57Z,0,0,Other
UgzckZStZNb8fpquwCN4AaABAg,@UNKNOWNO-K-M,markiplier the guy left ur bathroom and went to the woods in the window where u tell the guy ur a tramsfer,2025-10-31T08:14:20Z,0,0,en
Ugww68z8q87SFqJ2mgF4AaABAg,@Snip3rwolf22,wait a whole damn minute here didn't mark play fears to fathom before unless this is a newer one because i have watch all of the fears parts,2025-10-31T00:30:25Z,0,0,en
UgyVaKkvTvyLXKsWp414AaABAg,@DevilAsh_Official,"15:32 Was I the only one who saw someone walking past in the window, when mark was first talking to the person with the gun named Billy?",2025-10-28T14:51:56Z,1,0,en
Ugw5xtThEvh2rcTPetd4AaABAg,@seekay8079,6:09 I like how this creates a new interpretation of the story in which Silus just really wants to get his revenge on Mark for insulting him,2025-10-28T03:44:49Z,0,0,en
Ugxf251S_xWhhyhCRMB4AaABAg,@thomasnewton2935,"This is actually kind of wild. I just watched the other ""vid"" just a couple of months ago and was wishing to see more of it.",2025-10-27T21:25:36Z,0,0,en
Ugw4M4KG3uFNUAu3het4AaABAg,@owenwilson4342,At 15:37 you can see someone walking through the woods out the window.,2025-10-27T09:20:39Z,0,0,en
UgxBEULw8OMP-vusQ2h4AaABAg,@COYW3425,"I think you're a wonderful creator, but something seems off with you, you don't seem yourself I don't if it's just me noticing this hope you're okay.",2025-10-25T01:09:50Z,0,0,en
UgyXtciYO7HzbUy012d4AaABAg,@bred_not,« what you pissin about ? »,2025-10-24T18:42:00Z,0,0,en
UgxB8OWkVT0iYAJdN8p4AaABAg,@AsseffGhaffari-k9y,Did anyone see that shadow pass by i through the window?!?,2025-10-24T18:04:59Z,0,0,en
