Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyRpNlhxMiYmvM-1al4AaABAg,@KyleLarsh,I missed mark I’ve been busy with work and this is the first video back since 3 years 🥲,2025-11-23T09:54:58Z,0,0
UgwggkGUHNLGUoachAl4AaABAg,@verteabrae,"Mark saw that model truck and immediately went David mode, sending Uriah into battle to get Bathsheba.",2025-11-23T05:29:10Z,0,0
UgxuRfkOGSUpCsL24aR4AaABAg,@leet1970,mark personally i would LOVE if you finished sons of the forest 🫶,2025-11-21T23:14:29Z,0,0
UgyTT-gZlIa1-Icq2Yl4AaABAg,@MegaHoopsandyoyo,56:42 insane how the yellow looking guy gets killed immediately but mark has to think about the grey man 😭,2025-11-21T21:34:27Z,0,0
UgwoVd4jUA04WU3on2d4AaABAg,@fatzcatz15,mark i love your content and i have been with you and your channel sense your  five nights at freadys episodes and i have wanted to follow in your foot steps sense then can you give me tips and idea's and can you Collab with the boys,2025-11-21T20:14:46Z,0,0
UgyNKtz3Rj_rlAUEDY54AaABAg,@chaoticsaturn,i know it probably wont happen but i would love a complete sons of the forrest playthrogh (with bob and wade),2025-11-20T07:13:25Z,0,0
UgzTY3XAGbRZVzSu6nB4AaABAg,@averythecat1998,The full game is out and on the Switch in the eshop.,2025-11-19T21:52:10Z,1,0
UgxqlVdZ-YZT5C14_VJ4AaABAg,@wicked_awesome,I think the twist is that eveyone you kill gets you a bonus (infected or not...),2025-11-18T07:16:58Z,0,0
Ugx50yWyBWQXASZDA6F4AaABAg,@G4merAndCommenter,20:15 67 ammo on the bottom right corner,2025-11-18T04:14:38Z,1,0
UgxZjq2eLgR-wKcNunx4AaABAg,@NickCage-i6j,"OMG Mark that is what we have all been wondering, please finish your playthrough of the forest with Bob and Wade.",2025-11-16T09:27:38Z,0,0
UgwgFNJ8mQVkoWjJ0hR4AaABAg,@nully304,pls play contraband police,2025-11-16T02:22:01Z,0,0
UgweoLLA2il-fQrykEN4AaABAg,@MarbleFox777,"“Hey can I check your bag?” 

“Yeah. I’ve got ketchup, mustard, bbq sauce, a flame thrower…”",2025-11-16T00:09:43Z,0,0
UgwQ0XcQUrBx0a4EW794AaABAg,@victoriaellis4860,"the commentary on this game, specifically, is killing me 😂",2025-11-15T22:45:50Z,0,0
UgxbzXRtC1HYcP4Mjl14AaABAg,@jurisprudence111448,"Hey Mark, when are you gonna go back to sons of the forest and subnautica below zero",2025-11-14T10:23:03Z,0,0
UgxcC3DQzcxxz0uKBFt4AaABAg,@michellel876,"The face after the ""thermalpusumiter"" lol",2025-11-14T05:06:58Z,0,0
Ugy2YkhBpQeVttMjRlR4AaABAg,@Xyn_Xiang,I so thought it said ‘Quarantine zoo’ 😔,2025-11-13T23:41:09Z,0,0
UgyMb83XCXkG7yPZhHx4AaABAg,@getchill7656,"The developers gave an update. While there's a delay, they're still pushing for a 2025 release.",2025-11-13T21:14:51Z,0,0
Ugza1LVfINaYHM6PYvB4AaABAg,@AnimeGamerCrew,The full game will be released on Steam on November 30 I googled it.... I'll keep checking just in case it's delayed or early and keep you updated,2025-11-12T07:43:21Z,0,0
Ugzhs4GsIw64EgadZTx4AaABAg,@tressawalters9456,me still waiting for the forest 🥲,2025-11-12T03:04:45Z,0,0
UgwYyiCpECTwKC6sGel4AaABAg,@EveTheRaviolo,"definitely looks super fun, cant wait for the full game!",2025-11-12T00:38:10Z,0,0
