Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgzviEjArlsHf9LJ2Jd4AaABAg,@theinsidejoke8275,Mark making what I hope was a Sigma reference at 55:53 was the extra little happy boost I needed for today,2025-11-24T06:33:07Z,0,0,en
Ugyra8I-ziZDar4Ignp4AaABAg,@aaliyah6464,32:33 there you go mark,2025-11-23T17:01:30Z,0,0,en
UgxuMSXxfrd1O7py0iB4AaABAg,@MasterRYU01,This game is too boring for my liking.,2025-11-19T03:34:24Z,0,0,en
UgznOKWFo1cQZd2MwmR4AaABAg,@Azalealikescookies,There is nothing more comforting than watching this man play horror games in the most neutral chaotic way ever 😂,2025-11-18T09:36:29Z,0,0,en
UgzLGqaT3jUDYB-bP3t4AaABAg,@MariaPolackova-kr8se,"He looks almost the same as John Wick , am i the only one who sees it?? 1:02",2025-11-16T20:22:33Z,1,0,en
UgyMysDN9b2Wx98uNPd4AaABAg,@Shoulderdemon-i2s,37:26 stick it in,2025-11-16T17:23:08Z,2,0,en
Ugyqiv7RsEmX-HehzuJ4AaABAg,@YayawwMiaw,you sound like vox akuma,2025-11-16T09:00:19Z,1,0,Other
UgzOC32_4CgyDWimUZ94AaABAg,@abyssix9506,Bruh… there were TWO Five Nights At Freddy’s Movies BEFORE Iron Lung 😑😑,2025-11-15T16:09:17Z,1,0,en
UgzjRz12u214cWjYl1p4AaABAg,@winterphilosophy3900,32:36 boooo,2025-11-15T03:50:59Z,1,0,Other
UgwLRizMaKJr401qwOl4AaABAg,@Numbers225,lixian how could you do this to me i thought we were friends why would you blow me up,2025-11-14T09:25:26Z,1,0,en
Ugyq0yY5FabTVg-s-DZ4AaABAg,@Lacey1605,26:55 I don't think it was going to attack Mark lol,2025-11-13T20:55:55Z,1,0,en
UgyjZC0ax08Xw1fQaQh4AaABAg,@marcosavalos2502,"In an alternate emperors new groove ""Thats kudzu tea. Thats tea for kudzu""",2025-11-13T16:30:35Z,1,0,en
Ugyh3ltLPEElUJJ3uJ94AaABAg,@purpleskylover240,"Here is my story guess just from little knowledge of silent hill symbolism: fox mask represents the man Junko married, starting out as a zenko kitsune but later actually being Dakota and acting exactly like how their dad acted, drunk and abusive, possibly murdering Junko (from the convo heard in part one + spider lilies + the gates/talk of hell) The creepy doll ladies could possibly represent Junko in how she tried to act prefect and proper but still ended up getting hurt from the process or they even might be the mom but the no face thing!  Crawling man in this episode could represents dad

Edit to add: idk how we (the pc) is tied in though because silent hill deals with guilt. So obviously she had something to do with it or what",2025-11-13T03:18:54Z,1,0,en
Ugy2LS4KBI7Yp6k3uaN4AaABAg,@timber_roulette,This reminds me of 2012 markiplier ❤,2025-11-13T01:04:41Z,1,0,en
UgzVhhOLPYoZU4OmN654AaABAg,@timber_roulette,F in italics means strong ❤,2025-11-13T00:54:25Z,1,0,en
UgwNDcY1UF4Je9NdZE94AaABAg,@jezwootton4864,urm why bro in 4 speed like why ?????,2025-11-13T00:38:28Z,1,0,en
Ugz6vczNBkeDZYYXept4AaABAg,@Snowizer,Mark missing the doctors house is kind sad.,2025-11-11T21:10:07Z,1,0,en
UgyegmFAP3nbcLJs3fd4AaABAg,@Magemischiefmayhem,I don’t remember this episode of king of the hill,2025-11-11T20:38:25Z,1,0,en
Ugx_aiCKvQrz-r4pkjF4AaABAg,@mr.sheeppeehs4204,"33:10 I think it’s based on how many of each limb they have. Carriage yokai has 2 heads so you use it’s 2nd symbol, the umbrella yokai has 4 arms so you use it’s 4th symbol, the kettle yokai has 3 legs so you use its 3rd symbol",2025-11-11T16:32:14Z,3,0,en
UgwmNifQfqH3GHEp1Sl4AaABAg,@plum6664,49:00 i still can’t believe timothee chalamet discovered chocolate,2025-11-11T03:56:08Z,1,0,en
Ugy2pJPlkM0rwzOSQqN4AaABAg,@Praetorian-Red,My god🤦🏻‍♂️.....this was so incredibly painful to watch.,2025-11-11T02:15:52Z,1,0,en
UgyHhj2yia3WcX3QLsp4AaABAg,@brynox5743,I'm getting old Mark vibes from these videos and I love it!!! I'm boutta watch all these in one sitting 😆,2025-11-10T21:54:21Z,1,0,en
UgwO7_WZLsZzBxFYQ3N4AaABAg,@yusuphmiigo,shuuuu❌ siuuuu✅,2025-11-10T16:25:39Z,1,0,Other
UgzWlFEVgV-vDDKG03t4AaABAg,@yusuphmiigo,The Fox guy is not being a gentleman,2025-11-10T16:22:11Z,1,0,en
UgwZ_njxCnRl9eC4sBh4AaABAg,@BotBoy-un3pz,"The atmosphere, gameplay or story don't feel like silent hill in the slightest. I guess the rumors of this being a generic horror game rebranded to SH to sell better were right.",2025-11-10T15:21:53Z,1,0,en
UgyJ6S6K-QXGHp8N9r54AaABAg,@Kazekage202,I don't trust Shu at aaaaaallllll,2025-11-10T09:55:54Z,0,0,Other
Ugx4C6DKGEiBLP-DqBh4AaABAg,@MrKleinerDino,"Saw Mark doing the Yokai puzzle, thought i am clever, saw his solution, him saying ""I think i was on the right track"", but i didn't get the solution, then i read up on it....Mark was not even close to being on the right track, he got lucky.",2025-11-10T05:23:29Z,1,0,en
Ugz9YrRYpVJw3fIKQOR4AaABAg,@chrishei3111,"I dont play horror games (because I'm a wittle bitty scaredy cat) but I love puzzles, and these puzzles are the scariest part of the game 😂 I my favorite game is Portal 2 because it feels so good to do those puzzles the first time, this is like ""alright let me read, okay what does the puzzle want? There's a poem about yokai... OH A MONSTER IS ATTACKING ME FU- okay back to the puzzle... Where was I?"" Like 😂 no thank you! Not my cup of tea at all 😂",2025-11-10T01:32:36Z,0,0,en
UgzXDYsu0pE6HTNJy1p4AaABAg,@alicekingsley7311,"I just love that Kitsune-sama, the japanese yokai or god, has a freaking british english accent. Like, they couldn't have found a better voice actor at all.",2025-11-09T21:59:12Z,0,0,en
UgzNjhNZAs2TvAlfI-h4AaABAg,@seedverse98,"Going back to watch markiplier after watching joe bart for 2 months, i forgot how good marks videos were im glad to be back",2025-11-09T21:06:05Z,1,0,en
UgzTCxaC7lIZTnSEZKR4AaABAg,@nomnom8822,i accidentaly skipped back at the start of the video somewhere and was watching the same thing without realising for at least 15 mins sigh..,2025-11-09T16:24:48Z,0,0,en
Ugw8NiEgzeAKlKhif454AaABAg,@Ghosttrack47,1:02:59 why does that thing have pyramid heads knife,2025-11-09T12:39:21Z,0,0,en
UgzgztWOxUtFj-yK4Rx4AaABAg,@joeyrinard6997,Its Fun to watch him figure it out instead of playing the game first then replaying it to record for us .Much better entertainment i say .,2025-11-09T03:16:20Z,0,0,en
UgwzQJgC2SsDuRnaC9p4AaABAg,@m.m9259,Mark randomly picking an ema and it being THE ONE that has the omomori behind it on the first try,2025-11-09T00:19:27Z,0,0,en
UgwXhH2RqSbBU8wK8g94AaABAg,@theidiot2501,"37:25  I’m sorry, WHAT?",2025-11-08T22:09:43Z,0,0,en
UgzWFZ96GWDs_tKm6O54AaABAg,@snazzyemba,my name is ema 🤙,2025-11-08T21:46:32Z,0,0,en
Ugyf_dnDYMZLOM6m52t4AaABAg,@robinlefay,Watch out for Ol' Jericho Sticks!,2025-11-08T21:44:47Z,0,0,en
UgzxbP_tIEYZx9gwjdd4AaABAg,@JuniaDoig,"The lady thing at 11:52 is probably a Rokurokubi. It's a fascinating creature from Japanese folklore. They appear as normal women during the day, but at night, their necks elongate to incredible lengths. Some stories say they can detach their heads entirely and fly around!",2025-11-08T18:43:35Z,4,0,en
Ugzd43p4doC436xy82V4AaABAg,@Kiwii_clown,"Where is shu? 
Who is shu?
Why is shu?

Where is fox mask guy?
Who is fox mask guy?
Why is fox mask guy?

Perhaps they are the same person? Perhaps, perhaps..",2025-11-08T06:16:32Z,0,0,en
UgxM2lSCtEbBV3fQ8854AaABAg,@richellebudarick8234,I love watching mark play hilf,2025-11-07T23:31:04Z,0,0,en
Ugycl2I1gOFi9jyJ-nV4AaABAg,@Kys_jackcrawfish,thank u king ily❤,2025-11-07T17:49:36Z,0,0,Other
Ugw4Hc8H8Q90hPqD_tN4AaABAg,@kentinatanaka1744,Is the kitsune a representation of shu?,2025-11-07T15:10:35Z,0,0,en
Ugxtbhd7BdcS24jILK14AaABAg,@charleejessup,45:32,2025-11-07T04:34:19Z,0,0,Other
