Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwTkpUMgRdoZ77YxYZ4AaABAg,@upol007,"And 2025 is almost over now, god damn.",2025-11-11T16:52:38Z,0,0,en
UgxWf3K_e3nPvrX1ADp4AaABAg,@TeziangVillanueva,!! yeh !!!! long time ha!,2025-08-13T03:00:41Z,1,0,Other
UgwjHnx3k6PKJpHuXgF4AaABAg,@haiderwaheedkhan,Will blackberry make a comeback?,2025-06-29T19:29:51Z,0,0,en
UgzIaYJ0kLbODNHz_-R4AaABAg,@chrisbradford5893,"3:50 the second snapshot of a comment talking about ""do no harm"" and ""his platform has the ability to kill a nascent product"" are ridiculous. First, he's not a doctor so the do no harm thing is irrelevant. Second, his platform can easily boost these companies especially if the underlying technology has potential. Them being in their infancy stage isn't likely to kill them unless they're so poorly executed that they there's no value",2025-06-28T18:28:33Z,0,0,en
UgxBKeKeUFz5myUq1254AaABAg,@Lockhart2000,I just learned today that Ultimate frisbee is not frisbee golf.,2025-06-28T15:36:37Z,0,0,en
UgxgroWiEXJWkP99zBh4AaABAg,@fadwamehdawi203,Why did you not tell us the new year of 2024 because you said in January?,2025-06-19T08:49:29Z,0,0,en
UgxjEvc5m5F9yq3FMGl4AaABAg,@Felix247-27,2025 is flying away like we’re going 95 miles an hour in the school zone 👍,2025-06-10T05:47:12Z,4,0,en
Ugw5b5zVTWOzxJWJ4VN4AaABAg,@selbor19,"Wish I could have stuck with ultimate frisbee, we had a club of sorts in high school but nothing ever competitive with other schools and such, it didn’t have enough people and was eventually shut down. I was never into sports so seeing one I was genuinely interested in getting shut down really sucked. Not much to be done in a small town like that so I’m incredibly jealous you get to go to nationals and challenge other countries. Also congrats",2025-06-09T00:42:14Z,0,0,en
Ugwyyrqrbg2DxBs4m2N4AaABAg,@allankafue455,"Marques please pay for my tuition , i need $4000 in Zambia ill send receipts",2025-04-30T18:13:40Z,0,0,en
UgygCkI1NqCC-UYgs394AaABAg,@rickbiessman6084,Ultimate frisbee explained video? Yes please!,2025-04-26T09:12:38Z,0,0,en
Ugy7ITMw4elhGEvQe6B4AaABAg,@rickbiessman6084,5:13 MKBHD making sure to never share a room with an Apple CEO ever again :D :D :D,2025-04-26T09:10:15Z,0,0,en
UgyQTldMFoOFLQ0szIF4AaABAg,@330Comm,"I would not have thought that this type of review of your year would be all that relevant on a channel that focuses on product reviews, but, wow, I found this reflection to be interesting and informative, and gives a personal context to your year of videos.  Loved this! Blending the personal and the professional is the holy grail if pulled off and you did it! Much respect. 🙂",2025-04-18T15:48:21Z,0,0,en
Ugx1Z3noKlz2x8coyrh4AaABAg,@bigpoppa4094,Brownlee fell offfff,2025-04-12T10:07:47Z,0,0,en
