Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgymFFaL5F_L7pU0lWF4AaABAg,@TheWatchfulOwl,Donde esta el biblioteca?,2025-11-22T23:17:52Z,0,0,Other
UgwNHfWokMBy5yFRZV54AaABAg,@RussiaInfiniteBadlander,"Apple Users: Wow that's a cool feature!
Windows Users: It looks familiar to Windows Aero",2025-11-21T15:03:01Z,1,1,en
Ugw-LoZjIcpLdHXuGs54AaABAg,@yfnsmn,ok all cool features but how about good reliable  signal reception; maybe cell phone companies and apple can work together to fix that ; i feel  signal is even worse after ios 26 update,2025-11-21T14:55:22Z,0,0,en
UgznJduaU1elsIZc8Q14AaABAg,@kashluciano6871,Profound Question At The End Of The Video🎉,2025-11-19T21:20:20Z,0,0,en
Ugx3uCGPdxqbvFX7KJx4AaABAg,@SteelDMN,"Microsoft and Google: Glass is obsolete and unusable on multiplatform
Apple: hold my beer",2025-11-17T07:16:52Z,0,0,en
Ugw5il4kGf8uG5yKlOV4AaABAg,@bob-y1b,With new update iOS 26 and this Liquid Glass theme i feel like I’m using aftermarket fake iPhone!,2025-11-16T21:53:36Z,0,0,en
UgyZ7yPMoab68rn3R014AaABAg,@YouTube-EnjoyerGuy,Absolutely garbage update that no one wanted.,2025-11-16T07:13:36Z,0,1,en
Ugw_qTeOHU3fNSYDTcp4AaABAg,@bertraminc9412,"Tim Cook fail of the day:   It's been 12 years of iOS releases under Tim Cook since iOS 7.0 was released.  This was one of the first iOS releases after Steve Jobs passed away, R.I.P.,  Steve.   When the iPhone 1 was released in 2007 the wallpaper code worked flawlessly, along with the ""Move & Scale"" adjustment while placing the wallpaper and lock screen photos.  When Tim Cook took over and released iOS 7.0, he broke that code... AND the move & scale code.  It was reported to Apple by EVERYONE WHO OWNED AN IPHONE.  What was engineerings response... ""this is how we want it"".    Tim Cook took the lock screen photos and changed the reference from the width of the chosen photo to the height of the chosen photo.  This took wide aspect ratio photos and shot them off the sides of the screen... but the move & scale could correct this... but Cook broke that too.   Today, after updating our iPhones to iOS 26.1, guess what... STILL BROKEN!  You can verify this right now by taking a wide aspect ratio photo of the side view of your favorite car and trying to place that as a wallpaper photo on your phone... it will zoom in and show you just the door... you can't adjust it.  That's all you will see when it is set.   Cook has broken almost all Apple code since he took over Apple and everyone is making these videos and just ignoring all the software issues.  Cook needs to be fired.",2025-11-15T23:23:06Z,0,0,en
Ugw4l2gDFk851WORJpF4AaABAg,@nicnacroy,"3:33 wait, I’m not the only person who uses the drag to text thing?",2025-11-15T16:57:43Z,0,0,en
Ugzb869_YFX00dfESg94AaABAg,@manuelguzmanjr6622,The liquid glass looks really great on my Iphone mini 12! looks futuristic.  Now I am shopping for an upgrade. Samsung Z fold or Iphone 17 Pro?,2025-11-14T01:07:54Z,0,0,en
