Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugx5gKbgJmWIBaNATi14AaABAg,@jessebarnard3084,"This definitely boils down to which companies are collecting more data, and in this case, the vision pros respect privacy far more than the meta products.",2025-11-23T23:31:22Z,0,0,en
UgxUmQoeFsH0x0aT19x4AaABAg,@rydmerlin,A concept looking for a killer app.,2025-11-23T20:02:54Z,0,0,en
UgyxaOvZk0WAW9SKTHh4AaABAg,@jaymitimedia,It’s been 9:41 for a while 😂😂,2025-11-22T02:25:28Z,0,0,en
UgzCp7PYuDIGkVBFB2J4AaABAg,@JohnSmith-ee7gf,Apple have clearly recently bought a knitting company.,2025-11-21T10:30:46Z,0,0,en
Ugw9YxvDg9Z5owHHjZ94AaABAg,@sansproductionlounge8083,Just have to say it… you are so good at making content! Fricken well done sir!,2025-11-21T10:02:33Z,0,0,en
UgwYo6OQSLK2iue-gbl4AaABAg,@andrewcul,I want a vision pro so bad just so i can watch my spatial videos but that price 😭💔,2025-11-20T12:01:01Z,0,0,en
Ugw6bzP9CkVERSDbncV4AaABAg,@usmcmsgt7051,"I bought a AVP M5 1TB with magic keyboard, magic trackpad,  PSVR Controller with base charger, carry case, JSAUX Battery easy carry, PRISMXR charging dock, KIWI VR Lens protector and the ZEISS optical inserts 3 days ago.    Most everything is being delivered tomorrow with my AVP being delivered on NOV 26th.   I spent my own money.... no financing, not using a credit card... Just use my debit card....   It was my early Christmas 🎄 presents to myself.....   And the reason I actually purchased it was not for gaming, it's for media consumption...     I have the Quest 3 for games and Blumhouse Enchanted Cinema Experience..   

Since this is my 1st one (I always wait till 2nd Gen)  but going from M2 to M5 seems like a 3 gen improvement.....they could have stuck an M3 in there andcalled it a day.😂😂😂😂😂",2025-11-19T06:54:46Z,0,0,en
Ugw5CtdOcpn2fpwO_eN4AaABAg,@ENGLANDCAMS1,I love too see how YouTubers progress the corps. I would love too see how they try too stretch the product line over decades.,2025-11-18T19:38:55Z,0,0,en
UgzZ24pYePbskM_T7EF4AaABAg,@VaNSs-,"to expensive just to be alone in a room double down by yourself 😂😂😂,  crazy world",2025-11-18T14:14:13Z,0,0,en
Ugzfb701N9IIpgY5PrR4AaABAg,@juztinn4487,am glad u have the Vietnamese Audio easy to understand thanks,2025-11-18T03:28:27Z,0,0,en
Ugztc9iqIEEqC5wNOst4AaABAg,@MagicOfRana,"wait isnt the steam frame a vision pro competitor?
it is meant for gaming
but its a linux desktop OS so it is directly a computer, and its runing linux...

steam had the same idea of the battery outside but they use it for counter weight, apple should learn from that
the only reason to buy the vision pro now is better screens but the downside of limitate uses cases
for the steam frame that runs on linux and can run windows and android executables, the sky is the limit for productivity, entreteinment and everything else",2025-11-17T23:58:05Z,0,0,en
Ugy0zJu7b5VNcs0dOo94AaABAg,@Garrettstudios9,Bro the meta quest 3s upgrade strap with battery pack is beyond the strap on the top on the vision,2025-11-17T23:45:44Z,0,0,en
UgzE6SRxHccDNqxGhYN4AaABAg,@hawkstein4464,Man flexing his ultimate frisbee doing a tech demo hahahaha,2025-11-17T20:07:28Z,0,0,en
Ugy4M-zg6bVwGHBTZKN4AaABAg,@hawkstein4464,After all these years I do not understand how you guys continue to be so creative with new shots in so many videos,2025-11-17T20:01:56Z,0,0,en
Ugw1BGls4LXQtNTTF-N4AaABAg,@COURSEMEISTER,Game  Swiss alpine quest,2025-11-17T19:21:38Z,0,0,Other
UgxCwarzfS_ewyNC1wZ4AaABAg,@COURSEMEISTER,"Hi All, checkout  my new Swiss Game - Swiss alpine quest",2025-11-17T19:20:46Z,0,0,en
UgyZffVehG3WCL92Gjl4AaABAg,@phylosophersstoned43,Apple thinks we’ll buy all of their misengineered hardware because we’re stupid. We’re just locked in their ecosystem. No normal person has use for a space helmet tho,2025-11-17T19:00:34Z,0,0,en
UgyqlbtYHcXYmNu8qLJ4AaABAg,@owcabibi,Your passion really shows.,2025-11-17T18:10:25Z,0,0,en
UgyKHBb7wTahqFuG2vN4AaABAg,@MonaLisa-up7ih,Thanks for posting this.,2025-11-17T17:36:31Z,0,0,en
UgwOGTn38qtFEtwDREB4AaABAg,@SV-ua25,Цікаво чи варто воно уваги дуже хочеться спробувати,2025-11-17T15:45:47Z,0,0,Other
UgzaNREBP1xQhoalijZ4AaABAg,@fortunateforest,What if you could play GTA 7 on a 2050 model of VR goggles,2025-11-17T01:23:32Z,0,0,en
