Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugz5CBKybyV2xLdOX8d4AaABAg,@RonaldNyuykonge,That intro got me💯,2025-11-24T02:22:59Z,0,0,en
UgwRoUp0iafi38JZjuh4AaABAg,@tonycoolbear3017,The one plus 7pro McLaren the best,2025-11-23T23:21:06Z,0,0,en
UgxLasFyVSETG-cMvON4AaABAg,@scarletwarlock9325,Pls review redmagic 11 pro,2025-11-23T22:56:43Z,1,0,en
UgyxcorYVzsaPXr95EB4AaABAg,@kindnessalwayswins,Which of the current OnePlus do you think has the best camera? I agree that the performance of them isn't great (I've had my OnePlus 9 since it came out) but now I'm standing between the 15 and the 13 and I just don't know which one to pick. It must have a great camera so I can take photos of my cute little newborn. Thanks!,2025-11-23T21:21:55Z,0,0,en
UgxmgEy-bfy2Q_o3sCJ4AaABAg,@lucastanzani12,3:51 I am the danger,2025-11-23T21:00:08Z,0,0,en
Ugyvtl0spaUprj_tcbp4AaABAg,@userZmaster10,Oppo x9 or OnePlus 15? What's your opinion?,2025-11-23T20:44:53Z,0,0,en
Ugzwc8jyGMmh4qByZPJ4AaABAg,@bl4ckw1z4rd3,"One plus 5 was a legend, i still use today....and im not happy with new one plus modells....i guess i will swicht to Asus rog phone",2025-11-23T20:12:56Z,0,0,en
Ugxj__ahAw7zsrniZ3J4AaABAg,@LuckyCatTom,"Sad, skipping coz of cameras",2025-11-23T16:53:23Z,0,0,en
Ugzk_0Ar5aK7bhG4DTV4AaABAg,@n.b.p.davenport7066,Is it going to be able to hook up to the satellite like Verizon and T-Mobile are bringing in ?,2025-11-23T15:39:16Z,0,0,en
UgzFBPRftfieuqupksV4AaABAg,@n.b.p.davenport7066,"My phone just sits there and most of the time, I like a cheap Motorola phone they look really nice they work good and I can get a new one every other year",2025-11-23T15:37:48Z,0,0,en
UgzHcAdpOW9oV5asUgR4AaABAg,@n.b.p.davenport7066,Do those things work good in the US ?,2025-11-23T15:34:14Z,0,0,en
UgzFZGVOn78C4OwQwNx4AaABAg,@kithkin01,"I was a one plus diehard

Then my oneplus 7 did some kind of update one day without asking. It deleted important, priceless pictures and other stuff

Never buying OnePlus ever, ever again",2025-11-23T15:23:09Z,0,0,en
UgxBVU3d5Lyma-9yApx4AaABAg,@pointofstyle7267,"I can no longer call an Android smartphone unusual, it is always so predictable and ordinary.",2025-11-23T15:22:38Z,1,0,en
UgyCaAECNYbUDVz2zw54AaABAg,@beatrizfores,Can you pls overkill my comment with likes? 😅,2025-11-23T15:02:44Z,0,0,en
Ugy8GTK8EfelSuSXdnx4AaABAg,@Danduguru,Not lying I was laughing too much for a techi video,2025-11-23T14:50:31Z,0,0,en
UgydEAiU0CgemIeMdXJ4AaABAg,@asifzzaman1632,So if i like camera i should get the oneplus 13 then?,2025-11-23T14:45:08Z,0,0,en
UgwziFP5bqvaJL0o7mV4AaABAg,@MarinRopac,It had too rounded edged. Returning mine. Not usable.,2025-11-23T14:24:38Z,0,0,en
UgyQJ3MAUinY_QrWhAp4AaABAg,@yaswanthsudhi6778,When it comes to scratches…the phone is Walter White yo!,2025-11-23T13:59:01Z,0,0,en
Ugw1pwnc9d6H5R5FuMx4AaABAg,@bethiaida5840,01:28 the way he clocked us 🤣,2025-11-23T13:34:19Z,0,0,en
Ugz9FOSkFdgf3m627Ul4AaABAg,@Notaracist_i_swear,Just wanted to add one more thing it also supports usb 3.2 standards.,2025-11-23T12:49:57Z,0,0,en
UgzXTrRiKoMGr3msXjp4AaABAg,@gabV2002,im not upgrading my OP13 to this one. Love the slider so much and it seems OP13's camera is better than OP15. Great review!,2025-11-23T12:40:59Z,0,0,en
Ugw2-QRmmzDt-yj_-ut4AaABAg,@Traxxjoa,Maybe I should go back to oneplus 😳,2025-11-23T10:41:21Z,0,0,en
UgzGrm2yaYE2fcJ0Enl4AaABAg,@najmussakib1122,"Lol. 11:00 and I stopped watching.
Shitty camera again!",2025-11-23T10:24:22Z,1,0,en
Ugxln_6EAcPZ89lttOV4AaABAg,@lizyserrano7213,Can't wait for the 2025 awards to decide between this and the pixel 10,2025-11-23T08:06:15Z,0,0,en
UgyycvBvEK6IS4tDqGh4AaABAg,@Xplorer-q7n,"I need that Matt Black… I’ll probably after the price drop maybe next year…
3:56 like I’ll surrender..Not - Cyclops",2025-11-23T08:03:47Z,0,0,en
UgwTpPaEDHZQ_-iO9ep4AaABAg,@absbi0000,"If I were to switch from an iPhone, I would probably opt for a OnePlus. I just HATE Android though.",2025-11-23T07:42:29Z,0,0,en
Ugy5LZnRk_pmjHQUGU94AaABAg,@LeagueofJay137,"I love this intro!
My favorite one so far",2025-11-23T05:40:26Z,0,0,en
UgyF4BnZH9i8pA-mahJ4AaABAg,@jaeshi4347,nice production on this video!,2025-11-23T05:29:46Z,0,0,en
UgxXxst1Sy6BeCiezuJ4AaABAg,@YourFriendIyNeighbourHoodGuy,MKBHD speaking Japanese with Hindi subtitle is peak Humanity,2025-11-23T05:19:29Z,0,0,en
Ugwe0vAlmbtuMkmQiTF4AaABAg,@jackdrengr5069,"1+ 7t pro owner here: so they've copied that ugly mix of Google Pixel and Iphone design, made cameras and screen resolution even worse than 1+12 has, removed unique 1+ button to control sound modes, no interesting colors for men. Shame on you OnePlus... Or should I say Oppo nowadays because this is not 1+ phone. Omg I want new 1+ phone so bad and they came up with this... ugh",2025-11-23T03:43:30Z,0,0,en
UgxEloTlPVYP6J32HcV4AaABAg,@right_level,Храни Господь 1+,2025-11-22T23:02:03Z,0,0,Other
UgyhXWTuFN1w9mObxjZ4AaABAg,@alexandrosnibelion1209,"OnePlus is a brand for the few—those who are informed and know exactly what they want from a smartphone. Let the masses buy Apple and Samsung; the truly discerning users prefer the company that created the phrase ‘real flagship killer.
We are not camera man in national geographic.We want top specs that have the same stability for not one or two years but for four or five years at least !
Love oneplus ...if you had the one plus X ...you know",2025-11-22T22:20:50Z,0,0,en
Ugy-hEx0EMarwhWfwhh4AaABAg,@kaonetaylor5774,"Petition for REDMAGIC 11 PRO REVIEW!!

THE PHONE HAS A GODDAMN WATERCOOLER😂",2025-11-22T22:17:46Z,0,0,en
UgxlJ0okBjOsG_eozUB4AaABAg,@emilianom.2277,"Fuck the production is on another level, its like watching a movie 🎥",2025-11-22T22:04:19Z,0,0,en
UgzVVRV9qDgHXF-pP3p4AaABAg,@test-rj2vl,Talking about camera downgrade - the same I felt when I upgraded from Samsung S7 Edge to One Plus 13. I sometime like to take photo of food I make at home and with OP13 nothing is as sharp as with S7 and colors are so fake due to being over saturated. So Don't by OP for camera.,2025-11-22T21:43:54Z,0,0,en
UgwKNae1VzcMyr9OAZZ4AaABAg,@micbay7271,Still doesnt beat xiaomi 17 pro max for me!! But a nice phone overall,2025-11-22T21:11:18Z,0,0,en
UgwxvnR2bT777QGPgqF4AaABAg,@19enmu88,What's the storage?,2025-11-22T20:37:50Z,0,0,en
UgyG2GfH748N6RcCV7R4AaABAg,@aishmalik12,Yeah was thinking of getting it as my next phone possibly in the futurrrrreeee when I have possibly more money until you mentioned the cameras,2025-11-22T19:30:59Z,0,0,en
