Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgxyCTK2nbkM3QgEB_x4AaABAg,@Xscrambler,So you're finally switching to HUAWEI? 😂 FINALLY,2025-11-23T07:12:13Z,0,0,en
UgxYtc32p3TchLtGKPR4AaABAg,@A_Stefaniak,"Wow, you can read marketing specs, good for you!",2025-11-22T20:27:34Z,0,0,en
UgyxeQlC8VHfKrvzYAV4AaABAg,@Not_aClanker,Just a reminder in 2018 huawei passed apple in sales and was on track to becoming the most sold phone in the world before being banned just because it was chinese,2025-11-21T20:13:46Z,0,0,en
UgzZ4Fw9QAdnKCxcwft4AaABAg,@Amirparham-t5m,They just copied gesture and sapphire screen from galaxy watch too🫤,2025-11-20T16:59:07Z,0,0,en
Ugw8owwr_0CC2qQHMaR4AaABAg,@RobbieDobby,Love it,2025-11-16T14:49:48Z,0,0,sl
UgyXeCvGtthCy04oR1N4AaABAg,@JasonMichiels-yn9yw,"Can't the galaxy watches do this, I know the watch 7 (the one I have) does, basically, the same thing. And the are also titanium and saphire",2025-11-15T21:33:43Z,0,0,en
UgwbmRdmJj78dLEuFuR4AaABAg,@SladeBling,I have to admit the GT 4 is the best watch I've ever had.,2025-11-13T04:29:02Z,0,0,en
UgwSSexZig7d6r6bFOZ4AaABAg,@SeanHeeger,"Question, can you change the notification and ringtone sounds to your own custom tones on the Huawei watch 5?",2025-11-11T23:06:57Z,0,0,en
Ugwk_LE_fkaW_xUQdLN4AaABAg,@dragonlng.,Huawei is eating US and Korean tech for breakfast,2025-11-10T07:01:03Z,0,0,en
Ugx-Ujr3XP0PhR3FERd4AaABAg,@OliverReich-g1j,Is that 42 or 46mm?,2025-11-07T07:35:49Z,0,0,en
UgxkbPurFfCtpmTRWCB4AaABAg,@PlanetyProductions,“Includes Payed promotion”,2025-11-03T17:18:09Z,0,0,en
Ugz2-1lKkikFdaCgzd94AaABAg,@GaboiPlays,huawei is honestly super underrated my 7 year old huawei matepad is able to handle spamming ragdolls in mpg,2025-11-03T11:20:13Z,0,0,en
UgzwjxF6TLgZFvhL2vV4AaABAg,@aburaselshontu,😮😮😮,2025-11-02T16:20:17Z,0,0,Other
UgxD4CUqAhZG6dTkrS14AaABAg,@albertcardosopassos,What's the difference from galaxy watches? I didn't see any.,2025-11-02T14:00:58Z,0,0,en
UgzcjIywk_5S7oQQU3J4AaABAg,@kasandragirl29,I forgot to punish Huawei Watch D2 is Sapphire,2025-11-02T03:38:56Z,0,0,en
UgxPvLMCyV_vzzg5TgZ4AaABAg,@WishingForSerenity,"I wish I could buy Huawei products.
Unfortunately, I live in the US.",2025-11-01T17:22:43Z,0,0,en
Ugyi0f7Cp-KJB_gRNZZ4AaABAg,@rainpatch4358,The Huawei fit 4 is better than the apple watch and looks the same 😅,2025-11-01T13:07:57Z,0,0,en
UgwtqffvcKAcJhAnZnx4AaABAg,@daniellarbi2849,The watch is so good it has been banned in the States,2025-10-30T22:56:53Z,0,0,en
UgysQNiVwPcwbixXIhp4AaABAg,@A_Stefaniak,"Got my Ultimate 2 since two weeks, and I love it.",2025-10-30T01:03:12Z,0,0,en
Ugwaeqh2_L0xlgGhm5R4AaABAg,@هانيبالاعبيد,انت ثري جدا هل يمكن تبرع لي بي سماعه هاتف تتصل بي هاتف عن بعد حت اذا كانت انت عندك الكثير من اجهاز جميل هل يمكنك تبرع لي بي سماعه  غلاجسي او لا تستطيع  من فضل انت لم تخسر شي مجرد تبرع صغيار 🥲 مجرد سماعه وحد غلاجكسي من فضلك 😊,2025-10-29T18:17:52Z,0,0,Other
UgzfPMyQUdXOf809X9F4AaABAg,@Rishabh-y1l,Samsung watch has also that,2025-10-29T11:53:58Z,0,1,en
UgyCYTD7w35ZmXqQDnl4AaABAg,@SolgerLemp,"huawei makes nice products, it's sad that their customer support is beyond awful",2025-10-29T11:26:52Z,0,0,en
Ugy392oxD-Sk9nMkpIZ4AaABAg,@Isaac-m5k5c,Perfect 👍,2025-10-28T15:08:34Z,0,0,en
Ugz5tcvJkG6dSyfaTlB4AaABAg,@MrCungaLunga,They copy Apple watch but why is circle??? Its harder to write message for example,2025-10-27T19:30:38Z,1,0,en
UgwSi4iK4fQt-nRuLPJ4AaABAg,@asmitwalia134,That's all good but how to bloody buy it. They don't sell here,2025-10-26T17:41:39Z,0,0,en
UgwsyP9Ua-mOcSfC7bt4AaABAg,@mihailchehlarov2720,"There is a reason why Huawei is banned in EU and US. Too much ""reading"" I guess..",2025-10-25T05:32:38Z,0,0,en
UgxYitzm-Ae6MMw1VTx4AaABAg,@Danny-BigD,You may like him but do NOT by a Huawei watch. I still have my NEW one 2years NEVER got one update.. ever.. there is no updates. Just do your own search do not believe me you will find they are not good with updates with watches,2025-10-24T19:45:30Z,0,0,en
UgwVI_-V-9pLWVC9Kqt4AaABAg,@ibrahimhanslod,"Too many features, now looking for minimalist smart design",2025-10-24T02:31:26Z,0,0,en
UgyI0GZ-aQoMtKQJjqt4AaABAg,@21mohammadhadi21,خیلی شبیه ۵ پرو سامسونگه😂😂,2025-10-23T18:06:48Z,0,0,Other
UgyNdlVOyHEXuc3TKRp4AaABAg,@Maksud_Masum,Gesture sencior,2025-10-20T05:10:07Z,0,0,Other
UgzYaFTOYXWxv4uFYfJ4AaABAg,@Boris_V,You've got the gayest looking hands I've ever seen.,2025-10-19T12:14:20Z,0,0,en
Ugzt3clsyAbLWqWgmih4AaABAg,@Faridamjad-thatsit,Heard of the watch 8&9?,2025-10-19T08:49:34Z,0,0,en
Ugxtca5qCQ-7hhy6qMd4AaABAg,@Completely_Incomplete,The second sensor is for 2 lead ECG,2025-10-18T21:42:48Z,0,0,en
UgzPg30_xoVeASBxTiR4AaABAg,@TheRealEBKgamer,67,2025-10-13T03:03:11Z,0,0,Other
UgzOoBCW_uJVcXyl9lZ4AaABAg,@abdulmajid8888,Ip68 or better,2025-10-11T18:19:56Z,0,0,Other
Ugx2lXqSvhaz3V86O2B4AaABAg,@mbvx7,you can do that because they copied apple,2025-10-10T05:15:05Z,0,0,en
UgyKxvzI_ctLA7e3Xut4AaABAg,@a_son_of_a_beach,Why would anyone need this tho?,2025-10-08T12:32:43Z,0,0,en
UgwL_I9PCXX-e5azHvV4AaABAg,@Dontdaretotouch,Water resistance???,2025-10-07T23:56:43Z,0,0,en
UgzH7bWpW8QjStzRgGV4AaABAg,@GalaxyNexus1,That does not look good,2025-10-06T06:16:42Z,0,0,Other
