Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugxj0V43WEzp3O4INHN4AaABAg,@teehee186,Does he post a list of the products he buys ?  Kinda want one of the boats hahhaha,2025-11-22T11:56:59Z,0,0
UgwL2bdGpl7emkVE_tt4AaABAg,@joshuathrasher4562,10x the price but not 10x the speed 😭,2025-11-18T13:52:47Z,0,0
Ugyi1q5qBQaNSP8pBPZ4AaABAg,@Nils-r8urf,“We just edged it”  MrWhoseTheBoss,2025-11-05T14:40:52Z,0,0
UgxoVvux8G2ddhkSvxl4AaABAg,@Memelord269,Honestly for $1000 you could get a rc boat that is way faster than the sonic wake 48 in the video and wouldn’t be beaten by the vector s,2025-11-02T11:36:51Z,0,0
UgwcLaFWtsGw8EtY9GF4AaABAg,@YUSUFWEHBIENZAWI,$60 not really fast but cheap,2025-10-27T15:25:28Z,0,0
Ugz0AXWAvCiuUei3Amd4AaABAg,@vasantlonkar8823,I want 60 rupees boat please😭😭😭😭,2025-10-22T16:55:35Z,0,0
UgwWVOAVfEPE6S_T2Wd4AaABAg,@БогданКуленко-с9г7д,English,2025-10-22T16:38:24Z,0,0
Ugz7Hn4tTh28Ak4kCHB4AaABAg,@erikaharris1727,I want that $1000 about like a then shot,2025-10-09T21:16:27Z,0,0
UgwqZ_EJZe4PeMHgl-p4AaABAg,@erikaharris1727,Probably don’t have a supercharger in it🚢🚢🚢🚢🚢🚢🚢⛴⛴⛴⛴🛥🚤🛳🚢🛳🚤🛳🚢,2025-10-09T21:01:34Z,0,0
Ugz_VWt-CEw7RBKDqBB4AaABAg,@erikaharris1727,"That $1000 boat house like a super Tarzan 
In it",2025-10-09T21:00:10Z,1,1
UgwuEyGu-Az4mMpQu4R4AaABAg,@tristanbalolong4612,"The last one is just a beast, I really want one of these",2025-10-09T14:18:41Z,1,0
UgwFWntf5vC5X9QRjkB4AaABAg,@Dailydrops-cloud,"Your video has been featured on DailyDrops and is tagged under ""Media."" We appreciate your contribution to the community and look forward to seeing more innovative content.",2025-10-08T11:20:04Z,0,0
UgwET52uCEfuBUyc83N4AaABAg,@peperoni8266,I love those vids,2025-10-05T15:57:56Z,0,0
UgxcVrwlKUVv7VXDDb54AaABAg,@Wutthiphat-u2s,INSANE SPEED,2025-10-03T04:15:59Z,0,0
UgwnCJyxvMsOZdc-ME54AaABAg,@UltimateBoy-j6i,How to by these boat which app do you use to buy things?,2025-09-25T15:56:12Z,0,0
Ugw5dz9DKNn9FcvlDwp4AaABAg,@Privated_1,Id take the $100 over the $1000,2025-09-24T23:40:09Z,0,0
Ugz2qmI2FTkc-_ECu0F4AaABAg,@frostxr,I only have a river next to me. I do think these things will work in a  river properly. Or can lose the boat easily. 😭,2025-09-20T13:15:02Z,0,0
UgwrVtWCI_U9ELbj_S14AaABAg,@gregoryduoos3821,That 100$ boat was the one,2025-09-20T00:45:34Z,0,0
Ugy04n8qiKzeuvGiKOB4AaABAg,@AuriusCore,The $100 was like a ballistic missile 😢 😭,2025-09-14T15:26:48Z,0,0
UgxZNJFH4KZlWsZtfPV4AaABAg,@Mr_Mchicken,We just edged it💀,2025-09-10T16:53:34Z,0,0
Ugx-pGr3Be2OY7MExvx4AaABAg,@TheCoolStuffHD,Edging with boats,2025-09-08T18:45:57Z,0,0
UgxKsiA5N7pC7RZkcdZ4AaABAg,@محمدجباری-ث1ر,😮😮impressive 👌!! Just wonder that is the 1000 dollars 💸 💵 💲 RC boat usable for sea 🌊 😮?,2025-09-08T08:16:13Z,0,0
UgyeoIl0U4o2cGGtq_F4AaABAg,@CoopyKat,This video reminds me that the little boy I once was is still inside of me!,2025-09-06T18:56:42Z,2,0
UgyB8FyT9wmJoix8jDF4AaABAg,@onuoraedna344,Super tired now but I have been doing 😴 for about a year,2025-09-04T07:47:57Z,1,0
Ugza79Ce-DFV4tMhqQJ4AaABAg,@3hub5386,"This guy is worried, scared of EVERYTHING",2025-08-28T20:12:22Z,0,0
UgxdxlfySoCryGLi2EN4AaABAg,@GeorgeMtb12,Please can I have a free Rc speed boat I really want one,2025-08-27T07:02:53Z,0,0
UgxXGZA66AqHzDPXXxZ4AaABAg,@DanielCreasey-j6d,Can you please find 1£,2025-08-24T13:54:17Z,0,0
