Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwS_5_rISQnxXHI5Qt4AaABAg,@TheCreativeChristian101,"$100 phone vs. $1000 phone in a $10,000 fridge😂😂😂",2025-11-24T02:59:08Z,0,0,en
UgzBdZh5wHHclKPnef54AaABAg,@Auroli_yl,"The fact that phone is only 1000 dollar in us and is RM4000 is Malaysia
Is actually wild",2025-11-23T15:34:43Z,0,0,en
UgzuDyCU6RSt-Yn4O9F4AaABAg,@heavenlymilano,Believe me this is not the type of content that we expect...,2025-11-23T10:38:23Z,0,0,en
UgyBXed2stAGHjFoBOl4AaABAg,@Radmehr1389Bozorgiee,You couldn't say that when you're comparing two phones from one brand because that couldn't be true that would be just ridiculous if two phones from the same brand with this significance of price difference the cheaper phone would be better,2025-11-22T18:25:52Z,0,0,en
Ugwfmi0AX20PqEi0fE54AaABAg,@CCFTBL_1233,"Bro you could've gavee one of those phones 😢,I have a very shitty phone I wish I had one of those phones",2025-11-22T11:47:41Z,0,0,en
Ugy6EEz0VEYtSEFT9JF4AaABAg,@RhajasPC,Bro of you blast the phone instead of the ice ofc they gonna break 😂,2025-11-21T22:36:25Z,0,0,en
Ugy2I-UTcTVBsVESwet4AaABAg,@bambamlamalama8270,Showing this durability to someone in 2016 would genuinely blow his mind,2025-11-21T21:15:44Z,0,0,en
UgwEkjM50HK_KoY-tqF4AaABAg,@FayyadhMikailYasri-dq6wg,Why you burning my phone,2025-11-21T09:42:28Z,0,0,en
UgxnxrI1CfDcmiTRFQZ4AaABAg,@kaggwatrevor1234,What is the 100 dollar phone,2025-11-20T22:00:30Z,0,0,en
Ugx8tbqsoohomBWahQ54AaABAg,@divinekod,You Know for when you wanna hang out at the Volcano and then end your day in Antarctica.,2025-11-20T21:48:16Z,0,0,en
UgxkRmDZ4ch_0j8JJXZ4AaABAg,@Kacper-tm8jj,I just got the a16,2025-11-19T16:27:27Z,0,0,en
Ugz5WL_aqvVGooK_xJt4AaABAg,@gdplayer123-u7u,Bro is using the phone im using to text this on the samsung a15 5g,2025-11-19T11:55:30Z,0,0,en
UgxaaxgxJgyWiANGGmp4AaABAg,@Flickerx2999,How these phones still playing videos wow what a battery😂😂😂😂,2025-11-17T11:03:35Z,0,0,en
Ugwp1tacx3bMMjR8Ss94AaABAg,@Flickerx2999,😂😂😂😂,2025-11-17T11:02:47Z,0,0,Other
UgzrDbvrRqNl1OlLJWN4AaABAg,@JaydenRios-i1v,Bros so rich that he can spend thousands of dollars on phones,2025-11-17T01:36:17Z,0,1,en
