Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwXU7H7z445ai2aSul4AaABAg,@centidentgaming-i8b,NoOoOoO tHe BaLlOoNs PoPpEd!!!!!😭😭😭😭,2025-11-23T09:47:43Z,0,0,en
UgwBdLxscllUA9Zr0n14AaABAg,@Fgp77-i6m,😂,2025-11-18T06:00:42Z,0,0,Other
UgztWd8rc0PMTdXIZjd4AaABAg,@Gibba.12,Next you have to do AIR Jordans,2025-11-17T06:43:31Z,1,0,Other
UgykdvZOsjYLB1xP9pJ4AaABAg,@mulletmanplayz,No way the iPhone 17 Air flew before Microsoft revived Windows Phone.,2025-11-17T05:37:30Z,0,0,en
UgzUMvK7WeUlAksbWxt4AaABAg,@Aaroncrew13,"Ah oui, l’iPhone Air, In the Air",2025-11-16T20:57:55Z,0,0,en
UgxSibUDd_zl7DX7Mqh4AaABAg,@YusufNaushard-z6s,"AIR will carry the iPhone AIR because they are friends in the AIR, and the iPhone AIR came from the AIR",2025-11-16T18:46:55Z,1,0,en
Ugzo56NmYDS5T1VQu_Z4AaABAg,@jeaniousj101,"Mr., you could have attached a string for safety lol",2025-11-14T09:43:45Z,0,0,en
Ugz8Fa6xNfwQKpLHVEt4AaABAg,@cole_tech_offical,Now that’s some air,2025-11-12T22:00:57Z,0,0,en
UgwMHaGcCkV2AxSVbyd4AaABAg,@EnderYTVR,Almost lost it 😭✌️,2025-11-09T14:16:50Z,0,0,en
UgxFiyaoh33eGp3xckZ4AaABAg,@Liott_Prevoo,Now the pro Max?,2025-11-08T12:29:45Z,0,0,en
UgzKzABnNwfBG-L4GaF4AaABAg,@JamesPlayzPlaystationAndMore,I would of done it inside,2025-11-07T20:01:01Z,0,0,en
UgyUEBxgp8N-QDdE0F14AaABAg,@4EVERvisu,"I love it for you short videos 
But Hind language easy for😢",2025-11-07T19:52:56Z,0,0,en
Ugy6yq6IJrXv-ca12eZ4AaABAg,@4EVERvisu,❤,2025-11-07T19:51:56Z,0,0,Other
UgymYDIoczJk6f-yI9l4AaABAg,@Nils-r8urf,If the iPhone Air really was meant for the air😂,2025-11-05T14:33:15Z,0,0,en
UgzvY3Bb1vVS3FE1FM94AaABAg,@adamvieviur6465,"Put some shoes on....
This looks lame.",2025-11-04T19:01:38Z,0,0,en
UgyYHFg9MI8rcTGaTsl4AaABAg,@SubQuantumSlimes-k4s,Reminds me of the “Send me to Heaven” app 😂,2025-11-04T05:54:37Z,0,0,en
UgxOklFLEtIWw8ZCM654AaABAg,@5Cheeseguy,Imagine looking up and seeing a iPhone air in the air 😂,2025-11-02T21:48:36Z,0,0,en
UgyrEhHhgPlmrkz8Py14AaABAg,@FOA-2001,"iPhone ""AIR""",2025-11-02T14:34:53Z,0,0,en
UgwrkzXS-W3uDuFgmcF4AaABAg,@Storyplace2.0,"Oh God, an iPhone",2025-11-02T00:39:39Z,0,0,Other
UgxlzwqJlm2hyJaQuF54AaABAg,@KanekiOkarun,Where are all the other comments??,2025-10-31T11:19:12Z,1,0,en
Ugyi0cIBfs76RYk41894AaABAg,@Hottakeroblox,iPhone fly,2025-10-29T19:45:48Z,0,0,en
UgyB33M8bBVK2fkJlWN4AaABAg,@AzureBytee,That's why they call it the iPhone AIR.,2025-10-27T02:14:43Z,2,0,en
UgzeEBko7LnXpa8KGFd4AaABAg,@drakegoon6173,Not enuff Air😂😂,2025-10-26T06:17:00Z,0,0,en
UgyAB8b2Xq8RpBN7qrd4AaABAg,@ManavWdhw,Yaaay! We sending it to the aliens....,2025-10-25T09:31:37Z,0,0,en
UgwCBwtvebGLfQRE9QN4AaABAg,@ThisIsEliii,Can I get an iphone,2025-10-25T08:42:55Z,0,0,Other
Ugx8poqtr0LTbTiiRSJ4AaABAg,@BobbyTheStrayCat,"First dog in space… first cat in the air? I’m ready for my history-making moment. I volunteer as the next payload. Call it ""Project Pawpollo 11"" 🎈🚀😼",2025-10-25T04:16:52Z,0,0,en
UgwA8wV-5Fwtut80sV54AaABAg,@Rashed1255,Making the iPhone Air One with air,2025-10-22T06:52:35Z,0,0,en
Ugy3Bn8QUPEUeBK7Fsl4AaABAg,@Payel063,"Boss: My air is in air🥲
🗣️: what a dumb guy",2025-10-19T17:37:35Z,0,0,en
UgzNA38dzF9sJWfC48Z4AaABAg,@theguy-x6k,Bro the screen😫,2025-10-19T05:04:21Z,0,0,en
UgwMS1m3ceB7dWsLmgp4AaABAg,@AnitauzoukwuIfeoma,Why bro people are phoneless,2025-10-18T21:48:17Z,1,0,en
UgxvbdzTSgsMs8XII6x4AaABAg,@T.D.A.G.L.E.V.F.S.X,I wish I can have a proper phone.,2025-10-18T05:57:16Z,0,0,en
UgwYRPRvxCZYS6cO3oJ4AaABAg,@satyenaggarwal,"How to lose your iPhone air?
This video is a excellent tutorial on how to do so!",2025-10-17T20:32:18Z,0,0,en
