Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgzSxnAAGi2NdR-sdgh4AaABAg,@Mrwhosetheboss,"If you could own any one of the luxury products in this video, which would it be? 🤔
For some relief from expensive tech, here's the CHEAPEST Tech I've ever bought: https://youtu.be/cZypFRdPS9M",2025-10-21T12:03:18Z,1395,138,en
UgzlfsvxqadzBHjYg354AaABAg,@coxjason13,you have no idea how to write with a fountain pen your grip was way to high it needs to be around 45 degrees to write properllly,2025-11-23T23:16:41Z,0,0,en
Ugwu92_zVhfrousU1ud4AaABAg,@CptMooney,"Erm, bro... Germany isnt France. ""Löwe"" isnt pronounced ""Louve"" or whatever that was. xD Also, nice demonstration of how ""luxury tech"" is really more looks then actual high tech.
From now on, whenever i see anyone use any such products i can rest assured that this person really hasnt any clue about what he or she is doing, and shops solely based on pricetag...
Im sure headphones you need several pairs of gloves for to use are an incredibly useful piece of kit, that isnt just going to collect dust on some display table.
Somehow i doubt that these headphones beat Sennheiser HD 800 S's even tho theyre literally 1000x as expensive. (That is if you buy those bad boys at MSRP, which no sane person should ever do.)",2025-11-23T22:03:35Z,0,0,en
UgwBhb0cuxeiOFq_37d4AaABAg,@Me-dp9jz,how about a Breitling Apple Watch instead?,2025-11-23T21:42:50Z,0,0,en
UgwzMODc2gktT11WfHR4AaABAg,@hammeredo,9:58 this whole products is absolutely pointless when for basically the same amount of money you can buy an iPad and an Apple Pencil😅,2025-11-23T15:24:13Z,0,0,en
Ugxsou4t0OkCV9yb9Hh4AaABAg,@answerbest3275,"After all those diamond headset the bag takes the trophy 😅
Unfair 😂",2025-11-23T12:17:15Z,0,0,en
UgyGFWC_tvcA6Xsd1N54AaABAg,@ChubiPanda,"So many of these are worse than the mainstream product, aesthetically worse and vastly more expensive. This concludes me to believe rich people are dumb.",2025-11-23T10:14:31Z,0,0,en
UgwxOOOuxsAy0lkiVRt4AaABAg,@Themusicaldragonhere,Bro can toss 130k+ iphones but is nervous to touch 113k headphones,2025-11-23T10:14:06Z,0,0,en
UgxYBAjcW9r5N0ZQ7PF4AaABAg,@jamesmartyn6216,"4:57 if you didn't write like a spaz, the fountain nib would feel good.",2025-11-23T09:50:07Z,0,0,en
UgxNKIeZjLn4Tprh8gl4AaABAg,@ruzzarra,Nobody hears smartwatch and thinks “Fitbit”.,2025-11-23T03:50:47Z,0,0,en
Ugxcsec7EXpSeu1YIyd4AaABAg,@raven_of_zoso455,Interesting video! Good ol' content and no sodding bs and visual sugar kicks.,2025-11-23T02:36:50Z,0,0,en
UgxnhmUzBXwQgIGzeFB4AaABAg,@pandabugdiaries2384,"just saying as a pen fanatic, there were a lot cooler/more ornate fountain pens you could've got for that much money",2025-11-23T01:06:48Z,0,0,en
UgwrBijpMrKH1vXcRLJ4AaABAg,@s.sradon9782,Nothing speaks luxury like a wifi-enabled lunchbox.,2025-11-22T23:45:41Z,1,0,en
UgyEUhrCa8Vu9FbVla14AaABAg,@MohsenLotfioffical,7:15 luxury means : no convenience at all so its probably just expenive tech,2025-11-22T22:15:03Z,0,0,en
UgyTTw9szO6cU_xTJvV4AaABAg,@markossrarkos2729,luxury tech aka overpriced shiny crap for dumb and rich people,2025-11-22T19:40:01Z,0,0,en
Ugyj_DP88RPNcukPyu94AaABAg,@duncanmaclachlan7177,"headphones  look  horrible chunky glitter , no sleek stylish tech there.",2025-11-22T19:11:49Z,0,0,en
UgwxA8uLV00J-HydTwd4AaABAg,@jojojojo4332,the montblanc looks like if you made a remarkable more stupid.,2025-11-22T17:35:20Z,0,0,en
Ugx5HiQMM5li0XzYA0B4AaABAg,@PasleyAviationPhotography,"Lots of atrocities in the video. Mice made from baby cows and headphones with blood diamonds, definitely a signature Arun video. I'd say Whos the boss but that might come back to Tony Danza, the true boss.",2025-11-22T17:34:36Z,0,0,en
