Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgyT5tl8C6KHkgi6Aht4AaABAg,@Jjbf006,If this is such a luxury brand how come Ive never heard of it. Or how come people nevee flexed it. People love flexing their iphones or samsungs so why not this Vertu,2025-11-24T03:44:34Z,0,0,en
UgywqAIaMMyaRYd6GqR4AaABAg,@bkrishna90,"I believe these brands are purely for some kind of fool millionaires, that's it. 
And clearly, even in London but operated by China",2025-11-24T02:41:24Z,0,0,en
Ugw3aWNd9X518GL0nZ94AaABAg,@Nooobbby,"Duuude, its ""Zee-Tee-Eee"", you totally ruined it with that stupid ""zed"".",2025-11-24T02:37:52Z,0,0,en
UgzckizKdH9E7dJ48iR4AaABAg,@lukebarrett7531,The way you implement your ads into the videos are unmatched. I do not care about sitting through watching an ad because it seems like just part of the video. It's truly awesome.,2025-11-24T02:10:13Z,0,0,en
UgwgIR32iaTC0oCLRTt4AaABAg,@junoalesis,"The parallels in this video are hilarious. Exposing a norwegian phone pretending to be English ultimately turning out to be Chinese. While promoting a norwegian web  browser that also ultimately turns out to be Chinese with MASSIVE privacy issues. Yeah, I'll prolly get banned for this one.",2025-11-24T02:03:16Z,0,0,en
UgwwmdTx1C7cb3DRHG94AaABAg,@yzgij_dtu,"It actually seems like the CCP could be leveraging this luxury brand to gather intelligence from wealthy buyers — the kind of people who can afford a phone like that. What’s striking is that the brand was once hand-assembled in England by craftsmen. After it went bankrupt, it changed hands, and now the brand name is being used in a way that feels like it’s more about data collection than luxury. There’s a real risk that the goodwill built in the UK is now being exploited.",2025-11-24T01:39:18Z,0,0,en
UgxNf14h14GmAgA-95h4AaABAg,@03tits,peace of CRAP in 2025,2025-11-24T01:30:59Z,0,0,en
UgydfVrfRHqvoOYU2194AaABAg,@I.am.L.3,That concierge is really nice if its consistently that good.,2025-11-24T01:17:19Z,1,0,en
UgxhbZQbvtuEYqbja0p4AaABAg,@rosebuddesign635,I remember seeing this company when they started at the watch fair in Basel (Switzerland) many years ago. I know it’s not the same company now but their phones already looked dated but with a luxury shell for the illusion. I always thought this was aim at the Saoudi princes or the Russian oligarchs. Not a single person with a hint of taste would buy these.,2025-11-24T00:36:37Z,0,0,en
UgxbM9SSBq5r93BElaN4AaABAg,@RaZzoPUBG,Scam,2025-11-24T00:28:35Z,0,0,Other
UgwUPzl8kWDpi5w6azN4AaABAg,@josephbaho6836,Vertu is a rich person's phone hence the Vertu booking system.,2025-11-23T23:56:59Z,0,0,en
UgxvXH-au-2ZXQlbNpR4AaABAg,@johnkim5125,"The phone is pretty meh, but the butler ANI is a bit interesting. I wonder how are these Chinese firms that are filling the gap that LLMs can't fill are compensated? Does the butler ANI come with subscription fee? These Chinese folks ain't going through all the hotel booking hassle for free just saying.",2025-11-23T23:45:43Z,0,0,en
Ugz9X-avQXNYWkwDOSd4AaABAg,@richardmark4308,Why did you make the hotel booking in my name? That kind of freaked me out 😂,2025-11-23T23:27:37Z,0,0,en
