Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgxxvdRtuySHRyrzriF4AaABAg,@ningningjin9545,France also share a border with canada,2025-04-29T19:45:09Z,1,0
UgyEY_j9RlMAby7AXU54AaABAg,@NickAndriadze,"Yes reallifelore I know about guiana's existence, silly of you to assume I don't have common sense...",2025-03-28T23:45:31Z,0,0
Ugxy02yiwqlkG8-hhHl4AaABAg,@Joshuaonline.120com,0:26  🇬🇫: What?,2025-02-23T07:16:46Z,1,0
UgwOsYmwxNIwDmIG44l4AaABAg,@DanielPietroOfficial,Watching this from Brazil 🇧🇷♥️🇫🇷,2025-01-24T11:54:58Z,2,0
UgyPOAJxst4eFQYlY2h4AaABAg,@weegiewarbler,Yay? Colonialism? 😶🙄😬,2025-01-18T08:23:27Z,1,0
UgxTtHCImc-0HzD4Iih4AaABAg,@vincent295amrul,France and French Guiana are different countries!!,2025-01-18T02:53:14Z,0,1
Ugx_3txvSPEUNzYmutt4AaABAg,@lermagonzales3168,wherea andorra bruh,2025-01-16T22:32:18Z,0,0
UgxzybKQHrlBls_eGDF4AaABAg,@bandhanwathore9554,French guinea is NOT the discconeted territory there's another one Reunion island,2025-01-14T13:13:02Z,0,1
Ugw-zX38-CuB6gd-a8x4AaABAg,@AtemDivinado,Why are guiana's pigs so different than everywhere else?,2025-01-14T02:28:21Z,0,0
UgzgZUCF9dT4btMm_uZ4AaABAg,@Ghost-pac-manplanet,"Um France also borders two more countries 
Canada and the Netherlands",2025-01-14T00:51:06Z,0,0
UgxGwSQY5XduwJM0NwB4AaABAg,@galerinha,"Yes, France is a South American country 😂",2025-01-14T00:48:21Z,0,0
UgydaHqof-ZLYmt2enJ4AaABAg,@CliftonBowers,Was there as a child 😮a penal colony...,2025-01-13T08:36:43Z,0,0
UgxleBBqde0zrwrWqN94AaABAg,@TheStonerKoala,"Dang, I was thinking its largest border could be in Antarctica, since so many countries have those pizza 🍕 slice like claims. 😢 
Or I was trying to think if France had any 'smol' landlocked city-state type things within any of its old colonies. Since a satellite state encapsulated within another would have its entire perimeter as a single border. No lame border sharing with multiple countries just as ""France-France"" has to suffer in Europe... I mean just imagine being sandwiched between Spain and Belgium. Yuck 🤢 🤮 😷 Huge ick. The smell must be God awful. 😅",2025-01-13T08:15:17Z,0,0
Ugzxf8dmGTJMQKnURn14AaABAg,@durkhue,🇹🇫this flag?,2025-01-13T05:41:52Z,0,0
UgxNDeXOD2tA5VAQbdl4AaABAg,@number6extradip,Why do i need to know this? I don't,2025-01-12T23:48:02Z,0,0
UgymjEjVBhsgw_Ge_ZF4AaABAg,@Moldova-Ball,Everyone expected this dude. Literally everyone.,2025-01-11T21:01:14Z,0,0
UgykcYSypgSpcZrXIs94AaABAg,@mariapotamitou8018,Jesus is coming back soon we need to repent when we have sinned and turn back to the lord of lords and king of kings Jesus ✝️,2025-01-10T19:04:05Z,1,0
UgyD-t2wMVdc5ZyG6J54AaABAg,@BryinWillis-e8g,Interested ?,2025-01-09T19:02:12Z,0,0
UgwbDsV_VDateNyDBst4AaABAg,@PK_1024,What about Antarctica?,2025-01-09T05:11:14Z,0,0
Ugw6-ou_lw9n9TatFEJ4AaABAg,@GreatNorth.,"Girlfriend, where did you learn to pronounce Guyana and Suriname that way? Your geography classes?  GUYana not GUIyana, and SuriNAM not SuriNAME",2025-01-08T21:38:10Z,0,0
UgxEb1DgwUXDWLHAZIt4AaABAg,@PassengerRP,France also borders Canada,2025-01-08T21:01:11Z,0,0
UgzrsQrnXwybkU6urAF4AaABAg,@kinzyhaitham4845,Alaska biggest border is with Russia and alaska border Canada amercia hawaii Mexico,2025-01-07T18:47:34Z,0,0
Ugy0klF77MwIvPilPuR4AaABAg,@kinzyhaitham4845,I mean Russia with a place called france alaska the same size as  the vactin city with not Brazil or us or Canada and france borders Andorra Monaco vacatin city sam rino Brazil Switzerland hungry  lecithin astruia Chile amercia the red sona of the Kong Canada Russia and Belgium Netherlands Luxembourg germeney [Scotland the new contry ] UK   greenland borders 73 countries,2025-01-07T18:37:33Z,0,0
UgwteHiYKTiaKGtqAtZ4AaABAg,@kinzyhaitham4845,Is actually America,2025-01-07T18:26:50Z,0,0
UgxyBEjCeycdJnZmxhJ4AaABAg,@arto4214,French Guyana mentionned 🥳🎉🎉🎉,2025-01-07T16:57:53Z,0,0
UgyvnuIHx8nFrH71M4h4AaABAg,@AlexWTRS,"French Guyana: ❌
French gee-r-na: ✅",2025-01-06T16:17:24Z,0,0
Ugz3VhKqXt58xaNUac94AaABAg,@GalladeOfficial,I'm Brazilian. Not even a bit surprised,2025-01-05T01:38:26Z,0,0
UgxsG2ccU0MJxg0Mmw54AaABAg,@pex_the_unalivedrunk6785,"King Arthur: what are you doing in South America!?

France: That is none of your business!",2025-01-04T14:15:31Z,0,0
UgxH61-wSFj3EjbqM6t4AaABAg,@TiqGD,"no, french guiana and all other territories of countries like uk, netherlands, usa, etc are countries but just ruled and stuff i guess by the country that it belongs to (except canary islands)",2025-01-04T12:49:21Z,0,0
UgwIAz-tS0K1ZaUpOd54AaABAg,@jenniferj5324,Cmon this doesn't count,2025-01-04T05:51:01Z,0,0
Ugw4MOyN00FIUHi4frh4AaABAg,@WillieAR,"The state is Parana, im from Brazil 😂😂❤",2025-01-03T21:18:06Z,0,0
Ugxn3ttszOFWVOOdx4F4AaABAg,@rconger24,"*_Yeah, but Reno is WEST of Los Angeles!_*",2025-01-03T16:36:22Z,0,0
Ugw_AA2Y-7t09okcGfp4AaABAg,@aguiarpma,"French Guiane actually is a colony , France lol says that it is a ""department "" haha",2025-01-03T02:00:12Z,0,0
Ugw9LktBBqx0ytEuPqV4AaABAg,@eurooceania5562,France also borders Pluto and Mars.,2025-01-02T17:11:49Z,2,0
UgxXLniaqSxyr1pUhWt4AaABAg,@BananinhaTetaMurcha,Americans didn't know this 😂😂😂,2025-01-02T16:27:40Z,1,0
Ugz_wg_NeMrISTgC9Eh4AaABAg,@bzipoli,"fun fact: there was a plot from the brazilian military govt to invade french guyana (the same as the argentines did in their military govt with the falklands/malvines) to divert attention from some sh*t. thankfully it didn't come to fruition, millions could have died (today we have about 300k active troops at all time, back then it was at least a million, not including reserves) FOR ABSOLUTELY NOTHING. someone discovered and it was vetoed",2025-01-01T23:54:43Z,0,0
UgzXMXm7hNmfZqSmX-54AaABAg,@JaceI-el9su,What about Germany,2025-01-01T23:53:45Z,0,0
Ugzj-1N2_CAKaNixVON4AaABAg,@blinchikizgermanii,This country rap slaps good!,2025-01-01T14:20:22Z,0,0
UgwXFUd6DNsXdPVvXih4AaABAg,@objective_psychology,Bro does NOT know how to pronounce Suriname 💀,2024-12-31T22:25:19Z,0,0
Ugzbty-Okip8JBaQjNt4AaABAg,@rightangletriangle7287,France touches mainland Italy as well not just the island of Sardinia,2024-12-31T20:21:00Z,0,0
UgwOHk866TUOaH4uuLV4AaABAg,@satyricon451,This argument is baroque.,2024-12-31T18:56:57Z,0,0
Ugw6Xdib9AeQ4nREsgN4AaABAg,@mrelephant9735,My dad told me this,2024-12-31T18:44:44Z,0,0
