Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwEfuDQ91U_aU5Ysqp4AaABAg,@roadyholmes,"w/infrastructure being such a impediment to DRC, it surely will crimp M23's dream of marching to the capitol. Let them march, i'd say. Too bad they have w/draw from eastern provinces. Now is the time for Govt. troops to land and provide assistance, intel and logistics interdicting reinforcements.",2025-11-23T10:33:02Z,0,0,en
UgyA2VxCrDNH3e9m6O54AaABAg,@francky4477,You don't understand most of the stuff you are talking about!.... I hope it's not an AI analysis,2025-11-23T02:16:36Z,0,0,en
UgwdzdRq6A0A-_Cf4cx4AaABAg,@martbarnav1787,Rwanda is based i'm sorry. I fully support the Tutsi,2025-11-22T19:42:53Z,0,0,en
UgwIbYjSli16ClcIpct4AaABAg,@TheFirstFireFusionYT,18:30 I recognize that song from the Emergency game series,2025-11-22T01:32:33Z,0,0,en
Ugy3MzxXdQQUi7FVjrN4AaABAg,@0menchild,In the thumbnail why is the smaller body of water attacking the bigger body of water?,2025-11-21T13:03:25Z,0,0,en
Ugw_4sxYm3B4zKykdr14AaABAg,@arthursahakian2122,8:28 surpassed by the holocaust AND the ARNENIAN GENOCIDE. thank you,2025-11-18T09:55:06Z,1,0,en
UgwkkXQwaZP3P9fYp1N4AaABAg,@JamesDavis-2025,Rwanda is backed by the west because we send our illegals there😂,2025-11-07T21:30:59Z,0,0,en
UgyghGkYEGACdPfvzV54AaABAg,@NiyogushimwaChretien,"In Rwanda there is neither hutu nor tusti, these divisions were created during colonial period for separating Rwandans and destroying our country.",2025-11-07T11:32:46Z,0,0,en
Ugzca3BAkXMrwB_2HE94AaABAg,@YuSiNow,That's why i hate america for taking Panama and Greenland🤬,2025-10-31T22:35:59Z,1,0,en
Ugzr8yXbiajicZud3954AaABAg,@TrậmTrang-v4b,The information here is gold.,2025-10-31T01:07:30Z,0,0,en
Ugxo87y3M72CwbU-5lh4AaABAg,@TrậmTrang-v4b,Ive learned a ton from this.,2025-10-31T01:06:29Z,0,0,en
UgzdWmYPvyw9BGIYKXl4AaABAg,@reichen609,"*Of course . . .* ☢️♂️ *. . . toxicmasculinity — the SCOURGE of humankind, the SOURCE of ALL EVIL.*",2025-10-30T17:33:59Z,0,0,en
Ugz_rL_CRPioJZ3ReLZ4AaABAg,@gussampson5029,Just tell the Tutsies that diversity is their strength.,2025-10-28T04:02:18Z,0,0,en
UgyCLA3uVU5UIMWt0cR4AaABAg,@Sterlingx11,Threatening war on Twitter is such a 2020’s move.,2025-10-26T19:06:48Z,0,0,en
