Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgylponIvHjFWveI9_14AaABAg,@joerexdelosreyes8495,Hawaii can be a Country itself,2025-10-11T23:59:54Z,0,0
UgwBkp48qWDKsP09CeN4AaABAg,@τζιπςεη,Even Hawaii's northernmost Midway Island once had a land mass larger than the entire country of Nauru. And the climate here ranges from subtropical to Sub-temperate warm when located at latitude 28,2025-08-07T03:36:45Z,0,0
Ugzv5tiRbF0syJ7NVYh4AaABAg,@joebob6763,This guy talks so fast that I can barely grasp what he just said before he moves onto the next thing. I love educational content but this just sucks.,2025-05-05T01:15:45Z,1,0
UgxktzbcJAOcCggH6Bl4AaABAg,@stevenchurch8901,My father was on those atolls in WW II,2025-05-01T01:49:35Z,0,0
UgwGm2yu6WQw3DOR-Z54AaABAg,@echo5827,"Same size as Massachusetts, so it's smaller than I thought",2025-04-29T19:55:25Z,0,0
UgxN2_YftgajHPYk2JF4AaABAg,@GustavSvard,"137 islands? N00b. Stockholm County has abour 30 000. Most are pretty tiny tho, of course :)",2025-04-22T14:55:36Z,0,0
Ugz0so7iiDuz8SVcAbp4AaABAg,@stevekluth9060,"The westernmost island is pronounced ""curry"" like the sauce. At least that's we in the USN weather office on Midway pronounced it as did the pilots who flew there.",2025-04-15T20:16:53Z,0,0
Ugxe0VgF23IzHDgny214AaABAg,@anthonybarraquio9522,ONLY a 6 hour drive?,2025-04-15T09:10:25Z,0,0
UgxkG1UXloI9paDUin14AaABAg,@Art-y3o,"farther, not further",2025-04-06T22:36:37Z,0,0
Ugz5R2ywp_pafN0Oz994AaABAg,@bentonrp,It doesn't count if it's Under Water! 😏,2025-04-03T18:34:58Z,0,0
Ugwd3zpgvYL_emXhkFR4AaABAg,@Mr.Nobody.of.Nowhere,"Video should be renamed: 
“Hawaii is way LONGER than you think”",2025-04-02T21:17:21Z,1,0
UgzcxXtoRTmVt_m9RXZ4AaABAg,@MS12-u5p,Which is why you don't have ferries and have planes instead... even for the main islands.,2025-04-02T19:39:14Z,0,0
UgzZHqzi5qTJPXQCW394AaABAg,@freshyill,"If you're ever filling out a form online and there's an option for ""US minor outlying islands""… Midway Atoll falls under that. Side note: check it out on street view for a fun surprise.",2025-04-02T13:00:13Z,0,0
UgxJMp3R7iZtZpxr4iF4AaABAg,@previousordinance99,"Still stuck in the middle of the ocean. Hard pass, don't care how beautiful it is!",2025-04-02T10:27:56Z,0,0
UgwdOBBJedHvTmhgxBp4AaABAg,@edljnehan2811,That's a dirty shame that they're already a state because I always look forward to the Donald taking over and making things States😅😅😅,2025-04-02T07:42:04Z,0,0
UgyFlHg9mqXc1PinIyx4AaABAg,@graceygrumble,He's right... ish. It's a lot more extensive than I thought,2025-04-02T03:13:29Z,0,0
UgyDAvZcjuEAQUFOE594AaABAg,@jacobbaumgardner3406,Bigger and more expansive are not the same.,2025-04-02T01:10:45Z,1,0
UgwoAKuvzohSfY68XAV4AaABAg,@mind-of-neo,"So, just as i thought, no, it isn't. The islands are just spaced out over a lot of water.",2025-04-01T23:34:32Z,1,0
Ugy9ShReyrPVYtE_muB4AaABAg,@rainbowpixel_4145,"Another thing that many people don’t know about Hawaii is that indigenous elders declared independence back in 1994. To many indigenous people it is still considered a sovereign nation, not a part of the US",2025-04-01T15:38:35Z,0,0
UgydeBrTzC-hWr8FqrZ4AaABAg,@FurthermoreJack,"Hawaii, the future Rocky mountains",2025-03-31T22:01:58Z,0,0
UgyeC3S2VgFuY1T8jiF4AaABAg,@Palmarbeach,"Bro it's not bigger than we thought, there's just more of it lol. Please be more precise with your titles, clickbait's not cool.",2025-03-31T20:56:22Z,0,0
UgwNG4acw9AyCp7sTHR4AaABAg,@BartlebyHiggensworth,No it isn't,2025-03-31T16:29:32Z,0,0
Ugyw-5DmNx-Uwz0b8rJ4AaABAg,@novataco5412,"I had no idea Midway was technically part of that chain. Fascinating, I also didn’t know about the “southwestern islands”",2025-03-30T22:26:43Z,0,0
UgzxFnddab_2M262Ke54AaABAg,@NASTYVIDS,I hope Hawaiians are one day able to leave the union,2025-03-29T23:52:00Z,0,1
Ugwa_3H7C2ptgoLPE2F4AaABAg,@ternedo6074,Larger than Massachusetts is already crazy scale to me that’s pretty big,2025-03-29T14:30:04Z,0,1
UgxTclu9-lokGI3oqG14AaABAg,@ChaseFrancis-ld9eg,"Please, please research the Battle of Midway. It’s absolutely incredible.",2025-03-29T08:59:03Z,0,0
Ugzpd5_UmloYMNCiy_F4AaABAg,@DrummerJacob,OK so basically Hawaii is the same size as I thought.,2025-03-29T08:00:14Z,11,0
UgyJLrCMS7UIX6yV7aJ4AaABAg,@baboi222,Hawaii fitting in all of Texas:,2025-03-28T02:12:52Z,0,0
UgwFNRnbQ6OeizwmvZt4AaABAg,@believeinpeace,Cool!,2025-03-28T00:14:14Z,0,0
Ugy-vxQbblobAFGfOh54AaABAg,@Wavy_Gravy,Mass is small af.,2025-03-27T17:17:42Z,0,0
Ugxg7FtHmZdbQpy83fF4AaABAg,@tabby7189,I looked at the date when he started on his main point,2025-03-27T15:10:30Z,0,0
Ugynop_uai89N93PLtl4AaABAg,@ronaldp7573,All these years and no one told me Midway was part of Hawaii.,2025-03-27T08:36:09Z,9,2
Ugx98PbJv0w6YpO8S1x4AaABAg,@trilogy1225,why does this guys mic suck so bad for such a big channel,2025-03-25T06:45:34Z,0,0
UgxiDc0g4nFfn3GJXkl4AaABAg,@Onetworth,That's still small.,2025-03-25T01:49:06Z,0,0
UgwHZOfCgtSV67j-qFh4AaABAg,@FieldsAndNotes,Yeah nobody calls them the “southeastern islands”,2025-03-24T23:40:46Z,0,0
UgzH2lteajvLU7xJdpV4AaABAg,@Real_RatBoy,"I don’t think I’ve looked at a map right but I’m not sure that Hawaii has a huge, really long island right next to it. How is it only 43?",2025-03-24T21:33:00Z,0,0
UgwyoiRIRsSoP-uSVqt4AaABAg,@FebruaryHas30Days,"As a Filipino, a 6-hour drive can range from 200 kilometers (Cavite to Infanta, Quezon) to 600 kilometers (Manila to Laoag, Ilocos Norte), especially if you consider the traffic.",2025-03-24T04:02:30Z,10,1
UgwpXSNRODzMxTBAFt94AaABAg,@jeromefitzroy,If you count the Hawaiian seamounts,2025-03-23T14:44:13Z,0,0
UgxY1Vx5G-bOfHT5sBR4AaABAg,@OmaringGeography,Hawaii is 4 times bigger than my country,2025-03-23T12:02:56Z,0,0
UgwxwhyZr9yOMEhl4uR4AaABAg,@SkyReport_360,But Nihau is “Hello” in Mandarin… who came up with that name 😂,2025-03-22T21:05:27Z,0,0
Ugx-VFPxFtkxcCqk0NN4AaABAg,@RetroLogan64,"Nancy Drew: Actually, I’m looking for someone named; Big Island Mike? 

Big Island Mike: That’s Me! 😁",2025-03-22T16:40:33Z,0,0
UgwLkl1UJARZ5dFXHsZ4AaABAg,@MisterPoro,"There are 7 states smaller than Hawaii.. never thought of that. 

Massachusetts, Rhode Island, New Jersey, Delaware, Connecticut, New Hampshire, and Vermont.

I thought Hawaii would be smaller than most of those tbh",2025-03-22T15:36:53Z,9,4
UgzVP3OaV2LH9FEiB2p4AaABAg,@CutePanties-i9s,"He doesn't mention Hawaii is basically just mountains in the ocean. And, everything is along the coast. Much of the land is unusable unless major construction is done. And with wages being so high, it just adds on to the homeless situation.",2025-03-22T07:55:30Z,0,0
UgzlZi7x79UgDpteHz94AaABAg,@CutePanties-i9s,The stupidest people live in Hawaii though. English is a real issue there.,2025-03-22T07:52:27Z,0,0
Ugxcquy-l7ndfn4N7Ux4AaABAg,@bradleyday2777,Kure Atoll sounds like a nice remedy for a sickly day.,2025-03-22T03:08:49Z,1,0
UgymOAl46JEYsv7LyxN4AaABAg,@notkno7,Wow! Never knew that Midway was actually a *part* of the Hawaiian island chain,2025-03-21T19:51:45Z,5,2
UgyRR3seQYkMIYcerLJ4AaABAg,@danielcp1985,Wow. 😮 I never knew any of this.,2025-03-21T18:42:38Z,0,0
UgwtTCA4HmbcB71YvlF4AaABAg,@msh-l33t,Ok. So it is exactly as tiny as I thought it was,2025-03-21T14:14:11Z,12,0
UgzcgfkwrKSWvIRJOFl4AaABAg,@WeldinMike27,Alaska and Hawaii....the freak states.,2025-03-21T10:47:31Z,0,0
UgwWJAKsL1t1leqj1WN4AaABAg,@TheStubbenator,I always thought Hawaii was about the size of the Wii Sports Resort island,2025-03-21T08:32:12Z,77,1
