Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgzG8fWL0oSWAHzbEmJ4AaABAg,@xdooors,Update: Singapore GDP is now: 1.8 Trillion,2025-07-28T12:08:07Z,0,1,en
UgwGpruyUgt_afXqUFl4AaABAg,@GoodBoy-kf3gq,What a joke of numbers juggling. Don’t give a glimpse of reality.,2025-04-19T07:52:57Z,0,0,en
UgxhQGPvg2zca8YL6kV4AaABAg,@spaaaaaaaaaaaaaaaaaaaaaaaace,can someone explain why serangoon is in marine parade,2025-04-19T07:07:38Z,1,0,en
UgwcFQYjfqwzFY4z6DB4AaABAg,@goneutt,Singapore doesn’t have religion getting in the way of business.,2025-04-19T06:35:55Z,0,0,en
UgxLVzXiE7Gf2ceZXrl4AaABAg,@longfang98,And yet Singaporeans feel the need to drive over to Malaysia to fill up with subsidized petrol.,2025-04-18T07:55:46Z,0,0,en
Ugzn9qaFdaypJRM-PvR4AaABAg,@Andrew-df1dr,Singapore really needs a regime change.,2025-04-17T08:20:42Z,0,0,en
Ugw2UNP0cXH1JKbkuHF4AaABAg,@МіиіслірФаи,This is unique for map choice. Great short too,2025-04-16T20:28:21Z,0,0,en
UgyKsQxgr669djDzs7J4AaABAg,@To.Ma.To_78,69th like! I wish I'd be more of a grown up by now 😂,2025-04-16T20:26:52Z,0,0,en
UgxVH-0-vlXhBBo8WzR4AaABAg,@akmalhafiz8763,"However, living standards in Singapore are hella expensive. Most of them buy their groceries by crossing the straits at Johor Bahru in Malaysia.",2025-04-16T14:25:50Z,2,1,en
Ugw46v4LVMwZ6YpbRml4AaABAg,@wvoits,that's what happens when you outsource all the cheap labor to foreigners?,2025-04-16T13:18:40Z,0,0,en
UgzfEKMMBfRtY1rFSQR4AaABAg,@ttschannel875,It's Singapura,2025-04-16T13:15:43Z,0,0,Other
Ugw952uIciAnw_wRVzB4AaABAg,@charaznable1131,The Amazing thing about Singapore is also how hard it is to make ends meet for people living there ...... Common folk have cross borders to malaysia for basic stuff because of this they have one of the lowest birth rates,2025-04-16T06:34:32Z,0,0,en
UgwzEG6OUvSvCJimu8B4AaABAg,@A-man3607-p7o,What about PPP. How much can they buy with their moola ? Why is every Youtube Channel obsessed with GDP and not PPP.,2025-04-16T04:19:57Z,8,0,en
Ugzslxx-EZJGMzX62uV4AaABAg,@NewenEliscu-Saraza,I'm just surprised the US made #6 and not lower,2025-04-16T01:51:30Z,7,4,en
UgxikBNCyTAkXp4wEwB4AaABAg,@zachsteal1238,Irelands GDP is inflated due to US technology companies headquartered in Ireland because if the country being a corporate tax haven.,2025-04-15T23:28:46Z,1,0,en
UgylSExyhhsNtdklTSJ4AaABAg,@andybionic,You know what's wrong with this Singapore sling?,2025-04-15T22:16:07Z,0,0,en
UgwxzegbBTGNofRT_yV4AaABAg,@PoggerMilk,Where is the full version of the first image?,2025-04-15T21:44:18Z,1,0,en
Ugx2vbHn_Lsh-jbdnmd4AaABAg,@regabrielexv,"Wait, is Ireland the 3rd richest country in the world?",2025-04-15T20:22:30Z,3,3,en
Ugz7_KDXfsIT-A3jjwd4AaABAg,@ZanTan,Go Singapore 🇸🇬,2025-04-15T20:03:55Z,10,0,Other
Ugw6J5-eZ7TSRKkBPGR4AaABAg,@-Osiris-,"TIL or realised rather just how big Indonesia's population is, holy isht",2025-04-15T19:29:50Z,9,0,en
UgzP2P3mC3DNfNQvFJR4AaABAg,@Beautiful-Sickening-Rolex,what does it produce?  🤭,2025-04-15T19:29:06Z,3,4,en
UgxCcYO8vFpAJsKnl6l4AaABAg,@luciboi8182,The funniest thing is that Singapore was effectively kicked out of Malaysia,2025-04-15T18:54:08Z,188,5,en
Ugx6VQOv-LZV50DT9Jp4AaABAg,@ckq,Then Elon Musk has more power than an entire country with 5 million rich people. We're cooked,2025-04-15T18:20:18Z,0,0,en
UgzjFKKH__9usXOfF2p4AaABAg,@Rancium,What makes it even more impressive is that they gained independence from the British only in 1963,2025-04-15T18:19:07Z,73,6,en
UgwwHHC1f-fbK6sbQ614AaABAg,@BHuang92,"Its one of Four Asian Tigers, the other developed Asian economic powerhouses are Hong Kong, South Korea, and Taiwan.",2025-04-15T18:15:39Z,47,8,en
UgzMmPeRpR5kBLHfd1t4AaABAg,@vanillity4719,"For those wondering the population, the population in the image was taken from a image made in 2018, hence why the population on the screen doesn’t match with what he says",2025-04-15T18:13:07Z,33,0,en
UgzbKo8tK1PYPm2w7NB4AaABAg,@OmaringGeography,"Sinagpore is richer than my country with 18b gdp and 3k gdp per capita, my country is poor!🇸🇬",2025-04-15T18:10:01Z,2,0,en
