Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugw3v-GYTrBlAJc-8e14AaABAg,@RealLifeLore,"This has all been an incredibly fast-moving conflict. While a ceasefire between India and Pakistan has now been in affect for days and is generally holding, the core underlying reasons for the conflict have not been solved, and it remains a dangerous and fluid situation. If you'd like to keep up with my most recent reporting on this and other ongoing global conflicts, consider signing up to Nebula and watching my War Room and Modern Conflicts series here: https://go.nebula.tv/reallifelore",2025-05-16T18:08:44Z,777,65,en
UgwQRFEj4y4Bg946Sox4AaABAg,@Dhakadhind,Dubbed into hindi,2025-11-24T07:01:55Z,0,0,en
UgypUJnaOOpzZ-5ldMd4AaABAg,@UntribalThinker,Clicking away because of non-skippable ads every 2 minutes or less.,2025-11-21T06:53:10Z,0,0,en
UgzO4Xny9wkOxEGqm394AaABAg,@raoSENSEI,"Hindus hate Muslims. 
The Hindu fanatics are in power. 
Impoverished and hate filled Muslims are going to suffer. 
The Hindus have unlimited manpower and a trillion dollars in foreign exchange to hurt Islamic lunatics. 
This is going to be ugly.",2025-11-20T06:57:58Z,0,0,en
Ugww6JqS8EnBMZwSBVZ4AaABAg,@poplar2065,"If this does not convince Western counties that they need more of both Muslim and Hindu immigrants, perhaps nothing will.",2025-11-16T15:16:37Z,0,0,en
Ugx5Q_fc9T-E7T8sExB4AaABAg,@amn5805,The majority of the Kashmiri people want independence but if given a choice to join one of the 2 countries they would join Pakistan,2025-11-14T08:03:40Z,0,0,en
UgxYi0RkptAv4rIFLlV4AaABAg,@HarisHussain-qq6cm,"kashmir was geographically connecxted to makistanasd has a overwhelming  muslim population even inn jammu befoiore the genocide, how ironic.",2025-11-12T17:43:01Z,0,0,en
UgxoeJ_zk8sz1tBR_Ut4AaABAg,@Jigsjigz,muslims can never live with anyone else across the world they always cause problems and even when their with each other they fight.,2025-11-08T00:31:54Z,3,1,en
UgzfmMmCn0WTiFOLWP94AaABAg,@aahadisss1350,"The video feels biased towards pakistan especially undermining the Muslim genocide in indian occupied Kashmir while sucking up to the indian audience,  though still a great informative video.",2025-11-07T12:02:26Z,1,0,en
Ugz6Fl4kJopzKgPIaCh4AaABAg,@marth8000,"Indians and Pakistanis > fighting each other in bloody wars for literally hundreds of years.

British arrive > they suddenly have peace and unity

British leave > they immediately return to genociding each other

This retarded geopolitics channel that doesn’t know anything about the history of the place he’s covering > you can thank the British for that.

I’m just so tired of it man.",2025-11-02T06:49:03Z,0,0,en
UgxUhNYokRvfM22v2gx4AaABAg,@generaldurge111,42:21 India pulled a play from England’s colonialism playbook,2025-10-23T20:10:38Z,0,0,en
Ugxho-MNx_Fvpm6bn594AaABAg,@vadankhan4823,"Great overall video to educate on the situation. Did feel slightly biased against pakistan, especially the ending. As someone who is firmly against both militaries, There were times when it did feel like India was criticised less than pakistan would be for the same actions.  The overall takeaway should have been the stupid nature of the conflict and hos the people are the one to suffer",2025-10-19T12:20:32Z,1,0,en
UgzB8HTOcjl6zuq1o_V4AaABAg,@FishGuy-s6k,The religion of peace has issues with all their neighbours.,2025-10-17T01:17:26Z,2,3,en
UgwYfEAsMA9CzXXLnn94AaABAg,@xxeezxxable,I actually live in Azad Kashmir,2025-10-16T20:54:20Z,0,2,en
