Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwdQuNslaubD13Bpk14AaABAg,@FriendsofMineralTown,"It makes me wince that the comments mock Iran. I don’t sit here sweating and concerned about it, but what I imagine is the rise of Iran or at least them taking the last of their Macca to make the bomb, attack Israel, and be met with immediate destruction, but their leaders may be okay with that as long as they hit Israel. You mock them, they don’t forget, but you do, and then you get hit and can’t figure out how it happened.",2025-11-22T05:15:38Z,0,0
UgxDIKVEfjvBIqpY8Rp4AaABAg,@SprakeQuake79,I dont understand how the us is always on the right side of nuclear talks when WE ARE THE ONLY ONES who dropped bombs on civilians,2025-11-20T06:51:21Z,0,0
Ugyr_4_ouc7bjdvEPAN4AaABAg,@alexsaam2696,Crazy to see f14s in Iran bombed. If they still using f14s then their air force is trash,2025-11-19T08:06:48Z,0,0
UgzJ4iYtNBFO3hSTxNN4AaABAg,@kepherondere4398,"I stopped at the point when you said that all Iranians missiles were shot down!!! 
Why do you lie with ignorance???",2025-11-16T12:32:48Z,0,0
UgxwqCl0UxrQEjrbFLB4AaABAg,@AliAlexRG,1:15 wrong leader,2025-11-15T21:37:06Z,1,0
UgxSy404gGq4RFjpGCF4AaABAg,@virmirfan,"Tbh, considering how Iran saw its missiles fail, I'm not sure if they're even going to use a missile to attack Israel, they might put it in something such as a box truck, which would also mean that they wouldn't need as miniaturized components to make one",2025-11-14T20:59:59Z,0,0
UgwKss9nBHn3HlrLIot4AaABAg,@Persiangulf-d6q,"Fake news, 

Puppet of the zio.nist cyber team 🤮🤮",2025-11-13T20:11:35Z,0,0
Ugy6Rxs7k-3WjUhlt-R4AaABAg,@oliverdowning1543,That down with the USA mural is absolutely fire ngl,2025-11-09T02:17:30Z,0,0
UgwtSCuSZYiY_PLLl3t4AaABAg,@shahrozyousefi48,This is pure bullshit israel and us was totally destoyed in 12 days. They just lie about the numbers just like they do with how many who lost their lifes against hamas.,2025-11-08T18:03:34Z,0,0
UgyEvso0BJmeViDwpxt4AaABAg,@GfgHhhu-r5n,"The only reason the usa was able to control or “keep peace” between countries was due to fear of them getting taken over for no real reason and since everyone relied on them, nobody really could do anything. Nowadays things are changing and the usa’s grip on global power is slipping faster and faster by the day",2025-10-27T22:20:11Z,0,0
