Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwqHjK3geRa24rCgxB4AaABAg,@RealLifeLore,"If you'd like to help support my channel, please consider watching the first episode in my brand new series Mad Kings on Nebula, which covers the life of Uday Hussein, Saddam's son: https://nebula.tv/videos/madkings-uday-hussein Thanks!",2025-08-22T15:54:08Z,299,37
Ugy6AJ0JO515PoUp9OF4AaABAg,@korrde,Did you seriously imply that not enough Israelis died in comparison to Palestinians in its conflicts with them? There is no such thing as requiring some kind of equivalent exchange when it comes to armed conflict. A hell of a lot more Germans died in WWII than Brits. More Japanese died than Americans. No one ever said not enough Americans or Brits died in that war due to the difference in total casualties. That really undercuts your case regarding Israel.,2025-11-22T20:54:59Z,0,0
UgxBDp8zegeXCRDPXA94AaABAg,@RobertSimons-p3b,A 45 minute video on the ICC and not a single mention of the American Service Member's Protection Act?,2025-11-21T17:20:01Z,0,0
Ugzq-bz8KZIjHz5xWBN4AaABAg,@JamesDavis-2025,ICC is a international joke😂,2025-11-20T15:48:10Z,2,0
Ugz0od9wbet4N9AUfaV4AaABAg,@BostonSQ,"The problem is that it wouldn’t work anyway doesn’t matter how people wish it was. In order to implement law or regulations you need some body that would do it, for example a 400.000 man army under ICC control that every country would agree that they can do anything in any country, which is not possible in many ways. So, how else do you think it would work? The fact that prosecutor that SA’s women’s said this is a bad guy, doesn’t change anything because he is no one and has no power and no country will allow any force on their soil. There is simply no one to enforce it, it’s the problem of the International Law, it’s basically all words but non of the country obliged to do anything it says because no one can force them. Mamdani for example can talk all he wants, he has no power over who he can arrest and send them anywhere, especially leaders of the country)",2025-11-18T09:48:54Z,0,0
UgyduuT7xLPqyc82RDN4AaABAg,@mike2k4u,"didnt you hear the Gazan starvation is a myth and a lie
in case you didnt hear please check facts before believing UN or any other agenda driven entity",2025-11-17T11:08:41Z,0,0
UgzxulWRdTQ1LfVLY3Z4AaABAg,@jsguinomhay1097,"Sometimes, I think that the ICC & the UN isn't really here to right the world's wrongs, they're here to decide who profits off of them",2025-11-16T01:46:19Z,0,0
UgyDDOCriJvsEvOI6EF4AaABAg,@joebutler2351,And remember the only countries actually trying to enforce these rules are the same ones on the brink of collapse themselves,2025-11-15T23:26:38Z,0,0
UgxiVEmBxiyC8HlBS8R4AaABAg,@donkey_mediocre7246,Now these clowns went after my former president,2025-11-15T12:58:42Z,0,0
UgxDZeVXqcLR1q7n3554AaABAg,@benmurray8095,How have i not even heard North Korea mentioned in this video. Have they seriously not condemned the Kim regime?,2025-11-15T07:55:43Z,1,0
