Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugzy96nlQuXTnOkvqHF4AaABAg,@RealLifeLore,"If you'd like to help support my channel, please consider watching the second episode in my brand new series Mad Kings on Nebula, which covers the life and reign of Idi Amin in Uganda: https://nebula.tv/videos/madkings-idi-amin Thanks!",2025-09-30T17:56:55Z,188,20,en
UgzZvu1C4-lw1K1IvuF4AaABAg,@joe4171,"43:26 The Israel- Gaza war is very far from “one of the 21st centuries deadliest conflicts.” When you have conflicts that were directly responsible for an obscene amount of deaths like; the Darfur conflict in Sudan that saw over 300k lives lost, or the Tigray conflict in Ethiopia that saw over 500k lives lost, the Syrian Civil war that saw over 600k lives lost, the Russo-Ukraine war that is encroaching on 1 million lives lost, and the Second Congo War that was directly responsible for close to 3 million deaths, it’s absolutely absurd to say a conflict that has seen less than 80k deaths is even in the same realm of death and carnage.",2025-11-14T17:32:22Z,1,0,en
UgzMyiNPPrjwwW_6KYp4AaABAg,@joe4171,10:16 Kosovo has the dopest flag in the world!!,2025-11-14T15:12:40Z,0,1,en
UgzUwKbY4VyLKtNvqCp4AaABAg,@WKidd1776,Hoping for Albertan independence to be the first major map change of the second quarter or the century!,2025-11-13T20:50:11Z,1,0,en
UgwILQOQtGXjO_cJ9EF4AaABAg,@unionmaster,"Drinking game, but you might die:
Drink every time he uses the word 'unilateral'",2025-11-12T14:04:31Z,1,0,en
Ugyb8lIpddMRFgcFF4Z4AaABAg,@chrisdonohue3843,"31:30 I REALLY thought I knew all the exclaves & enclaves in the world, but this video just taught me a new one.",2025-11-10T17:54:28Z,1,0,en
UgxqjeZGMhaYh-TRm0x4AaABAg,@swedishboi3208,The world map looks different in every country tho,2025-11-09T02:25:44Z,1,0,en
Ugx02VDQgbAVJwuQ6ud4AaABAg,@guns4handss,1000th comment! nice video 😁,2025-11-08T03:35:40Z,1,0,en
Ugzhvvw0pWGCnP4QTDZ4AaABAg,@DeepSightTV,"History is like we travel a long road slowly, when we realize we are very far away...",2025-11-03T02:52:44Z,1,0,en
UgyhxpfEE47BzgnYtBF4AaABAg,@jjsmallpiece9234,Why are British Army Gurkha soldiers shown at 3.08mins when East Timor is mentioned. Indonesia and East Timor are nothing to do with the K.,2025-11-03T00:39:31Z,2,0,en
UgwDB_LylYaAExUpvAR4AaABAg,@Karsielatee,Good video 😊,2025-11-03T00:37:40Z,1,0,Other
UgwTWQ7XBnX5VNfcA3V4AaABAg,@elohimdagod,Don't give the chinamen anything,2025-11-01T16:57:20Z,0,0,en
Ugzc76icZGAuP_eK5Oh4AaABAg,@Royce16727,When you put it all into perspective like that; it's absolutely insane how much has happened in just 25 years…,2025-10-31T15:18:53Z,2,0,en
Ugzg0v69RL_1KhSBM-B4AaABAg,@C_money,"For a guy who’s been making videos as long as Joseph has, I’m still incredibly surprised at his inability to pronounce country names correctly. East Timor, Palau, and Lesotho, just to name a few.",2025-10-31T09:39:33Z,2,0,en
UgxgPmkGJCfGsrmEKRx4AaABAg,@a.d.clarke4990,3:23 - Isn't it TEE-MORE? 😂,2025-10-30T00:05:58Z,2,0,en
UgxzvkUdwvaz32ijfDJ4AaABAg,@beebeedeeie,All I see is the world was okay right after the 2000 could of been so different but USA made sure okay yea in the 2000s we can still do war and went against Middle East then you see all this stuff happen after. USA STARTED IT IN THE 2000S,2025-10-29T05:58:04Z,1,0,en
UgzYcELvbmmYFHnRHs14AaABAg,@RandomMappingDude,Can we stop complaining about tiny inconsistencies and just appreciate how much effort was put into this video???,2025-10-27T17:35:13Z,4,0,en
Ugz4no0-liV9Fw76C5x4AaABAg,@TheLordOfThePotatoes,"East Tie-moor and the only resson the indo's stopped was because my boys and I went in to ensure the sovereignty of East Timor. Still a dump. Desolate island, but we stopped a full on genocide 🇦🇺",2025-10-27T17:15:09Z,1,0,en
UgwiDuHcERaNVgTvLGJ4AaABAg,@RobbyHouseIV,"CORRECTION NEEDED:  You stated that the eunuch in charge of the UK had negotiated the transfer of ownership ""back"" to Mauritius.  This is an error as Mauritius has never had ownership of the island territories in question.",2025-10-23T15:38:34Z,1,0,en
UgyHuEgEjNckMPenYgF4AaABAg,@JJ__,"Incredible work, please keep it up. Top youtube channel!! 🎉",2025-10-23T11:30:24Z,2,2,en
UgzlbnsXV5-z7TtOyD54AaABAg,@JJ__,One of the best videos of all time,2025-10-23T11:29:44Z,0,0,en
Ugy0d_Ddm7C-g6C9gCB4AaABAg,@michaelhealy6429,I better see Northern Ireland reunited with Ireland in ep. 2 in 2050,2025-10-23T09:58:03Z,0,0,en
UgwhCbcdeyCcBOSrE3h4AaABAg,@nathancrapo9788,Was a good video until the pro-terrorist propaganda at the end,2025-10-22T04:28:40Z,2,0,en
UgyN-R80bqTq44tpvnV4AaABAg,@franbalcal,"The flaklands wars wasnt a ""conquest"" but an attempt of a  ""REconquest""",2025-10-21T20:14:23Z,0,0,en
UgwfCG-LWEPi9oq3L8J4AaABAg,@MALUR82,It’s funny that people say no more wars and killing and yet people have been at war with each other for 10000+ years and nothing will change even if we colonize distant planets we still will fight one another because it’s the sad part of humanity that don’t accept peace,2025-10-20T15:55:45Z,0,0,en
UgxiCi9iZBZv0xXETw14AaABAg,@Mr_Sideways,Please fix the audio and video quality 🙏,2025-10-20T03:58:02Z,0,0,en
UgxO9MnmgU1UV_LJdn94AaABAg,@andrewmayer78,Just a reminder that this guy is not a historian. He’s an animator. He’s been criticized many team for superficial research on topics he has no business talking about.,2025-10-19T23:55:28Z,0,0,en
Ugy-j9J0B6iFSQ4s3c94AaABAg,@Siegfriedclassical,East Timmer...,2025-10-19T05:40:07Z,2,0,Other
Ugz2t83IbVSCNih2MzB4AaABAg,@LegadoDesenterrado,nice job,2025-10-17T18:17:57Z,0,0,Other
UgzkTTXfuaZeYUETc4t4AaABAg,@Sahel-uu4fr,What is wrong with china,2025-10-17T10:34:06Z,0,0,en
Ugwl00knWmL3GXVbYyd4AaABAg,@fod4649,6:13 “full withdraw”… sure…,2025-10-16T15:40:54Z,0,0,en
Ugxw5WPRjkXo7LzkcMp4AaABAg,@poetz123,"your pronunciation of Timor was atrocious, my god",2025-10-15T13:25:38Z,1,0,en
UgzuOriLDE5T-PYNtZ54AaABAg,@scaptal,"not sure if its just me, but the voice speedup on this video feels a slight bit too fast",2025-10-15T12:01:28Z,0,0,en
UgxiewXu4nrP1VZB15V4AaABAg,@IfBoundaries,“Imagine AI deciding everything… scary but fascinating 🤖 – Futuristic mind @IfBoundaries 🚀”,2025-10-15T06:38:49Z,0,0,en
