Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugz9ntqn_1-3IqFY7n94AaABAg,@RealLifeLore,"If you'd like to help support my channel, please consider watching the third episode in my brand new series Mad Kings on Nebula, which covers the reign of Nicolae Ceaușescu in Romania: https://nebula.tv/videos/madkings-nicolae-ceausescu Thanks!",2025-10-31T16:41:29Z,226,111,en
UgwAxitGCHsx4pb9xzd4AaABAg,@mbsouthflorida,"The British gave the Arabs of Palestine a state, its called Jordan.  The Arabs have no right to another state that will include part of Israel.",2025-11-24T02:11:37Z,0,0,en
UgwOXeLylSnvT_onoLF4AaABAg,@mbsouthflorida,Almost all borders in the world have to do something with a previous war.  The Arabs and the Palestinians lost the wars that they started.  The Arabs and Palestinians should move on like everyone else does and accept reality..,2025-11-24T01:36:28Z,0,0,en
UgxErW-SKHmbrKO_zQx4AaABAg,@shaik-cd7lu,"What nonsense. The settlements have never been an obstacle to a two-state solution. The only obstacle was and remains that the Arabs want all of Israel's territory, meaning the return of the refugees and their descendants into the State of Israel, which would turn it into an Arab state.  

Furthermore, after October 7 and the West's response supporting Hamas, there is no chance for a two-state solution. Forget about it.",2025-11-23T22:36:12Z,0,0,en
UgxWKMsya0pzbUeOYV14AaABAg,@user-os7pm7fj7d,Arabs don't want states. They want no border and for their religious cult leaders to rule the world. All Arab Muslim countries will always be either failures or ruled by dictators. So they will be terrible places to live no matter what.,2025-11-23T20:00:36Z,1,0,en
UgyDe2PdqbCnu0tdGO54AaABAg,@doughboi007,The typical RLL voice would change for proper news videos. It sounds like a 2012 facts video,2025-11-23T17:58:23Z,0,0,en
Ugy1I1ldbdviuiFfLXh4AaABAg,@BLAZE89002,"I would be saying “ Wow look at mister Evil over here” if it wasn’t any other country- no, any other People, but these are the Jews. Their mindset comes from the fact they *know* life isn’t sunshine and rainbows. You try to be nice, and you get Chewed up a spat back out. Spite their actions being very iffy at best, and a downright civil or war crime at worst, the Jews, above anything else will never show weakness again.


Also before you claim bias, I’m an American Zoomer (can’t legally Drink yet) so yeah, sit with that.",2025-11-23T16:16:34Z,0,0,en
Ugywvsm4btDQ648Ku8F4AaABAg,@adibramantyo8987,Palestinian ancestor ? What a joke 😂😂😂😂,2025-11-23T09:19:48Z,1,0,en
UgxTu8kW-p3uIZNKEjx4AaABAg,@felixdunkel2091,Arab colonizers did to Jerusalem what Spaniards did to the Aztec Tenochtitlan,2025-11-23T07:51:17Z,0,0,en
UgzG_FGRihyg2AfeAux4AaABAg,@Ianmundo,"Don’t repeat Israeli propaganda by using the term “settlers”, they are thugs and thieves",2025-11-23T06:20:10Z,0,0,en
UgxQIxDUsI1lJRXHOVt4AaABAg,@TommySmith-ri7nn,I don't care about Israel or Palestine but I do enjoy watching people be oppressed. :),2025-11-23T04:01:57Z,0,1,en
Ugwq7qV778W3_VVdkrl4AaABAg,@terri348,"Interesting that otherMuslim countries want Israel to give Palestine an independent state, but at the same time, not one Muslim country will allow a single Palestinian enter their countries.",2025-11-22T23:20:58Z,0,0,en
UgwaabfIMQ2yIrmcqNZ4AaABAg,@benzur3503,Welp. Forever war it is 😞,2025-11-22T21:11:05Z,0,0,en
UgyyrGznDvZW3lXR1rd4AaABAg,@johnylalrina1451,"I support the establishment, development, and protection of a Jewish homeland in the historic region of Canaan, now centered on the state of Israel. Therefore i am a pro Zionist.",2025-11-22T20:23:16Z,0,0,en
UgyFptlUfkZYi76-Fr14AaABAg,@DaniTheHero,"There is so much misinformation, editorializing and lack of context in this video that it is honestly embarrassing coming from a channel I used to follow.

The 1947 partition was offered to the local Arabs, not “Palestinians.” They were not called that nor did they identify as such at the time. Ironically it was a term often attributed to the local Jews at the time.
Judea and Samaria are not the “ancestral lands” of Palestinians, and using that wording while completely skipping over the fact that these areas are the ancestral homeland of the Jewish people, who lived there centuries before Arabs arrived, is deliberate historical revisionism.

The video also amplifies false or disputed claims like genocide and famine, while making zero mention of the Arab aggression, wars and terrorism that directly shaped the current situation and Israel’s security policies.

And of course it conveniently ignores the fact that Palestinian leadership rejects a two state solution. The dominant political and national narrative among Palestinians openly seeks the very thing you accuse Israel of, which is the removal of Jews, the destruction of the existing Israeli state and its replacement with a singular Islamic state.

Shame on you.",2025-11-22T11:25:50Z,0,0,en
UgxJoninI_-2CqSLWwd4AaABAg,@RudolfStern3399,"This video is extremely onesided and biased . Palestinians are merely Jordanian and Egyptian immigrants who came to the land of israel long after the jews were still there (around the 16-17 centuries) . Jordan IS the Palestinian state as it was a part of the mandate of Palestine , arabs got it plus half of Israel in the division plan . Around 600,000 Arabs fled Israel during the war that the Arab world inflicted on Israel . Israel had no motivation to fight 6 Arab armies yet it won . Arab leaders encouraged the local Arabs to flee but you’re forgetting something , more than 1,000,000 Jews were ethnically cleansed from Arab lands to a point were there are non today ! Yet Jewish suffer is swept under the rug when it doesnt fit the Al-Jazzera narrative",2025-11-22T07:07:22Z,1,0,en
UgxvSwkZCqyB2nglDZd4AaABAg,@RudolfStern3399,Why would Israel give up ots territory to a people that want to exterminate every Jew on the planet ? Why would they establish a Nazi country in their backyard,2025-11-22T06:47:31Z,1,0,en
Ugx6zn-ty22PayI6zBp4AaABAg,@andreypetrov4868,"""Nail in the coffin"" is apparently very popular expression amongst Jews. Anatily Chubais, another Jew, who was actively participating in destruction of Russia in 1990-s used the same phrase. What should I say ? Nothing. It's not the time yet.",2025-11-22T04:27:44Z,0,0,en
UgwKXqgWyd8iv1dZLNV4AaABAg,@jorgeabud1133,The Jordanian and Egyptian settlers that insist on violating Israeli sovereignity should be removed by force,2025-11-22T00:35:19Z,0,0,en
UgxULXi6jDGQwLgHGAl4AaABAg,@HowardThompson-ux7kf,"While outside observers may think a two state solution sounds good and reasonable, neither side actually involved ever had any intention for that. Israel, views all the Palestinian territory as rightly theirs and the Palestinian authority, deep down, wants Israel to not exist (Hamas says this explicitly). Each wants a one state solution, just with different sates.",2025-11-21T23:30:44Z,0,0,en
UgwPmbdYVnKRLwMqs7l4AaABAg,@pichkes,"You're just making us laugh, all the mentally ill people who are still talking about a peace agreement or two states. There has never been such a possibility and there never will be, and it's only because the Arabs are not willing to accept any agreement that doesn't include the death of Israel. Israel also understands that it is time to put an end to this and do with our territory what we want",2025-11-21T21:25:45Z,0,0,en
Ugxf05xOlxqr-VcOdg14AaABAg,@wildwildseth2461,Israel is so Evil,2025-11-21T20:15:36Z,0,0,en
UgzWBp9jkG-IioKU9EZ4AaABAg,@mrdcjohn,I’m noticing those who talk about two states always and without exception exclude involvement of their own state. IOW 2 states anywhere but here,2025-11-21T18:51:59Z,0,0,en
UgyrG8w_J9YGUkgB8GJ4AaABAg,,"Jews didn't accept Jesus, do you guys really think they will accept Palestinians?",2025-11-21T18:48:46Z,0,0,en
UgyN2o44g25hVEvH9q54AaABAg,@terapode,Good. Wipe out the idea of two-state solution.,2025-11-21T17:54:40Z,0,0,en
Ugz6H8hdlvzwR-Z45Tt4AaABAg,@MaximusYoutubeius,The 2 state suggestion,2025-11-21T17:11:53Z,0,0,en
UgxgHqHM1MRHGU_BVnd4AaABAg,@colinburr1546,Only Hamas has committed genocide.,2025-11-21T17:11:14Z,0,0,en
UgymqwxjBM1AYVDLJ8d4AaABAg,@FIRE-zt6vw,"WHY SHOULD WE REWARD THE PALESTINIANS. THEY STARTED A FEW WARS AND TRIED MULTIPLE TIMES FOR GENO. AND YOU WANT TO REWARD THEM AND FEEL SORRY FOR THEM. THEY GET WHAT THEY GAVE. NOTHING MORE NOTHING LESS.

THEY GAVE BLOOD WAR AND GENO. SO WHY NOT GET BLOOD WAR AND GENO. AN EYE FOR AN EYE I SAY. YOU DONOT TREAT EVIL WITH GOOD. ESPECIALLY SINCE THAT HASNOT WORK FOR THE LAST 80 YEARS GIVE OR TAKE.

THIS CHANNEL IS A JOKE. MAY AS WELL WE LISTEN TO BBC TO TELL US THE TRUMP SPEECH",2025-11-21T16:29:47Z,0,0,en
Ugyf-CzT36EQ_NZctTh4AaABAg,@FIRE-zt6vw,soooo much lies on this video. atleast tell some facts and not feelings,2025-11-21T16:26:28Z,0,0,en
Ugz3jK9QIsil43YZj1t4AaABAg,@FIRE-zt6vw,"you can never trust muslims for peace. thats also includes palestine.

is like trusting a wolf to guard your ship. or a thief to protect your stuff",2025-11-21T16:24:43Z,0,0,en
Ugy0nzlrZALBzPwS_BB4AaABAg,@jd0monty,international law only ever applies when its not america or israel. im an american jew by ancestry and this is bullshit and they NEED to be held accountable,2025-11-21T15:31:58Z,0,0,en
UgwWH3oIAu0Rc6jEO8J4AaABAg,@ballenboy,"If only the palestinians (arabs) could move to another arab country, there is over 20 such. If only the palestinians (muslims) could move to another muslim country, there is over 40 such. The jews and judaism has nowhere else to go. so. Shooo!",2025-11-21T13:02:36Z,1,1,en
UgwTF0VXlMGqioooqKZ4AaABAg,@jameshou1174,"I just think funny to say about the ""ethnic cleanse"" or ""palestinian expel"" in 1948, and absolutely disregard the ethnic cleanse the palestinians did to the jews since 1900s until 1948, attacking villages and doing slaughtering - even incentivized by the Jordanian leadership and local imams at the time, to the point some even meet with Hitler asking for military support.

Is far to tell the whole story and criticize the wrong doings, but in a complicated conflict, to be partial and just show one side's wrong doings is absolute intellectual dishonesty.",2025-11-21T11:32:21Z,0,0,en
UgyU9FtBGDrBlvdi9MN4AaABAg,@nathanmielke1977,I compare Israel and Palestinians to some evil HOA conflict on lawn height.,2025-11-21T05:06:55Z,0,0,en
