Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgxJU_mqnmmyuhyfA9Z4AaABAg,@trentoncastle,How has Honda not built  snowmobiles?,2025-11-24T06:45:22Z,0,0
Ugx2gmdA_eS0D8GnlBx4AaABAg,@jesuschrist8,The Japanese are making it easy for China to carpet bomb their population. That's how considerate they are. 😢,2025-11-24T04:33:56Z,0,0
UgyZRxFUmlkSORBEVON4AaABAg,@100percentSNAFU,"Why is so much of the landmass of [insert country name here] so sparsely populated?  Answer : Mountains, deserts, swamps, or tundra.  There, just explained every single video of this type in a few sentences 😂",2025-11-24T03:25:29Z,0,0
Ugz7f2x_6UB6h2s1HMd4AaABAg,@whyarehumans,"So wait, which countries actually are spread out evenly?",2025-11-24T03:03:21Z,0,0
UgyvBQGNcFv3fXjALm14AaABAg,@Light23K,No. Your math is wrong. There is zero country where 90% is empty. If you draw a map and sharpie 10% of any country you’ll see how silly you look.,2025-11-24T01:10:10Z,0,0
Ugz_TG6W5-H2EIdLsZF4AaABAg,@CandyThePuppy,_rubbing hands together_ it's free real estate~,2025-11-24T01:05:10Z,0,0
UgyHrUg7LrYJtnwUKvF4AaABAg,@EpicCorn0,URR DURR what do you mean this country isn't comprised ENTIRELY of urban areas? It must be EMPTY then!,2025-11-23T23:02:13Z,0,0
UgwCz2J0Fhwg3NnR-Ad4AaABAg,@SteelSagas,"This has to be the most misleading ""X% OF COUNTRY IS EMPTY"" title ever.

The ""empty"" part of Japan has the same population density as Germany. Or for that matter, China. It's only ""empty"" in that it's not a sardine can.",2025-11-23T20:31:15Z,0,0
Ugy5iZgoSRokm9OB-sh4AaABAg,@alijohnstone,Did you film these animations at night?,2025-11-23T19:59:47Z,0,0
UgzBxrJjTsGVkdKRg7R4AaABAg,@AnomalousURL,"Finally, been waiting for your content....❤",2025-11-23T18:09:33Z,0,0
Ugwbrn3Whs5Q3A4J81F4AaABAg,@SexyAsianL33T,You pronounced Edo wrong.,2025-11-23T17:50:44Z,0,0
