Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgzdfaXdcRLjPUeUu_Z4AaABAg,@kentokae,ishowspeed is a good irl streamer,2025-04-19T06:00:23Z,0,0
UgyG_i1DaYi7UQ63K314AaABAg,@nightfox6738,"I'm an American whose been living in Japan for about 8 years now. I love it here. I speak fluent Japanese and have acclimated to the culture, the people are really friendly, it's incredibly safe, it's just a great country. People like Johnny Somali really piss me off. There's already a stigma here against foreigners and people like him just make it worse.",2025-04-06T10:59:05Z,0,0
UgwkaxLm4P26sM0y4eF4AaABAg,@gutshotninja5757,Japan is handling this issue way better than other countries. I hope they get a grip on the immigration as well. Would like to visit there and the culture not be destroyed. Much respect Japan.,2025-04-01T05:41:30Z,0,0
UgzY4Yq6LKjNKXmrQOp4AaABAg,@Jommysolumi,Andrew Ditch is the #1 streamer of all time,2025-03-12T13:02:17Z,0,0
UgyWMzZ0mod0OSUNJfp4AaABAg,@Marcus-yn4yh,asian andy only good IRL streamer,2025-03-09T23:55:37Z,0,0
Ugzo4o1hb7GrOEaKTvF4AaABAg,@MordredMorghul,"""this guy has made a public nuisance of himself, not much you can do to springboard into something else.""

Do we live on the same plane of stupidity? An idiot criminal made it to president of the US... again... like the same guy... There truly is no such thing as bad publicity.",2025-03-08T18:20:04Z,0,0
UgwtTlHlYzZ5yJeTVR54AaABAg,@l..l_,"Anything you do that annoys or aggrivates someone  else in public falls under the misdemeanor ""Disturbing the peace"". But im pretty sure recording in a private establishment breaches the federal wiretaping act.",2025-03-06T13:42:30Z,0,0
UgwfB72VwoJmFIiNlFp4AaABAg,@localtavernsluteplayer2182,"I agree with snitching, if we let this keep going regulations will change who has access to tourism visas and there may be more barriers added to keep people from western hemisphere countries from being able to get into east asian countries.",2025-03-06T04:44:26Z,0,0
Ugw9FhO48_LtMryXU4d4AaABAg,@localtavernsluteplayer2182,"I used to live in Vegas, all of the casino carpets are loud and ugly. It's done on purpose.",2025-03-06T04:21:40Z,0,0
UgzmIz5IJdoCOb007XF4AaABAg,@localtavernsluteplayer2182,Pewdiepie is the only person I've seen stream his daily life in Japan while also staying polite and respectful to japanese customs,2025-03-06T04:19:24Z,0,0
UgwOueY3K7zhV6H_V6d4AaABAg,@terminatevader,the dude in the thumbnail looks goofy af,2025-03-04T13:34:29Z,0,0
UgzeDXkLWFH7K2Mp6fN4AaABAg,@nekomanz,When bad streamers go to japan to to annoy people there cues they know how nice they are. Idk how you can be that low of a person...,2025-03-03T17:44:16Z,0,0
UgyIUgv3Rc-LEPKAVGZ4AaABAg,@Trevysn2415,That’s an interesting looking 51st state passport?,2025-03-02T19:14:26Z,0,0
UgysSNaxkfiy8VKZJO94AaABAg,@HandheldGamer1991,There are a lot of vwry small channel v logers that are kond and just fil as theyvtravel and visit convebtions being just good ppl but of course all the big ones are assholes,2025-03-02T01:37:49Z,0,0
UgxpfgY0_5lfqrvdLUl4AaABAg,@sesqwe1693,Robcdee and premier two are both goated veteran irl streamers that live in japan and go out drinking often and film their whole stay while maintaing respect to their enviromemt. No harm done nor crime committed lol.,2025-02-28T09:35:50Z,0,0
UgyWF_OnJF5keyzuTpt4AaABAg,@yu-hunghuang9451,It is not good when these nuisance supporters treat these nuisance streamers as heroes.,2025-02-28T05:47:41Z,0,0
UgxQghoh3Cl3oGWJvzh4AaABAg,@anonymistubis,I love how the German tourist one really mirrors that one time Johnny got HUMBLED in the Tokyo subway by that one Korean American dude. It’s just so satisfying to see other tourists from other countries just completely pwn these lowlife IRL streamers 🙌🏼😭,2025-02-28T03:14:44Z,1,0
Ugx4FLc6iOa-NqWpSMd4AaABAg,@bobafett4265,"It does seem like there is some wholesome IRL Streamers that are there with the vibes and avoiding all given lawbreaking imaginable, so Japan completely banning live streaming because of some two bit dumbass would be a pretty big loss. 

Honestly these platforms and tools that let people create this trash should be held accountable, cause once again it makes them look bad as much as the Trouble Making Streamer.",2025-02-28T00:54:01Z,0,0
Ugy6sn_bRO6Z4Tr6Xe54AaABAg,@miaschannelforcommenting,"i'm just getting this mental image of like, that one domino effect meme where we have ""Ice Poseidon banned off twitch"" at the starting domino and ""modern day nuisance streamer Tsujigiri"" at the other end",2025-02-27T18:51:28Z,0,0
Ugy9w9c_Qf3Jm6Zp2554AaABAg,@andredavis8614,jakenbake probably the only IRL streamer to be a decent human being,2025-02-26T18:18:58Z,0,0
Ugxf6tp7mzQGsdBoEgp4AaABAg,@ejushka4738,"If you are interested in more polite and respectful IRL streamers in Japan, I would highly recommend PremierTwo! He is a really nice guy who has recently started a weight loss journey and is streaming it on Twitch. He constantly makes references to 90s media and is genuinely one of the funniest guys I have ever watched on Twitch. I also love Robcdee, who is basically streaming every day in Japan and captures the beauty of Japan. I also absolutely love CDawgVA, and although he is more of a variety streamer than an IRL streamer, every time he does an IRL stream, it is the most respectful, entertaining, and professional stream you can watch from a foreigner in Japan! ♥",2025-02-26T12:09:38Z,0,0
UgxCvPoXbXX1Hfb53r94AaABAg,@kuskolio,"I'm Japanese and  have lived in Tokyo, Japan my whole life. But I have never seen such disrespect towards Japanese people from tourists during my 30 years I've been alive. A lot of Japanese are fed up with tourists. We want to accept them with open arms, but they keep on causing trouble and being disrespectful. 
Not only does it make the Japanese people angry, it doesn't help the foreigners who live in Japan full time. They start to get hate shown at them, because these tourists that know nothing about common sense or respecting another cultures.
郷に入っては郷に従え",2025-02-26T08:44:28Z,2,0
UgxIzGV4H5cIkoOwZ6V4AaABAg,@sup3rfunk,"Cdawgva comes to mind, when i think of irl livestreaming which is enjoyable",2025-02-26T04:15:36Z,0,0
Ugw-IYnPZgXRZbW9-1Z4AaABAg,@excalipoor,Started playing Judgement recently. It’s my first yakuza game. Interesting. Can’t wait to play like a dragon.,2025-02-26T03:39:34Z,0,0
UgzWLh_LJNOlWI06USR4AaABAg,@TheBipolarExpress563,Muta with the casual Glock placement 😂,2025-02-26T00:39:01Z,0,0
UgxZnfnoh3o7I-v2Brh4AaABAg,@jessien5793,I love HAchubby. Really love her IRL streams,2025-02-25T19:31:45Z,0,0
UgwCRfrmi6Cl-1glzkp4AaABAg,@Avalune,"lol, just accidentially tried the new YT feature for translation and listend to mutha with a german female voice xD",2025-02-25T18:46:06Z,0,0
UgzWfe8S19Jn1VoIUK14AaABAg,@CallofDutyBlackOps28,Honestly Johnny should also be tried in America for slandering; but then again it's not like half the people that live here in america are great either.,2025-02-25T15:57:28Z,0,0
UgyH6FrMlgkVHRvq15x4AaABAg,@CallofDutyBlackOps28,just going to take a second that that Canadian passport looks fucking amazing.,2025-02-25T15:47:38Z,7,0
UgyoJ8kLFzeK6Ln27AF4AaABAg,@DarknessProphet,"I believe it was someone from Lotus Eaters who said that you can follow the live erosion of Japan's high trust society due to all these foreign ""influencers"".",2025-02-25T15:02:03Z,0,1
UgwgOsUPMVk5-1aMHOJ4AaABAg,@AxisZtv,"Jinnytty is a dope IRL travelling live streamer. Insanely high quality setup, travels the world even to some remote places and isn't a public nuisance.",2025-02-25T14:44:48Z,1,0
UgzM-VoGAtboZdFFVAl4AaABAg,@ZeroSpearow,is it true that he entered canada illegaly?,2025-02-25T14:38:01Z,0,0
UgzXt-DPT10a7mgX-j94AaABAg,@YapatononskibidiinohioYapper,U would think they are selling their souls to the devil for these but if u stop and think for a moment the devil wouldn't even want 0.01%,2025-02-25T14:24:31Z,2,0
Ugz8frFGb37wSxxl3jd4AaABAg,@CW_513,"OniGiri does irl walking streams in Tokyo, pretty sure she hasn't caused any issues",2025-02-25T13:45:00Z,8,0
Ugxrkkk9Kkpktq5AwAp4AaABAg,@mcchicken8694,believe it or not but there is a lot of homeless people that chose to be homeless,2025-02-25T12:54:33Z,0,0
UgyD_P709xVHs16S7Zt4AaABAg,@fat-turtle-420,That's such a bummer seeing people just troll Japan.  It's such an awesome country.  Hopefully they don't get too jaded to tourists,2025-02-25T12:48:44Z,1,0
UgwG22Fpi5_yxK7I73R4AaABAg,@warrenbailey5469,this guy needs to slow down,2025-02-25T11:12:56Z,0,0
Ugx6Q-h5df8oajp18N14AaABAg,@tsunekakou1275,15:44 getting chased by an anime mc... that's scary.,2025-02-25T11:12:47Z,0,0
UgxPdJxnoEUyN0OmrrR4AaABAg,@ceoofgiroexpress1942,"Vietnam, South Korea, Japan and somehow even China, i have seen these streamers everywhere.",2025-02-25T10:48:34Z,1,0
UgxUrCDPxazp4AvhCPR4AaABAg,@novrinkov0053,He was just holding back his anger because he was at work; Japanese people try not to get angry while at work.,2025-02-25T10:42:04Z,1,0
UgyOn9AIrq7PveV782p4AaABAg,@bobjeandulac2797,"no one notices the ""MUTAHARD"" ? 😁",2025-02-25T09:37:19Z,1,0
UgwF-gIcX_wdPaOyhVN4AaABAg,@sniperhawk6969,Sora The Troll is a good irl live streamer,2025-02-25T08:22:33Z,0,0
UgzWRgfVhs9fnRSVd8B4AaABAg,@saifdes,"1:29 there’re actually quite a few. if we’re talking specifically about Japan, most noticeably is robcdee (Twitch) he almost streams IRL daily in Japan. there are also some streamers who aren’t mainly IRL streamers but do it quite often, CDawgVA (Twitch), PremierTwo (Twitch). these are all very respectful streamers who have quite the reputation.


one thing I was worried about the most is if those Kick degenerate streamers will paint the entire IRL streaming community as degenerates, especially in the eyes of those who aren’t familiar with the community. it seems to unfortunately have been happening! those are the minority and they get the most eyes on them because the disgusting shit they do, don’t let them drag an entire very respectful and entertaining form of content down with them.",2025-02-25T08:15:50Z,8,0
Ugxnxyhogy0BgmU_Vy54AaABAg,@IgnatiusGoh-h7b,IRL Premier Two Pete - wholesome streamer,2025-02-25T08:10:54Z,0,0
Ugx4Ho0waHnKgU08NqZ4AaABAg,@coolbeans11333,All IRL steamers should be banned in Japan.,2025-02-25T05:51:46Z,0,0
UgzcSv49Uu-UBiuruKt4AaABAg,@watchmelivenstuff,Theres plenty of IRL streamers that dont do much and are chill in japan. I must say even content creators that shed light on crap steamers are using them as a symbiotic relationship with them. Dimming the light on good streamers. Now people think almost every streamer is bad. But i guess you also gotta get clicks and views.,2025-02-25T01:17:56Z,0,0
Ugzj9mK-AXktlkjOATV4AaABAg,@psyOmicron,"10:32 not just that, the Japanese insane standard of service etiquette is to always smile, be friendly and helpful. Anything less is considered extremely rude, and if the staff that get snowballed even showed frustration, there is a real possibility he could lose his job. So yeah, it's either keep smiling and waving, or lose your job.",2025-02-25T00:59:23Z,0,0
Ugz3kOB8NUBbc2WumnN4AaABAg,@finnishview2933,I wonder how they can do crazy sh*t to people and walk away unharmed? Do that to wrong person and you are unalive very fast.,2025-02-24T19:49:02Z,2,0
