Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwsWjjU-iXr3avIwmN4AaABAg,@TJ-FrancisBeats,"Played through 3 times over and got Foxhound rank going for the platinum, haven't had ANY issues on PS5. Maybe some framerate drop when you're blasting the Patriot for too long, but that's it.",2025-09-16T14:14:21Z,0,0,en
Ugyh5DYgkCNpg0xW1tx4AaABAg,@CajunSpider17,I’m running it on PS5 Gen 1 digital and in high res and I’m having zero issues with it lmao.,2025-09-10T19:41:32Z,0,0,en
UgxvsX1GnH8cI7qY8pV4AaABAg,@dusmigais,"This is one of the best YT channels rn, it's both entertaining and informative! love it!",2025-09-05T21:10:34Z,0,0,en
Ugyji-Qlz5uj2mEaZEd4AaABAg,@StarDragonJP,"""Nintendo doesn't have this issue""
Have you not seen the Pokemon games?",2025-09-01T14:43:54Z,0,0,en
UgyYUh2n6fbN6G2ecxZ4AaABAg,@shinra358,"on rog ally, it looks like thanos snapped his fingers. particles floating everywhere. 15 fps xD",2025-09-01T03:34:26Z,0,0,en
UgyIJNoig_JjA9i2UQt4AaABAg,@dertiesprite2844,Bro this is raigebaiting at this point 😂,2025-08-31T21:33:10Z,1,0,en
UgzHfArWE8PQmJo6FFN4AaABAg,@EmperoroftheVoid,"I hate the just emulate arguments. Like my guy, I DON'T HAVE THE PHYSICAL DISC WTF AM I SUPPOSED TO DO?",2025-08-31T21:13:34Z,0,0,en
Ugw5gqozzaJOF_xTC4R4AaABAg,@ShaneFagan,"It just goes to show how good the original engine was for the time, it was good looking, ran smooth and still holds up. Then they do a remake of the game with the newer engine and it has the same limitations but blurry, inconsistent and doesn't improve the experience in any way",2025-08-31T10:30:45Z,1,0,en
UgyRjKLWkViG1I7u-7x4AaABAg,@tom_britton,What a fanny.,2025-08-30T11:15:11Z,1,0,Other
UgxKFkeJ5ayK8JGwDH14AaABAg,@tacokings626,"appreciate you saving me $80 broth3r, thank you i sub and i wish you the best",2025-08-30T05:22:25Z,1,0,en
UgwQU4B5nTabEDOEL6x4AaABAg,@devinhaddad8646,Love this guy,2025-08-30T03:36:46Z,0,0,en
UgzA72uqBIH0XingsKh4AaABAg,@YuniorGamboa,MGS 5 was peak,2025-08-29T23:52:59Z,2,0,en
UgySCh2fKK0AcsADO6t4AaABAg,@GentleGiantAudio,It is incredible.,2025-08-29T17:15:12Z,0,0,en
UgxxryIvpMeXDbIkGnx4AaABAg,@TheJohnold,And he bought it anyway 😆 🤣,2025-08-29T05:21:50Z,2,1,en
Ugyidv4zCkXYjdIQz6h4AaABAg,@JosephVice,I was an hour into Delta and could not get 30 fps on low settings.  Was getting like 15fps.  Thanks Steam Support.,2025-08-29T02:10:43Z,0,0,en
UgwmQXGzLZ-p4Q5iKyJ4AaABAg,@Angun-o5h,"Every UE5 game that has come out is either a very badly optimized game due to a bad dev team or either the lighting looks like crap because you need a 4000s nvidia gpu or amd equivalent to be able to smoothly run the lumen lighting At high settings since low settings just makes everything look flat and medium is nothing really to look at either, not even talking about ray tracing. UE5 may be easier for devs to work with, but apparently game devs can't make good running games with easier to work with software. IDK Why  they keep making games with this engine with its track record.",2025-08-29T02:09:32Z,1,0,en
UgyRl7Tut4ru35I2nJt4AaABAg,@dr.crispy810,Plays fine on my ps5 right now,2025-08-29T01:52:29Z,0,0,en
UgwuNCVqVcNEN8zd0WB4AaABAg,@nrcsoundscapes,Indian Rodney Dangerfield lookin' Ah thumbnail. My boy Muta goin' hard in that photo.,2025-08-29T01:46:52Z,0,0,en
Ugwq22YrMSsQdPmzKKx4AaABAg,@ishanramen5254,"This is by far one of the worst take Muta has ever had. He is saying to play MGS 3, which is fair, but the way he wants you to play it is to emulate it. I don't need to tell anyone how hard it is to emulate a game if you don't the PC capabilities to emulate and run it, but I guess Muta doesn't care. I am 100% sure he is going to buy Delta, so it was a waste for him to make this video.",2025-08-28T21:09:38Z,0,0,en
UgxhwzMg0CNLFkdXpQJ4AaABAg,@Cb0ne2001,Radbrad mentioned 🥳🥳🥳,2025-08-28T20:25:40Z,0,0,en
Ugwnb7zkjVzBoDb6ZI94AaABAg,@RatBoyTriple6ix,He’s gonna buy it anyways because he has no self control,2025-08-28T20:19:50Z,4,0,en
Ugz0KNjxmqqS1UN6Akl4AaABAg,@catmaster7370,besides occasional crashes i have had no problem with mgs delta,2025-08-28T14:09:29Z,0,0,en
Ugwk-ZJ5yHOqegzeCm54AaABAg,@kenzee89,man im downloading the pirated version rn even that i felt annoyed hearing the performance imagine people who buy it,2025-08-28T08:39:33Z,0,0,en
Ugz2Fg3TkrfQYZ8Cc1h4AaABAg,@richiereeves4071,Your hating lol. It sucks it dosnt have a goood framerate. But that it. So many remakes suck. This one is a good remake.,2025-08-28T06:26:18Z,0,0,en
UgyLUACTGE5eKQ0TRPx4AaABAg,@BC-on7uf,"*Spoliers*
I don’t understand the issue. I have a base PS5, and just completed the torture sequence. I have had 0 issues whatsoever so far, and am having a blast.",2025-08-28T06:14:18Z,0,0,en
UgwfkIHYXb1nv5fD_D54AaABAg,@MrSimonsays2592,Update: he bought it. Lol,2025-08-28T04:17:57Z,3,0,en
UgxvooqPZ3JM44kQUM14AaABAg,@loztenzboy,spread what mutha?,2025-08-27T23:41:38Z,0,0,en
UgzdzSCnsNTiTI8MRe54AaABAg,@Oregoono,"i've been having a ton of fun with it. there are some bad frame drops, especially in sections with water/rain, but for the most part it's just as fun as the original with a good chunk of QoL improvements. as someone who loves and appreciates the original mgs3, this is incredibly faithful to that original release, easter eggs and all (even includes some things from subsistence like the secret theater). i can't speak for everyone but i am quite happy with my purchase and i can't wait to fight the pain later after work :)",2025-08-27T20:20:35Z,0,0,en
UgxPn70fNdbJh85mKzt4AaABAg,@Shyco8421,"Im really enjoying it but ive got a 4090, playing on ultra with 60 fps no drops whilst streaming on discord",2025-08-27T19:29:16Z,0,0,en
Ugy7Wo2Rbm_nLEwFWhh4AaABAg,@Coperlite-Consumer,Unreal 5 sucks so bad,2025-08-27T19:22:29Z,2,0,en
UgwFZ6R_fTyPmbBaD2t4AaABAg,@żółwiezawszebitewzonie,50fps on rtx3060? Maybe hes running the PAL version of mgsdelta...:v,2025-08-27T18:04:31Z,0,0,en
UgykCYcMyDWjQDGJCVx4AaABAg,@slipperybogles,"What Muta conveniently leaves out in this video is that MGS3 is notoriously tough to emulate, it made heavy use of the PS2's analog face buttons for different inputs. Controllers don't have analog face buttons anymore, very few games made use of them and the feature was scrapped. 
Your options for emulating are either

A. get a DualShock 3 (the last controller to have analog face buttons) as well as the software required to connect it to your pc
or
B. bind a button to be a ""pressure modifier"" which you can hold to get those alternate inputs form the face buttons, however MGS3 makes use of every button on the controller, so you'll have to unbind an ""unimportant"" button and lose it's function in the game

Neither of these options are convenient, it's so much easier to just buy the remaster where the controls have been reprogrammed to work on a modern controller. 
I don't understand why muta constantly gasses up emulators as some universal band-aid to bad rereleases without ever bringing up the obstacles people will face when they try to emulate these games.",2025-08-27T17:05:38Z,0,1,en
UgxscfATTOy6g_rRy-B4AaABAg,@Roach606,"Anyone complaining about Muta talking about this but then buying it, you’re the problem. Cause you think that Muta as a reporter can’t complain about the game and report on it. That doesn’t nullify his opinion.",2025-08-27T16:32:36Z,0,0,en
Ugw5L4-smh714O-ydSZ4AaABAg,@quagmire1130,Just picked it up and I haven’t experienced any problems… I’m using a ps5 btw,2025-08-27T16:08:41Z,0,0,en
UgwHQAMfWFwTWrkhIfR4AaABAg,@Kerbalnautics91,Idk I’m at the pain rn and only experienced 3 stutters in fps and that was in the cutscenes,2025-08-27T14:48:09Z,0,1,en
UgwbzTSAnQNXK_TSv0d4AaABAg,@finz7175,muta and i have the same mouse pointer 🤠,2025-08-27T13:57:04Z,0,0,en
UgxsXVAHd71WB2Si1Ip4AaABAg,@JTaylor2K,this game makes stalker 2 look optimized,2025-08-27T13:08:06Z,1,0,Other
UgxP-b4gSJ_avwoGG994AaABAg,@robingp,“MGS Delta looks rough”…then proceeds to buy the game….,2025-08-27T12:22:48Z,1,0,en
UgzCdYM27V_TMM5D6RR4AaABAg,@vijaywestbroek7861,ppl get 1% lows at half the fps even on lowest resolution with lowest settings gotta admit thats kinda funny,2025-08-27T11:49:46Z,0,0,en
UgwEvsDSI7kLjeVFRTl4AaABAg,@Reptile,"I'm playing it right now and it's absolutely incredible, beautiful gameplay and I haven't encountered any bugs, glitches or massive frame drops. Series S, not even an X.

I think this marks my departure from this bundle of sticks channel. This guy has shit opinions and doesn't believe the shit coming out of his own mouth. I tolerate ZERO MGS slander.",2025-08-27T09:50:35Z,1,0,en
UgykiG0DZR1Dfmc3Yfp4AaABAg,@kenshii9d147,I hate unreal engine 5,2025-08-27T08:39:04Z,0,0,Other
UgzbwsOE3u242nn7YmN4AaABAg,@closusars,Mutah What are your thoughts on BO7,2025-08-27T07:37:33Z,0,0,en
UgybiurYQFlV72VnfdF4AaABAg,@sushiboots,Wow everyone is really blowing this insanely out of proportion. It's sickening honestly. Game runs absolutely fantastic. I'm about 5 hours in and have experienced absolutely ZERO hiccups. Everyone wants to glaze Kojima but forget that MGS4 dipped to like 5fps regularly when you were doing anything other than basic sneaking. Yet that game is praised to high heaven. You ppl need to get a grip,2025-08-27T04:19:00Z,4,1,en
UgxuHt8xfgZqiSeAHj14AaABAg,@meaniemcmeanface,"dude youre not smart, the gameplay areas being split up are INTEGRAL to the gameplay design and balancing, just as previous entries. MGS2 had even smaller areas and it was all split up. Its meant to be a 3d translation of the MSX games and thats all there is to it. Never speak on video games again.",2025-08-27T03:57:51Z,2,0,en
UgxJ9VUsGbB9Vcee5a94AaABAg,@kameshouse9474,"Buy story mode games on console, simple",2025-08-27T03:26:13Z,0,0,en
Ugy1S-_WQkMIyxpsZ2V4AaABAg,@Fergotronics,"They had the audacity to charge $129 aud for this, luckily I've got an ayn Odin 2 so I can just play the original release of subsistence in 1080p on my handheld and it doesn't cost me a dime",2025-08-27T02:26:42Z,0,0,en
UgzNuevuf5cVCKud89R4AaABAg,@XxNegative1,"Got mine for $61 plus there's going to have a patch for this. It's like cyberpunk, so im not worried.",2025-08-27T01:22:30Z,0,0,en
Ugy8XBMiXQhUHQSJ-1B4AaABAg,@AdeptusSkibidicus,the fake jobs this guy has are pretty rough too,2025-08-27T01:00:43Z,1,0,en
UgxAfegcZB0UDhWm3RB4AaABAg,@jpferriera10,7 crashes within 119 minutes.. on a ryzen 7 7800 / rtx 4070 super .. i had to refund my money .. sad sad day,2025-08-27T00:16:43Z,0,0,en
UgxVMo5uTDOWz8a3p2Z4AaABAg,@Gin-toki,"If people want great games (again) they should stop supporting slop, that includes prepaying for stuff.
As long as people pay for slop, they will continue making slop, because it earns them money.",2025-08-26T22:05:35Z,0,0,en
Ugz3EbcpqsyeuwyQ4Hp4AaABAg,@reezy2ohneezy521,Man... I have the Xbox 360 MGS 2&3 still installed before it was de-listed. Is that the superior version now?,2025-08-26T19:58:43Z,0,0,en
Ugz793C_ln9X6R9x0TN4AaABAg,@nuen4472,so youre a game developer now?,2025-08-26T19:51:12Z,3,1,en
Ugwg5AQygK3jbcr_22N4AaABAg,@MBeats27,it doesn't look rough it looks good but the frame rate is shit at times,2025-08-26T19:09:35Z,0,0,en
UgxtlVX84KsiVibtjmt4AaABAg,@lucasgaudio3720,Are you gonna buy it anyways like with the switch? Lol,2025-08-26T18:57:43Z,1,0,en
UgxoSZV5SV7MO-gUniR4AaABAg,@erichcas1778,"""im An EnG!nE3R""",2025-08-26T18:54:57Z,3,0,Other
Ugx0mOqWCK6vv9x3P3N4AaABAg,@kale4808,"I just started playing and haven’t tested frame rate but I don’t see a full “issue” with this, considering the feel of felt like 60, and yes the argument of “we can really only see 30ish” if it was a full 30 sure, I’d hate the difference,  however seeing no full performance issues I can’t say that I’d feel any difference (I am running a 4000rtx series not sure specifically which but I know that’s a difference maker than a 3000rtx series)",2025-08-26T18:11:44Z,0,0,en
UgyfNjKwNjq4tTWQbSd4AaABAg,@filip8461,"In 2025 need at least 8GB of VRAM. I'm using 3070Ti and everything is running on medium - high in 1080 or 1440 depending on the game. 3060 has 6GB or VRAM as I remember + people cry too much about ""must"" game on highest settings. For me the gameplay is the most important and graphics are secondary or just ""balanced"" DLSS setting",2025-08-26T18:03:58Z,0,0,en
Ugx5ZvhiA4OJlY8BeqN4AaABAg,@magicka56,But I’m a fool for not spending 5k on a PC to be disappointed like the rest of ye,2025-08-26T17:53:33Z,0,0,en
UgzpuRu2w-rwWTMUxgh4AaABAg,@Lenartowy,"Those types of ""remakes"" would be absolutely fine, if released like 10 years ago. 
What year is this crap from?",2025-08-26T17:27:06Z,0,0,en
UgyUeY8U1ZHHg0ZC6Fl4AaABAg,@Mr_Beanzz,If they revealed that it was a ue5 game from the jump I wouldn’t have gotten this fucking bullshit,2025-08-26T16:59:33Z,0,0,en
UgzzxvQ09dEc1P-0QIB4AaABAg,@grangenhocker,Grifting final boss,2025-08-26T15:41:00Z,0,0,en
UgxnHqrH6lYSHvzFZhd4AaABAg,@alonzoweaver7948,Why this dude put that creepy looking thumbnail of himself 🥴😂,2025-08-26T15:29:27Z,0,0,en
Ugw05qsAc2Ika7dIzKF4AaABAg,@davidfernandeztirado3515,Im stiiiill in a buuuug Snake eater ! Not gonna lie im gonna buy It,2025-08-26T15:20:40Z,0,0,Other
UgwAFAQKffw124607o54AaABAg,@mrtoolegittoquit2,"Remember when Crysis used to be the Star Citizen Tech demo of the 2000s….yea, the argument you played 8 bit games 256x224 doesn’t hold water when you compare generational enhancement.",2025-08-26T14:33:18Z,1,0,en
UgzIZs6tSMfuVn9lQN94AaABAg,@TheDeathboy-bz3kw,Sooo you’re running less than the recommended specs and we’re bitching that it’s running like trash on the weaker hardware??,2025-08-26T14:16:46Z,0,0,en
Ugxv7kbOWIYJRjcgRMR4AaABAg,@haggisman0812,Should have got more computer engineers on the job,2025-08-26T14:00:03Z,0,0,en
Ugy0-ZR_3PBPSmp-Q2B4AaABAg,@High_Bread,"Played it last night, idk wtf people are saying. I dont even have the pro and it ran fine . Will be playing again in a little and will update comment if i find anything",2025-08-26T13:59:07Z,0,0,en
Ugx1aD2l9cXMg6u4M0F4AaABAg,@EyIsOnly2Letters,You look rough,2025-08-26T13:33:02Z,0,0,en
UgzfdgNVB8Iev4ARV8d4AaABAg,@tazhold,Shout out to my fellow console gamers who dont worry about frame rate issues because most games run like ass 💀,2025-08-26T12:55:11Z,0,0,en
UgxcPC8vE3aIaAcCPw94AaABAg,@ssbtw7,you look rough ngl,2025-08-26T12:40:13Z,0,0,en
UgzoycS9CgLEe7XbLEN4AaABAg,@isakvagen2661,Is it worth buying for someone who have never played a MGS game?,2025-08-26T11:17:49Z,0,0,en
Ugxx9G9OWHqsc8987GJ4AaABAg,@Tdws52s,"4:02 It’s the development cost, because the companies use a lot of money for “realistic graphics” they just toss aside the optimisation and think it would be fine because modern gpus are strong enough to handle it anyways that’s why you get like 40 fps whereas you could be getting like 80, 100 fps or even higher",2025-08-26T11:09:38Z,0,0,en
UgxUNC-Z9R9snGmPjy14AaABAg,@tonygunk86,Its not even freakin out yet,2025-08-26T11:03:35Z,0,0,en
Ugz0a-Ww6hy5flW_XLB4AaABAg,@Tdws52s,0:32 wtf 94 ? And here I thought prices for my region is bad,2025-08-26T10:48:45Z,2,0,en
UgyUgY_5a6cFiQ7EPyZ4AaABAg,@OB.x,"also just started learning unreal, and I agree, ppl using settings they don't get/optimize.",2025-08-26T10:20:06Z,0,0,en
UgzLanxfzickakV_IRB4AaABAg,@OB.x,"This is pathetic. I have a 3060RTX, and when I got it, games coming out that year, that wasn't a remake, or look better, running at a 45FPS, no matter what I do. Dune Awakening has this problem Maybe the recommended is 3070, so my bad, but min requirements are a 1080 GTX. And only way I even get consistent FPS is in upscale mode. Yakuza Infinate Wealth has the same issue, and that recommend is a 2000s series! I'm glad my friendly  -------r (fr i do not get this controversy, I find it funny, but I get if it bugs you), is talking about this, bc I am tired of ppl saying it's my ""settings"". Yakuza isn't unreal 5, dune awakening is. Something i noticed across the board in almost all unreal 5 games.",2025-08-26T10:18:05Z,0,0,en
Ugys1xmZvU0yuTC2Dz14AaABAg,@Riley_B2,"Anyways, we all gonna no-life it later right?",2025-08-26T10:13:19Z,0,0,en
Ugyp9mrk9gQcqpNDog94AaABAg,@h4rdtr,"I don't understand why modern ""gamers"" are obsessed with seemless open levels.",2025-08-26T10:11:52Z,0,0,en
Ugx8x7Vj1AulLJ_2-2p4AaABAg,@vegitoblue2187,"You are wrong on one part. UE5 is also a problem. They broke core frameworks in the engine and falsely marketed lumen and nanite for games while the real use case is film which has  been getting way more support for years.

Their physics engine is a joke",2025-08-26T09:58:34Z,0,0,en
UgzrOJRpV_eVWxm-68J4AaABAg,@sebastianayala5103,"hey i heard that the recommended is a rtx 3080 i have a rtx 3080ti will i run in some issues for the performance, and should i wait for a update",2025-08-26T09:53:38Z,0,0,en
Ugxz6Hwz98b6w2mKcz54AaABAg,@FATMAN162x,"I was afriad of this, but also cuz I'm on a 2080ti which I hear is something like a 3070 in performance.  I should get at least 60fps at 1440p.  On my TN panel which is just 1440p, 1080p looks terrible.  I can stand it for multiplayer games, even co-op games.  But for singleplayer this I can't stand.",2025-08-26T09:02:30Z,0,0,en
UgwiopiWGM8FigIViZt4AaABAg,@creamher,Does this guy even play games anymore? I just looked at his channel bio and it says lets plays and reviews but his  content is just talking about drama? I thought this was a drama channel.,2025-08-26T08:54:55Z,0,0,en
UgzxxyHTjHMUZVhwDft4AaABAg,@ZeR-rm1pf,Even the 3ds version runs better,2025-08-26T08:44:01Z,0,0,en
Ugyrdfh5yN1N-8aEuwR4AaABAg,@CuriousChronicles82275,"If its unreal 5, you will definitely see horse sh*^^(t framerates.",2025-08-26T07:59:03Z,0,0,en
UgxGM1v73sG0QSpdfw94AaABAg,@DeeG7,"I'm no Konami fan boy but I don't think this is a fair observation, the RTX 3060 Is 5 year old GPU and wasn't good when it came out. That's on Nvidia and the people that buy their shitty GPUs, it's like showing it running on a PS4 and being surprised it runs like ass.",2025-08-26T07:48:04Z,0,0,en
UgxaQW6Bh_jTyrI2Kc54AaABAg,@AkaRunner-Gunner,Don’t talk shit about a game and say you not going to buy it and buy it we can’t see you but we know 🤫.,2025-08-26T06:09:42Z,0,0,en
UgxebRKDD_9ufzKxrfh4AaABAg,@AMan-JCIL,Must be a PC issue. I have played it on my Series X and everything seems fine so far. Not 1 issue yet.,2025-08-26T06:02:14Z,0,0,en
Ugy-L-l7_dZ6CqlRIAl4AaABAg,@ViTALiTY5.0,Threat Interactive explains all this shit about how developers are shoving this unoptimized shit down our throats,2025-08-26T05:34:18Z,0,0,en
UgwbV3zGqvPRPsm9C4t4AaABAg,@TheGreatGonzales852,"Posted this in a comment thread below, but wanted more opinions on this, so double posting it here.

UE5 is a problem to an extent, yes. Theres clearly a trend of UE5 games having consistent issues, however the real problem is still publishers pushing unrealistic deadlines to Devs, to satisfy stake holders. 

UE5 games can be optimized too, however currently its being used for quantity over quality. Developers are able to make modern looking games with amazing effects and graphics, with much less effort and time. 

Honestly I truly believe the real problem with optimization in gaming is that tech stake holders refuse to give enough wiggle room to increase the industry standard of 5 years development time for AAA titles. At minimum nowadays, to meet modern demands and expectations of gamers, it should be 6 years, if not 7. So when a publisher decides to invest into a new title, regardless of scope they still try to hit that 5 year mark, and it causes optimization to take a back seat to the rest of development.",2025-08-26T05:29:46Z,0,0,en
UgwvfwcDraCjUuE7yZN4AaABAg,@sclegacy9262,Bro's gonna buy it anyway and then apologize to his audience.,2025-08-26T05:07:28Z,0,0,en
UgxEUfwCyGgb5iIswgV4AaABAg,@Christopher-m2q,Just play it on consol like it was ment  to be played,2025-08-26T04:37:08Z,0,0,en
Ugy5wrOt6yKgK9Vowm54AaABAg,@mattyl9299,I still thing the ps vita is the best way to play all the metal gear games excluding 4 and 5,2025-08-26T03:43:03Z,0,0,en
UgzNdBM1EzpUaXWC29x4AaABAg,@jcsuarezjc4571,"I told friends of mine for months upon months to not buy it,they bought it and complained about the performance 🤣",2025-08-26T03:02:39Z,0,0,en
UgymsyPK01nGJoVtRG14AaABAg,@GagaRan-u5b,Gaming is lame as fuck.,2025-08-26T02:09:08Z,0,0,en
UgyYxzcoiASHa7Etvhd4AaABAg,@QNEGRO1,"I will say this like I said in the past, one player games ok, but for multiplayer online games graphics dont mean anything when you have little kids or other people that are owning you on a map or in a match online PERIOD 😂❤🎮",2025-08-26T02:06:27Z,0,0,en
UgyRiGgInp9TPPRk3fV4AaABAg,@renken7481,That scene from Snake on the cemetery truly looks like something made in Source Filmmaker,2025-08-26T01:34:08Z,1,0,en
