Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugw4SBsPYSm3pPMunP94AaABAg,@cookiezookie7286,Please fix your affiliate links I can't even see some of the captions.,2025-11-23T07:42:51Z,0,0
UgxwBxhzdUq0yPDs5uV4AaABAg,@ichaffee1,Oh..maybe leave those spices out and substitute cinnamon and nutmeg as we do nowadays,2025-11-21T01:24:02Z,0,0
UgzjMi3zWBwHF1m7BdF4AaABAg,@ichaffee1,I'm going to make this pumpian pie for Thanksgiving...I'll let you know what my family and friends think,2025-11-21T01:22:45Z,0,0
UgzEeQa-M7l6UQbjlfh4AaABAg,@annazimmerman864,That. Sounds. Amazing.,2025-11-20T04:23:21Z,0,0
UgxOrZcQ_m_eiU7OkcZ4AaABAg,@LisaWallace-y2d,I can’t find the recipe?,2025-11-15T20:14:39Z,0,0
UgykO38esrjo7lrBx-x4AaABAg,@VorchaKali,That's sounds terrible,2025-11-11T02:13:03Z,1,0
Ugy3qwM9YaUwDlEYwPF4AaABAg,@vikingvic36,I just made this last week and it was fantastic.,2025-11-05T15:14:46Z,0,0
UgxASJOSi7p7-LzIPt54AaABAg,@TheWobbleMethod,It's not pie without Cool Whip 🥧,2025-11-02T22:44:52Z,0,0
Ugw1-nqXL_zdQIwTo194AaABAg,@TY_Tianyou,I don't understand why the Brits used to butcher their own language,2025-11-02T04:53:21Z,0,0
UgwLO3jkwUBK7BnIte54AaABAg,@NetNephew-h8q,"In the 17th century, a pumpkin was commonly referred to as a pompion or pumpion. The modern spelling of ""pumpkin"" gradually evolved from these earlier terms. 
Etymology of the pumpkin's name
The name's progression from Greek to English began centuries before the 17th century: 
Greek: The origin of the word is the Greek pepon, which means ""large melon"".
French: The French changed pepon to pompon.
English: The English then adapted the French term into pompion or pumpion. 
Usage in the 17th century
Colonial America: English settlers in the American colonies used the term pompion for the plentiful orange squash that became a food staple.
Arrival of ""pumpkin"": The name ""pumpkin"" first appeared in print in 1647, and American colonists were likely responsible for transitioning the name from pumpion to its modern form.
General squash names: It was also common for 17th-century botanists and colonists to simply group the new-world squash with more familiar Old-World plants like melons and gourds. Botanist John Parkinson wrote in 1640 of ""gourds or millions, or pompions, or whatsoever else you please to call them"". #GoogleAI",2025-10-31T16:09:34Z,0,0
