Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyvYuMxyjiDBit-VNx4AaABAg,@deandryberg5280,My wife got me the tasting history book. Best gift I've ever received. Bursting with culinary fun and jam packed with knowledge.,2025-11-17T08:36:21Z,0,0
Ugx20ibZslEtwXfB8-N4AaABAg,@luxiewoe,"you used the wrong wine, it doesn’t work now :(",2025-11-14T19:10:23Z,0,0
UgweGSqmdJXQqlTwwRR4AaABAg,@CornerOfPoplar,"I'll forever wait for this guy to finally stop huffing his own farts and admit for ONCE that despite his love for history, cooking, and his talent in cooking, its OK to say ""This dish is best left in the past"" or something that isn't just a smile and nod, it's like hes so self absorbed he thinks since he cooked it, its amazing. nobody would ever eat that crap in modern times 😂 just like the truly disgusting hot berry soup bs he made and then had the absolute GULL to smile and look so proud of that crap he made 😂",2025-11-09T11:32:09Z,0,2
UgzPIjgAebWhqko_gDp4AaABAg,@AnotherWearyTraveler,"""A potion of cheese"" shall be my new gamertag",2025-11-05T15:22:12Z,0,0
UgyHyi8TCLHAh83WdiV4AaABAg,@rocketdog5310,Are you sure it was supposed to be dry goat cheese and not Feta?,2025-11-01T22:08:49Z,0,0
UgxTOyDgKBw25isdFQZ4AaABAg,@spacedaze1860,But the part that turns you into a pig is the super secret special ingredient!,2025-11-01T17:13:45Z,0,0
Ugy9jkryDzv5rp_uaYZ4AaABAg,@EviLReN3,"Whats wrong, honey? You’ve barely touched your cheese potion",2025-11-01T05:10:02Z,0,0
Ugx4_8ZBnshp_Am5FLF4AaABAg,@harrisonlichtenberg3162,You should really try it again with the poison that turns people into pigs,2025-10-31T19:38:03Z,0,0
UgwrMo-t_oJUu65LwEN4AaABAg,@riccardoc2524,I love that greek bowl,2025-10-31T08:20:13Z,0,0
UgxdrxcaoKyxTVrZ_6l4AaABAg,@FIXTREME,Potion= Alcoholic kasha. Got it👍,2025-10-30T02:28:56Z,0,0
UgwWj1YajP_gIXwPSON4AaABAg,@bringurownvibe,I'm VERY disappointed you didn't turn yourself into a pig.,2025-10-28T17:32:46Z,0,0
UgyGsJASD_qHTAOiUaB4AaABAg,@coolhandphilip,Sorry but it looks disgusting.,2025-10-27T01:39:50Z,0,0
UgzRhnhocSkWABT-ZpR4AaABAg,@LEHK-h9m,"There's supposed to be LSA in it, which is like LSD.",2025-10-26T15:41:54Z,0,0
Ugz1vJGPWU3prMqEV4F4AaABAg,@6la6ni6,nah the pig poison is fundamental to the integrity of the recipe,2025-10-24T03:26:46Z,0,0
UgxDlmA9qWS0GdLeG1x4AaABAg,@NatalieAdeeli1984,I think it's more of an early version of a cheese cake or vanilla pudding rather than a drink.,2025-10-21T13:34:59Z,1,0
UgwyXofK10O7aMAydpV4AaABAg,@samuelemery1994,Yeah thats fuckin disgusting.,2025-10-20T05:22:29Z,0,0
UgzmTfECypxyIKTbnBt4AaABAg,@Rogerio-m7p,"Max Miller ❤ in the mix.
Roger Portugal 🥰",2025-10-20T03:44:12Z,0,0
UgyFJaqHR7hZYWiFWh54AaABAg,@plagueCLUTCH,I don’t think it counts as a potion or drink if you have to chew it. That’s soup or stew at least,2025-10-19T18:13:16Z,0,1
