Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugzgi9A_d2w4k_OaH_h4AaABAg,@mikeez4013,Funny that this pops up now near 2025 Christmas,2025-11-25T11:39:43Z,1,0,en
UgzLlA5-4VKPATkEyk54AaABAg,@PelosiStockPortfolio,"I make oatmeal.  The recipe is half cup of oats, 1 cup of water, 2 minutes in a microwave.  Add blue berries when done",2025-11-24T03:37:03Z,0,0,en
UgzDA3vhcN8yizJpt0h4AaABAg,@Ms.Kelani,18:50 exactly why I LOVE quinoa and roe. Love the popping sensation.,2025-11-20T10:08:44Z,0,0,en
UgxBXJNiUB5lfCsW_Rt4AaABAg,@symphoricquoz,"""Oh no, I'm starving and I'm deep in this cold fantasy underground dungeon, whatever shall I do...?""
The humble dryad radish: 15:27",2025-11-17T06:01:03Z,2,0,en
UgwUYwuDCfglFSnQBa14AaABAg,@tanyagaisner6146,The roof the roof - the roof is on fire 😅,2025-11-12T22:29:06Z,0,1,en
UgxfZvnjO-91yK2ugSN4AaABAg,@TP1988,"Whole wheat / barley porridge with milk, egg and a few spices is an insanely healthy meal tbf",2025-11-11T00:20:23Z,1,0,en
Ugz4xJNESQ2AwQC6tFB4AaABAg,@tonigipp6808,"I travelled to Tajikistan this summer and stayed at a homestay where they served pretty much exactly this dish, but they did add sugar hehe. It was super delicious and now I finally know what was in there! Thank you for these incredibly educational videos :-)",2025-11-06T17:42:16Z,0,0,en
UgyBOX8lekwEqR3Z0h14AaABAg,@Geoff-m7j,Great lesson in history Max.,2025-11-06T08:32:45Z,0,0,en
UgzgBWpVNWrRPmLh0Dd4AaABAg,@darlenebertholet,As a modern peasant I appreciate you posting these,2025-11-04T21:11:11Z,0,0,en
Ugy6xb9JGX2axk75wXV4AaABAg,@MissMeganBeckett,"5:12 or add the eggs after the wheat is cooked in the milk like it says in the recipe you used, but ladle out a scoop of the milk to cool to the correct temperature to add to the eggs a bit at a time to temper them then add the bowl of tempered egg yolks back into the pot until thickened.",2025-11-02T00:04:07Z,0,0,en
Ugy870UppgFKxE10Z3R4AaABAg,@Sweet-wc2lj,I wonder if there's ever been a food he recreated that he didn't like. I think the mental image is interesting lol,2025-10-31T23:45:03Z,0,0,en
UgwCx_LViVNxaVhIwkt4AaABAg,@James-u2f5s,"With the milk and egg yolk, would it not be better to use a double boiler?",2025-10-31T01:49:47Z,0,0,en
Ugw1N-tmFObBXONddJV4AaABAg,@jamesbuchner5875,I'm cold and hungry 😮,2025-10-25T21:09:36Z,0,0,en
UgyPZ8Ia70jaFAJujl54AaABAg,@PeepLa7-PurpleButterfly-Soaps,"I have wheat berries...I use them to make flour...to make bread, but never heard of cooking them this way. Gonna try it.",2025-10-25T04:50:03Z,0,0,en
Ugwdwdxt1lFamI4dQE94AaABAg,@Spoeism,Dagda approves.,2025-10-23T20:19:28Z,0,0,Other
UgwJk1iupXE7iyvugv14AaABAg,@FoxInTheSnow_WhereDoYouGo,Why is it that lords forbade common folk from fishing? Is it just greed to keep number high for themselves? Depending on the size of the water source it could definitely be an issue of sustainability but I imagine that wasnt the highest consideration for many lords,2025-10-16T17:32:20Z,0,0,en
Ugxs1PLohgU2kT8O7XR4AaABAg,@AkameOda,"1:00 minute in to tis important video with great history for my D&D world building, but all I can think about is how this ancient latin book with a picture of a dolphin has the word ""cum"" written over it.",2025-10-16T17:07:01Z,0,0,en
UgyY_BlbHwWQYKEeRJd4AaABAg,@sxmimpaler,I was wondering why ive been so down then I realized I've not been watching my covid remedy. I have alot to catch up on,2025-10-15T01:29:01Z,0,0,en
Ugx1qZLMSiF2PKY4GYV4AaABAg,@aymericrichard6931,funny the image at 16:00 with the 2 characters on the left who open their legs and expose their private parts to the warmth of the fire :),2025-10-12T16:31:34Z,0,0,en
UgyMnJ7yB9ai-2HaOM94AaABAg,@young.716,"Hello! I eat ""la Formentée"" for dinner tonight. I added the tiniest bit of pepper and cinnamon instead of saffron, and it was okay, but a bit boring, I have to say. So I added 3 tablespoons of carrot and onion soup that I had in the fridge to my portion, and it was really good! I made about 2/3 of what you did (I only had 2 eggs), and I couldn't eat it all. It is indeed really filling. 
By itself I would rate it a 5/10, and with a little bit of soup, an 8/10.",2025-10-11T17:48:49Z,0,0,en
UgzaTg7kirgPb4qaClF4AaABAg,@CastroMKE,"When I hear Stockfish, my brain goes to chess immediately.",2025-10-11T17:18:16Z,0,0,en
UgwuqvRl4mzpISuHdJ94AaABAg,@aast.1329,Why can't you use egg yolks during Lent?  Was there a time when eggs didn't make the menu during Lent because you can eat them now.  You would think that they would count as the flesh of a warm blooded animal but they don't.,2025-10-06T23:44:51Z,0,0,en
UgyGZR7LJ5K7ujwp6zt4AaABAg,@otherh4255,"Your channel is quickly becoming one of my favorites , I love food and I love history. ❤",2025-10-04T05:50:21Z,0,0,en
UgxI0BfelwwVaLSDjqN4AaABAg,@oraalid0nitsi,Looks like a risotto I made,2025-09-29T08:29:46Z,0,0,Other
UgxtkcgYQWcts6U5ez54AaABAg,@GhostOfSnuffles,"Stockfish can last for years, mostly because most people would rather starve then eat it.",2025-09-28T20:04:55Z,1,0,en
UgyY88dYsHOi5gryQtZ4AaABAg,@pamluttig-1o51,A Frumenty recipe has been passed down in our family through many generations.  We make it for Christmas.,2025-09-23T03:20:00Z,0,0,en
UgyAQDrwfcAZHALjU6V4AaABAg,@ljb8157,"You know what's missing? It's an important ingredient.  It's smoke. They cooked over fire.  That smoke permiated everything. For an historically accurate flavor, you should add some liquid smoke",2025-09-19T21:19:31Z,5,0,en
UgxrULgPRBvvhw4xFLd4AaABAg,@richarddcvamd,Simply Brilliant!,2025-09-17T01:57:14Z,0,0,en
UgyAd5hJ2rHcUxDjsXV4AaABAg,@CountBeetle,Max has red eyes alot. Stoner?,2025-09-16T06:11:50Z,0,0,en
UgwC-w9kOM0vQLGC6Ax4AaABAg,@TheSimmpleTruth,6:42 I was in Germany about 30 years ago when the Rhine froze and we walked over the Rhine in Tübingen.,2025-09-14T22:37:15Z,0,0,en
UgzJtCNGD__pBHZIiQ14AaABAg,@scottleatherman3846,Can you edit down to some short reals with the recipes,2025-09-13T04:08:09Z,0,0,en
Ugzgs4hQETGksQJ8B114AaABAg,@violenttriangles,You are hands down the best thing to come out of youTube.,2025-09-12T03:08:11Z,0,0,en
UgyJ1Lpu0mRgiMHxgEl4AaABAg,@elflingskitten,"The little gray/white cat in the lower left hand corner, 15:15 😿",2025-09-12T00:32:09Z,1,0,en
UgwnhO17Ic-LbUlroBx4AaABAg,@lindagates6406,Maple syrup? 🍁 for those of who are across the pond.,2025-09-05T23:24:16Z,0,0,en
Ugxda-e0eETmvlDlMyR4AaABAg,@kellymartin2603,"If you think about it, the medieval penchant for boiling your meat before roasting it is kind of like cooking your steak in a sous vide bath before putting a sear on it.",2025-09-05T18:02:23Z,1,0,en
Ugx74pDXq-Uv6PprrKJ4AaABAg,@elw333d7,"I know this is 7 months old but I just discovered you!
Thank you for doing a Bombas sponsorship! They are really great and I personally benefited from getting them from a food pantry because I am pretty poor. They are the best socks I've ever had!",2025-09-05T01:37:42Z,0,0,en
UgyccMeplIwUXMU1O-B4AaABAg,@ellador88,"Ok, but how many Pater Nosters do I recite to time the wheat cooking?",2025-09-04T02:04:56Z,0,0,en
UgyXlQt9ldPXp7YzMBZ4AaABAg,@Zereniti77,I wonder how this would work if you mixed in some chopped bacon in there? Turn it a bit towards pasta carbonara.,2025-08-29T18:43:40Z,0,0,en
UgyU69K1ltmwZXWe4vd4AaABAg,@athia37,"In my Italian household we ate this alot in the Illinois winter,except we spiced it with lots of pepper and grated Romano or asiago cheese,chased with a huge mug of hot coco( homemade with milk,cocoa,and sugar)..when I had childten,they ate this in winter too,but with butter and maple syrup(the real maple syrup)..good stuff..",2025-08-26T00:39:46Z,1,0,en
Ugy0hcl1psDGjduvihR4AaABAg,@NeronisAcenza,I thought you wrote you were surviving a medieval Wither. I was very scared for you.,2025-08-25T23:26:50Z,0,0,en
UgyCcIekNpu0mH9UTo14AaABAg,@kimspringfield4180,"Have you ever researched the ""fish for fasting"" that included beaver, dolphin and anything that swam?  During the Medieval era thru Renaissance era, things that swam were all acceptable as non red meats.",2025-08-25T02:03:46Z,0,0,en
UgyPpWcLSTquIIQCR_d4AaABAg,@jslezak57,Paul Hollywood had an episode of his travel series (City Bakes) where a 5 star restaurant in the Netherlands had prepared a delicious dish with stockfish....I guess the people of the 15th century weren't culinary experts 🤣🤣🤣,2025-08-22T18:21:10Z,0,0,en
Ugwele0GEHTRZ8OkmWx4AaABAg,@arisuvocals7556,"I had something similar-ish to the stockfish. In Newfoundland, Canada, we had a lot of salt cod, which were cod fish dried and salted on the beach. They were hard as all hell and needed to boil the devil out of it before you could eat it. We always had some in Winter. We'd get salt pork, salt cod, and some hard bread (a version of hard tack) and make a meal with that. It's called 'Fish n brewis'
I still eat it now even though I don't have to, it's just nice to have lol Hopefully someday it'll end up mentioned on this channel with a history lesson on the NL cod collapse",2025-08-22T08:49:52Z,0,0,en
UgxkJJlru7FfIkjlmDl4AaABAg,@SCOOBUSSUNISCHILL,it looks more like a dolphin than a porpoise 1:03,2025-08-22T00:05:35Z,0,0,en
UgwP3dMMK5pw0POGsKl4AaABAg,@bjarkisteinnpetursson9736,"Stockfish is very edible, even before beating. It’s a bit tough but not too much to chew. It’s delicious on its own or with butter.",2025-08-21T19:52:03Z,0,0,en
Ugyr56LF-Ou0EEg650Z4AaABAg,@markkusallinen3469,"I wonder if on average, people in tropical climates had it easier or harder than people in places with full winters",2025-08-20T12:10:04Z,0,0,en
Ugwp7SsBuSiM9slA86J4AaABAg,@jameskeelinggaming2319,You have a sadvert ruining your video,2025-08-19T21:29:58Z,0,0,en
UgybFD_tvGkwUQa-d7x4AaABAg,@Hokienation90,I will never get tired of the hardtack bit,2025-08-18T16:31:56Z,0,0,en
Ugw6Wt5wNqHLxTLAIPd4AaABAg,@tmsaskg,"Only Bitter tastes should be balanced with sugar/sweeteners in a reasonable, human gastronomy. No sweetener should be used in any other case, if you want to experience real tastes. Bitterness can be hard to the stomach and head, therefore slight sweetening may work there. Though for stomach bitters sugar can also lessen the effects the bitterness has on the body.",2025-08-17T23:52:06Z,0,0,en
Ugzk136rNfvQvO2RRBt4AaABAg,@starbuckr5381,Margery Kempe mention!! If anyone's interested in Christian Mysticism she's a good author to read,2025-08-15T20:39:12Z,0,0,en
Ugy_VbL88g1Q37X0aIl4AaABAg,@sikosis999,"reminds me of steel oats with egg yolks, sausage. . . we'd drizzle honey & a lil cinnamon & nutmeg on them",2025-08-14T23:19:52Z,0,0,en
UgwTrFP6IACblyPKt7R4AaABAg,@BuckeyePrideful,16:00 Ayo why'd the artist draw their junk? LMAO,2025-08-13T21:55:26Z,0,0,en
Ugxmq2tf8_c5jFwA5Jh4AaABAg,@ElectroAMPSISfine,"Beyond these main categories, there were also other, lower classes of peasants, such as cottars or bordars, who generally comprised younger sons of villeins, vagabonds, and slaves",2025-08-13T19:30:37Z,0,0,en
Ugw0HwRg3Up01nELcel4AaABAg,@Mr_PochsVODS,This is one of the best channels on youtube,2025-08-12T17:47:17Z,0,0,en
UgxrF2V1FFbHkj7nVdx4AaABAg,@Radishthedrunkbardgnome,"10:23 starts singing “The roof, The roof, The roof is on fire”",2025-08-11T16:30:13Z,0,0,en
UgwWjWHEIvDDMgBxLW54AaABAg,@allergekko,"if you end up making stockfish, you could make lutefisk with that!! would recommend, the texture is. quite out of this world",2025-08-08T20:31:12Z,0,0,en
