Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwioHSvQg2r4l0QN9x4AaABAg,@the·yapper123,"I'm not Hungarian, I'm half Croat, and when my Croat grandma makes gulash (it's a typical dish also there) she puts TONS of paprika and onions. Nothing beats grandmas cooking",2025-10-25T17:04:40Z,8,1
UgwlrLF69aonBhLUZDZ4AaABAg,@Vanilla927-v1m,"for you wondering, the meat is cow. and its easy to make and very healthy",2025-10-23T19:30:53Z,0,0
UgxibHvEh48XYMYDT0l4AaABAg,@metis1238,"Does someone know the name of the plate at 0:47? I had that as a friend's place, there were these funny looking egg noodles a plate with the paprika sauce, and it was the most delicious thing! But I can't recall what it was called... :(",2025-10-08T04:14:41Z,0,0
UgzvUXs8ZOkVngNm2I14AaABAg,@akari8168,"For some reason were I live in Germany (Saxony) we eat this not like a soup but  rather as some kind of chunky sauce. So the goulash ""acts"" like a souce for potatoes and fried runner beans or other fried vegetables.
Also we oftentimes only eat it together with pasta.",2025-10-06T17:29:01Z,0,0
UgymhOEplHIhReh-xLV4AaABAg,@thefreakasaurus,"my mother is very, very proud of her hungarian heritage, and let me just tell you, they put paprika in EVERYTHING. its such a staple in the cuisine im genuinely kind of shocked to find out it wasnt always available",2025-10-06T12:09:38Z,0,0
UgwTJC_MdKUtGqvrSCF4AaABAg,@KhaliqahAzima,Looks like something I'd actually want to eat and enjoy.,2025-10-04T10:10:10Z,0,0
UgwCxoqY7YZnxAiPpYF4AaABAg,@choopa1670,I hated capsicum before I went to Hungary. Now I love it. They have fantastic food.,2025-08-29T04:58:59Z,0,0
UgwWD2Iu9n505t4h7_t4AaABAg,@localfatty4364,Reminds me of my great grandma ❤,2025-08-20T06:02:53Z,0,0
Ugy0YxTbXPWjQNqhUt54AaABAg,@F15ESTRIKEEAGLE-iw9nl,I’ve had goulash. Delicious I tell ya,2025-08-14T21:38:53Z,0,0
UgyMidYx0IdRhKnPnap4AaABAg,@muhacnt7988,These hearty stews are  a culmination of menkid loving nature,2025-08-14T17:44:05Z,0,0
Ugy5Q2ZI9I44NDiQx-p4AaABAg,@primaitalia753,"In Germany, there's a brand of chips called ""Funnyfrisch Chipsfrisch."" Instead, it says paprika as the flavor. It says Hungarian in German. I find that detail so funny because I didn't understand why it was called Hungarian even though it had a paprika flavor. Since this video, I understand why.",2025-08-10T15:26:52Z,0,0
UgydFeyjz9I3Je9ceg94AaABAg,@robertroberts5283,Trump is that rich k!d bully in the movie,2025-07-17T10:30:14Z,0,0
Ugz7JV68cXp4F3R79mx4AaABAg,@Colin-g9l,"My mom makes gulyas VERY different.
She uses water and boils penne noodles and then adds hamburger and sugar. I told her it's not traditional and we argued for like 15 minutes.",2025-07-16T06:07:05Z,1,1
UgwHRtqP5R4ZaT5u3pZ4AaABAg,@sonatine3266,Goulash is THE Hungarian dish that even became part of the national food in Austria and Germany. The Austrian and German variants are slightly different - but they are all delicious as heck.,2025-07-14T05:13:14Z,3,1
UgzQfZNBLrc8fHwzFMp4AaABAg,@niemandnergens,You'd better try to pronounce it correctly first.,2025-07-09T14:06:22Z,0,0
Ugy8NTm-0CUQL27HMRh4AaABAg,@TomAvital,My dad always makes Goulash! It's one of my favourites!,2025-06-21T20:56:54Z,0,0
UgxjsRhg1dayoz0kpON4AaABAg,@australok,"Potatoes, peppers, tomatoes almost everything u see there come from south america lol😂",2025-06-03T16:14:40Z,0,0
UgwECdmEL86EY5mAyZF4AaABAg,@TheBestowersSlave,"Now i know what did it mean when Nikolai (character in COD Black Ops Zombie Kino der Toten) says after killing a Zombie : ""Now that's what I call a goulash!"" 😅

Liking and Subscribing for Nikolai's goulash !!",2025-05-31T08:06:11Z,0,0
UgxEt5s0_T-iDgTtwOt4AaABAg,@Krishnazflute,Paprika is originally from the spice treasure of India.,2025-05-30T06:04:58Z,0,1
UgxiXxjEdkcQ-WwE3lB4AaABAg,@aleksei8884,"Man that’s so cool, I visited Hungary but had no idea how far back goulash goes, thanks for this",2025-05-29T16:41:35Z,0,0
Ugw6lpJcrwPJpDazkH94AaABAg,@joshuahangtree1560,"Goulash is a soup, you say??",2025-05-27T16:29:27Z,1,1
Ugx0p5JO1ia6rwZjWbh4AaABAg,@CRt-d3h,Hungarian food and paprika. Is almost the same word! LOL :-),2025-05-27T12:39:31Z,2,0
UgzVqnKqBKPAYAsPjc54AaABAg,@librab103,yes please,2025-05-26T05:27:04Z,0,0
UgyNB3dicZ1D8zoxujZ4AaABAg,@Incarn8s,"as a young kid i would walk as far as possible across my small hometown to my friend's place.  they were germans from yugoslavia, and their ""Papregosh"" is still to this day one of my favorite things to eat",2025-05-25T18:35:25Z,0,0
UgyNrzDpIW2rBdI0O6Z4AaABAg,@bobdickens3674,"you mention paprika, but not tomatoes? which were also new world and wouldn't have been in any historical goulash",2025-05-25T05:28:17Z,0,0
UgzRkUjfn_0oc3x4vmp4AaABAg,@afangforapples,Best meal I had while studying abroad was goulash in Budapest... Along with about 5 bottles of wine for our table of 4 😅,2025-05-25T02:30:17Z,0,0
Ugx24vx3Cj0JbAm0GXp4AaABAg,@debanhiloera4786,My husband's hungarian and his mom always makes me Hungarian goulash,2025-05-24T10:36:05Z,0,0
UgzOXhJZDdJkiyzV8l14AaABAg,@KhaozVoid,"THIS is goulash. Not fuckin ground beef, tomato sauce, and macaroni. I can't tell you how many times I've been served those three items and it being called goulash. Disgusting.",2025-05-22T12:45:38Z,1,0
UgzXsmJQwgjUgnmwU8N4AaABAg,@markoltr6756,Not surprised since paprika has flavour enhancing qualities much like salt and etc,2025-05-21T20:55:02Z,0,0
Ugy-D20C4btDOnbamUp4AaABAg,@GKar464,Goulash is the *BEST* Dish in the whole World 😍,2025-05-18T16:02:22Z,0,0
UgxHqfy5I77XND-L7CF4AaABAg,@cindym.1618,I was in Budapest a week ago. I ate all the goulash I could get my hands on!,2025-05-17T11:28:41Z,0,0
UgyKjn8_Y2f2LYZ6h7d4AaABAg,@karloballa6476,"Goulash is not a soup, but rather a stew. ""Goulash soup,"" on the other hand, is a soup (or broth) version of goulash.",2025-05-15T19:35:49Z,0,0
UgziKwcE6afV2irO8f14AaABAg,@Crustaceannationrepresentative,"""I recently visited hungary"" I'm sorry to hear that",2025-05-15T12:53:20Z,1,0
Ugxz3FJRjmku-ncwjmJ4AaABAg,@mortenfrosthansen84,"Not evaporated.. concentrate, reduce, simmer in or simply boil down",2025-05-11T16:29:08Z,1,0
UgwhYE7zP6wYkf_ZKl94AaABAg,@PLBW81,"We have Gulasch in Austria too but little different than Hungarian - would be more called Gulasch-soup in Austria. More similar to our Gulasch would be Hungarian ""Pörkölt""",2025-05-11T14:57:48Z,1,1
Ugz6iNcwMEMCIGH96194AaABAg,@elkalifa94,"🇪🇸  Spain 🤝 🌶️ 🤝  Hungary  🇭🇺
United by the love to paprika/pimentón

Soups, stews, cured cheese, blood sausage, potatoes in any form, octopus... Unbeatable versatility. And due being powder remember to buy local and store it properly. Rotten pimentón is... a thing to endure.",2025-05-10T13:44:52Z,1,0
