Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwAzC-zuCCJgVj1ilF4AaABAg,@J50Fan20,Did they make this after Constantinople fell?,2025-11-24T03:29:07Z,0,0
UgxZE-cGO25IJ3Ip4QV4AaABAg,@one-eyejawa3128,The beginning procedure reminds me of a roux used in gumbo.,2025-11-23T19:55:57Z,0,0
UgxZM_w3IEQyzE1h5GR4AaABAg,@CatalinaMargoMyers,Wow that's like sugar,2025-11-12T17:55:01Z,0,0
Ugzb2HptiDhoBLufj3t4AaABAg,@HipHopper-u6m,This is also known as Indian Prasad or Prasāda😅,2025-11-10T22:37:49Z,0,0
UgzrJlziG0twpK5Lqch4AaABAg,@gb.2738,you  can put  some nuts  or hazelnuts wıth  cınnamon,2025-11-01T20:42:06Z,0,0
UgyNHexLlv6qTSNvfxx4AaABAg,@tibo6749,We still make this in Turkey :),2025-10-28T18:44:22Z,0,0
UgyLSnby4X5MEiPVRhh4AaABAg,@ankubakshii,So in Sanskrit this is Lapsika or Mohanbhog . And halwa in India is Prepared as a offering to Gods then served to everyone! Lapsika is made in ghee with wheat/semolina/different vegetables and sugar syrup with a lot of dry fruits !,2025-10-26T05:59:03Z,0,0
UgyIVd8JP8tDs6HmjB14AaABAg,@lollilo6030,"Sugar wasn't cheep untill 1750s, so I guess this recepy isn't the original one or it's not that old",2025-10-23T10:48:30Z,0,0
Ugwt_KJYEBP6aUAii_h4AaABAg,@aryanz66,"In Iran, we Eat ginger flavoured one which is a bit harder than this, and contains small pistachio pieces, called halva zanjefili",2025-10-22T14:41:01Z,0,0
Ugz9PpfSmlnrn0UKO-B4AaABAg,@scienceium5233,This is similiar to indian helva,2025-10-14T17:14:08Z,0,1
Ugwyx86GjRJ7b_mNLWd4AaABAg,@Electronious,"Ah then there’s Gajar halwa, it’s made with carrots and tastes amazing, if done right.",2025-10-10T14:07:01Z,0,0
Ugzlwd7nrIJ0GQ6GTLF4AaABAg,@Nadom-t4o,"Food history is amazing. Thank you for doing the research for us. May I please ask how you came across these recipes? 
Thank you for your amazing content",2025-10-05T03:10:18Z,0,0
