Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwAwTJRDdOOrQ0dNYt4AaABAg,@miky-m4k,i thought it was a grenade,2025-11-18T10:39:50Z,0,0
UgymHNHi15ppdis4UO94AaABAg,@MeMeMi-bp1tk,Maybe the inside if the mold could be sprayed with a nonstick spray.,2025-11-05T16:07:00Z,0,0
UgxWMZ75FH2H4-qZ3Qt4AaABAg,@munchkin0.o,egg flavored ice cream lol not chicken xD,2025-11-05T14:16:59Z,0,0
UgwHipxF03qKKMNqbYV4AaABAg,@Flakvatican,Cucumber ice cream actually sounds super scrumptious,2025-11-02T01:12:39Z,0,0
UgwlMcBiQWCM5OBzEpN4AaABAg,@florenmage,Whale feces ice cream?... So ass creme? 😂😂😂😂,2025-11-01T07:33:50Z,1,0
UgxFuIVXJsyx0u3CqgB4AaABAg,@vwnewbeetle,ain't no bones in ice cream unless it's chicken flavored 😈,2025-10-25T11:03:45Z,0,0
Ugy57lSSZu92F74MBlB4AaABAg,@MegaB1tez,"Chicken ice cream did exist It came from a book we have that I believe is from the 1950’s. The title is ""Secrets of Making Frozen Desserts"". All the recipes in the cookbook require an ""ice cream freezer"" (ice cream maker). So when it says ""freeze"", they mean in an ice cream maker, not just in the freezer.

Chicken mousse
2 cups chicken, chopped fine
1 cup chicken stock
2 cups heavy cream
1 tablespoon powdered gelatine
1 teaspoon salt
1/4 teaspoon black pepper
1/8 teaspoon cayenne pepper
1/8 teaspoon nutmeg
1 tablespoon cold water
Chop chicken to almost a paste and press it through a sieve. Season with salt, peppers, and nutmeg. Heat chicken stock and add gelatine which has been softened in the cold water, mix with chicken. Whip cream and add. Freeze.",2025-10-24T16:27:46Z,0,0
Ugz3pEsWFwvCMrIgm4Z4AaABAg,@LeslieFitzpatrick-j6j,"Real peaches, real cream and lots of real sugar, of course it was great!",2025-10-19T16:54:54Z,0,0
UgzfNo9KwMeZ5pzKkx94AaABAg,@monto39,"Booze in ice cream depresses the freezing point, so it helps to keep it smoother at a given temp than without it.  We used  to do sorbet w/Sauterne wine and ice creams w/Cognac or Rum.  I thought they were delicious",2025-10-17T21:34:45Z,0,0
UgyTyjeFNIJvsljmu5l4AaABAg,@coffee115,"yeah, Victorian Ass Cream.",2025-10-16T15:03:09Z,2,0
UgyplFuFt2_VsFecL9h4AaABAg,@crackerjackfrosty,They have cucumber ice cream now and it is delicious!,2025-10-15T03:19:37Z,0,0
UgzDzP2Ej5Aptqc9dbF4AaABAg,@hailonyourparade,I'd try a cucumber ice cream for the history but tbh a cucumber sorbet or cucumber shave ice sounds incredible......,2025-10-11T06:14:20Z,0,0
UgzbaIVyh5GLB-DyhHp4AaABAg,@MICHAELTUMANGDAY,Butt cream Ice cream oh yeah!,2025-10-10T10:01:01Z,0,0
Ugym8t1OjFsbXqlgGJt4AaABAg,@Fizzybow,"Is that mold actually from that time. Gross. Hope u clean well. But it's cool, tho. Decoration only for me.",2025-10-07T20:42:44Z,0,0
UgwId9xugTFPro4lDyN4AaABAg,@_sickbug,maybe the chicken was egg ice cream? i mean we put egg in it sometimes now,2025-10-06T07:57:53Z,0,0
Ugw9x94y4yK854Ik8f14AaABAg,@goodanytimej8688,"19th century women:
No honey thats for making ice cream I swear. What? Why's it shaped like that? Well its for cucumber ice cream of course",2025-10-05T14:00:41Z,0,0
Ugyocamzfo7zzX6pKCR4AaABAg,@goodanytimej8688,I wonder if tom brady has an avocado mold,2025-10-05T13:58:36Z,0,0
UgyRaismKmpPJeJhcFJ4AaABAg,@fugu4163,Back in the Victorian days they should put anything in a mold if it was possible.,2025-10-05T12:00:55Z,0,0
UgyLSVqVdGnnw6erUtB4AaABAg,@TheBaxes,I can only look at that and worry how much lead that thing is passing to the ice cream,2025-10-04T23:41:11Z,0,0
UgyfR0tU07uB2gizJmZ4AaABAg,@W33pingAng3l,Looks like either 🐕 💩 or what it comes out of 😂,2025-10-04T23:24:14Z,0,0
Ugx7XUO_FOUhyw7k7sR4AaABAg,@Yomasi,"I just noticed the charjabug plushie in the background, that's hella based",2025-10-01T08:36:24Z,0,0
UgyJRcNgkJGaa6mkqw94AaABAg,@flipnasty2296,Those peaches look fire,2025-09-30T23:47:28Z,0,0
Ugwdouvqq3vAI52zwdl4AaABAg,@SJLamb-te3dt,You need to make cucumber icecream. For SCIENCE.,2025-09-30T21:57:50Z,0,0
Ugz07U6W_wMKiZ-MoAh4AaABAg,@FractalMannequin,"OH C'MON YOU CANNOT BE CLEANING OUT THE EXCESS ICECREAM WITH A HANDKERCHIEF, THAT'S JUST WRONG",2025-09-29T00:03:41Z,0,0
UgwHvF1VZLMfwbCsr1h4AaABAg,@judithschneider6202,Chocolate molds were popular. If there were Santas and baby chicks easter - rabbits easter. There were several Santas. I had reproduction ones.,2025-09-28T13:05:24Z,0,0
Ugy4bmIJMfi9X7qkqjZ4AaABAg,@The7thGradeEmoPhase,MAKE CUCUMBER ICECREAM,2025-09-24T04:09:19Z,0,0
UgzunTIjJTTGPXP63LR4AaABAg,@WhisperingEcho33,They had whale $hit ice cream but noooo not chicken 😂 WTF 😂😂😂,2025-09-18T08:47:39Z,0,0
UgxTVhvKK6RANTXSSHd4AaABAg,@Nastyasscan,I’m sorry but did you use canned peaches. You need to use fresh peaches because canned peaches don’t taste at all alike. Even frozen peaches would be better than canned I would think.,2025-09-18T02:26:06Z,0,0
UgxoOLdvtWPn6Sh_fJN4AaABAg,@isoldyourmomoncraigslist2877,May I suggest a eggplant mould,2025-09-18T00:04:26Z,0,0
Ugzrc8v87V0if5iVT-d4AaABAg,@Astroponicist,"May I suggest that you find another YouTuber who's really good at making things to make you a period ice cream maker as a collaboration so that you can show their video in a link in your description of the video where you use their ice cream maker to make your ice cream. Then you can say the cheesy old phrase ""you scream we all scream for ice cream""",2025-09-15T22:40:44Z,0,0
UgxZpHYpTN7ifpu1HAl4AaABAg,@ExcellenceAdigun,"Saw the mould, and immediately said, “It’s a _plumbum_ , literally!” 🤣",2025-09-15T12:57:21Z,0,0
