Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugz_fkCAlZSqTXjvRgV4AaABAg,@simonalyneenderz3247,People are obsessed with pumkin spice as much as Ranch dressing!😱🤐,2025-11-25T14:43:29Z,0,0,en
UgwOZJUkPh6OG58ULBp4AaABAg,@mkh.42,"1:37  
I am going to quote this guy daily now.. 
I live by that motto .",2025-11-24T23:28:42Z,0,0,en
UgyXEiBISNiNKf41LLV4AaABAg,@MotherofFrankThicccumms,Happy birthday Bailey!! 🎉🥳🦇,2025-11-24T22:24:06Z,0,0,Other
Ugz6a2Ke5e9EDcdOIM54AaABAg,@JaneW54,"I love your show. I wish you would speak a little slower. You're my downtime, but you're high energy! I found a book you might be interested in: ""To Die For: A Cookbook of Gravestone Recipes."" Weird that folks have recipes engraved on their tombstones!",2025-11-24T21:45:14Z,0,0,en
UgyVWEwmG0JkQDG6SNp4AaABAg,@DrummerGrrrl,Leave out the &#%!£€ cloves and I will be happy. I despise cloves.,2025-11-24T21:19:41Z,0,0,en
UgzLtKlRMNHZoy4zNsZ4AaABAg,@nickgee7291,its peponi still in greek!,2025-11-24T17:44:32Z,0,0,Other
UgxhYwNk1opLhEv5LGl4AaABAg,@starryknight-sc9xe,"Being  an avid Chinese Drama, I would really like to watch some ancient Chinese recipes.",2025-11-24T14:48:08Z,0,0,en
UgyA1P77dM05EkNz3sJ4AaABAg,@PACstove,You call it pumpkin soup. I call it shrimp gravy.,2025-11-24T08:37:26Z,0,0,en
UgwPqCLCMLdb27Jynqx4AaABAg,@Royce16727,"""People used to put pumpkin juice on their genitals. ... ... Anyhoo!…"" 🤣 What else can you say, I guess?",2025-11-24T03:04:45Z,0,0,en
UgyZ175b4WY8k48vkyN4AaABAg,@andrewrees6618,"Max, you have given back to me the joy of after school snack time while watching Graham Kerr, the galloping gourmet. You are so polished and meticulously informed while appropriately segue-ing into luscious recipes. Chef's kiss to you sir...most excellent.",2025-11-24T01:23:23Z,0,0,en
Ugw4KhaRXV1bRzYaQKd4AaABAg,@agiel7791,"13:05 it's weird, but that whole description sounds like watermelon, I wonder what the history of watermelons are.",2025-11-23T22:20:00Z,0,0,en
UgzuPOT_r22nrwblaON4AaABAg,@zechariahp8206,What if you served it in a bread bowl. You could then eat the soaked bread after.,2025-11-23T22:11:18Z,0,0,en
UgxRKBkPIIc-x7m0Nk94AaABAg,@rosenotactuallylalonde1560,"i cant help but wonder if the guy talking about using pumpkin juice as an anti-sex measure was thinking of some variety of gourd with high latex content, which creates a kimd of sticky and unpleasant feeling if you let it touch bare skin and takes ages to wash off. would certainly discourage me",2025-11-23T22:09:20Z,0,0,en
Ugx8RoWo1htbogikZot4AaABAg,@CP-tm7be,"I had better luck adding the cream/milk at the very end, after the simmering with the onion.  Simmering with the cream from the beginning tended to break it, for me, which made the soup sort of coat the mouth, leaving a flour-y after taste.  Other than that - outstanding!  I dislike all gourds, as a rule, and Thanksgiving was never my favorite meal.  From a young age, I could not stand squash, pumpkins, sweet potatoes - horrendous.  Why I decided to try this, I do not know.  Max talks me into all kinds of recipes.  But it was wonderful.",2025-11-23T09:22:09Z,0,0,en
UgyV7Mx8YBWjv4g_b8x4AaABAg,@JodyReeder-g1m1o,"Not sure if you've covered this but sandwiches? Heard a duke that was a gambling nut was a big nut to prevent getting his game interrupted, so to speak",2025-11-23T05:36:54Z,0,0,en
Ugz6FTLUo1nlcMyKp1l4AaABAg,@chris-st6sm,"pumpkin puree, chicken broth, coconut cream ...add some bbq shirmp. serve hot.  add some chillis if you want is spicy",2025-11-23T02:51:15Z,0,0,en
Ugyjm3UoqqTcFCS1Y394AaABAg,@Marques2000,"After watching this video from olive oil loving country it's more mysterious where the name from pumpkin ""calabaza"" comes from",2025-11-22T23:52:07Z,0,0,en
UgzB3xTDBcyxPl6KVbt4AaABAg,@pelefebvre,"Regarding Perreault's Cinderella, It's not a  glass slipper, it's ""pantoufle de vair"" (not verre) which means squirrel fur slipper,  how a bad translation can stick it's amazing.",2025-11-22T21:58:49Z,0,0,en
UgzNsN3IyZ2wIIEwlHl4AaABAg,@ABittyBee,God loves you,2025-11-22T21:58:05Z,0,0,en
Ugy3ZdkU_q75ShKx9UB4AaABAg,@EGSBiographies-om1wb,2092nd,2025-11-22T20:03:54Z,0,0,Other
UgwMqrZ6gzSnv6nElXV4AaABAg,@IlyaSurdin,"Gourd, gourd, gourd is the word",2025-11-22T13:49:18Z,0,0,en
Ugx4D9Ro1oSstU9FAWt4AaABAg,@kleokleopatra3536,my biggest problem with pumpkin is : HOW DID ANYONE EVEN FIGURE OUT HOW TO OPEN THEM ??? i cannot do it anymore than i can open a coconut !!!!,2025-11-22T07:41:33Z,0,0,en
Ugy8bBUmjbCWAQ-6dHF4AaABAg,@kaymojil7669,What a cool and comforting presentation,2025-11-22T03:13:32Z,0,0,en
