Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgxDry5Pb04FUf5LKpd4AaABAg,@MeowMixton,1:24 that blue cotton candy haired pencil ninja.,2024-11-19T15:54:33Z,4,0
UgwlWyKkdZaTOdEiPGV4AaABAg,@bluntking4205,Yall need to play this unless you a kid that plays fortnite stay there,2024-11-17T10:20:36Z,0,0
UgwXhoqwDlxaXTqfFB94AaABAg,@devilslayer80,Lui that a new mic my guy sound a little more clearer,2024-11-14T08:54:41Z,0,0
UgxMSMq_BMGzoWONJY54AaABAg,@Kiddion2934,It needs major overhaul in the optimized part of it I have a rayzen 9 5900x and a 4080 ti and I’m still laggy asf so,2024-11-13T04:43:45Z,0,0
UgyDPIizcEMVy4VnUSt4AaABAg,@J9_9900,"Vanoss is hilarious, unfortunately Off the Grind is a very awful game.",2024-11-10T08:22:14Z,0,0
UgyYO_FtPAWYmYsVRux4AaABAg,@ImVerySerious,"I think about that a lot with warfare. Or at least, emerging cyber warfare. To some extent amputees have an advantage. If you shoot off someone's leg, they are injured and out of the fight. If you shoot off someone's prosthetic leg, they wobble back to the trunk and grab another leg. It just makes me wonder what the future holds. If electric weapons would be more effective against these new threats based solely off technology.",2024-11-07T16:48:15Z,0,0
UgzRgIYlcU34rTA2byZ4AaABAg,@ProGamer21816,Day 99 of asking Vanoss to put music outro(Rip 2017-2024),2024-11-07T08:18:58Z,0,0
UgwPzS5UQ0FxycJ8FR54AaABAg,@SonicGaming6,"Im sorry, but this game aint gonna last a year before the server shuts down. Idk, but i just feel like it's gonna be a ""pump and dump"" type of game",2024-11-06T21:16:52Z,2,0
UgwTzNqk3RMwNQ1dNKl4AaABAg,@Pikboy-z5z,Lui sounds pretty good,2024-11-06T15:19:01Z,0,0
UgzJnF2qNwcakESztMF4AaABAg,@jokerassassinpr7978,9:02 That really is comedy gold wow,2024-11-06T06:52:36Z,8,0
UgzGZceLFp9t7BHFM4B4AaABAg,@DIEBYIT,The og are missing out,2024-11-06T05:20:43Z,0,0
UgwGOwAac6aLM2FxjQx4AaABAg,@spyrogamer57,Vanoss do you have advice to grow a gaming channel I'm at 1k,2024-11-05T22:19:57Z,0,0
UgxZMzba2Sm4bjfLOUB4AaABAg,@Richnath,Day 3 of where is episode 4 for resident evil 7,2024-11-05T20:33:32Z,0,0
Ugw_mzcGQIm_wTsOzuN4AaABAg,@LuckyHubbaBubba,I’m glad I had vanoss growing up definitely made my childhood just that much better.,2024-11-05T18:22:52Z,0,0
Ugwnh2hN3gE_Mx-qHK14AaABAg,@rritesh001,There is no music or song at the end.i miss that ..,2024-11-05T16:49:31Z,0,0
UgzWrHkdxvnbPW5Q56d4AaABAg,@constitution7167,Can’t believe we got some cash grab battle royale instead of a District 9 sequel. 😢,2024-11-05T13:46:39Z,0,0
Ugz3RE39yURXztJRhil4AaABAg,@MRLucky-man,It's a fun game with the crew,2024-11-05T11:11:49Z,0,0
Ugwey4iKYm-WvJit8Ed4AaABAg,@poniob.regent9589,YOO KAI CENAT IS A BIG FAN OF Y'ALL MANN ❤,2024-11-05T10:57:23Z,0,0
Ugwu24g8tkiHR8pDVIR4AaABAg,@JollyYoungGoat,Tired of his own story 😂,2024-11-05T10:36:17Z,6,0
UgyIWG8__tZ4I2VW4D94AaABAg,@weinereee,sponsors are gonna be the death of this chanel,2024-11-05T07:00:55Z,7,1
Ugy79DNj1ZC8qqJOL8t4AaABAg,@cadenhanninen,Do Fran Bow for the dude Im not scared series,2024-11-05T04:03:48Z,0,0
UgwjUYruiq3mbMip0Kp4AaABAg,@Silly_Sexy_Fella,vanoss this is the song that was on the wildcat cooking show its hampden parks,2024-11-05T02:36:54Z,1,0
Ugx7FkObMAuU-T3-qMx4AaABAg,@Protoqwq,"More Resident Evil, please",2024-11-05T00:15:20Z,0,0
UgxLD2suRSZw3Hz44Vh4AaABAg,@crazybacon9509,The “I’m tired of this story” got me lol,2024-11-04T23:13:48Z,46,0
UgzmzZwoxVIf5-_0l-14AaABAg,@JustWatchingInFreeTime,BR? its been a while,2024-11-04T23:03:02Z,0,0
UgzroDtzsLG3Bdmu1w54AaABAg,@wesleyward5901,"Oh wow, *another* battle royale.. I miss when video games were original.",2024-11-04T19:25:53Z,0,0
Ugzg4C8Qex5TLc2ucvd4AaABAg,@codyhoov7071,THIS GAME USES YOUR COMPUTER TO MINE CRYPTO!!!!! DO NOT PLAY!!!!,2024-11-04T19:07:32Z,0,0
UgzZTubwHr_LrT2K-YB4AaABAg,@alphaelite1861,"This isn't ""early access"" because there is a battle pass. ""Early access"" actually means release now fix it later.",2024-11-04T18:57:08Z,0,0
UgxvhfFmLikbNPKeXCF4AaABAg,@alanperez.8826,Black ops 6!,2024-11-04T18:52:49Z,0,0
UgyKQFuvYQk7nxOQqv14AaABAg,@masonwilbur6456,1:42 vanoss havin flashbacks of among us with ninja 😂,2024-11-04T17:47:13Z,22,0
UgxRoycHlvJXTuO7TDB4AaABAg,@revandfriends8817,I never heard Vanoss have such a dry wheeze like that at 2:20,2024-11-04T17:39:54Z,29,0
UgzCepigCUMxVgS5qBZ4AaABAg,@austingreenwood8343,A retarded Donald Trump Don't You Mean Normal Trump? vanoss?,2024-11-04T17:37:22Z,0,0
UgwCzz2Ezc3LCtVZ6kV4AaABAg,@vengeful_zombie,This game will be dead in months,2024-11-04T16:19:13Z,0,0
UgxUwSnWCkLz6bLwvql4AaABAg,@benstiller7910,Please play squirrel stapler with lui,2024-11-04T16:14:35Z,0,0
UgyYDk7eHbZBdOUHybJ4AaABAg,@Centralclipss,10 years of pride background thumbnails is crazy,2024-11-04T15:49:51Z,1,0
Ugz7Dxjj_mu_k8fWl0p4AaABAg,@tall_blue50,Do a GTA6 vid with Kai 😭🙏,2024-11-04T14:49:36Z,0,0
Ugw-CrLAQ6v5S2dzmO94AaABAg,@JustSway,An extraction-royal shooter. Thats two genres that are competitive. I won't be playing this and I honestly don't think the game will last too long.,2024-11-04T14:37:00Z,21,6
UgyKVrZQ_6f9dQ2F7el4AaABAg,@kadebechillin,VANOSS REAL FANS ARE YOU HERE!? 🫦🫦🍆🍆,2024-11-04T13:35:21Z,1,0
Ugy9Hwoilc2Xl0Eaw_Z4AaABAg,@andytran717,Bought a ps5 last week to get on this game. I was wondering when you’d play it too lol,2024-11-04T12:47:39Z,1,0
Ugz-4fc2kRTMc7Mb9Sh4AaABAg,@scottventure820,another PVP,2024-11-04T12:08:35Z,0,0
UgzdA0VdwjBgA9nr-OB4AaABAg,@kinwardgamingKin,"@vanoss what your missing isn't skills or anything like that, what the fans miss is you guys together having fun. Less about content and more of you all being goofy and awesome together. Either way you go the fans will always love what you create. 
Sincerely a fan
KinwardGaming",2024-11-04T11:53:52Z,3,0
UgzNmXl-7SK1TC9MPBB4AaABAg,@benderbendingrodriguez420,So sick of battle royales lmao,2024-11-04T11:45:02Z,1,0
UgwgU8H3VZjMvaU4cR14AaABAg,@Votexforxme,"one of a few NFT ""games"" that acually is a game still wont touch it fuck nft garbo.",2024-11-04T10:52:14Z,0,0
Ugx8gAe3x8S1ct97ivl4AaABAg,@ELFooWoo,I been subscribed for years maybe decade but YouTube ain’t showing me ur videos?,2024-11-04T10:38:05Z,0,0
UgxMgN8ljQQSaqpiJnN4AaABAg,@zachrenshaw4531,5:33 Epic tablet attack 😂,2024-11-04T09:13:48Z,6,0
UgxwANG2qrjntsTzkct4AaABAg,@thunderhound0072,COME BACK TO CYBERPUNK 2077 PLEASE 🙏,2024-11-04T09:06:24Z,0,0
Ugyl31zjdWkObJ_eqJZ4AaABAg,@sniiiper3d645,Is it me or is their arms so small?,2024-11-04T08:44:40Z,0,0
UgyZVZXSOEWm1FdcQYR4AaABAg,@ItalynG4mes,Yes... Another water down battle royale...,2024-11-04T08:35:54Z,0,0
Ugz5msHa-JIbnYLBbf14AaABAg,@Puttoskiss,Pro tip: equip ur shield,2024-11-04T08:28:17Z,0,0
UgwdsuoFLpr0DAAnmRF4AaABAg,@Puttoskiss,This game is actually mad fun,2024-11-04T08:24:13Z,6,0
UgwC6D9zwqrtRrBR9e94AaABAg,@jamesferguson7728,With the new trump skin i think a revist is in order,2024-11-04T08:21:37Z,0,0
Ugywt7Asm9pWnV8usf54AaABAg,@BoniMayne,What’s the opposite of “sold” cuz that’s how I felt as soon as I heard “extraction shooter” I stopped thinking that was cool after bad blood 😂,2024-11-04T08:17:56Z,10,0
UgzyBdBYKGQo3dbGSy94AaABAg,@cheezyghost9234,Is alpha betas gonna be a show or was it just a strip tease,2024-11-04T07:49:05Z,0,0
Ugw9HmvNClRCy43JfgR4AaABAg,@miguelrecto5268,Holy Chet,2024-11-04T07:42:34Z,0,0
Ugwi4_PCZ2egKQ2l6rp4AaABAg,@matttrudeau8186,a vanoss video in 1440p! the future is now,2024-11-04T07:33:23Z,7,0
UgyeP7Y9O9aMnOHkRbt4AaABAg,@TyquanArtis10,Even Vanoss what part of Canada he live at? Toronto or Vancouver. 🇨🇦🍁🇨🇦,2024-11-04T06:40:10Z,0,1
UgxdSs2dD_qLAuJutIN4AaABAg,@madmanf1179,Lui actually has an updated mic now,2024-11-04T06:11:44Z,11,0
