Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgxCK6iK_1_lT2WyZyp4AaABAg,@superjodokus,Every now and then i return to this video to hear a real ninja making the most pure ninja noises (8m 25s). Impressive every time. one of youtube things ill forever remember.,2025-09-29T20:11:05Z,1,0
Ugxv-68Fi8YS4ZyNZ2Z4AaABAg,@Darkwolf42003,Not sponsored not sponsored not sponsored,2025-08-21T22:17:23Z,0,0
UgyTX0SFVrLLGD6Oj4R4AaABAg,@zooom1186,Finally video without pasta,2025-06-25T07:55:33Z,2,1
UgztlkyasPwLIvkKJLN4AaABAg,@tahirmohammed9410,3:30 Marcel made me laugh way too much😂😂,2025-06-16T20:33:49Z,2,0
UgzRX95OzjJVh0VNQLd4AaABAg,@HypxrsYT,i understand skipping out on the tomb but you guys should do the new map shattered veil :),2025-04-20T22:17:36Z,2,0
UgzmiM3TIKc8giCwlBF4AaABAg,@oliver-p9w,you guys should do the new one,2025-04-14T18:08:11Z,0,0
UgwgUe8jCo3OIJps9d54AaABAg,@theduragdan,no the tomb? 😢 lol,2025-03-12T19:25:52Z,1,1
Ugw579Bbxi5keghjkXV4AaABAg,@DamonCorgliano,"I just woke my whole household yelling ""HYATT""",2025-03-12T06:21:06Z,1,0
UgyT7Qgtg4BvqCqFBAh4AaABAg,@DamonCorgliano,Brock is Adderall and a half lmao,2025-03-12T06:19:37Z,1,0
UgxecKHMTc4EUrFppil4AaABAg,@liamfanelli8155,when are they doing the tomb,2025-03-06T16:03:56Z,2,1
Ugwf8UuuFwzOq8dqHX54AaABAg,@yaogwai,"Black ops 6 makes me glad I was born in the Resnov, prison escape,  jfk killing zombies era and not the hehar funny fart homelander nicki Minaj talking anime gun era",2025-03-04T06:27:08Z,1,0
UgzWuin-KwbkWXl1awx4AaABAg,@Ekfoss,That Nikachu got me 😭😂,2025-02-26T21:41:58Z,1,0
UgwfR9Hwss-5pkEtmLB4AaABAg,@ThatguyEvan-wk5hl,3:30 Marcel let out his anime main character energy for that,2025-02-13T14:12:29Z,0,0
Ugybb7g1BXFQEmDy8il4AaABAg,@themorticiansson2537,PLEASE MAKE THIS ANIMATED,2025-02-13T12:59:51Z,1,0
Ugx8Dtb_g9DnOxsgypN4AaABAg,@Whodis2299,Need them to make a vid of the tomb map,2025-02-11T23:45:12Z,2,0
Ugz-mMf2vPoW7g2PCcN4AaABAg,@WrekZ1491,BROCK!!!!!!! ❤❤❤,2025-02-07T11:18:19Z,1,0
Ugwv3SIdbKZr7keturx4AaABAg,@Dameshot0942,Hope they do the next map but most likely they won’t 😢,2025-02-06T00:24:17Z,2,0
UgwBlxfxHI8zKnrs9Il4AaABAg,@CollinGoogins,"You’ve heard of Call of Duty: Black Ops, well get ready for Hawk of Dookie: Po-Ops",2025-01-26T17:35:04Z,2,0
Ugzqv02x_3kzx5mTeJB4AaABAg,@Natashar95,MOO! We missed you ❤,2025-01-26T16:25:06Z,0,0
UgwZErXmAWQ9wcNQs4h4AaABAg,@GlossyChalkian,20:40 BasicallyIBuyDoors,2025-01-19T00:14:54Z,1,0
UgxMAw6-FkjQaKj6qjh4AaABAg,@gabrielanderson6652,I did NOT think they were going to succeed lmfao,2025-01-18T12:35:32Z,3,0
UgxVoUmbe6FxQ22doYp4AaABAg,@elisnakeattack95,Happy to hear Brock in a video :),2025-01-12T02:04:35Z,0,0
Ugx67Lxh_DIvq6_WZEl4AaABAg,@Doc9Pockets,"hope we keep getting bo6 vids. been a long time since we’ve gotten a Easter egg attempt on every map, and seeing multi vids again? even tho it’s just prop hunt, it makes me happy. BO6 still has its problems for sure, but it’s the closest we’ve been to golden era of yt/cod in forever",2025-01-06T19:51:27Z,4,0
Ugwuna_XfIUNjWSG7Xx4AaABAg,@Peron1-MC,"13:50 hiphopopotamus vs. rhymenoceros
flight of the concords XD",2025-01-06T00:26:40Z,0,0
Ugx1eNZvXX05D3zVvLN4AaABAg,@BajaBonG,"HYATT!
HYATT!
HYATT!
HYATT!
HYATT!
HYATT!
HYATT!
HYATT!
HYATT!
HYATT!
HYATT!
HYATT!
*dies*",2025-01-04T11:27:10Z,1,0
UgzWO0JKcSF8U1ra2Fd4AaABAg,@Unitedgamer6239,3:45 everybody was screaming random stuff and in the background you just hear tyler say Bob saget,2025-01-03T17:29:07Z,0,0
UgwliJhKgLRHncQTAZh4AaABAg,@bennie3843,Infinite meatballllsssssssss what a reference omw watching ur bo3 rn,2024-12-30T21:30:03Z,2,0
Ugz8a3O-erq9t7Oavdh4AaABAg,@CoreyGraves-y6y,“mine has the power of black magic“ 6:38😭,2024-12-30T14:01:00Z,1,0
