Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgyKJCFkc3zRHZBGOad4AaABAg,@RedtheHedgehog-j2v,18:00 as a little bookmark for myself,2025-11-24T04:39:35Z,0,0,en
Ugz841iF9eJzZdZWgK14AaABAg,@smores_xoxo,I need more sark in video 🙏😭,2025-11-22T19:44:55Z,0,0,Other
UgwBpPTj9KC_y5NY1Yp4AaABAg,@duckin_idiot,1:24 Meat Canyon video,2025-10-15T06:27:38Z,0,0,en
Ugw1lnYKlstOfaYfxtN4AaABAg,@Hogcranker42-e5i,"1:57 the goat is here, he watches from tge left side of the screen",2025-09-26T03:51:41Z,0,0,en
UgxuFGhJR_W4I_0vJ0V4AaABAg,@Mrnobody-w9m,Please no more vids with pasta 🙏🕯️,2025-09-17T17:12:30Z,1,3,en
Ugy7xbyJTdUONoFQzZR4AaABAg,@UnoEssin,Been watching since I was 9 and STILL makes me laugh. love vanoss and the crew < 3,2025-09-13T08:11:57Z,0,0,en
Ugz5zFJr9iJ1r5cPk8N4AaABAg,@andreiscalpizar7477,"0:52 well this aged well,
If you're a Roblox player",2025-09-10T04:03:30Z,0,1,en
UgxCrE6XtvOErZwjRsh4AaABAg,@spedbboi,0:55 they predicted Roblox 💀,2025-09-05T06:08:25Z,0,0,en
UgxX0zXxVSwrlAWDoAB4AaABAg,@lockinhinddanger934,"G, eye wonder y.",2025-09-05T03:16:29Z,0,0,Other
Ugx8kQJ_zwbjHa4Ifqd4AaABAg,@Voidler_-rd3hj,"the meme ads are the best XD

actually... this by far made me laugh so hard.",2025-09-01T21:00:09Z,3,0,en
Ugz3zLTJi28YQZIJYed4AaABAg,@Obsidian8R,0:52 - 0:56 that aged like fine wine,2025-08-29T02:54:49Z,0,0,en
Ugy4tX45VCiLlX_0Qx14AaABAg,@GR34389,Me so sunny lmao,2025-08-28T23:28:01Z,0,0,Other
UgyjD8exXRReVLaesmZ4AaABAg,@TrentonWalker-u7s,That's not nosefaratu That's mouthfaratu,2025-08-25T05:19:07Z,1,0,en
UgzhyMyyouZhGOZx7DB4AaABAg,@mamoichi,Feng shui vanoss,2025-08-24T15:59:13Z,0,0,Other
UgzoZeXlFgylgS_5-7N4AaABAg,@lemonboi7154,0:03 rival's ad wild,2025-08-24T14:20:20Z,0,0,en
UgyJZa_Mp-dHw7MWDat4AaABAg,@russellhd5294,The Roblox prediction is real,2025-08-23T08:41:11Z,0,0,en
UgyVQWk-1hbxXappN8J4AaABAg,@name-di5gs,6:48 did anyone hear what brian said?,2025-08-04T21:16:11Z,0,0,en
UgwmrK32Fv9yEtLFFWp4AaABAg,@Ron.xionzre,WTF was that lucky charms ad? 😂,2025-08-01T10:10:41Z,1,0,en
UgxgRpF5P0IPBCfxmeN4AaABAg,@nydak522,I am currently in china watching this,2025-07-31T19:39:50Z,1,0,en
Ugz8vDUeAv_I75ngSsx4AaABAg,@dielrexthedemonumbreon7777,Is this the first video vanoss uploaded with pasta?,2025-07-25T16:05:43Z,0,5,en
Ugz5lINnOtUQUkqpIXp4AaABAg,@jaynorris6356,That marvel rivals ad 😭,2025-07-10T03:37:53Z,0,0,en
Ugx5s8rZ0e4PU_uI5eZ4AaABAg,@MXTT3R,1:55  Lucky Charms 🤣🤣🤣🤣,2025-06-25T01:40:49Z,0,0,en
UgzUB6rjHUEHz7o9OCl4AaABAg,@PluuuumE,Love the GTA 5 reference with ninjas low taper fade 1:01,2025-06-21T23:00:52Z,1,0,en
Ugw22jeXusAGtNmMMER4AaABAg,@sharkygoldgaming671,The funny thing is that Chinese Superman is a real character that DC comics made after 2010.,2025-06-18T02:25:31Z,0,0,en
UgwViz3VNFZTlxAK2_R4AaABAg,@LandoStar1422,Dope ads 😂,2025-06-17T17:56:42Z,0,0,Other
