Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyKJCFkc3zRHZBGOad4AaABAg,@RedtheHedgehog-j2v,18:00 as a little bookmark for myself,2025-11-24T04:39:35Z,0,0
UgwBpPTj9KC_y5NY1Yp4AaABAg,@duckin_idiot,1:24 Meat Canyon video,2025-10-15T06:27:38Z,0,0
Ugw1lnYKlstOfaYfxtN4AaABAg,@Hogcranker42-e5i,"1:57 the goat is here, he watches from tge left side of the screen",2025-09-26T03:51:41Z,0,0
UgxuFGhJR_W4I_0vJ0V4AaABAg,@Mrnobody-w9m,Please no more vids with pasta 🙏🕯️,2025-09-17T17:12:30Z,1,3
Ugy7xbyJTdUONoFQzZR4AaABAg,@UnoEssin,Been watching since I was 9 and STILL makes me laugh. love vanoss and the crew < 3,2025-09-13T08:11:57Z,0,0
Ugz5zFJr9iJ1r5cPk8N4AaABAg,@andreiscalpizar7477,"0:52 well this aged well,
If you're a Roblox player",2025-09-10T04:03:30Z,0,1
UgxCrE6XtvOErZwjRsh4AaABAg,@spedbboi,0:55 they predicted Roblox 💀,2025-09-05T06:08:25Z,0,0
Ugx8kQJ_zwbjHa4Ifqd4AaABAg,@Voidler_-rd3hj,"the meme ads are the best XD

actually... this by far made me laugh so hard.",2025-09-01T21:00:09Z,3,0
Ugz3zLTJi28YQZIJYed4AaABAg,@Obsidian8R,0:52 - 0:56 that aged like fine wine,2025-08-29T02:54:49Z,0,0
UgyjD8exXRReVLaesmZ4AaABAg,@TrentonWalker-u7s,That's not nosefaratu That's mouthfaratu,2025-08-25T05:19:07Z,1,0
UgzoZeXlFgylgS_5-7N4AaABAg,@lemonboi7154,0:03 rival's ad wild,2025-08-24T14:20:20Z,0,0
UgyJZa_Mp-dHw7MWDat4AaABAg,@russellhd5294,The Roblox prediction is real,2025-08-23T08:41:11Z,0,0
UgyVQWk-1hbxXappN8J4AaABAg,@name-di5gs,6:48 did anyone hear what brian said?,2025-08-04T21:16:11Z,0,0
UgwmrK32Fv9yEtLFFWp4AaABAg,@Ron.xionzre,WTF was that lucky charms ad? 😂,2025-08-01T10:10:41Z,1,0
UgxgRpF5P0IPBCfxmeN4AaABAg,@nydak522,I am currently in china watching this,2025-07-31T19:39:50Z,1,0
Ugz8vDUeAv_I75ngSsx4AaABAg,@dielrexthedemonumbreon7777,Is this the first video vanoss uploaded with pasta?,2025-07-25T16:05:43Z,0,5
Ugz5lINnOtUQUkqpIXp4AaABAg,@jaynorris6356,That marvel rivals ad 😭,2025-07-10T03:37:53Z,0,0
Ugx5s8rZ0e4PU_uI5eZ4AaABAg,@MXTT3R,1:55  Lucky Charms 🤣🤣🤣🤣,2025-06-25T01:40:49Z,0,0
UgzUB6rjHUEHz7o9OCl4AaABAg,@PluuuumE,Love the GTA 5 reference with ninjas low taper fade 1:01,2025-06-21T23:00:52Z,1,0
Ugw22jeXusAGtNmMMER4AaABAg,@sharkygoldgaming671,The funny thing is that Chinese Superman is a real character that DC comics made after 2010.,2025-06-18T02:25:31Z,0,0
UgyUSKcTDfEZjQLu3rR4AaABAg,@destroyer38frankie,9:09 ngl i thought i paused the video but it was just them being silent,2025-06-16T02:33:52Z,2,0
UgzVqAdOzq7L_1KcWAp4AaABAg,@Dreamersusnderscore,the ads on the left are killing me 😭😭,2025-06-14T04:39:47Z,2,0
UgwU9lZ8tCXUE4Jcq8d4AaABAg,@ImNotFlutters,Another one with pasta?,2025-06-08T13:26:14Z,0,0
Ugycz32pBe7zIkyQ53x4AaABAg,@noahedwards-by2oz,"Feng shui is an ancient Chinese practice focused on harmonizing individuals with their environment by balancing Qi (energy) flow. It involves arranging spaces and objects to promote health, happiness, and prosperity. Literally meaning ""wind and water,"" feng shui aims to create a balanced and supportive environment for living and working. 
Here's a more detailed explanation:
Qi:
Qi is the vital life force or energy that flows through all living things and the environment. Feng shui practices aim to enhance the flow of positive Qi (Ch'i) in a space. 
Balance and Harmony:
The core principle of feng shui is to achieve a balance between opposing forces, such as yin and yang, to create a harmonious environment. 
Five Elements:
Feng shui incorporates the five elements (wood, fire, earth, metal, and water) to represent different aspects of nature and their interactions. 
Applications:
Feng shui can be applied to architecture, interior design, urban planning, and even garden design to create auspicious and harmonious spaces. 
Historical Roots:
Feng shui has roots in Taoism and was historically used to orient buildings and spaces in a way that would promote positive energy and well-being. 
Practical Applications:
Feng shui principles can be applied in everyday life through simple changes like decluttering, adjusting furniture placement, and using color and décor strategically.",2025-06-07T09:19:03Z,0,0
UgzapjR-HRQ-RToqnVR4AaABAg,@TheRookie2,2:16 What was that lucky charms dude's name?,2025-06-01T16:50:33Z,0,0
UgyyuPLRrxbYKsZpH994AaABAg,@Ranger_Actual,Can we establish poor Venom in the ad on the left 8:57 😭,2025-05-15T01:25:34Z,0,0
Ugwmo1bAEw0CC2WI9kx4AaABAg,@TheGodOfJustice,Honestly funny to see him replace the ads with memes,2025-05-13T21:15:12Z,19,0
UgzzdYxHG_OuaJ11led4AaABAg,@alonsolupercio9108,1:58 Best way for Vanoss to say in Chinese,2025-04-18T16:02:17Z,0,0
UgwHR8_TUG0vdvGzbDV4AaABAg,@riotman4350,15:18 love the made in china on sark xD,2025-04-16T18:57:19Z,0,0
