Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgzQzzz0Sar5fAlvDTx4AaABAg,@mokzyplayz,Me and my crew on are McDonald’s shift 😂,2025-11-21T13:01:09Z,0,0,en
Ugw5Qp_i4caUaqVlxRR4AaABAg,@The_MisFit_,Vannos is so damn focused while working at McDonalds,2025-11-20T01:32:10Z,0,0,en
UgxKsIeVHMaVSWN8e8p4AaABAg,@KB09706,I am hr,2025-11-19T13:55:47Z,0,0,Other
Ugz-PjRPGLQKe7YmB1x4AaABAg,@drizzydrizzler2010,8:49 GOD DAMNIT BRINE,2025-11-10T18:10:39Z,1,0,Other
UgyGvJQu9-XAaGyAX194AaABAg,@eighthmink4719,13:33 WHOAAA I TURNED MY HEAD AT THE SCREEN SO FAST,2025-11-02T02:08:02Z,0,0,en
Ugy80g01YlfUxYMjSF54AaABAg,@PlucktheDragon,2:18 Wrap the patty and that’s it 😂,2025-11-01T14:09:04Z,0,0,en
UgzNiiM6VWXfC-ktpHx4AaABAg,@MGrey-qb5xz,"i'm sorry but pasta is ruining the vibes, she just doesn't have any chemistry unlike lanai who can actually interact with the group cause of brian",2025-10-28T18:15:01Z,0,0,en
Ugz2fGrRcbrcbapQr594AaABAg,@N0MADZ-ż,Get off my feed,2025-10-17T19:52:30Z,0,0,en
UgzKxTlIkhIAW_hYxct4AaABAg,@DRE_SMOKER,Under one-year gang 🤝👇,2025-10-04T15:41:50Z,1,0,en
UgwkXnm9PkRv8oXrotx4AaABAg,@inkcreb2088,"teach me how 2 dawgy teach me teach me how 2 dawgie 
oh the nostalgia seeing happy burger in 2025",2025-09-25T21:46:26Z,0,0,en
Ugw6cFg2iDkW8AfgjqF4AaABAg,@JeremyM-n1v,0:08 DON'T THINK I DON'T KNOW MY TADC.,2025-09-21T17:13:12Z,0,0,en
UgyX16rSSVdM_TyOo6x4AaABAg,@BrettRoberts-n2m,Am late but happy burgers is back yesssss,2025-09-11T22:27:22Z,0,0,en
UgzSKPTpniIbDzoHYcN4AaABAg,@snapparkerop,"6:45 Short answer, yes",2025-09-11T18:46:25Z,1,0,en
UgwLn0cIv9hZ62i52_x4AaABAg,@peterkociba6283,They need to play this with the others X’D especially with bad food puns XD,2025-09-04T14:10:22Z,0,0,en
UgzIj3FHuGtYvkUg0EF4AaABAg,@keeganschick7760,"Was waiting for Marcel to hit the duggie, or the rat patties",2025-08-24T13:23:18Z,0,0,en
Ugymul2BSmHIbFILY4h4AaABAg,@Kazzers05,0:09 the nostalgia is crazy...,2025-08-20T07:16:18Z,0,0,en
UgxvsyqpZRuHeFUmNHV4AaABAg,@Whichonecrow,Mocking people who are doing their best is insane.,2025-08-09T19:53:43Z,0,0,en
UgyWgvf8sbFN_wdJud14AaABAg,@ArcticThecoldMessiah,I feel like someone is gonna add digital circus over this,2025-08-07T09:45:27Z,1,0,en
UgyWfURxtRE9K8DV4MZ4AaABAg,@kjfarfan2185,almost cried seeing the happy burger sign.,2025-08-07T03:48:39Z,0,0,en
Ugzy3rnXSAF6t3IdXxh4AaABAg,@xDeeDx,I don't remember this episode...,2025-07-31T09:50:43Z,0,0,en
Ugzc8ZE5sW2HsijlXmJ4AaABAg,@DKBGames-h4h,put the fries in the bag,2025-07-25T17:59:38Z,0,0,en
Ugwh3FID8y1VtESJlbR4AaABAg,@Cheescakeatebreakfasttoday,Would’ve been sick if the new chick js wasn’t in this,2025-07-24T18:11:33Z,1,0,en
UgyjL_Z_KpA4rO4LEZp4AaABAg,@eleanora.zombie,This is Ron's RestauRONt,2025-07-14T03:48:59Z,0,0,en
UgxUiKeNA3KNCR7TK9t4AaABAg,@CorbinElias,🧑🏻‍🍳👨🏾‍🍳👩🏼‍🍳🍔,2025-07-04T20:11:43Z,0,0,Other
Ugz0Lc9eNFYe3kZCnvF4AaABAg,@CorbinElias,Happy  Burger🍔,2025-07-04T20:06:07Z,0,0,Other
UgwCDrQL55ffMxgudtx4AaABAg,@Tord-g4m,0:08 Gangle spotted.,2025-07-04T01:38:04Z,0,0,no
Ugyw5nGT532zwzNBpEJ4AaABAg,@NordicDragon1337,i would go to a hamburger place run by vanoss crew,2025-07-01T12:11:57Z,0,0,en
UgyL9DdeZc6oE9YK4ud4AaABAg,@crimsonslayer6641,10:48 Tyler being Tyler💀,2025-06-22T19:18:36Z,1,0,Other
UgwJ3HYucxswgUEQ-z94AaABAg,@randomlollol294,I would actually like to see him in a real fast food restaurant just to see how everything goes 😂😂😂😂😂,2025-06-15T14:59:54Z,0,0,en
UgyiOL7cGFLQbM_FcbN4AaABAg,@r4cc00nx,12:42 it's very personal for what he just said,2025-06-10T09:35:05Z,1,0,en
Ugx1sXOazfOXjZNCnyp4AaABAg,@JoJo-vr9ml,8:17 I cayn't wait for SOWda,2025-06-08T14:09:39Z,1,0,en
Ugxb7eCyF0JZfvLvnGl4AaABAg,@imagrent6986,"16:28 wouldn't it be ""blackened chicken nuggers""",2025-05-24T14:23:34Z,2,0,en
UgzlQ_4-BSgPNPcSyCp4AaABAg,@devenguglielemencci,9$ for a fawking haatdawg,2025-05-23T05:01:46Z,0,0,cy
UgxvUzPJD_0Qrkd7CMd4AaABAg,@aydanmcnamara236,i stream this game smaller streamer on the climb and wondering if i can join the grind with yall on videos,2025-05-19T08:45:05Z,0,0,en
UgxcA-ClXVZZaLD4_Sp4AaABAg,@megahobbit5972,They worked for a whole work week. XD,2025-05-06T07:11:33Z,0,0,en
UgxwGLvH0Fe3M9B_X1p4AaABAg,@JoseLopez-zw3gk,MORE OF THIS,2025-05-04T22:45:20Z,0,0,en
UgwwCnL02t1-PKfX64B4AaABAg,@markomurisic1354,Almost 1mil boys let’s go,2025-04-30T07:32:04Z,0,0,Other
UgyqtVpWtY_s3BDLRQZ4AaABAg,@kasparkors9216,HAPPY BURGER coming wiht sandwiches and bright smile. :D,2025-04-24T17:27:59Z,0,0,en
Ugwqd-YSOTAd6ZD3Epl4AaABAg,@SummerJH98,*We owl know that Marcel would be the mascot*,2025-04-18T01:20:42Z,0,0,en
UgwKCXLQLYYBe5g7C_p4AaABAg,@Outlaw177,"Happy, Happy, Happy! Here's your fucking burger! Eat it.",2025-04-15T21:00:08Z,0,0,en
Ugwt3zhATyCFrhIR2Fl4AaABAg,@Booninater,The majority of the vanoss crew is from the south,2025-04-15T18:29:30Z,0,0,en
UgwgR4H1s7UDZrTEI-54AaABAg,@aladdin_6969,10:48 😂 13:33,2025-04-12T20:17:04Z,0,0,Other
UgxSq-TSPTzhKUV4_Mt4AaABAg,@adtu21,Where is Delirious?😢,2025-04-09T17:23:03Z,0,1,en
Ugw0H7JTZcUkYnggJOh4AaABAg,@Daywalker1233,8:17 Terroriser mocking pasta. 😂,2025-04-08T07:04:59Z,0,0,Other
UgwsWY4nZVFW6PFbxg54AaABAg,@johnpaulbaliguat8081,I enjoyed this for some reason lmao,2025-04-05T11:13:24Z,0,0,en
UgyO_FuA_TksiS3qQ7h4AaABAg,@mapleleaf1254,Holy nostalgia,2025-04-02T08:59:27Z,0,0,Other
