Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugy_so7GTfz1_EqqFx94AaABAg,@kennethprakash1677,"9:53 is probably my favorite part. Everyone just squirming to push the weeping angel in the pit of acid. In the midst of this chaos, pasta proceeds to jump in the acid on the angel's behalf.",2025-11-13T16:59:48Z,0,0,en
Ugw3uTFuITp_QI8NMMF4AaABAg,@ProjectEnder5691,"Vanoss: ""It's Cameraman Time.""

18:55 - 21:15

Lmao 🤣",2025-10-30T23:11:29Z,0,0,en
Ugx_7lBEEiF7Xe-60qh4AaABAg,@TheGhost1410,10:42 is funny as hell with the dark souls boss theme.,2025-10-30T15:19:04Z,0,0,en
UgybsiKzH9RdjcSmOLt4AaABAg,@alexalynnsth,14:44 aaa,2025-10-04T23:21:48Z,0,0,Other
UgzDkSMnsiVXG4kFt8t4AaABAg,@vanillasdue,She doesn't know directions,2025-09-04T20:25:34Z,0,0,en
UgytX29fePXAPXp7TyN4AaABAg,@KytusGame,1:08 ....shadow..its shadow,2025-08-18T09:26:58Z,0,0,Other
UgwC5End9yg_riMRvol4AaABAg,@chiniromero3870,Perfect reaping what has been sown moment at the beginning lol,2025-07-22T23:52:34Z,0,0,en
Ugy7_8U1Ca6fQcN4P154AaABAg,@SUPERLITBACONHAIR-o5c,22:23,2025-07-21T16:34:50Z,0,0,Other
Ugz39bmMmPN6yJD9Nql4AaABAg,@vcarter0723,"Marcel is way too good being a pimp

Maybe a little too good",2025-07-20T04:29:40Z,0,0,en
UgwlI6ygeDg8kN2XMlZ4AaABAg,@AlexLopez-gn8qc,Another classic,2025-07-10T06:34:28Z,0,0,en
UgwkTYlHYVXnYNpp0j54AaABAg,@N4sty4ndy,We have to get more of the group edit sessions at the end of the videos 😂. That was golden,2025-07-06T11:58:23Z,0,0,en
UgzBjnvdQA6gjlN3GdF4AaABAg,@christineainsworth7975,12:17 Karma,2025-06-22T21:16:41Z,1,0,Other
Ugya18QedHNhLVfAPR14AaABAg,@TigerJetSyphan,6:45 I love how Lui’s icon mouth goes from 90 degrees to 0 so fast 😂,2025-06-14T18:51:43Z,0,0,en
UgxyQgErQhUvn7h82CV4AaABAg,@KING-JUSTINIUS,"BRO MACARENA IS NOT MEXICAN, IT'S A SPANISH SONG FROM ANDALUCIA!!! POR QUÉ!!!",2025-06-13T18:32:32Z,0,0,en
Ugy9x8OoFXYNzPURXYN4AaABAg,@CIVILCOMICSOfficalStudio,They gotta make a Repo 2 😂,2025-06-12T10:40:16Z,0,0,en
Ugwgx7-s7riWHmZMjHJ4AaABAg,@Eeevonn,the nuke should just crash your game when it blows you up,2025-06-12T00:28:56Z,0,0,en
Ugzc4xW1K3REuZelkqd4AaABAg,@hirohiroarikawa6806,20:49 😂😂😂,2025-06-10T05:36:20Z,0,0,Other
UgxDTPmzlI4sEBH8LcJ4AaABAg,@SugarFreeLatte,"14:00 ""oh im used to those"" is diabolical💀💀",2025-06-04T15:47:39Z,9,0,en
UgwzmWMj6pFnP2SH8uB4AaABAg,@Yusuf_Kece,"19:24 while everybody having a hard time playing game.
meanwhile brian : ambatulam......😵",2025-05-31T12:22:47Z,0,0,en
UgzIdUCMdQALQfq6XFh4AaABAg,@tehsnipatres208,20:47 LMFAO 😂😂😂😂,2025-05-29T21:35:13Z,0,0,Other
UgwKQZGWmhqyaP85nGZ4AaABAg,@CheerfulJigsawPuzzle-jo9lq,1:04 basically is sonic just because he can outrun child support 💀,2025-05-28T20:15:55Z,1,0,en
UgxfrYLoLfDxgAZehNp4AaABAg,@MUM-69,16:00 The teeth really crack me up! I GOTTA PLAY THIS! lol,2025-05-26T20:00:59Z,0,0,en
Ugy4uCk2BzNE4DmeByV4AaABAg,@MUM-69,That statue is on a hole nother level... 😦😧😨,2025-05-26T19:54:05Z,0,0,en
Ugy-SoceCdqmSSZhHtZ4AaABAg,@Heterochaeta,Okay but his songs tho,2025-05-19T19:38:42Z,0,0,en
Ugz5UYqrWUvcb3KvVm54AaABAg,@ItzCyber6221,Where does one get such mods 🤔,2025-05-10T08:15:31Z,0,0,Other
UgxzHOG2Q-yt6ReFS914AaABAg,@Dragoneel81,2:43 i didn't expect brian to use dreamybull on his soundboard lol,2025-05-06T02:13:24Z,0,0,en
