Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgxEovIxlPMkZvHzX_54AaABAg,@VeilofRoses,Ok idk how tf i missed this video,2025-10-25T13:11:45Z,0,0,en
UgyhRcAeiNyZSxCHf2h4AaABAg,@Tommie_gun,Pt.2👀,2025-10-22T20:05:12Z,0,0,Other
UgyJyZ22E1y93GfINmx4AaABAg,@adamwall8615,Checkpoint 2. 43:03,2025-10-21T13:10:42Z,0,0,en
UgwbiJro3QdrNtzFS7h4AaABAg,@Luke-br1kz,Damn your jokes have got old 😢,2025-10-03T11:42:02Z,0,0,Other
UgxovS5dGCdkpDVBsO94AaABAg,@diogo7163,The name Diogo is more common is portuguese and Diego in Spanish 😂 i love the video ❤,2025-09-19T20:43:10Z,0,0,en
Ugx-5M4caOQlGqmGPsd4AaABAg,@JuanMoreno-em6xw,i would love to see you 2 play gosht of Tsushima,2025-08-30T19:45:30Z,0,0,en
Ugxt22R4tMimlzpSHfF4AaABAg,@GeneralMcShit506,Wild how Mr Vanoss has a Ubisoft deal when he costed Brian his lmao all according to plan,2025-08-15T20:01:07Z,0,0,en
UgzD1PIw42ce-0tUwGZ4AaABAg,@DAYTHEDOOMSAYER,57:30 😂😂😂,2025-08-13T07:40:06Z,0,0,Other
UgxG2M9BnhAHIOuOXHt4AaABAg,@Zero0ne01-NS,"Dude, Im not ass in assassin....😂",2025-08-07T16:56:56Z,0,0,en
UgwzMcBmIQZCEPoscH14AaABAg,@MaXilU05,Where’s part 2!!!!!!!,2025-08-06T16:46:34Z,0,0,en
UgyXicaKQ85Uzn7v6iR4AaABAg,@FaZe_Up_Yolo_Swag,Assassin's Creed Shadows is absolute fucking dogshit but love to see Vanoss play a game with Lui in the background,2025-07-24T17:31:51Z,0,0,en
UgxwyMMzNPnzGFctf854AaABAg,@ikrusking1469,"This made me crack up so much, need more content like this 😂❤",2025-07-21T06:38:30Z,0,0,en
Ugzo57XyASnuWjS-gMF4AaABAg,@charlesparker64,Is he going to speak Japanese,2025-07-11T22:43:13Z,0,0,en
