Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgzgyeTsq_COob1qRIR4AaABAg,@Damianmobs2003,What mod pack is thus and is it available on Curseforge?,2025-11-22T02:08:33Z,0,0,en
UgxKyHjR5mx42VWirb14AaABAg,@Rezoplays-w9i,MORE DUOOOO MOMENTS with delirious,2025-11-11T05:40:37Z,0,0,en
UgyLchQk63ojZ-nin954AaABAg,@AayYoWhatUp,When did I miss this,2025-10-23T01:01:36Z,0,0,en
UgwPVfTSCFQL8f8yEcd4AaABAg,@Velcro_ignatius094,"10:17
LOL- I SPAT MY FOOD OUT BY ACCIDENT, AND I WAS IN THE LOUNGE TOO
XD",2025-10-16T10:35:18Z,1,0,en
UgzPNvT6NvAXQClPg554AaABAg,@diksalavean4393,How it's not a millions views yet? 😮 I wonder.,2025-10-04T15:07:18Z,0,0,en
UgxgZ5VtnNJuzUhHyll4AaABAg,@ambivalentbugcook,Dream speed runs be like:,2025-10-01T01:08:06Z,0,0,Other
Ugz4s5OKfVqkPmKT0hh4AaABAg,@sleepymilk6861,I spit my water out laughing oh my lord HAHAHA 10:22,2025-08-27T06:30:35Z,0,0,en
UgyJU1XR4O8_HliQEn14AaABAg,@darkblu117zcrookedneck8,Lanai meets Pasta first time. The Lore is there. What's going to happen next? Hmm 😒,2025-08-15T02:00:55Z,0,0,en
UgzThz_Uoz_ykk0UPtV4AaABAg,@amms7461,"love you two , yo delirious love u",2025-08-09T17:25:01Z,1,0,Other
UgwEE9BeDOHiQ4AiGs54AaABAg,@YetAnotherYoutuber,13:39 :D,2025-08-05T09:45:09Z,0,0,Other
UgwMNEVCWBYYmWtvp6B4AaABAg,@amondives5801,closest thing to the classic duo dead rising gameplay,2025-07-25T07:09:53Z,0,0,en
UgyQNQ0-HNxw0jnik414AaABAg,@_-_-_L_-_-_,Ngl. I hear pasta and click off,2025-07-25T00:37:19Z,0,0,en
UgxkUeNvjooBxW-shqd4AaABAg,@zx_0423,9:07 9:42 these cut offs are amazing hhhh,2025-07-23T13:13:18Z,5,0,en
Ugz9PG5s5HVgDYifySl4AaABAg,@animatorstitch9018,9:17 delirious casually feeding his batcoon family,2025-07-21T18:13:22Z,0,0,en
Ugz0aM3odmrGS_PEsUR4AaABAg,@animatorstitch9018,The cut out scenes got me 😂,2025-07-21T18:12:35Z,0,0,en
UgzzaSZABTbEsKqvzX54AaABAg,@anavasquez9402,😅😅😂😂😂😂😂😂😂😂,2025-07-11T01:13:47Z,0,0,Other
UgxExvkdQDnLooYqboJ4AaABAg,@merci_745,Nice,2025-07-08T10:23:15Z,0,0,Other
Ugy-UzHy7VLnQuC6DO94AaABAg,@shrubydoo,h20 gonna order uber sheeps,2025-07-08T02:29:12Z,0,0,Other
UgwDl_ZCeTRQSeFUESB4AaABAg,@MLaw-sg6qg,Mental crash out 😂😂 17:17,2025-07-03T02:17:15Z,0,1,en
UgyvyYiAEBrg037ok7d4AaABAg,@Dante-pj7hb,how do i play with these mods man,2025-06-28T14:44:32Z,0,0,en
UgxUsGKbVvUJB3cDzP14AaABAg,@impishwolf,4:42 GAY,2025-06-28T12:00:36Z,0,0,Other
UgznLful_3ijwwjjzLZ4AaABAg,@ElectricalEngineerGenius,"I just came back to this and remembering the good ol days, can’t believe not much changed",2025-06-23T10:06:19Z,0,0,en
UgzKMmxbU2-WbCjDKy14AaABAg,@trainreckedmilk3553,Anyone know what mods their using?,2025-06-21T20:44:28Z,0,0,en
UgzFNPCkWGrIg6HEbTN4AaABAg,@BLT001Gaming,:10 didn't they do this that one GTA session with lui and Terroriser?,2025-06-21T03:44:04Z,0,0,en
Ugy3FZQCoUA5gjoXKrd4AaABAg,@unknownartist4359,12:28 KEY AND PEELE REFERENCE,2025-06-19T00:29:07Z,0,0,Other
Ugzs2dS5JTqvgmBsE1R4AaABAg,@MoneyChump,11:29 the Key and Peele reference 💀,2025-06-16T19:16:15Z,0,0,en
Ugy4nlLHJDgD6LlPO1V4AaABAg,@Greenzero_X_19,0:26 hahahaha i was eating and choke because of this hahahaha 😂😂😂,2025-06-16T01:16:57Z,0,0,en
Ugyhe-m9Sx8fr0Xzkk54AaABAg,@magmatune4573,"I laughed so much harder than I should have at ""H20DeleriousYT's atoms were crushed in BasicallyWrk's black hole""",2025-06-13T04:27:42Z,0,0,en
UgwdR8wSa0QXpSrohbV4AaABAg,@nezuma,"Almost the whole team is present, that's amazing. Also W Minecraft video",2025-06-10T17:05:52Z,0,0,en
UgxrlW13Z6snGq3C5oR4AaABAg,@LaiYiLok,H20vanoss duo is back baby!!,2025-06-09T23:01:04Z,0,0,en
UgykU8AdeGAqLsysuDV4AaABAg,@MrZmby,Vanoss just sounds like he's tired of making videos to be honest,2025-06-09T18:38:06Z,0,0,en
UgxT8L5tqfjBr7HhXyl4AaABAg,@Seraphim653,12:28 key and peele reference,2025-06-09T14:03:06Z,1,0,en
UgwBSwIeBd0tIEfy5_t4AaABAg,@Marie-Lee-,DUOOO,2025-06-06T04:36:48Z,0,0,Other
UgycAbbxYWkKeCMksrh4AaABAg,@emmah6454,"Funniest videos were delirious and vanoss playing Minecraft way back in the day. 

Obviously delirious crafted a giant pink penis",2025-06-05T20:03:20Z,0,0,en
UgzYOsL9mM1TRBwnfzR4AaABAg,@alonsolupercio9108,Remember when the Vanoss crew was all Guys?,2025-06-05T16:18:41Z,0,0,en
UgyfiB4XaL-gkibNqNd4AaABAg,@alonsolupercio9108,Great now we have 2 girls in the Vanoss crew,2025-06-05T16:06:07Z,0,1,en
Ugxezw3CdMsMiKTBjL54AaABAg,@alonsolupercio9108,0:18 Christmas music in june,2025-06-05T16:05:20Z,0,0,en
UgyOkpxZ08NNZC24fPR4AaABAg,@abraxosdigitalherald,What modpack is this?,2025-06-05T11:28:12Z,0,0,en
UgztZilGTywlAzj8Azx4AaABAg,@abraxosdigitalherald,9:51 SHADOW CLONE JUTSU!,2025-06-05T11:21:46Z,0,0,en
Ugx2DOrCCLm0EDUu-9V4AaABAg,@rayrojas3277,Vanoss more lanai and pasta please I love them 😍 and bring pasta best friend Emily,2025-06-04T20:49:28Z,0,0,en
UgyCu33tz8PdCcswG7F4AaABAg,@g30dangerous12,with these 2 together i feel like 14yo again.,2025-06-04T18:11:03Z,0,0,en
Ugxmo6ub0UPb9gA3UB14AaABAg,@deathlordicelord8402,"they've been playing minecraft for quite a while, and yet they haven't touched kids yet... unlike someone who may or may not have been part of this friendgroup",2025-06-04T07:28:06Z,0,0,en
Ugzm0TUT8k63On4qS2d4AaABAg,@JinnXXX-k1p,Me,2025-06-03T23:40:18Z,0,0,Other
UgzD57zPQ5Hs7bzdwMl4AaABAg,@harudesu1760,"what mod are they using tho, it's so cool",2025-06-03T19:00:01Z,0,0,en
Ugz1tS8cW-pEpi_aUJV4AaABAg,@ThomasNosey,Finally Lanai is back.,2025-06-03T16:09:31Z,0,0,en
Ugyd3A37hQrdZ4454NB4AaABAg,@b1llyb1lly,i like the key and pel ref,2025-06-03T07:12:52Z,0,0,en
UgyX-A1XSyzgVn5PNP94AaABAg,@domkang3000,Perfect Cuts 9:05 9:39 10:25,2025-06-03T01:32:55Z,1,0,en
Ugxy_P_22UEk_iw_1rt4AaABAg,@lavender_heart5263,LMAO the cuts were funny af,2025-06-03T01:30:29Z,0,0,en
Ugz574VR9hYZg1ef-ed4AaABAg,@HendrixCloudSabagkit-c4h,uy Philippines,2025-06-02T23:44:30Z,0,0,Other
UgybJmmAn1um6L86BMh4AaABAg,@NoteTheLibrarian,Bring back Shotgun Farmers for the one time,2025-06-02T19:00:26Z,0,0,en
UgwJXAVSeTwGx2gexF14AaABAg,@bubblysnowflake8031,H20' atoms were crushed in by Basically's black hole 😂😂😂😂😂 DAYUM SON,2025-06-02T18:31:11Z,0,0,en
Ugwq-NrKSUm7N3oWPmF4AaABAg,@handle1644,"23:20
Got to love vanoss just standing around holding a sword instead of doing anything",2025-06-02T18:28:34Z,0,0,en
UgzEtOcKVpZwnPGzd-d4AaABAg,@ImaSS68C,Those little cut off screams so funny😂,2025-06-02T16:47:41Z,0,0,en
UgxavEGcDT0rFGgQhz54AaABAg,@GavinT420,New music fire btw,2025-06-02T16:22:18Z,0,0,en
UgxffqVXRYgC_2PhEqt4AaABAg,@natedeck2142,"7:44 *H20Delirious was slain by a grizzly bear.*
The Viewer:”Ah a Team 6 reference.” Lmao 😂",2025-06-02T07:54:33Z,3,0,en
UgygfxaWE_hdJJee8bR4AaABAg,@Freak-tron,Everyone is using magic while Vanoss just has a blicky,2025-06-02T05:55:47Z,4,0,en
UgwWVLRiTi4EvSzLvhx4AaABAg,@FrostVideos,Love that his inventory is almost always full with boats or carts,2025-06-02T02:25:43Z,3,0,en
UgxiMUP6F5zgV3FogG54AaABAg,@HvNthatdied,Its like farcry all over again with the animals hunting delirious,2025-06-01T19:55:53Z,1,0,en
Ugy12uZ9Hfh4k-XNvb94AaABAg,@bigeagle6691,what modpack do these guys use????,2025-06-01T19:10:49Z,0,0,en
Ugx0oZH28r2ph-lxDbh4AaABAg,@nickolaimangroo465,Crystal of atlan is a really cool game I am really enjoying 😂,2025-06-01T18:38:34Z,0,0,en
UgwQ3zvl-H5BT1KDmFp4AaABAg,@AB-vw1fs,5:09 Elder scrolls III Morrowind moment for those who know.,2025-06-01T18:14:28Z,0,0,en
