Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgzgyeTsq_COob1qRIR4AaABAg,@Damianmobs2003,What mod pack is thus and is it available on Curseforge?,2025-11-22T02:08:33Z,0,0
UgxKyHjR5mx42VWirb14AaABAg,@Rezoplays-w9i,MORE DUOOOO MOMENTS with delirious,2025-11-11T05:40:37Z,0,0
UgyLchQk63ojZ-nin954AaABAg,@AayYoWhatUp,When did I miss this,2025-10-23T01:01:36Z,0,0
UgwPVfTSCFQL8f8yEcd4AaABAg,@Velcro_ignatius094,"10:17
LOL- I SPAT MY FOOD OUT BY ACCIDENT, AND I WAS IN THE LOUNGE TOO
XD",2025-10-16T10:35:18Z,1,0
UgzPNvT6NvAXQClPg554AaABAg,@diksalavean4393,How it's not a millions views yet? 😮 I wonder.,2025-10-04T15:07:18Z,0,0
Ugz4s5OKfVqkPmKT0hh4AaABAg,@sleepymilk6861,I spit my water out laughing oh my lord HAHAHA 10:22,2025-08-27T06:30:35Z,0,0
UgyJU1XR4O8_HliQEn14AaABAg,@darkblu117zcrookedneck8,Lanai meets Pasta first time. The Lore is there. What's going to happen next? Hmm 😒,2025-08-15T02:00:55Z,0,0
UgwMNEVCWBYYmWtvp6B4AaABAg,@amondives5801,closest thing to the classic duo dead rising gameplay,2025-07-25T07:09:53Z,0,0
UgyQNQ0-HNxw0jnik414AaABAg,@_-_-_L_-_-_,Ngl. I hear pasta and click off,2025-07-25T00:37:19Z,0,0
UgxkUeNvjooBxW-shqd4AaABAg,@zx_0423,9:07 9:42 these cut offs are amazing hhhh,2025-07-23T13:13:18Z,5,0
Ugz9PG5s5HVgDYifySl4AaABAg,@animatorstitch9018,9:17 delirious casually feeding his batcoon family,2025-07-21T18:13:22Z,0,0
Ugz0aM3odmrGS_PEsUR4AaABAg,@animatorstitch9018,The cut out scenes got me 😂,2025-07-21T18:12:35Z,0,0
UgwDl_ZCeTRQSeFUESB4AaABAg,@MLaw-sg6qg,Mental crash out 😂😂 17:17,2025-07-03T02:17:15Z,0,1
UgyvyYiAEBrg037ok7d4AaABAg,@Dante-pj7hb,how do i play with these mods man,2025-06-28T14:44:32Z,0,0
UgznLful_3ijwwjjzLZ4AaABAg,@ElectricalEngineerGenius,"I just came back to this and remembering the good ol days, can’t believe not much changed",2025-06-23T10:06:19Z,0,0
UgzKMmxbU2-WbCjDKy14AaABAg,@trainreckedmilk3553,Anyone know what mods their using?,2025-06-21T20:44:28Z,0,0
UgzFNPCkWGrIg6HEbTN4AaABAg,@BLT001Gaming,:10 didn't they do this that one GTA session with lui and Terroriser?,2025-06-21T03:44:04Z,0,0
Ugzs2dS5JTqvgmBsE1R4AaABAg,@MoneyChump,11:29 the Key and Peele reference 💀,2025-06-16T19:16:15Z,0,0
Ugy4nlLHJDgD6LlPO1V4AaABAg,@Greenzero_X_19,0:26 hahahaha i was eating and choke because of this hahahaha 😂😂😂,2025-06-16T01:16:57Z,0,0
Ugyhe-m9Sx8fr0Xzkk54AaABAg,@magmatune4573,"I laughed so much harder than I should have at ""H20DeleriousYT's atoms were crushed in BasicallyWrk's black hole""",2025-06-13T04:27:42Z,0,0
UgwdR8wSa0QXpSrohbV4AaABAg,@nezuma,"Almost the whole team is present, that's amazing. Also W Minecraft video",2025-06-10T17:05:52Z,0,0
UgxrlW13Z6snGq3C5oR4AaABAg,@LaiYiLok,H20vanoss duo is back baby!!,2025-06-09T23:01:04Z,0,0
UgykU8AdeGAqLsysuDV4AaABAg,@MrZmby,Vanoss just sounds like he's tired of making videos to be honest,2025-06-09T18:38:06Z,0,0
UgxT8L5tqfjBr7HhXyl4AaABAg,@Seraphim653,12:28 key and peele reference,2025-06-09T14:03:06Z,1,0
UgycAbbxYWkKeCMksrh4AaABAg,@emmah6454,"Funniest videos were delirious and vanoss playing Minecraft way back in the day. 

Obviously delirious crafted a giant pink penis",2025-06-05T20:03:20Z,0,0
UgzYOsL9mM1TRBwnfzR4AaABAg,@alonsolupercio9108,Remember when the Vanoss crew was all Guys?,2025-06-05T16:18:41Z,0,0
UgyfiB4XaL-gkibNqNd4AaABAg,@alonsolupercio9108,Great now we have 2 girls in the Vanoss crew,2025-06-05T16:06:07Z,0,1
Ugxezw3CdMsMiKTBjL54AaABAg,@alonsolupercio9108,0:18 Christmas music in june,2025-06-05T16:05:20Z,0,0
UgyOkpxZ08NNZC24fPR4AaABAg,@abraxosdigitalherald,What modpack is this?,2025-06-05T11:28:12Z,0,0
UgztZilGTywlAzj8Azx4AaABAg,@abraxosdigitalherald,9:51 SHADOW CLONE JUTSU!,2025-06-05T11:21:46Z,0,0
Ugx2DOrCCLm0EDUu-9V4AaABAg,@rayrojas3277,Vanoss more lanai and pasta please I love them 😍 and bring pasta best friend Emily,2025-06-04T20:49:28Z,0,0
UgyCu33tz8PdCcswG7F4AaABAg,@g30dangerous12,with these 2 together i feel like 14yo again.,2025-06-04T18:11:03Z,0,0
Ugxmo6ub0UPb9gA3UB14AaABAg,@deathlordicelord8402,"they've been playing minecraft for quite a while, and yet they haven't touched kids yet... unlike someone who may or may not have been part of this friendgroup",2025-06-04T07:28:06Z,0,0
UgzD57zPQ5Hs7bzdwMl4AaABAg,@harudesu1760,"what mod are they using tho, it's so cool",2025-06-03T19:00:01Z,0,0
Ugz1tS8cW-pEpi_aUJV4AaABAg,@ThomasNosey,Finally Lanai is back.,2025-06-03T16:09:31Z,0,0
Ugyd3A37hQrdZ4454NB4AaABAg,@b1llyb1lly,i like the key and pel ref,2025-06-03T07:12:52Z,0,0
UgyX-A1XSyzgVn5PNP94AaABAg,@domkang3000,Perfect Cuts 9:05 9:39 10:25,2025-06-03T01:32:55Z,1,0
Ugxy_P_22UEk_iw_1rt4AaABAg,@lavender_heart5263,LMAO the cuts were funny af,2025-06-03T01:30:29Z,0,0
UgybJmmAn1um6L86BMh4AaABAg,@NoteTheLibrarian,Bring back Shotgun Farmers for the one time,2025-06-02T19:00:26Z,0,0
UgwJXAVSeTwGx2gexF14AaABAg,@bubblysnowflake8031,H20' atoms were crushed in by Basically's black hole 😂😂😂😂😂 DAYUM SON,2025-06-02T18:31:11Z,0,0
Ugwq-NrKSUm7N3oWPmF4AaABAg,@handle1644,"23:20
Got to love vanoss just standing around holding a sword instead of doing anything",2025-06-02T18:28:34Z,0,0
UgzEtOcKVpZwnPGzd-d4AaABAg,@ImaSS68C,Those little cut off screams so funny😂,2025-06-02T16:47:41Z,0,0
UgxavEGcDT0rFGgQhz54AaABAg,@GavinT420,New music fire btw,2025-06-02T16:22:18Z,0,0
UgxffqVXRYgC_2PhEqt4AaABAg,@natedeck2142,"7:44 *H20Delirious was slain by a grizzly bear.*
The Viewer:”Ah a Team 6 reference.” Lmao 😂",2025-06-02T07:54:33Z,3,0
UgygfxaWE_hdJJee8bR4AaABAg,@Freak-tron,Everyone is using magic while Vanoss just has a blicky,2025-06-02T05:55:47Z,4,0
UgwWVLRiTi4EvSzLvhx4AaABAg,@FrostVideos,Love that his inventory is almost always full with boats or carts,2025-06-02T02:25:43Z,3,0
UgxiMUP6F5zgV3FogG54AaABAg,@HvNthatdied,Its like farcry all over again with the animals hunting delirious,2025-06-01T19:55:53Z,1,0
Ugy12uZ9Hfh4k-XNvb94AaABAg,@bigeagle6691,what modpack do these guys use????,2025-06-01T19:10:49Z,0,0
Ugx0oZH28r2ph-lxDbh4AaABAg,@nickolaimangroo465,Crystal of atlan is a really cool game I am really enjoying 😂,2025-06-01T18:38:34Z,0,0
UgwQ3zvl-H5BT1KDmFp4AaABAg,@AB-vw1fs,5:09 Elder scrolls III Morrowind moment for those who know.,2025-06-01T18:14:28Z,0,0
UgxM5IgBlr0gx7k8Rl54AaABAg,@ignitedmotion5807,I love how marcel basically became a drill sergeant to a bunch of people who never played before,2025-06-01T16:37:15Z,0,0
Ugw7YHAJofMFc1_9jGh4AaABAg,@InterestedPaper,Hilarious LOL,2025-06-01T14:33:50Z,0,0
Ugzo12Vy04C3UtDgC014AaABAg,@Ankaration,4:38 Marcel got that tight bussy magic like Aleister Crowley and Delirious couldn't handle it,2025-06-01T09:38:23Z,0,0
UgyWW7DH9hfYHf-QksB4AaABAg,@yosho9846,I love the cutoffs,2025-06-01T05:04:58Z,0,0
Ugz4w9YBYjQwJ9jLWrl4AaABAg,@HayleyLehmann,Happy birthday vanoss,2025-06-01T01:29:08Z,0,0
UgyrYZD-rPSD5rWN0td4AaABAg,@Lucifer-rg5dx,i hope brian and lanai get back together,2025-06-01T01:21:34Z,0,3
UgyJ2xVk1WpLVdsvjfB4AaABAg,@SummerJH98,"*6:10** He was behind you the whole time*
Typical Marcel clownin' around
*LET'S GO GIRLS!* 💜✨️",2025-06-01T01:05:43Z,2,0
UgyDuHQFGG11qrEKUg94AaABAg,@GageisME333,"I've said it before I'll say it again, the boss disappearing when someone dies is so dumb,  there's gotta be a fix to that",2025-06-01T00:56:27Z,0,0
Ugws20ImEzhS44t4q8l4AaABAg,@jamespablo8415,10:26 bro dropped all his chicken,2025-05-31T23:09:56Z,0,0
UgxjzwhI3yUQ0jrGsUd4AaABAg,@medlyman6513,After like 4 years he finally reached 26m,2025-05-31T21:18:20Z,0,0
Ugw2ejLrse4mReGistt4AaABAg,@KingPin_1982,The cut offs in this video are amazinggg 😂😂😂,2025-05-31T18:14:30Z,4,0
UgywAaAX8xm8SgLd2lV4AaABAg,@GoldGrave2007,Having him do it with a llama is wild!  0:27,2025-05-31T12:36:37Z,4,0
Ugw_iFsjpcx584a0c7B4AaABAg,@itsRobbie_,"""the magician is in bed"" ""IM A WIZARD""",2025-05-31T11:33:01Z,0,0
Ugx2PhuAISQeUKOGm_x4AaABAg,@Pizzabacon2,17:05  love how he went next to pasta,2025-05-31T03:02:42Z,5,0
UgyGcJ8PpqK-QBy6hF94AaABAg,@thedarkmasterthedarkmaster,Bechdel test is so silly,2025-05-31T01:57:48Z,0,0
UgzuttAJ2ddWG4IOkl94AaABAg,@Crazierrabbit14,Do you know what mods you guys use?,2025-05-31T00:56:09Z,0,0
Ugy-c7UBJyX0osLXnZF4AaABAg,@MichaelStalk,"Is anyone else wanting to get into their 2-week minecraft phase, or just me?",2025-05-31T00:11:58Z,0,0
UgyZhbPjRKPZB_YXK094AaABAg,@GanjaGrowes,"19:00 delirious wyd ""I'm hig... ima watch from up here"" got me dead",2025-05-30T23:08:18Z,10,0
Ugxuq54ouKL-0SSHkOR4AaABAg,@joshuadilly6733,Playing that Zombie Horde mod would be very funny,2025-05-30T22:37:19Z,2,0
Ugwu2O96ehBhUOEv3RF4AaABAg,@cruzearl3532,What mods is it that you guys use???,2025-05-30T21:56:00Z,0,0
Ugw3eN5MAb_c5ae5WDF4AaABAg,@Grape_starlight,More minecraft vids please!,2025-05-30T19:34:15Z,0,0
Ugy31qBnd6OsQ25g6PZ4AaABAg,@SonDanhan,The beginning.... Grand Wizard Marcel creating a black hole....,2025-05-30T19:24:28Z,0,0
Ugx8E7n0Wzhmvt5G8HF4AaABAg,@chasehigley3603,what mod pack are they using?,2025-05-30T17:49:48Z,0,0
UgyfMJ0IRxoWRCtbr-l4AaABAg,@orionsbelt430,Basically born leader of the Kadabra kazam klass,2025-05-30T17:46:45Z,0,0
Ugw90CXhLxksbGqES7R4AaABAg,@foxtrot570,4:37 Now that's some kinky sht on another level 😂,2025-05-30T17:19:16Z,1,0
UgyRG7lBOkbwnFbYhlB4AaABAg,@TheTrueDarkNight101,Hearing Vanoss censor his videos is fucking wrong.,2025-05-30T17:10:22Z,0,0
UgzyDJWmmOTLq2vU1jx4AaABAg,@Handleisreqdytaken1,These 12 year olds now have insane attention spans,2025-05-30T16:22:34Z,0,0
Ugxdg428nyh55bv9CnJ4AaABAg,@Eddietheteddie,Its honestly shocking that there were zero keemstar references in this video 😂,2025-05-30T15:51:52Z,1,0
UgyMHrrnOSinHnNz9jB4AaABAg,@kevinpaz4909,I love these type of videos.,2025-05-30T15:23:52Z,1,0
UgzYZxeGppBjnj7P6514AaABAg,@JoeBoney,Does anyone know the name of the modpack that they use?,2025-05-30T14:24:51Z,0,0
UgwbUL_kqbNt5XN0otF4AaABAg,@CCSCrie,I miss the duo😢,2025-05-30T14:02:15Z,0,0
UgxlCDYYFTB8CHfKCOp4AaABAg,@IanPlayzMc,"""H20DELIRIOUSYTS atoms were crushed in basicallywrks black hole"" me:AYO THAT WAS SAID WRONG my brain: huh....neat....(<dorkly joke)",2025-05-30T13:26:50Z,0,0
UgyGq9fRzIRUPf17g0N4AaABAg,@izsvara,everyone became a wizard and vanoss became american,2025-05-30T13:05:11Z,0,0
UgygdmjFBR9cAxcw51t4AaABAg,@evilnick7384,Anybody know what mod pack they’re playing,2025-05-30T13:04:28Z,0,0
UgzpC16CxZvdoz3RpGF4AaABAg,@betypus2627,0:52 i thought pasta was talking to herself,2025-05-30T12:34:30Z,1,0
UgyOg3s5RR0s-I6CnBd4AaABAg,@ikillzombys1,I'm surprised there were no jokes about Marcel being a dark wizard that wields black magic,2025-05-30T12:30:18Z,0,0
Ugy560qvP8csBmXW5-F4AaABAg,@dicoy-2002,"Our country has Triple K
But they're the good guys
🤣😭",2025-05-30T10:59:30Z,0,0
Ugy193ABajaGQs18lYV4AaABAg,@SamuelHarrison,Lanai and pasta are an amazing combo and bring a great dynamic to the group! Need to see them more together in videos,2025-05-30T10:59:21Z,50,0
