Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugwa_OPf_-MoB3fhgVR4AaABAg,@k-8654,wonder y brian isnt in this video IYKYK,2025-11-22T20:08:52Z,0,0
UgzEyZ8luQ1vW4AwhDt4AaABAg,@itsoowan2763,how des even find a way to put recoil on the m4?,2025-08-30T13:00:52Z,0,0
UgzJI7Z7NH1b86P6Ljh4AaABAg,@mikeandghost,i need games with these kinds of people wow they are bad,2025-08-06T16:23:13Z,0,0
Ugya09ZYQtZa0p5iDQJ4AaABAg,@josueortiz8071,More rainbow content plz,2025-08-03T13:37:37Z,0,0
UgxQ-CYsCjzBZ20hJDt4AaABAg,@gabrieljones7676,"so that's where I got the selven from, checks out",2025-07-15T16:43:02Z,0,0
Ugxwfl_l8Ilh7yhtgiN4AaABAg,@ChristianGutierrez-p7b,We all just chill guys,2025-07-14T07:43:26Z,0,0
UgwGGB_y9RzRVMYef7J4AaABAg,@emotionaloranges,any one else vibing to the outro song right now?🍊🍊,2025-07-10T22:15:24Z,0,0
Ugxn6dHzLrz3j6ftV2F4AaABAg,@iamanevutable981,"😂Marcel ""5 feet apart so we're not gay"" I'M FREAKIN DONE.",2025-07-07T06:33:38Z,0,0
Ugw13zB2XGmQlsSDl5Z4AaABAg,@caidenmerritt1930,this is painful to watch,2025-07-03T18:19:27Z,0,0
Ugx6joA_IWpGnLoZtHZ4AaABAg,@RowndRaccoon,"Glad to see you guys bring some light on this game! Been a fan since the beginning. 

✨Love you boys✨",2025-06-29T17:02:55Z,0,0
UgwN3SWzMfUfv2ZkmV94AaABAg,@OrionGuards,Damn Tyler did not retain the badger knowledge he learned,2025-06-27T13:58:19Z,1,0
UgzvEznAG0xcfUJKLEV4AaABAg,@Tuka-007,Fk yo sponsorship pusseh.,2025-06-26T23:52:38Z,0,0
UgythXJJYBnqm_5YqyJ4AaABAg,@THECH33SYGUY,11:45 Marcel complaining about Wall lineups then it cuts to them just laying in a bathtub LMAO xD,2025-06-26T04:09:01Z,10,0
Ugy4T9kWP94zjCdEO_94AaABAg,@BBockLLL,Vanoss played siege again!?!?! Peak!,2025-06-25T21:15:15Z,0,0
UgxRooFnB8UVhkN69cd4AaABAg,@OKgonno,Thank god a video without pasta,2025-06-25T20:13:20Z,0,0
UgwzFfHCjWatIdYOHf54AaABAg,@GrantsGaming,1:37 tRAPPER DBD????,2025-06-25T16:51:04Z,0,0
UgyAYz2tCLaWj8K8v3Z4AaABAg,@enzosanches9490,Is vanoss  so washed at shooters he burst fires an automatic  IM CRYING XDDDD,2025-06-23T16:03:02Z,0,0
UgyBCoV19s3jtZK7_LJ4AaABAg,@Dragonmcgee625,man i would love to play seige x with them,2025-06-23T14:52:37Z,0,0
UgydYoBn3gLhkwXUaKZ4AaABAg,@TheSip714,Siege was so fun they played like 3 games lmao,2025-06-23T10:12:47Z,0,0
UgzRBWVSTdRgnVB0_G94AaABAg,@rexamillion21,No way the god of YouTube is playing r6 I think I’ve been raptured up to heaven,2025-06-23T01:59:09Z,0,0
UgwZtEn8RoNvQwpj7yR4AaABAg,@Bejewelzgaming,Lol dead by daylight trapper skin,2025-06-21T18:00:22Z,0,0
Ugy0CH3MyRISBhHLiLR4AaABAg,@condescendingpotato7520,When’s the last time this guy played a game that wasn’t sponsored,2025-06-21T15:41:08Z,0,0
Ugz8iI7sEatbtau7Cc94AaABAg,@s1nnerforever641,"Everywhere I go, I see gura",2025-06-21T03:20:32Z,0,0
UgxzIIyJBvT9gxZF9Yp4AaABAg,@thedancingbanana3727,Ogs remember when they would all play hostage .,2025-06-20T19:46:17Z,0,0
UgwAU_c-wbYve9b0lOJ4AaABAg,@tyler_matthews9562,"I love you, Vanos but goddamn I cannot watch you play this game😭😂",2025-06-20T18:00:23Z,0,0
UgyuOwhe8dSHMvbAOyJ4AaABAg,@Animeke-san,What is that thumbnail? 😭,2025-06-20T12:30:38Z,0,0
Ugy6pR6YXhpLxh58vuV4AaABAg,@user-vv6dm2ec7q,Tyler but no Marcella,2025-06-20T12:29:49Z,0,0
Ugx7NNdwPqrwoLDIQR54AaABAg,@projectkegg,"im kinda concern for vanoss health 
i also stayed up once for 3 days and 
the feeling of forcing yourself to sleep
when you cant is terrifying i hope hes doing well",2025-06-20T11:46:36Z,0,0
UgwBA681m20nE0KLLKh4AaABAg,@MisutaHowaito,Delirious rubbing off of Vanoss is so cute,2025-06-19T22:30:15Z,0,0
UgwbeiYSLuLhHxFrKHl4AaABAg,@danielgovender5263,W Vanoss.. welcome back to siege 👏,2025-06-19T21:54:30Z,1,0
Ugyb-chnaB9XjG0G2y94AaABAg,@cjb2k817,Im still just happy vanoss still uploads after the years and years,2025-06-19T21:44:11Z,0,0
UgzpbsGGTKODjy89i_h4AaABAg,@RaccMannYT,I was gonna watch the failed games for my lunch! 😭,2025-06-19T21:30:03Z,2,0
UgxegmGzxq97Mti_PwF4AaABAg,@astogen6432,did his failed recording sesh video get taken down beuacse of the swastika not being fully censored 😭,2025-06-19T21:14:09Z,0,0
UgzOels7Xz9pvpyZaV14AaABAg,@malikjones8039,I didn't even get to watch the fail games video before YouTube took it down smh,2025-06-19T19:53:26Z,4,0
UgxMrRIxjR-7XMuecT54AaABAg,@ejiputra1503,Yo what happend to the new video,2025-06-19T17:16:59Z,4,3
UgwbtxfLsSu4sqsDXRB4AaABAg,@ragehead2009,13 minutes of 2010 adult gamers vs 2025 sweaty kids,2025-06-19T16:37:34Z,0,0
Ugx43yNf1H_zCJYPKkd4AaABAg,@ShdwUnknwn,Thank god no pasta in this vid 😭,2025-06-19T02:12:50Z,0,0
UgxXZ6GPf2P0Hbs-ROF4AaABAg,@yuremtheking434,I freaking paid for r6 and not its free,2025-06-18T22:01:22Z,0,0
UgwgnfVetgvZwnMjOQB4AaABAg,@assasin_guy,Vannoss crew needa  play halo or more gang beast,2025-06-18T19:34:52Z,0,0
UgzBAN8yS0dzXSLWz1p4AaABAg,@ohhhsnapdamn1280,Damn I expected to see more of the chill corner. Guess not,2025-06-18T18:58:45Z,0,0
UgxcJSYdd9PAgstQVH14AaABAg,@Dangitbobbi,It’s been forever man. Nice to see your stuff on my feed again:),2025-06-18T14:29:13Z,1,0
UgwFLWbPEFD0Ien18ep4AaABAg,@Sizo01812,Hello Vanoss please play Roller Champions,2025-06-18T11:57:56Z,0,0
UgykCQEICmRbRZJTJBh4AaABAg,@einsupansu1646,My fav youtuber playing my fav game? God must be crazy,2025-06-18T09:19:44Z,0,0
UgySCaOF8X7H3PnFzpR4AaABAg,@NachoDayyy,"Vanoss on Siege?? woah, times are changing",2025-06-18T08:32:18Z,0,0
UgxvziBEs5i_STvcfPB4AaABAg,@TkBloch,yea boi,2025-06-18T08:07:57Z,1,0
UgxIVbhUpwVdTeUOKDJ4AaABAg,@GamerIsAwesome1,Not a single Brian in sight lol,2025-06-18T07:06:54Z,0,0
Ugxe9S5PLWK7Jjz3_s94AaABAg,@LandonCulak,I have been wanting Vanoss to play siege again for such a long time,2025-06-18T04:08:10Z,0,0
