Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
Ugza3yAAAR89gASPo2R4AaABAg,@nsoon3446,Bro all thos years watching u what make me laugh the most is the timing ❤️😂,2025-11-23T15:24:06Z,0,0,en
Ugy3RzEelJN0MBLtxx54AaABAg,@jasonwilsonjr4358,Delirious will never not be funny,2025-11-23T00:42:00Z,0,0,en
Ugz3l2qA432dDffF_CR4AaABAg,@anthem_gaming,10/10 recording 😂,2025-11-23T00:10:28Z,0,0,en
Ugz2i4T33L5257lxGRV4AaABAg,@Sornasaur,xD,2025-11-22T16:34:45Z,0,0,Other
UgzyX5rR8FWnOPrLoit4AaABAg,@jaywilson4661,Tyler came in like a Star Wars star destroyer😭,2025-11-19T18:55:58Z,0,0,en
Ugxr7Q2Mno5uih_FAwh4AaABAg,@SkrimpGang,22:25 reminded me of Cod prop hunt with operation Bigfoot🤣,2025-11-19T06:42:46Z,0,0,en
UgxTfW4IYKmElM-9J0J4AaABAg,@MrCano-oh4vu,Last time I watched a video was back in 2014😭,2025-11-19T00:21:03Z,0,0,en
Ugw5iBXTXotCn1ubAXR4AaABAg,@wangkai1267,that not ufo that mothership burger! 20:32,2025-11-16T06:07:08Z,0,0,en
UgxSHCHtvmdxM8qu38h4AaABAg,@littleshymonstergamingvide5805,25:31 almost made me spit my water out 😂,2025-11-14T21:54:21Z,0,0,en
Ugyc7fMSKBCn-QkY87x4AaABAg,@freshiesOt12465t,"15:58 this vanoss yt use background noise of heroes raid, a game that found in y8 😂😂😂😂😂😂😂😂 see it for your self 😂😂😂😂😂😂",2025-11-14T13:59:29Z,0,0,en
Ugx2BdMU66acDFN-TLN4AaABAg,@AlexCarry-d1i,"Great video, really enjoyed it.",2025-11-14T12:16:19Z,0,0,en
Ugw-f3svWr1KaPU0Jv54AaABAg,@rapidfirer56,There was sooo much great nostalgia in this video. xD I'm glad I've watched almost every prop hunt video over the years.,2025-11-14T06:41:29Z,0,0,en
UgwXHMgSHhiVCQ0lEuh4AaABAg,@misoramoon128,AOT reference in a vanoss vid in 2025?!?!,2025-11-13T14:49:23Z,0,0,en
UgyR4t0y7uRC9hrht5Z4AaABAg,@PainfullHunt,dog the outro had me dying 😭 how tf u go from pure chaos to straight piano,2025-11-13T13:48:44Z,0,0,en
UgzLXmEgzQXmmXrA-8V4AaABAg,@lulsemi,Lui? is that you?,2025-11-13T12:08:28Z,0,0,en
UgweTAK2V0l-z5neHul4AaABAg,@sethrakes3983,Pasta ruining the nostalgia,2025-11-13T09:01:56Z,0,0,en
UgwbSMXWqavCS0BnJQl4AaABAg,@brandonsg1367,19:00 sounded like the cod zombies laugh 😂,2025-11-13T08:19:11Z,0,0,en
