Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugza3yAAAR89gASPo2R4AaABAg,@nsoon3446,Bro all thos years watching u what make me laugh the most is the timing ❤️😂,2025-11-23T15:24:06Z,0,0
Ugy3RzEelJN0MBLtxx54AaABAg,@jasonwilsonjr4358,Delirious will never not be funny,2025-11-23T00:42:00Z,0,0
Ugz3l2qA432dDffF_CR4AaABAg,@anthem_gaming,10/10 recording 😂,2025-11-23T00:10:28Z,0,0
UgzyX5rR8FWnOPrLoit4AaABAg,@jaywilson4661,Tyler came in like a Star Wars star destroyer😭,2025-11-19T18:55:58Z,0,0
Ugxr7Q2Mno5uih_FAwh4AaABAg,@SkrimpGang,22:25 reminded me of Cod prop hunt with operation Bigfoot🤣,2025-11-19T06:42:46Z,0,0
UgxTfW4IYKmElM-9J0J4AaABAg,@MrCano-oh4vu,Last time I watched a video was back in 2014😭,2025-11-19T00:21:03Z,0,0
Ugw5iBXTXotCn1ubAXR4AaABAg,@wangkai1267,that not ufo that mothership burger! 20:32,2025-11-16T06:07:08Z,0,0
UgxSHCHtvmdxM8qu38h4AaABAg,@littleshymonstergamingvide5805,25:31 almost made me spit my water out 😂,2025-11-14T21:54:21Z,0,0
Ugyc7fMSKBCn-QkY87x4AaABAg,@freshiesOt12465t,"15:58 this vanoss yt use background noise of heroes raid, a game that found in y8 😂😂😂😂😂😂😂😂 see it for your self 😂😂😂😂😂😂",2025-11-14T13:59:29Z,0,0
Ugx2BdMU66acDFN-TLN4AaABAg,@AlexCarry-d1i,"Great video, really enjoyed it.",2025-11-14T12:16:19Z,0,0
Ugw-f3svWr1KaPU0Jv54AaABAg,@rapidfirer56,There was sooo much great nostalgia in this video. xD I'm glad I've watched almost every prop hunt video over the years.,2025-11-14T06:41:29Z,0,0
UgwXHMgSHhiVCQ0lEuh4AaABAg,@misoramoon128,AOT reference in a vanoss vid in 2025?!?!,2025-11-13T14:49:23Z,0,0
UgyR4t0y7uRC9hrht5Z4AaABAg,@PainfullHunt,dog the outro had me dying 😭 how tf u go from pure chaos to straight piano,2025-11-13T13:48:44Z,0,0
UgzLXmEgzQXmmXrA-8V4AaABAg,@lulsemi,Lui? is that you?,2025-11-13T12:08:28Z,0,0
UgweTAK2V0l-z5neHul4AaABAg,@sethrakes3983,Pasta ruining the nostalgia,2025-11-13T09:01:56Z,0,0
UgwbSMXWqavCS0BnJQl4AaABAg,@brandonsg1367,19:00 sounded like the cod zombies laugh 😂,2025-11-13T08:19:11Z,0,0
UgwPUAxat8BugyheSy14AaABAg,@rontronthestorydrafter.2318,"Behold, the U.B.O: unidentified beefy object.",2025-11-12T17:53:02Z,0,0
Ugw6dcY_OKI8oJoGuqx4AaABAg,@DAYTHEDOOMSAYER,9:10 he just shotgunned a shotgun,2025-11-12T02:49:01Z,0,0
Ugxt71Foz2OIexkoOvl4AaABAg,@marcusbane131,Can I plz have the name of the song from this videos intro plz,2025-11-11T23:55:35Z,0,0
Ugxs6c_HHP10iIkjDt54AaABAg,@precastbelt6278,i always thought he was like a fuq doll - H20Delirious 10\24\2025,2025-11-10T20:55:29Z,0,0
Ugz0t88A21XXJLYcx_F4AaABAg,@Huntzilla99,The Ai Raptor pic at 10:47 kinda sucks. Could've found an actual artwork of a raptor,2025-11-10T05:53:54Z,0,0
UgzyAvHijrzFrGO6jyV4AaABAg,@ozzietheshinobi,20:10 Attack On Titan Reference🧐,2025-11-09T10:26:36Z,0,0
UgyjApZOUAK0veltoZV4AaABAg,@jackb1yak485,OPERATION BIGFOOT RETURNS!! THE PROPHECY IS TRUE!!,2025-11-07T18:28:41Z,0,0
Ugyj4p1F9SYEBxRJxcd4AaABAg,@Doctor_Pickney,22:26 The return of operation bigfoot,2025-11-07T17:50:13Z,0,0
UgxuXwxd1a67qLBTK3J4AaABAg,@CIub54,"This was amazing, felt nostalgic 😆",2025-11-07T14:37:38Z,0,0
UgzhFesDyYG6VCT-vjp4AaABAg,@nickmanning2348,8:27 “I’m a succulent Chinese meal” Pasta knows ball,2025-11-07T11:29:29Z,1,0
UgxgQmZ7C3ncrxYgjNJ4AaABAg,@LuxuryLawnsAndLandscaping,That ground beef joke was funny and they didn’t laugh 🥲,2025-11-07T01:22:11Z,0,0
Ugyk7pt8FjpWLnk3mHJ4AaABAg,@antoniofarmer5827,i gotta do a little thing for a lil change - H2O Delirious -,2025-11-06T23:06:34Z,0,0
Ugyz5dC8mlnaU5WjP-F4AaABAg,@jennydelgado8517,Omg it’s been forever since I seen a vid from them 😂 does Loue caliber now play with them anymore?,2025-11-06T08:08:19Z,0,0
UgyszJoSTwS9S0bQH_x4AaABAg,@mylesdonovan9068,22:20 reminded me of operation Bigfoot from back in the day,2025-11-06T04:34:47Z,0,0
UgzrO2tXiA9vVaRvia94AaABAg,@squidward.P.K,Best thing to happend after the childhood,2025-11-05T22:42:04Z,0,0
Ugz3sSNVsKOtfGQFtAB4AaABAg,@superguy654,Havent watched vanoss in yearrs so i have no idea who pasta is but shes hilarious bruh her laugh is contagious,2025-11-05T16:39:34Z,0,0
Ugw2UAokH3GNlhOJbQJ4AaABAg,@Jebsabitch,What happen to the gmod map they were making,2025-11-05T12:42:17Z,0,0
Ugx1AuYqaC6j8_FzkxF4AaABAg,@Ryder-ti7lx,after i watch this ima go fall asleep to the old hide and seek vids on the minecraft maps garrys mod,2025-11-05T12:26:40Z,0,0
UgyDp0AAFDjENh2sLSV4AaABAg,@aussie-b6g,22:23 Operation Bigfoot is a go,2025-11-05T09:45:44Z,0,0
UgyT0kp41j8EPSotxrh4AaABAg,@Haunted_Hunter,"After all these years, delirious still hasn't gotten a better microphone.
This entire episode screams nostalgia.
Love to see y'all still having fun to this day.",2025-11-05T08:59:13Z,1,0
UgwkAB5uIy_JAdR5_4R4AaABAg,@ultragaming8373,19:01 Wholesome hearing Beetlejuice and SpongeBob laugh together,2025-11-05T02:04:09Z,0,0
Ugxwd56RoHwt53_GArN4AaABAg,@toxinz7887,she black?,2025-11-04T23:49:03Z,0,1
UgwFpzUyR3GtUVgCBvR4AaABAg,@TheSallyOne,Pasta wheezes and laughs historically like H2O lol,2025-11-04T06:18:47Z,0,0
UgxCofCXF5NDQ6R3NeB4AaABAg,@Chas-lj2tq,Its a bird! No its a plane! No thats a hawt dog!,2025-11-03T21:55:03Z,1,0
Ugw1YAc3XhVnH2WE-0d4AaABAg,@hotbagelvr,The world is healing,2025-11-02T20:55:07Z,0,0
Ugxf95LAIsKHaEabIep4AaABAg,@soladite,his content never fucking changed i love him so much,2025-11-02T18:48:03Z,0,0
Ugy7EmQZ4bxG-xh7_oh4AaABAg,@tytoalbasoren9457,I love how 24:12 is just a full one minute of all of them cackling,2025-11-02T16:40:12Z,0,0
Ugx3peJ0NH2ejxbh1jR4AaABAg,@tytoalbasoren9457,"12:36 This is up there with ""A-NYUBB!!""",2025-11-02T16:17:55Z,0,0
UgzNCpxU2aYM9HMu91x4AaABAg,@swagmiredoesall,When did Mabel join the Vanoss crew?,2025-11-02T11:06:57Z,1,0
UgzEdPnL-RCp0Eov8Ct4AaABAg,@AlphaBell1290,Pasta saying the N word was her initiation to the Vannos crew.,2025-11-01T23:35:21Z,0,0
UgyDDxQWupThZw11nDN4AaABAg,@DevinBErnard-m7c9h,22:20 anybody remember Operation: Bigfoot?,2025-11-01T20:15:18Z,0,0
UgyXbGHU4hXCWX5L_zx4AaABAg,@alex-rq7ob,i really enjoy having pasta around man she’s so hilarious 😂,2025-11-01T07:36:00Z,1,0
