Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgwdarJqBjeMETFcCeh4AaABAg,@_Wheels_21,No full video?,2025-11-19T00:36:01Z,0,0,Other
UgxwvhpkX-KwCInjLiJ4AaABAg,@casualcypress9675,Is this a Short exclusive?,2025-11-16T23:26:54Z,1,0,en
UgxsIac1kVkf5_MnRmx4AaABAg,@JJ_Riff,Don’t let them know you made a mistake just say “listen listenn”,2025-11-16T14:59:39Z,0,0,et
Ugx-PEj2Nw9xkC7wSUl4AaABAg,@crawfisheater,🦉🤍🖤,2025-11-16T05:24:15Z,0,0,Other
UgzBI2mhliGil7DO9n54AaABAg,@lilithseventh2988,Let’s game it out would be happy at this 😂,2025-11-16T04:01:47Z,0,0,en
UgygPemjUIRTQCijrx14AaABAg,@VIPERGAMING-v6v,Next it’ll be HOI4 before GTA VI,2025-11-16T01:08:09Z,0,0,en
UgxeC1GLIExoP0y06XF4AaABAg,@errorrath6555,Where is the video on your channel?,2025-11-15T16:30:24Z,0,0,en
UgzgAN90QNK6SeEfUAZ4AaABAg,@Malomalosi,I will def check their vids out too thanks Vanoss 🫡,2025-11-15T15:14:18Z,0,0,en
UgyBoR4f7iy6Of57M714AaABAg,@Anderson12690,Your making me wanna download this game now lol,2025-11-15T14:55:35Z,0,0,en
Ugz6QpHL1UY_fc6ZEj14AaABAg,@kasmatar,Did y'all release a short of a video thats not even out yetm,2025-11-15T14:23:12Z,0,0,en
UgxIfcLqjCyc9UMIONB4AaABAg,@AnantYT69420,Hi,2025-11-15T13:25:13Z,0,0,Other
UgyGTYRYdhfYQ4w6nnl4AaABAg,@meepotato8522,this is the first time I see sponsorship in a short lmao,2025-11-15T11:05:07Z,0,0,en
Ugykx7eklNAizH50oHx4AaABAg,@Untenden,what are you doing vanoss,2025-11-15T10:30:53Z,0,0,en
UgwEvrUIZMlUvRufi9h4AaABAg,@l.lumiel,this sounds so AI,2025-11-15T09:53:03Z,0,0,en
Ugw9e2f-er8ORviHQW94AaABAg,@angelbbva3135,“On their channel’s” this dude is still the main provider to his friends after all these years 😂,2025-11-15T07:59:24Z,1,0,en
UgwmXsqgKBxURuoBogN4AaABAg,@jonasaksfelt-holm5538,i got the anno 1404 form 2010,2025-11-15T07:43:28Z,0,0,en
UgzQRhrPNQQSq6W3ZMd4AaABAg,@hilawnasaging4338,Vanoss aint uploading a video on this probably it was shlt recording 😂,2025-11-15T04:16:13Z,1,1,en
UgzupZtcxHzBYPGI9s54AaABAg,@thebrainbuiider,For a second there I thought this was Halo or Age of Empires?,2025-11-15T03:59:28Z,0,0,en
Ugz50OKXBs4OLvKTSI14AaABAg,@blenp,"Vanoss making a sponsored yt short that also promotes his friend’s channels was not on my 2025 Bingo card… or any bingo cards, to be frank",2025-11-15T03:49:29Z,0,0,en
UgznLAC-xJay2x-ped94AaABAg,@gindginnest3336,_=_,2025-11-15T02:49:44Z,0,0,Other
Ugz43tKg56ytC6GR6hp4AaABAg,@RoboGoboHopper11725,Next video incoming,2025-11-15T02:33:02Z,0,0,en
UgwSmp16lo1KuaEpkrd4AaABAg,@BlueBunny53,Roman Empire you say 😏,2025-11-15T02:03:38Z,0,0,Other
UgwBlSX18eTjViFtdbR4AaABAg,@GeneralMosquitoSpray1,"How did I not see this coming, all the big tactical gaming YouTubers playing it, and I did not see the master of C&C playing this.

(Command and Conquer)",2025-11-15T01:45:35Z,20,0,en
Ugwxs_EeRXLWlTgfUoR4AaABAg,@neocaeser5209,Honoring the great Ceaser,2025-11-15T01:30:03Z,0,0,en
UgxKM-yxEnH_aCYt9H94AaABAg,@fry_bread,🌲😂,2025-11-15T01:23:55Z,0,0,Other
UgwMQrBfKywIfWR4aD14AaABAg,@Bemun-ren,I can’t find this masterpiece 😢,2025-11-15T00:37:59Z,0,0,en
UgxvXRxZfWdwEs0tILx4AaABAg,@redhallow5201,No way you guys are playing anno now...,2025-11-15T00:36:51Z,0,0,Other
