Comment ID,Author,Content,Publish Date,Like Count,Reply Count
Ugx4CvHqs2oXx66NBtR4AaABAg,@veritasium,"If you enjoyed this video and would like to know more about miniature robots and combustion engines, head over to our Patreon for an extended interview with Cameron Aubin https://www.patreon.com/posts/patreon-mini-cut-120949318",2025-01-28T10:32:19Z,180,14
UgyzECCrvTGQoJCl0ql4AaABAg,@Joseph-x5q7r,"Because they're fund hungry, Dr. Doom pricks? My first guess",2025-11-23T15:48:53Z,0,0
UgxxL5APXDTSy5XCMdZ4AaABAg,@bw5187,anything can and will be used against you,2025-11-23T01:22:53Z,0,0
UgzhuKxh-W2a5i8xhaZ4AaABAg,@ZoologiacomJP,spying. the answer is spying.,2025-11-22T21:16:55Z,0,0
UgyKc8WW4EyYwaIwPAl4AaABAg,@Lupuscrafter,They did surgery on a robot,2025-11-21T21:33:14Z,0,0
UgzrWchEIOsmZDpo5i94AaABAg,@marfigue777,Spy that's all,2025-11-21T03:34:29Z,0,0
Ugxq32880B6ipajkNF14AaABAg,@Erik_Taurus,"Great idea, but will be used to control and/or exploit people.",2025-11-20T08:21:05Z,0,0
UgzkqyUcth1YRVlpz_J4AaABAg,@Schrödingers_Gaffney,Why are they all Chinese???,2025-11-20T01:44:19Z,0,0
UgyxUZjrbYPrLKIIGWp4AaABAg,@cerambyx-8,"My godfather designed a soft robotic needle from silicon for use as a specialist surgical instrument based from woodwasp ovipositors. These are strong enough to get through an inch of sheet lead. The ovipositors have a unique two valve system, allowing them to oscillate and alternate in providing resistance and moving forward, using minimal force when drilling.",2025-11-19T04:26:05Z,0,0
UgxJeL8CW_fXSjYhWh94AaABAg,@mulchands-j5m,I learned so much in 10 minutes.,2025-11-19T01:34:41Z,0,0
Ugy6vOOnr5w3l1Qccg54AaABAg,@TheDeathCap,"First of all, where were you when recording and why were you talking in the dark of an abandoned mansion?",2025-11-18T19:23:22Z,0,0
Ugzhf1nlv-yZr8MXbJt4AaABAg,@RhettMirth,Why was this actually so entertaining?,2025-11-18T10:56:46Z,0,0
Ugxrv_blEhftpWHLwwh4AaABAg,@IsaacDanjuma-s4g,2:30 bro the music was just sending me,2025-11-18T07:33:28Z,0,0
UgzOTUCKEqIseoXZe4V4AaABAg,@Timskat,Wait sponsor is free?! Yo,2025-11-17T18:56:59Z,0,0
UgyXVPvNyOJbdM9kQRh4AaABAg,@joestitz539,makem for mars but they neeed to stand Extreme cold,2025-11-17T01:41:14Z,0,0
Ugx0Vj7ga5WOMNc3W_N4AaABAg,@МаксимЯрощук-п5з,Really cool concept.,2025-11-16T23:17:36Z,0,0
UgwPXCSgMqcSCpBfXQp4AaABAg,@artscinfo8307,Can you add Arabic dubbing? Please. 😢🥹🙏🙏🫶,2025-11-13T19:20:42Z,0,0
UgzjNLEwFhGCg1znK_14AaABAg,@danr2929,"First time they use them in the real world, birds eat them lol😂 oh and the technology  to power them is not good enough yet.",2025-11-13T11:57:34Z,0,0
UgyosBdyBrE6IaxAj_14AaABAg,@Akroknimn,"There are some that look like a mosquito hawk, with camouflage wings. They can land on your wall and look like the texture of your wall, and color. Very cool to see.",2025-11-09T06:54:36Z,1,0
UgyRjRcGaJxnA0nOH114AaABAg,@ShedsIsis,I really enjoyed this content.,2025-11-07T21:51:48Z,0,0
UgxKwu9tGF9d05OCa0p4AaABAg,@caydenpenner,What if it could sting you? That’s terrifying for the swarm idea.,2025-11-06T16:30:24Z,0,0
UgzP5rSmE1mxrzTpqUZ4AaABAg,@TranHoa-e2m,"I came for the thumbnail, stayed for the content.",2025-11-03T06:53:25Z,0,0
UgwM5wEHp6naHhNqgyZ4AaABAg,@TomJones-uq7mo,"I am now completely addicted to learning everything about, and creating micro robots .",2025-11-01T15:36:57Z,0,0
UgwfBe4WdVnxhaDji6N4AaABAg,@jumberdzamukashvili7746,This deserves more love.,2025-10-31T12:52:54Z,0,0
UgyuYupK-C3ba-m2hg14AaABAg,@JayAymi,We're about to be watched at all times. I refuse to believe that these are made just to be super-duper helpful.,2025-10-28T01:37:03Z,2,0
Ugw-30losk8jDftegbp4AaABAg,@LuckAnna-z1y,Your editing is on point!,2025-10-27T14:09:31Z,0,0
UgxLfFrqm5qk0vgIrUt4AaABAg,@andersmalmgren6528,The weights in this video must be off.,2025-10-27T10:24:24Z,0,0
UgxDpA8stmTeOkZvNq94AaABAg,@JeffChilds-v1g,"It wont make it on my property,  trust me im on it, wouldn't happen",2025-10-25T11:33:43Z,0,0
UgwM1Afdcr2PszwUw7t4AaABAg,@suchdevelopments,"😄Good day from Goonellabah, NSW, Australia. I am an engineer, and I find this interesting✅✅✅✅💚💥. 🤗Ian Cleland",2025-10-25T08:05:05Z,0,0
Ugy6HlJ_GhV4QcQ9i7J4AaABAg,@vinlea7895,War use is the goal - human observations - Christian Natl knowing all about you 1984 like 😂China personal incentive scale - pis- internet/gov rating humans - weight of cfour,2025-10-25T02:36:20Z,0,0
Ugz77nnY_npvZUiCchh4AaABAg,@hasibulhasan8755,Please go back to the previous thumbnail.,2025-10-25T02:31:02Z,0,0
Ugxb5LGqOSFsrJ5WQ-x4AaABAg,@jasonturner1045,wow. how cool is this,2025-10-24T16:32:31Z,0,0
Ugyxo3P7Pq9mcQz_R414AaABAg,@Neolaleith,You always explain things so well.,2025-10-20T23:43:15Z,0,0
UgxpWeTgpes737iWqbF4AaABAg,@sebastiang7394,I want robots that hunt down the Colorado beetle. Would be better than just throwing pesticides everywhere. I see big potential in farming for having such small robots in masses.,2025-10-20T15:58:34Z,0,0
Ugwr-bqnKEWXgUKogJ54AaABAg,@daemon469,runs to see... steps on it,2025-10-20T00:24:03Z,0,0
Ugwbm-seeZyWppw8dSx4AaABAg,@vicmrcd-n3l,"Spy camera, hidden microphone, tracking device and also... probably something lethal. 
Thats why they are making them.",2025-10-18T20:04:19Z,3,1
Ugz1WVGr2PA3YbTtn694AaABAg,@hanifreka,the idea is cool but is there any possible if we can control the insect using some kind of technology?,2025-10-17T08:43:45Z,0,0
UgyiS3H1t4XUDPTnYgB4AaABAg,@amsgone,"Reminds me of a development prelude to the apocalyptic scene from the most current ""the Day the Earth Stood still"".  I could foresee in the future a then Ukraine using such tech against a then Russia. Great video.",2025-10-16T17:20:47Z,0,0
UgwHow3M5WJRhX0aWwx4AaABAg,@dpsamu2000,"The search for survivor bugs could simply go into nooks, and crannies recording their movements. Then if a CO2 detector finds a human level of CO2 it transmits a powerful burst of radio or sound strong enough to penetrate the rubble with the movement data for rescuers to map where the CO2 source is. Or it flies out of the rubble to deliver the data.",2025-10-15T02:08:52Z,0,0
UgxN-e8yUJ1AsBUquad4AaABAg,@dpsamu2000,You really overcomplicated the surface area to volume scaling explanation. The usual way is a cube with sides 1x1x1 has a surface area of 6 sides of 1 squared to a volume of 1 cube. 6 to 1. Double the dimensions to 2x2x2 then each face of the cube has 4 squares of 1 = 6x4= 24 to a volume of 8 cubes. 24 squares to 8 cubes is 3 squares to 1 cube. 3 to 1.,2025-10-15T01:40:08Z,0,0
UgwBc_1F_g8YE0onM0R4AaABAg,@dxdmme1,Did anybody else immediately think of the Black Mirror episode when they saw this?,2025-10-14T08:39:46Z,0,0
UgyzH2_wXAu4Rgx0kJh4AaABAg,@tabsit_wfahm_al3loum,you can use for design SOLIDWORKS it is better and famous,2025-10-13T20:47:36Z,0,0
Ugwk3B6_l4BJmS9XlMl4AaABAg,@pdoerr742,did anyone ask the insects before creating insect robots? sounds about human.,2025-10-13T11:50:47Z,0,0
Ugysf0UotzQCYl7j__F4AaABAg,@Tusharsunny,"Not being a racist, but why everyone in the video asian?",2025-10-07T11:14:29Z,1,0
Ugxc-CzoCF2LInfWR554AaABAg,@Real-Aware,Human ayes fastest to detect??,2025-10-07T06:43:49Z,0,0
Ugyz-0rwz6xfk4-GFhF4AaABAg,,You need to put less adds stops in your video.  3 times double add and I'm still not half video 👎.,2025-10-06T21:11:32Z,0,0
UgwrfmrOUAL_RHClj9d4AaABAg,@dannac_8888,"14:48
The question was evaded and not very well either. They're all cashing in on their billion dollar military contracts on this field of work.",2025-10-06T14:49:13Z,0,0
UgyZuk0q1-9-JRVRInZ4AaABAg,@sebscorpion,Pretty interesting 🤓 thanks,2025-10-05T22:08:44Z,0,0
Ugytq0Dw0Lb5J0kII3N4AaABAg,@LiezAllLiez,"Somebody is making robotic insects? I assume it includes flies and mosquitos, right?
He needs to be stopped. Quickly.",2025-09-30T19:38:15Z,0,1
UgytvUYTfnHrraRFpC14AaABAg,@SaberSkye,Why is MIT making robot insects? To kill more kids in the Middle East,2025-09-26T04:45:00Z,0,0
UgwZAvpeGgNsMlxrU-V4AaABAg,@1SlipperyPenguin,The cia,2025-09-24T01:25:54Z,0,0
UgxRzj9YnzQtpjb5KzB4AaABAg,@printed-id,wait imagine mosquito malware hunting people with neural implant,2025-09-22T02:47:35Z,0,0
Ugx5qYWZ81TXcR2HhkF4AaABAg,@printed-id,ok so not only I need to maintain my faraday cage but now I need to add a mosquito net,2025-09-22T02:46:16Z,0,0
UgxqontQL8Ww7UPk-Sl4AaABAg,@TheWayOfRespectAndKindness,"I love this kind of content. And I can't help but to offer a word of caution; ""curiosity killed the cat.""",2025-09-21T04:29:45Z,0,0
UgwKJxSkcISLJPRZL7h4AaABAg,@Nowyoullneverknow,oohhhh so this is what they got Charlie with,2025-09-20T17:10:00Z,0,0
Ugz6C-tkmEj2NvMXmzZ4AaABAg,@KABSOOLH1,"noticed all the scientists with most modren discoveries are chines.... while the US eating mac burger, working like slaves for israel and blaming china for their problems",2025-09-20T14:12:22Z,0,0
UgzYy93vtQIM_68bQd14AaABAg,@cokecan6169,Bugs aren't real,2025-09-20T12:31:28Z,0,0
UgwPi-Zweutq5RXgWpx4AaABAg,@rambo-rb,"impressive stuff! cool to hear about bees and the scientists use of  surface-area/volume ratio, piezo electric crystals,  micro combustion engines, etc ...",2025-09-19T05:54:47Z,0,0
UgyXZnrfJP8ktD753KB4AaABAg,@MUKESHEKKA-f2k,Legendary.,2025-09-18T13:24:09Z,0,0
UgzZ7skLdE8tXp7bMSR4AaABAg,@lucynkahakol8989,"The explain is pretty stupid. The rapid flapping of insect wings is not a matter of physics limits, but of flight technique, like helicopter flight versus airplane flight. This is easy to understand, for example, by observing the gliding of dandelion seeds, a flight that cannot be replicated on a large scale. Similarly, individual grains of flour can fly in the wind, but an entire 1 kg bag cannot. Small objects have a larger surface area relative to their volume, and therefore to their mass and the if  the greater the surface area of ​​the lifting airfoil vs. the mass of the flying object, then greater the relative lifting force,. In short: the smaller the object, the easier it glides.",2025-09-18T07:10:16Z,0,0
