Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgyOif4ivyn2xWMoXLZ4AaABAg,@veritasium,Use code veritasium at https://incogni.com/veritasium to get an exclusive 60% off an annual Incogni plan.,2025-02-05T03:12:49Z,1751,134,en
UgztzabjGbvd0X8WgE94AaABAg,@Simoong94,YOU DIDNT EVEN ANSWER THE QUESTION,2025-11-24T05:08:08Z,0,0,Other
UgyYW35LXHvx6weaTlR4AaABAg,@vinnyg411,"It's crazy how it's harder to photograph an atom, something all around us, than it is to capture images of galaxies billions of light years away",2025-11-24T03:52:22Z,0,0,en
Ugw89TdTBUPWbeD1pr94AaABAg,@Dystopia-x9x,"But I was seeing atoms in my astral projection so, it means I was in a quantum field then.",2025-11-24T02:27:07Z,0,0,en
UgwE4q3syuCNcbZPPB94AaABAg,@Nitiwatp-o4y,นี่นี่คือวิธีการสร้างไมโครชิพ ไช่ใหมครับ,2025-11-23T16:51:36Z,0,0,Other
UgzCdOqk-VDZylu0Tqt4AaABAg,@rachadaBoonprasop,พระพุทธเจ้า ได้ตรัสรู้ไว้แล้ว ไปศึกษาเอาเองถ้าไม่เชื่อ,2025-11-23T15:17:56Z,1,0,Other
Ugxd7-sSgRWJiHWZMud4AaABAg,@rachadaBoonprasop,ไม่ใช่ต้นแบบของหลุมดำเหรอ  แค่สงสัย   ถ้าพลังงานเยอะกว่านี้นั้นนะ 😅😅😅,2025-11-23T15:07:47Z,0,0,Other
UgxXld9p1AntVSYdLlp4AaABAg,@АлексейГарань-и6е,слепые котята которые что-то там нащупали,2025-11-23T05:01:42Z,0,0,Other
Ugy8LsBVnhDbCDoXgvh4AaABAg,@nathandowney9434,That didn’t answer the question in the title of the video… can we go further? Can we see individual atomic particles? Quarks?,2025-11-23T02:21:56Z,0,1,en
UgzE0X_Uu2IBA1YkrEF4AaABAg,@jayti6828,So cool.,2025-11-22T21:56:27Z,0,0,Other
UgxYe2ZXFD-zDCW5q5B4AaABAg,@Wykesidefruitmachine,It's funny how none of this stuff is ever worked out in Africa isn't it. Speaks volumes to our differences as people. They can't even maintain wells that have been gifted to them.,2025-11-22T21:49:48Z,0,2,en
UgzLeal76zvbrhNtytV4AaABAg,@siyahgercek,Çok güzel konular işliyorsunuz. Teşekkürler.,2025-11-22T21:39:30Z,0,0,Other
UgzL9G6Z0fxx_-FXcsp4AaABAg,@Milltard,I’m very high on mushrooms and all I have to say is the guys are super smart very proud of them,2025-11-22T09:22:35Z,0,0,en
Ugx-zoQnaH7IgbtTvfp4AaABAg,@ilovedogs5479,1:33 “rise and shine mister freeman” ahh symbol,2025-11-22T04:53:17Z,0,0,en
UgzThypMqfXPyMIO2Hd4AaABAg,@danielaydin2847,Ernest reska eyes 😂,2025-11-22T01:02:15Z,0,0,Other
UgzvfmjS4_cMjvr8fpx4AaABAg,@Dsmeets,The small print on a contract be like,2025-11-22T00:10:54Z,1,0,en
UgwOWsDKhmu2n4n5rvx4AaABAg,@oGraavityUniverse,now zoom in to a quecto (smaller than a femtometer),2025-11-21T22:58:37Z,0,0,en
UgxuEzvU6g3MJnXcibV4AaABAg,@JcuLisM999,"Well, this will work, did you think about that before doing it?",2025-11-21T19:28:58Z,0,0,en
UgwlLWxdSYJeuLuL16d4AaABAg,@kuunib7325,"My first thought was, why not change the geometry of the field lenses? Duh. Turns out that would be the solution. Thanks for coming to my TED talk. Also this is wildly oversimplified.",2025-11-21T19:16:19Z,0,0,en
UgxF_H1q71JqPnIKQdV4AaABAg,@TheDivineSparkBearer,"You'll look at yourself eventually. Anything you use to look at the universe, any lens, any tool, is just looking at shadows in Plato's cave.",2025-11-21T07:54:09Z,0,0,en
Ugx5E_6NhpkzUUnOsgB4AaABAg,@scottslaymaker91,"The future is in the subatomic not interstellar space. Sophones from three body problem is a good example. If its possible to unwrap an atom, or something smaller, it can hold almost infinite amounts of information.",2025-11-21T06:46:33Z,0,0,en
UgxAnZD2hpP2gefSn1N4AaABAg,@LolLol-nx5eo,Imagine getting ur idea called crazy and impossible you pull it off and then the people who make the scanning version copy you and you share the reward with them 😂,2025-11-21T06:11:37Z,0,0,en
UgyVMYErUf7BiqtQlKN4AaABAg,@JohnRCWilson,I would really like an option to turn off background music on videos.,2025-11-21T01:26:41Z,0,0,en
UgxpNH1-OEwsaFvtlhp4AaABAg,@husocan7729,Aşırı zekiler mk,2025-11-20T20:31:58Z,0,0,Other
UgwPp45vO5zgDe2Adx54AaABAg,@BrentFagerburg,"This was awesome, but did it directly answer the question? Show me the quantum realm!",2025-11-20T18:40:49Z,0,0,en
UgzlcocKBvy5DS3kXQp4AaABAg,@พรชัยนะจิ้,🗿,2025-11-20T16:46:48Z,0,0,Other
UgzerWGIDQlSFpzclL14AaABAg,@เบิร์นไฟส้ม,ภาพจะติดจอภาพ...,2025-11-20T12:20:48Z,1,0,Other
UgwYEYINBO29kqBdwyN4AaABAg,@macaronitony4084,Keep zooming and you'll find thanos,2025-11-20T09:48:55Z,0,0,en
UgzzipTaIt56QAzdwJR4AaABAg,@basil6060,this video is basically a man becoming a fly,2025-11-20T09:38:58Z,0,0,en
Ugxc3zMDYT2Qyz1S4LV4AaABAg,@lizziev1033,3:40 Fibonacci sequence?,2025-11-20T08:00:56Z,0,0,Other
UgyJ8ecVHNX621B4YJh4AaABAg,@Takemura76,I just can’t wrap my mind around the human capacity for understanding and knowledge. How in the world? Just how?,2025-11-20T05:42:40Z,0,0,en
UgwPp7RaAs-XlUnFgy94AaABAg,@zfl1981,It's like looking at the pixels of existence.,2025-11-20T04:17:22Z,0,0,en
UgyxdkoN9m-cMLfQf3t4AaABAg,@Tash-tas,"Wow , this is the most crazy thing i've ever seen",2025-11-19T20:57:29Z,0,0,en
