Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgyOif4ivyn2xWMoXLZ4AaABAg,@veritasium,Use code veritasium at https://incogni.com/veritasium to get an exclusive 60% off an annual Incogni plan.,2025-02-05T03:12:49Z,1751,134
UgyYW35LXHvx6weaTlR4AaABAg,@vinnyg411,"It's crazy how it's harder to photograph an atom, something all around us, than it is to capture images of galaxies billions of light years away",2025-11-24T03:52:22Z,0,0
Ugw89TdTBUPWbeD1pr94AaABAg,@Dystopia-x9x,"But I was seeing atoms in my astral projection so, it means I was in a quantum field then.",2025-11-24T02:27:07Z,0,0
Ugy8LsBVnhDbCDoXgvh4AaABAg,@nathandowney9434,That didn’t answer the question in the title of the video… can we go further? Can we see individual atomic particles? Quarks?,2025-11-23T02:21:56Z,0,1
UgxYe2ZXFD-zDCW5q5B4AaABAg,@Wykesidefruitmachine,It's funny how none of this stuff is ever worked out in Africa isn't it. Speaks volumes to our differences as people. They can't even maintain wells that have been gifted to them.,2025-11-22T21:49:48Z,0,2
UgzL9G6Z0fxx_-FXcsp4AaABAg,@Milltard,I’m very high on mushrooms and all I have to say is the guys are super smart very proud of them,2025-11-22T09:22:35Z,0,0
Ugx-zoQnaH7IgbtTvfp4AaABAg,@ilovedogs5479,1:33 “rise and shine mister freeman” ahh symbol,2025-11-22T04:53:17Z,0,0
UgzvfmjS4_cMjvr8fpx4AaABAg,@Dsmeets,The small print on a contract be like,2025-11-22T00:10:54Z,1,0
UgwOWsDKhmu2n4n5rvx4AaABAg,@oGraavityUniverse,now zoom in to a quecto (smaller than a femtometer),2025-11-21T22:58:37Z,0,0
UgxuEzvU6g3MJnXcibV4AaABAg,@JcuLisM999,"Well, this will work, did you think about that before doing it?",2025-11-21T19:28:58Z,0,0
UgwlLWxdSYJeuLuL16d4AaABAg,@kuunib7325,"My first thought was, why not change the geometry of the field lenses? Duh. Turns out that would be the solution. Thanks for coming to my TED talk. Also this is wildly oversimplified.",2025-11-21T19:16:19Z,0,0
UgxF_H1q71JqPnIKQdV4AaABAg,@TheDivineSparkBearer,"You'll look at yourself eventually. Anything you use to look at the universe, any lens, any tool, is just looking at shadows in Plato's cave.",2025-11-21T07:54:09Z,0,0
Ugx5E_6NhpkzUUnOsgB4AaABAg,@scottslaymaker91,"The future is in the subatomic not interstellar space. Sophones from three body problem is a good example. If its possible to unwrap an atom, or something smaller, it can hold almost infinite amounts of information.",2025-11-21T06:46:33Z,0,0
UgxAnZD2hpP2gefSn1N4AaABAg,@LolLol-nx5eo,Imagine getting ur idea called crazy and impossible you pull it off and then the people who make the scanning version copy you and you share the reward with them 😂,2025-11-21T06:11:37Z,0,0
UgyVMYErUf7BiqtQlKN4AaABAg,@JohnRCWilson,I would really like an option to turn off background music on videos.,2025-11-21T01:26:41Z,0,0
UgwPp45vO5zgDe2Adx54AaABAg,@BrentFagerburg,"This was awesome, but did it directly answer the question? Show me the quantum realm!",2025-11-20T18:40:49Z,0,0
UgwYEYINBO29kqBdwyN4AaABAg,@macaronitony4084,Keep zooming and you'll find thanos,2025-11-20T09:48:55Z,0,0
UgzzipTaIt56QAzdwJR4AaABAg,@basil6060,this video is basically a man becoming a fly,2025-11-20T09:38:58Z,0,0
UgyJ8ecVHNX621B4YJh4AaABAg,@Takemura76,I just can’t wrap my mind around the human capacity for understanding and knowledge. How in the world? Just how?,2025-11-20T05:42:40Z,0,0
UgwPp7RaAs-XlUnFgy94AaABAg,@zfl1981,It's like looking at the pixels of existence.,2025-11-20T04:17:22Z,0,0
