Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language
UgzeebismXe2euUPIEd4AaABAg,@sarahmiller662,❤️,2025-11-20T07:14:27Z,0,0,Other
Ugyyair6g3xQ8Tp5A694AaABAg,@REDPILLER3301,ك🐟,2025-11-02T10:50:43Z,0,0,Other
UgwCr4n8PllvROLch7F4AaABAg,@MathClassses,"Y'know, this actually was my first thought process: Since the red rope was actually tied higher than the green one and at the same point at the weight, it'd either go up (depending on how much tension the rope could take) or stay the same. 

Ramblings of a 13 year old.",2025-10-31T15:00:15Z,0,0,en
UgxWMI-dZJTaSdpRhfB4AaABAg,@zackmollusc3522,"The cutting the string is very dependent upon initial conditions. The weight will only go up for a very specific strength of spring, length of springs, length of strings and amount  of weight. It is like when something resonates, it only happens with a particular frequency.",2025-10-30T11:36:34Z,0,0,en
UgwWAIeC2Mucsn9lV6t4AaABAg,@martinlawless820,What a knob,2025-10-27T12:33:24Z,0,0,en
Ugx-SkdIiNwdyfD9IWJ4AaABAg,@robertgaubatz2306,WOW. NICE CLICK BAIT,2025-10-27T02:30:09Z,0,0,en
UgzaSlGSssmAlU9z8Fp4AaABAg,@billpii6314,WTF? BYE BYE,2025-10-24T08:56:58Z,0,0,Other
UgwYXeI3AfbM7xJ19VN4AaABAg,@KnakuanaRka,"0:25 No, it feels like it has a mechanism where something is forced into a position with tension, and once you pull it into the right place, the tension is able to pull back.",2025-10-24T08:08:39Z,0,0,en
UgwFOdCzQDGx07csEGB4AaABAg,@MissM-c3t7k,The red string is attached to the ring at the top so after the green string is cut the length of the red may increase by a few mm?,2025-10-18T10:48:14Z,0,0,en
UgzJ86nNeT4CHG2_kqZ4AaABAg,@rhopejumper,"I like your content, but I really do not like these cliff hangers. You spend way too much time talking about this thing you could’ve easily shown what happened.",2025-10-16T04:27:24Z,0,0,en
UgyHdyPdcGbjnvv9t0J4AaABAg,@richardtyler6472,Nah bro fk u. I’m out that actually psses me off.,2025-10-10T03:47:26Z,0,0,en
UgxhJzTvgxggzNF7auB4AaABAg,@rosso_corsa1,That's unsubable,2025-10-09T20:27:36Z,0,0,en
UgzcLkDczvDy5E26WJR4AaABAg,@meditamv,"I got it right in case one spings are in series with its constant lets say  k/2 (assuming ndividual springs have k constant)  but after we  cut green rope it goes in parellel thus new const is 2k , now force = constant x elongation  and as k inscreases and force remains same the elongation must dicrease  by about 4 time , however we can see that the red and black strings are slanked with green rope and  when they get in tension some more lenght is added to toatl scaling meter",2025-09-30T04:09:00Z,0,0,en
