Comment ID,Author,Content,Publish Date,Like Count,Reply Count
UgwCr4n8PllvROLch7F4AaABAg,@MathClassses,"Y'know, this actually was my first thought process: Since the red rope was actually tied higher than the green one and at the same point at the weight, it'd either go up (depending on how much tension the rope could take) or stay the same. 

Ramblings of a 13 year old.",2025-10-31T15:00:15Z,0,0
UgxWMI-dZJTaSdpRhfB4AaABAg,@zackmollusc3522,"The cutting the string is very dependent upon initial conditions. The weight will only go up for a very specific strength of spring, length of springs, length of strings and amount  of weight. It is like when something resonates, it only happens with a particular frequency.",2025-10-30T11:36:34Z,0,0
UgwWAIeC2Mucsn9lV6t4AaABAg,@martinlawless820,What a knob,2025-10-27T12:33:24Z,0,0
Ugx-SkdIiNwdyfD9IWJ4AaABAg,@robertgaubatz2306,WOW. NICE CLICK BAIT,2025-10-27T02:30:09Z,0,0
UgwYXeI3AfbM7xJ19VN4AaABAg,@KnakuanaRka,"0:25 No, it feels like it has a mechanism where something is forced into a position with tension, and once you pull it into the right place, the tension is able to pull back.",2025-10-24T08:08:39Z,0,0
UgwFOdCzQDGx07csEGB4AaABAg,@MissM-c3t7k,The red string is attached to the ring at the top so after the green string is cut the length of the red may increase by a few mm?,2025-10-18T10:48:14Z,0,0
UgzJ86nNeT4CHG2_kqZ4AaABAg,@rhopejumper,"I like your content, but I really do not like these cliff hangers. You spend way too much time talking about this thing you could’ve easily shown what happened.",2025-10-16T04:27:24Z,0,0
UgyHdyPdcGbjnvv9t0J4AaABAg,@richardtyler6472,Nah bro fk u. I’m out that actually psses me off.,2025-10-10T03:47:26Z,0,0
UgxhJzTvgxggzNF7auB4AaABAg,@rosso_corsa1,That's unsubable,2025-10-09T20:27:36Z,0,0
UgzcLkDczvDy5E26WJR4AaABAg,@meditamv,"I got it right in case one spings are in series with its constant lets say  k/2 (assuming ndividual springs have k constant)  but after we  cut green rope it goes in parellel thus new const is 2k , now force = constant x elongation  and as k inscreases and force remains same the elongation must dicrease  by about 4 time , however we can see that the red and black strings are slanked with green rope and  when they get in tension some more lenght is added to toatl scaling meter",2025-09-30T04:09:00Z,0,0
UgwYgbWkVM6-8Mz3fd54AaABAg,@PreNeverStops,It will go up because two springs in parallel are much stronger than two springs in series. It goes back to his point about the muscle width and sarcomeres. I haven’t watched the video but that’s what my physics knowledge tells me,2025-09-21T13:53:28Z,0,0
UgzBn5EeuJ9FE2E5MxR4AaABAg,@DemonSlayer-m8y4d,Hi  I am 13 years old boy when you cut the green rope I will go up,2025-09-17T04:53:15Z,0,0
UgwdBYaq7b5RYZH3n6V4AaABAg,@sii500,You can't be serious rn💔🥀,2025-09-01T03:34:44Z,0,1
Ugz4udaHHhWZXjJMEnV4AaABAg,@naveensawlani628,What happens... Unsubscribe...,2025-08-28T16:01:04Z,0,0
UgznyafZeudO5vYAdF94AaABAg,@SeanZapatos,"Go up, go up to heaven, go up, if you cut",2025-08-27T12:25:59Z,0,0
Ugy3TEZgV9ITS9n-nxJ4AaABAg,@SeenKeen,He’s like the Zack d films but better🥹🥹,2025-08-25T11:08:07Z,0,0
UgwHXDeigkZW6dFboLt4AaABAg,@Elzie-Nou,It will go higher because there will be no tension on the springs. They will pull back up and the tension will be on the white and red strings instead.,2025-08-24T10:27:27Z,0,0
UgxP646bCdmgLFx1jvB4AaABAg,@thatguypliers1892,Pull the weight up it will lose the entire length of a spring.,2025-08-22T10:29:28Z,0,0
UgyP7lcuaRPM007Aq114AaABAg,@virupakshawalla5734,Fuk off with this watch another vid crap. Unsubsribed,2025-08-21T07:19:29Z,0,0
UgwLCTS-C3GJA3GRkT94AaABAg,@Foremarkex,"cutting the green takes the springs from distributing force in sequence, to doing it in paralel, doubling the resistance and halving the load per spring.",2025-08-09T01:30:13Z,0,0
UgxtEfLxgZB1dgFDEJJ4AaABAg,@ryanshewchuk3111,What a bunch of b.s.,2025-08-08T22:55:04Z,0,0
UgwDa5jsuAqrkjcWTvZ4AaABAg,@techburnsca,it will go up because there'll be two springs pulling the weight when you cut the green wire connecting the two springs,2025-08-08T06:46:04Z,0,0
UgwfbotWeG5cdyGouOZ4AaABAg,@Gabrielmhh,"Oh man this kind of video is annoying. I can spend 23 minutes for an explanation video, but clickbait is not the way to attract people. If anything, it just makes me want to avoid your videos in the future to avoid clickbait",2025-08-07T10:20:42Z,0,0
UgxKl3gVF3dC1NUX8xR4AaABAg,@abodpoper2,I was going to subscribe but no i will do the opposite don’t recommend this channel,2025-08-06T20:24:21Z,0,0
UgwLFcY5GLF_amto7GJ4AaABAg,@lancepeterson7997,"I FINALLY figured it out!! The springs contract because they lose tension, but stop contracting when they come into pressure against the rope, connected to the opposite anchor point, the holds. That’s why it goes up, then stops",2025-08-06T19:17:08Z,0,0
UgxQKSo6hResx4OIi4J4AaABAg,@ShanBojack,There's no link attached in the comments or in the description what the heck,2025-08-04T13:59:56Z,0,0
UgymNr9Wz3rsVsC3KE14AaABAg,@wydk01,10:35 is the exact time on long form video,2025-08-03T13:17:58Z,0,0
UgyQV4oxP_2-y3-7f3x4AaABAg,@rohannalawade3227,"Before cutting both the springs are in series. They act as one. After you cut the rope they are in parallel. In first case the elongation of both springs is added together. In the second case it is not added its just the elongation of a single spring, hence when you cut it the weight moves up by value of the elongation of a single spring.

Total elongation in series = L +L = 2L

Total elongation in Parallel= L


Elongation After cutting - Elongation before cutting= L -2L= -L",2025-08-02T16:00:48Z,0,0
Ugxe0VxK4ZFlrCN-Pbx4AaABAg,@ImaniMuyora,"cool😮😮😮😮😮😮,
what actually happens here",2025-08-02T14:44:12Z,0,0
UgypNBITeUW_Lnj4-cZ4AaABAg,@matthewtymon2090,"I think it's going to go slightly up and then go down atleast until the slack on the ropes tighten? 
Was I right? Was I wrong? Time to go to a different video to find out 😫",2025-07-30T23:42:52Z,0,0
UgwZENQw40pF5aAfEi54AaABAg,@julixpinguimon,I did NOT consent to getting blueballed,2025-07-29T13:32:33Z,0,0
Ugw7PGGuw5CHMJKShFN4AaABAg,@MoyuGuy,"you break the green rope then the red and black would tighten as it falls a but then quickly they would pull their respective springs to each other and it would go up the length of the green string

I think",2025-07-26T08:14:36Z,0,0
UgwlXKEk3J8bupS_aMF4AaABAg,@Mohamadreza_13,"Why being such a dick?
Just show what happens..!",2025-07-25T13:19:31Z,0,0
UgxTbtK5wdr1BFSVmy94AaABAg,@michaelludwig120,"Just for that, I'm not even clicking. I'm going straight to comments.",2025-07-24T23:57:10Z,0,0
Ugzu91NnUBTD0NUllo54AaABAg,@runthomas,click bait for trying to get you to give him more money and waste more of your time,2025-07-24T14:26:32Z,0,0
UgzdFCXAOCPk65NpiFV4AaABAg,@longdang3379,to think that this channel is going to stoop so low like this. Bro you got 10mil views average on your videos. what else do you want you greedy bastard,2025-07-24T13:24:33Z,0,0
UgwuePMzV08jzPCT4Fd4AaABAg,@goldfishi5776,Series and parallel resistance,2025-07-23T00:07:20Z,0,0
Ugy3c9UOEpOjZ4EEfM94AaABAg,@GH_Tech7,Awfull person leave and never return,2025-07-22T21:08:27Z,0,0
UgwQLBBdSVHNKeMbyiZ4AaABAg,@kartiksingh-ko2lz,Can we build spiderman strings with this if we build this mechanism at the nano scale. I have seen mechanisms that can make things stick to surfaces. Combining these would be awesome,2025-07-22T07:14:00Z,0,0
Ugw7DCxL06iKWJ-Gc_l4AaABAg,@elismart13,It's going to go up because then the springs will be under more tension,2025-07-21T18:52:10Z,0,0
UgxfUoVO7XEwnm4gg_t4AaABAg,@joemccallister4883,"Series vs. Parallel!
The Battle Continues!",2025-07-20T16:31:45Z,0,0
UgyN02VZ2FAxYI1wFtp4AaABAg,@weazelzinacan8866,"Couldn't find link to long video... so, not gonna watch the long video.",2025-07-19T21:25:46Z,0,0
UgxoaJ-hujOdGMXeGHt4AaABAg,@TheMogyeee,"I find it very interesting but I'm ""dislike"" it because I don't like clickbait stuff like this...",2025-07-19T21:14:12Z,0,0
UgxiVmlZVQbVBOW8ogV4AaABAg,@hum1st,Vsauce we miss you,2025-07-19T11:10:08Z,0,0
UgzuUX-u94b6Iim0e2B4AaABAg,@Barkley1835,"Series and parallel loading of springs. Uncut, the upper spring is under load by the weight and the lower spring. Cut, the springs share the load and contracts/get shorter.",2025-07-19T03:01:41Z,0,0
UgzAxPslaHAMYXikNop4AaABAg,@The-Scots-man,"Seen this a few times, it goes up but comes down again lower than where it was.",2025-07-18T14:23:54Z,0,0
